,SMILES,Primary,Score,Confirmatory
0,BrBr.CN(C)c1nc(-c2ccccc2)[n+](C)s1.CN(C)c1nc(-c2ccccc2)[n+](C)s1,0,0.0,
1,BrC(/C=N\Nc1nnc2c(n1)[nH]c1ccccc12)=C\c1ccccc1,0,4.0,
2,BrC(=C(c1ccccc1)c1ccccc1)c1ccccc1,0,0.0,
3,BrC(=C\c1ccccc1)/C=N/N1CCN(c2ccccn2)CC1,0,17.0,
4,BrC12CC3CC(C1)C(=NNc1nn[nH]n1)C(C3)C2,0,0.0,
5,BrCC1CN=C(Nc2ccccc2)S1,0,0.0,
6,BrCC1CN=C(Nc2ccccc2Br)S1,0,14.0,
7,BrCC1Cn2c(nnc2-c2cccnc2)S1,0,0.0,
8,BrCC1OCc2ccccc2CO1,0,0.0,
9,BrCCOCCOc1ccc2ccccc2c1,0,7.0,
10,BrCc1ccc(-c2noc(-c3cccnc3)n2)cc1,0,9.0,
11,BrCc1ccc(-c2noc(-c3ccncc3)n2)cc1,0,0.0,
12,Brc1c(-c2ccc3c(c2)OCO3)nc2ncccn12,0,9.0,
13,Brc1c(-c2ccccc2)nc2n1CCC2,0,0.0,
14,Brc1c(-c2cccs2)nc2ccccn12,0,13.0,
15,Brc1c(CSCc2ccccc2)nc2ncccn12,0,0.0,
16,Brc1c(CSc2nc3ccccc3[nH]2)nc2ncccn12,0,0.0,
17,Brc1c(CSc2nc3ccccc3[nH]2)nc2sccn12,0,4.0,
18,Brc1c(CSc2nc3ccccc3o2)nc2ccccn12,0,4.0,
19,Brc1c(CSc2nc3ccccc3o2)nc2ncccn12,0,0.0,
20,Brc1c(CSc2nc3ccccc3o2)nc2sccn12,0,7.0,
21,Brc1c(CSc2nc3ccccc3s2)nc2ccccn12,0,3.0,
22,Brc1c(CSc2nc3ccccc3s2)nc2sccn12,0,2.0,
23,Brc1c(CSc2ncn[nH]2)nc2ccccn12,0,7.0,
24,Brc1c(CSc2nnc(-c3ccco3)o2)nc2ccccn12,0,7.0,
25,Brc1c(CSc2nncc3ccccc23)nc2ccccn12,0,0.0,
26,Brc1c(CSc2nncn2-c2ccccc2)nc2ccccn12,0,0.0,
27,Brc1c(CSc2nncn2-c2ccccc2)nc2ncccn12,0,5.0,
28,Brc1c(CSc2nncn2-c2ccccc2)nc2sccn12,0,0.0,
29,Brc1c(CSc2nnnn2-c2ccccc2)nc2ccccn12,0,6.0,
30,Brc1c(CSc2nnnn2-c2ccccc2)nc2ncccn12,0,0.0,
31,Brc1c(CSc2nnnn2-c2ccccc2)nc2sccn12,0,8.0,
32,Brc1c(C[n+]2ccccc2)nc2ccccn12,0,11.0,
33,Brc1c(NC2=NCCN2)ccc2nccnc12,0,4.0,
34,Brc1c(OCCCCN2CCOCC2)ccc2ccccc12,0,30.0,
35,Brc1c(OCCCCn2ccnc2)ccc2ccccc12,1,61.0,
36,Brc1c(OCCCN2CCNCC2)ccc2ccccc12,1,43.0,
37,Brc1c(OCCCN2CCOCC2)ccc2ccccc12,0,27.0,
38,Brc1c(OCCCNCCN2CCOCC2)ccc2ccccc12,0,29.0,
39,Brc1c(OCCCn2ccnc2)ccc2ccccc12,0,30.0,
40,Brc1c(OCCN2CCNCC2)ccc2ccccc12,1,50.0,0.0
41,Brc1c(OCCN2CCOCC2)ccc2ccccc12,0,33.0,
42,Brc1c(OCCNCCN2CCOCC2)ccc2ccccc12,0,30.0,
43,Brc1c(OCCOCCn2cncn2)ccc2ccccc12,0,3.0,
44,Brc1c(OCCn2ccnc2)ccc2ccccc12,1,44.0,
45,Brc1c(OCc2cn3cccnc3n2)ccc2ccccc12,0,17.0,
46,Brc1c(OCc2nc(-c3ccccn3)no2)ccc2ccccc12,0,0.0,
47,Brc1c(OCc2nc(-c3cccnc3)no2)ccc2ccccc12,0,0.0,
