PUBCHEM_RESULT_TAG,PUBCHEM_SID,PUBCHEM_CID,PUBCHEM_EXT_DATASOURCE_SMILES,PUBCHEM_ACTIVITY_OUTCOME,PUBCHEM_ACTIVITY_SCORE,PUBCHEM_ACTIVITY_URL,PUBCHEM_ASSAYDATA_COMMENT,AC50_Qualifier,AC50_uM,pAC50_M,Hill_Slope,S0_(%),Sinf_(%),Num_Points,Max_Activity_(%),Max_Activity_Conc_uM,Max_Concentration_uM,Activity_at_0.0195uM_(%),Activity_at_0.038uM_(%),Activity_at_0.08uM_(%),Activity_at_0.16uM_(%),Activity_at_0.3uM_(%),Activity_at_0.6uM_(%),Activity_at_1.2uM_(%),Activity_at_2.6uM_(%),Activity_at_5uM_(%),Activity_at_10uM_(%)
RESULT_TYPE,,,,,,,,STRING,FLOAT,STRING,FLOAT,FLOAT,FLOAT,INTEGER,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT
RESULT_DESCR,,,,,,,,"'>','=', or '<'",The concentration at which activity reaches 50% of the maximum,Equal to -1*log10(AC50),The slope at AC50,The fitted activity value at zero concentration,The fitted activity value at infinite concentration,The number of data points used to generate the plot,"The maximum activity value observed, based on mean of replicates per concentration",The concentration at which the maximum activity is observed,Maximum valid test concentration,The average measured activity of all accepted replicates at the specified concentration,The average measured activity of all accepted replicates at the specified concentration,The average measured activity of all accepted replicates at the specified concentration,The average measured activity of all accepted replicates at the specified concentration,The average measured activity of all accepted replicates at the specified concentration,The average measured activity of all accepted replicates at the specified concentration,The average measured activity of all accepted replicates at the specified concentration,The average measured activity of all accepted replicates at the specified concentration,The average measured activity of all accepted replicates at the specified concentration,The average measured activity of all accepted replicates at the specified concentration
RESULT_UNIT,,,,,,,,,MICROMOLAR,,NONE,PERCENT,PERCENT,NONE,PERCENT,MICROMOLAR,MICROMOLAR,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT
RESULT_IS_ACTIVE_CONCENTRATION,,,,,,,,,TRUE,,,,,,,,,,,,,,,,,,
RESULT_ATTR_CONC_MICROMOL,,,,,,,,,,,,,,,,,,0.0195,0.038,0.08,0.16,0.3,0.6,1.2,2.6,5,10
1,124753112,5474842,CCN\1C2=CC=CC=C2S/C1=C\C(=C\C3=[N+](C4=CC=CC=C4S3)CC)\C,Active,51,,,=,7.11,5.148,1.351,0.051,-100,19,-62.519,10,10,1.139,0.498,-1.113,-1.055,0.156,-5.313,-9.57,-20.7,-36.346,-62.519
2,99360850,323009,CC1=CN=C(C2=C1C(=CC=C2)N)C3OCCO3,Active,47,,,=,18.53,4.732,1.371,1.686,-100,19,-28.416,10,10,1.808,0.628,2.239,2.291,1.078,0.062,-0.531,-3.734,-13.633,-28.416
3,7975734,886031,COC1=CC=CC(=C1OC)/C=C\2/C(=O)SC(=N2)SC,Inactive,0,,,,,,,1.22385,1.22385,19,3.156,2.6,10,0.068,-1.219,2.135,-0.603,-0.228,1.099,1.844,3.156,2.353,2.719
4,24817228,3151563,CC1=C(C(=O)NN1)C(C2=CC=C(O2)C3=CC=CC=C3C(=O)O)C4=C(NNC4=O)C,Inactive,0,,,,,,,-0.410905,-0.410905,20,-9.775,10,10,1.38,3.005,1.216,2.002,0.935,2.168,0.87,-1.872,-4.039,-9.775
5,49725126,24792311,COC1=CC=CC=C1OCCOC2=CC=C(C=C2)/C=C/3\C(=N)N4C(=NC3=O)SC(=N4)S(=O)(=O)C,Inactive,0,,,,,,,-2.59735,-2.59735,20,-8.799,10,10,-2.112,-0.828,0.672,0.056,-0.2,-1.918,-2.476,-4.47,-5.897,-8.799
