PUBCHEM_RESULT_TAG,PUBCHEM_SID,PUBCHEM_CID,PUBCHEM_EXT_DATASOURCE_SMILES,PUBCHEM_ACTIVITY_OUTCOME,PUBCHEM_ACTIVITY_SCORE,PUBCHEM_ACTIVITY_URL,PUBCHEM_ASSAYDATA_COMMENT,Inhibition,Standard Deviation
RESULT_TYPE,,,,,,,,FLOAT,FLOAT
RESULT_DESCR,,,,,,,,Normalized percent inhibition of the primary screen at a nominal compound concentration of 3.6 micromolar,Standard deviation of the confirmation screen derived from the normalized percent inhibition of the triplicate data for each compound.
RESULT_UNIT,,,,,,,,PERCENT,NONE
RESULT_ATTR_CONC_MICROMOL,,,,,,,,3.6,
1,24810829,16193233,[B-](F)(F)(F)F.CC\1(C2=CC=CC=C2N(/C1=C\C=C\C=C\C=[N+](C)C)C)C,Active,100,,,194.58,9.8099
2,24806910,2834416,CC1CCC(C(C1)OC(=O)CN2C3=CC=CC=C3[N+](=C2C4=CC=C(C=C4)OC)C)C(C)C.[Cl-],Active,69,,,134.71,11.154
3,14719194,4600171,CC1=CC=C(C=C1)N2C(NC3=CC=CC=C3C2=O)C(C)CC4=CC5=C(C=C4)OCO5,Active,61,,,119.83,1.40268
4,11532956,448222,CCNC(=O)[C@@H]1[C@H]([C@H]([C@@H](O1)N2C=NC3=C(N=CN=C32)N)O)O,Active,60,,,118.32,4.37774
5,24795246,2981241,COC1=CC=CC(=C1OCC2=CC=CC=C2)CNC34CC5CC(C3)CC(C5)C4.Cl,Active,58,,,114.18,5.28245
6,24829585,16196163,CC(C)C1=CC=C(C=C1)N2C3=[N+](C=C2C4=CC=CC=C4)C5=CC=CC=C5CC3.[Br-],Active,57,,,112.05,5.68509
7,24785892,2941571,C1C2CC3CC1CC(C2)(C3)NCC4=CC=CC=C4OCC5=CC=CC=C5.Cl,Active,56,,,110.45,0.717762
8,24809151,2829042,CCN(CC)CC(COC1=C(C=CC2=C1SC(=C2C(=O)OCC)NC(=O)C)Br)O,Active,53,,,104,11.0589
9,24802966,16192607,CCCCCCCCCN1C2=C(CCCC2)C(=N)C3=C1CCC3.Br,Active,52,,,102.43,5.9034
10,24806066,3123929,CCOC(=O)C1=C(SC2=C1C=CC(=C2OCC(CNC(C)(C)C)O)Br)NC(=O)C,Active,50,,,97.68,4.48233
11,24831054,4223534,CC1(C(C1(Cl)Cl)CSC2=NC3=CC=CC=C3N2)C,Active,46,,,90.03,6.52843
12,24793702,1090016,COC1=CC=C(C=C1)C2=NNC(=C2)C3=NNC(=S)N3C4=CC=CC5=CC=CC=C54,Active,43,,,85.22,1.36721
13,24813866,4585955,C1CC(CCC1CN2C(=O)C3=C(C=CS3)N=C2SCC4=CC(=O)N5C=C(C=CC5=N4)Br)C(=O)O,Active,41,,,80.45,3.25955
14,24826688,6364517,CCN\1C2=CC=CC=C2S/C1=C\C(=C\C3=[N+](C4=CC=CC=C4S3)CC)\C.[I-],Active,40,,,79.03,2.76464
15,24797245,16189758,CCCCCCCCN1C2=C(CCC2)C(=N)C3=CC=CC=C31.Br,Active,39,,,77.16,6.62676
16,24830772,16196252,CC(C)(C)C1=CC=C(C=C1)C2=CN(C3=[N+]2CCCS3)C4=CC=C(C=C4)Br.[Br-],Active,35,,,68.39,3.10156
17,24829625,16196165,CC1=C(C=C(C=C1)N2C3=[N+](C=C2C4=CC=CS4)C5=CC=CC=C5CC3)C.[Br-],Active,33,,,65.07,2.85567
18,24803318,16192614,CCCCCCCCN1C2=C(CCCC2)C(=N)C3=C1CCC3.Br,Active,33,,,64.67,5.80824
19,24783163,16188082,CCOC(=O)C1=C(N(C2=C1C=C(C=C2)OCC(CNCC3CCCO3)O)C4=CC=C(C=C4)C)C.C(=O)(C(=O)O)O,Active,31,,,61.55,2.81729
20,862846,664079,COC1=CC(=CC=C1)OC2=C(NN=C2)C3=C(C=C(C=C3)O)O,Active,31,,,61.49,2.99594
21,24815970,16194798,CC1CCC(C(C1)OC(=O)C[N+]2=C3CCCN3C(=C2)C4=CC=C(C=C4)OC)C(C)C.[Cl-],Active,31,,,61.1,5.14305
22,24802642,16192590,CCOC(=O)C1=C(N(C2=CC(=C(C(=C21)CN(C)C)O)Br)C)CSC3=CC=C(C=C3)C.O.Cl,Active,30,,,60.06,1.17093
23,24780123,16187234,CCCCCCCN1C2=C(CCC2)C(=N)C3=CC=CC=C31.I,Active,30,,,59.54,6.96461
24,14728206,9549731,CC1=CC(=C(C(=N1)SCC2=C3C(C(=C(OC3=NN2)N)C#N)C4=CC=CC=C4)C)C#N,Active,30,,,58.71,10.1171
25,848422,650864,COC(=O)C1CCCN1S(=O)(=O)C2=CC3=CC=CC=C3C=C2,Active,29,,,56.98,2.90205
26,14727536,3252537,CC1=CC(=NC(=C1C#N)SCC2=C3C(C(=C(OC3=NN2)N)C#N)C4=CC=C(C=C4)F)C,Active,29,,,56.78,6.30962
27,24806215,16192765,CCCCCCCN1C2=C(CCCC2)C(=N)C3=C1CCC3.Br,Active,29,,,56.76,3.17233
28,4245831,3240253,CCN1C=C(C(=O)C2=C1C=CC(=C2)S(=O)(=O)N(C)C)C(=O)NCCCN(CC)C3=CC=CC(=C3)C,Active,29,,,56.7,4.87623
29,24797180,135410567,COC1=CC=CC=C1NC(=O)CSC2=NC(=C(C(=O)N2)C3=CC=CC=C3)N,Active,28,,,54.7,5.73993
30,24835470,6519283,C1COCCN1C2=C(C=C(C=C2)/C=C(\CCC(=O)O)/C3=NC4=CC=CC=C4S3)[N+](=O)[O-],Active,27,,,54.44,4.18533
31,24789427,2834414,CC1CCC(C(C1)OC(=O)CN2C3=CC=CC=C3[N+](=C2C4=CC=C(C=C4)Br)C)C(C)C.[Cl-],Active,27,,,54.25,10.2327
32,24816175,678269,C1=CC=C2C(=C1)N=C(S2)C3=C(NN=C3)C4=C(C=C(C=C4)O)O,Active,27,,,53.01,2.50773
