PUBCHEM_RESULT_TAG,PUBCHEM_SID,PUBCHEM_CID,PUBCHEM_EXT_DATASOURCE_SMILES,PUBCHEM_ACTIVITY_OUTCOME,PUBCHEM_ACTIVITY_SCORE,PUBCHEM_ACTIVITY_URL,PUBCHEM_ASSAYDATA_COMMENT,Qualifier,IC50 #1,IC50 #1 Hill slope,IC50 #1 R-squared,IC50 #1 min concentration,IC50 #1 percent activity at min concentration,IC50 #1 max concentration,IC50 #1 percent activity at max concentration,IC50 #1 signal at 0.00152 microM,IC50 #1 signal at 0.00305 microM,IC50 #1 signal at 0.00610 microM,IC50 #1 signal at 0.01221 microM,IC50 #1 signal at 0.02441 microM,IC50 #1 signal at 0.04883 microM,IC50 #1 signal at 0.09766 microM,IC50 #1 signal at 0.19531 microM,IC50 #1 signal at 0.39063 microM,IC50 #1 signal at 0.78125 microM,IC50 #1 signal at 1.5625 microM,IC50 #1 signal at 3.125 microM,IC50 #1 signal at 6.25 microM,IC50 #1 signal at 12.5 microM,IC50 #1 signal at 25 microM,IC50 #1 signal at 50 microM,IC50 #1 control mean,IC50 #1 control standard deviation,IC50 #1 number of control wells,IC50 #1 control percent CV,IC50 #1 blank mean,IC50 #1 blank standard deviation,IC50 #1 number of blank wells,IC50 #1 blank percent CV,IC50 #1 signal-background ratio,IC50 #1 plate Z-factor
RESULT_TYPE,,,,,,,,STRING,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,INTEGER,FLOAT,FLOAT,FLOAT,INTEGER,FLOAT,FLOAT,FLOAT
RESULT_UNIT,,,,,,,,,MICROMOLAR,NONE,NONE,MICROMOLAR,PERCENT,MICROMOLAR,PERCENT,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,PERCENT,NONE,NONE,NONE,PERCENT,NONE,NONE
RESULT_IS_ACTIVE_CONCENTRATION,,,,,,,,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RESULT_ATTR_CONC_MICROMOL,,,,,,,,,,,,,,,,0.00152,0.00305,0.0061,0.01221,0.02441,0.04883,0.09766,0.19531,0.39063,0.78125,1.5625,3.125,6.25,12.5,25,50,,,,,,,,,,
1,24786970,977140,COC1=CC=CC=C1C(=O)N2C(=NC(=N2)C3=CC=CO3)SC,Active,24,,,,0.076,-1.708,0.99,0.00153,112.86,50,-2,6.30938e+07,5.28879e+07,5.6732e+07,5.25356e+07,5.2305e+07,3.88676e+07,2.76059e+07,1.22093e+07,1.05606e+07,7.6755e+06,6.3164e+06,5.69341e+06,5.26616e+06,5.25098e+06,5.02715e+06,5.00424e+06,5.65907e+07,4.77466e+06,,8.44,6.01532e+06,145120,,2.41,9.41,0.71
2,24831466,2405928,COC1=CC=C(C=C1)C(=O)N2C(=C(C=N2)C#N)N,Active,23,,,,0.08444,-1.622,0.996,0.00153,107.5,50,-0.34,6.48708e+07,6.20756e+07,6.24606e+07,5.73301e+07,5.47991e+07,4.37416e+07,3.17206e+07,1.44696e+07,1.2135e+07,8.42308e+06,7.01615e+06,6.0022e+06,5.46522e+06,5.36126e+06,5.23971e+06,5.68778e+06,6.07554e+07,5.20754e+06,,8.57,5.87264e+06,148678,,2.53,10.35,0.71
3,857178,658532,C#CCOC(=O)C1=CC=CC=C1C(=O)N2C3=CC=CC=C3N=N2,Active,23,,,,0.0871,-0.715,0.98,0.00153,99.21,50,-0.07,6.47438e+07,5.95476e+07,5.0192e+07,5.19624e+07,4.92945e+07,4.90559e+07,3.2571e+07,2.9628e+07,2.07031e+07,1.82505e+07,1.19414e+07,9.67526e+06,8.16111e+06,7.67302e+06,7.25395e+06,7.15123e+06,6.52002e+07,4.64188e+06,32,7.12,7.19369e+06,215710,32,3,9.06,0.75
4,26657844,2097045,CC1=C(SC=C1)C(=O)NC2=NNC(=N2)C(F)(F)F,Active,21,,,,0.22938,-0.873,0.997,0.00153,100.71,50,0.89,6.28919e+07,6.05593e+07,5.73007e+07,6.08465e+07,5.34157e+07,5.06479e+07,4.41023e+07,3.72808e+07,2.82569e+07,2.15831e+07,1.33901e+07,1.01343e+07,8.30324e+06,7.28696e+06,6.3815e+06,6.48163e+06,6.24902e+07,8.67742e+06,,13.89,5.97665e+06,686267,,11.48,10.46,0.5
5,7965333,1088428,CC1=CC=C(C=C1)C(=O)N2C(=NC(=N2)C3=CC=CO3)SC,Active,21,,,,0.23027,-1.153,0.999,0.00153,98.94,50,-0.79,7.39848e+07,7.40522e+07,7.12027e+07,7.02017e+07,7.03139e+07,6.57349e+07,5.64099e+07,4.13379e+07,3.00179e+07,1.83503e+07,1.01744e+07,8.24723e+06,5.82256e+06,4.51812e+06,4.20512e+06,3.74243e+06,7.47305e+07,4.36749e+06,32,5.84,4.30043e+06,279749,32,6.51,17.38,0.8
6,24783018,3586642,CSC1=NC(=NN1C(=O)C2=CC=CC=C2Cl)C3=CC=CO3,Active,21,,,,0.25012,-0.836,0.989,0.00153,103.3,50,0.01,6.63859e+07,5.99923e+07,5.86517e+07,5.66111e+07,6.00963e+07,5.29186e+07,4.74996e+07,3.54352e+07,3.49616e+07,2.22615e+07,1.62274e+07,1.1362e+07,9.91742e+06,7.83149e+06,7.31017e+06,6.7876e+06,6.44812e+07,6.60059e+06,,10.24,6.78256e+06,309620,,4.56,9.51,0.64
