PUBCHEM_RESULT_TAG,PUBCHEM_SID,PUBCHEM_CID,PUBCHEM_EXT_DATASOURCE_SMILES,PUBCHEM_ACTIVITY_OUTCOME,PUBCHEM_ACTIVITY_SCORE,PUBCHEM_ACTIVITY_URL,PUBCHEM_ASSAYDATA_COMMENT,EC50 Qualifier,EC50,EC50 Standard Error,S0,SInf,Hill Slope,# of Points Fit,Max. Activity,Activity at 0.06uM,Activity at 0.18uM,Activity at 0.56uM,Activity at 1.60uM,Activity at 5.00uM,Activity at 15.00uM
RESULT_TYPE,,,,,,,,STRING,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,INTEGER,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT
RESULT_DESCR,,,,,,,,"'>', '=',  or '<'",the concentration whereupon perceived activity reaches 50% of the maximum,the standard error for the calculated EC50 value,the fitted activity level at zero concentration,the fitted activity level at infinite concentration,the slope at EC50,the number of data points included in the plot,the maximum activity value observed,The average measured activity of all accepted replicates at the specified concentration,The average measured activity of all accepted replicates at the specified concentration,The average measured activity of all accepted replicates at the specified concentration,The average measured activity of all accepted replicates at the specified concentration,The average measured activity of all accepted replicates at the specified concentration,The average measured activity of all accepted replicates at the specified concentration
RESULT_UNIT,,,,,,,,,MICROMOLAR,MICROMOLAR,PERCENT,PERCENT,NONE,NONE,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT
RESULT_IS_ACTIVE_CONCENTRATION,,,,,,,,,TRUE,,,,,,,,,,,,
RESULT_ATTR_CONC_MICROMOL,,,,,,,,,,,,,,,,0.06,0.18,0.56,1.6,5,15
1,51086767,16825551,CNC(=O)C(=O)NCC1N(CCO1)S(=O)(=O)C2=CC(=C(C=C2)OC)OC,Inactive,0,,,>,150,,,,,12,-7.4,-3.8,-3.8,-7.4,-6,-3.1,-3.3
2,17508637,3091265,C1=CC=C(C=C1)COC(=O)NC(C(Cl)(Cl)Cl)NC(=S)NC2=C(C=CC=C2Cl)Cl,Active,55,,,=,3.014,1.118,0,-100,1.42,12,-96.8,-0.2,-9.3,-12,-26.9,-64.9,-96.8
3,4243728,3238415,CN(C)C1=CC=C(C=C1)C2C=C(NC3=NC=NN23)C4=C(C=C(C=C4)Cl)OC(F)F,Inactive,0,,,>,150,,,,,11,16.9,10.7,8.5,1.1,4.7,2.9,16.9
4,49734448,24793564,CN1C2=C(C=CC(=C2)C(=O)NCC3CCCO3)S/C(=C\C4=CC=CC=C4F)/C1=O,Inactive,0,,,>,150,,,,,12,25.9,-9.9,-11,-5.6,-2.3,13.4,25.9
5,24708188,5461314,CC/C(=C\C1CCCCC1)/C(C2=CC=CC=C2)NP(=O)(C3=CC=CC=C3)C4=CC=CC=C4,Inconclusive,,,,-,,,,,,11,188.1,11.6,12.5,9.2,33.2,136.5,188.1
6,51086512,24892096,COC1=CC=CC=C1N2CC(CC2=O)C(=O)NC3=NN=C(S3)SCC(=O)NCC4CCCO4,Inactive,0,,,>,150,,,,,10,51.1,15.3,30.7,11.1,16.7,51.1,-1.2
7,49647542,16406987,C[C@@]12CC[C@@H](C(C1CCC(=C)[C@H]2COC3=CC4=C(C=C3)C=CC(=O)O4)(C)C)O,Active,52,,,=,6.723,1.045,0,-100,1.6,12,-80.2,-1.2,2.4,-4.1,-12.1,-35.8,-80.2
8,17512508,4605161,CC(C)C1=CC=C(C=C1)NC(=O)C2=C(C=CC(=C2)S(=O)(=O)NCC3COC4=CC=CC=C4O3)F,Active,55,,,=,3.534,1.058,0,-100,1.55,10,-63.5,1.8,-0.6,-7.4,-21.6,-63.5,
9,49823542,17283487,CCC(C1=CC=C(C=C1)C(C)C)NC(=S)NC2CCCCC2,Active,48,,,=,43.4,1.396,18.3,-100,0.53,12,-22.6,11.7,14.5,10,1.4,-14.3,-22.6
