PUBCHEM_RESULT_TAG,PUBCHEM_SID,PUBCHEM_CID,PUBCHEM_EXT_DATASOURCE_SMILES,PUBCHEM_ACTIVITY_OUTCOME,PUBCHEM_ACTIVITY_SCORE,PUBCHEM_ACTIVITY_URL,PUBCHEM_ASSAYDATA_COMMENT,EC50 Qualifier,EC50,EC50 Standard Error,S0,SInf,Hill Slope,Num. Points,Max. Activity,Activity at 0.06uM,Activity at 0.12uM,Activity at 0.23uM,Activity at 0.46uM,Activity at 0.90uM,Activity at 1.80uM,Activity at 3.80uM,Activity at 7.50uM,Activity at 15.00uM,Activity at 30.00uM
RESULT_TYPE,,,,,,,,STRING,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,INTEGER,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT
RESULT_DESCR,,,,,,,,"'>', '=',  or '<'",the concentration whereupon perceived activity reaches 50% of the maximum,the standard error for the calculated EC50 value,the fitted activity level at zero concentration,the fitted activity level at infinite concentration,the slope at EC50,the number of data points included in the plot,the maximum activity value observed,The average measured activity of all accepted replicates at the specified concentration,The average measured activity of all accepted replicates at the specified concentration,The average measured activity of all accepted replicates at the specified concentration,The average measured activity of all accepted replicates at the specified concentration,The average measured activity of all accepted replicates at the specified concentration,The average measured activity of all accepted replicates at the specified concentration,The average measured activity of all accepted replicates at the specified concentration,The average measured activity of all accepted replicates at the specified concentration,The average measured activity of all accepted replicates at the specified concentration,The average measured activity of all accepted replicates at the specified concentration
RESULT_UNIT,,,,,,,,,MICROMOLAR,MICROMOLAR,PERCENT,PERCENT,NONE,NONE,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT
RESULT_IS_ACTIVE_CONCENTRATION,,,,,,,,,TRUE,,,,,,,,,,,,,,,,
RESULT_ATTR_CONC_MICROMOL,,,,,,,,,,,,,,,,0.06,0.12,0.23,0.46,0.9,1.8,3.8,7.5,15,30
1,26725426,16745648,CC1(C(=O)C2=CN(C(=CC2=C(C1=O)Br)C3=CC=C(C=C3)OC)CC=C)OC(=O)CCC(=O)OC,Active,45,,,=,42.779,1.1,1.2,-100,0.91,20,-42.3,1.9,-0.5,1,-1,-1.2,-5.3,-7.8,-18.4,-24.5,-42.3
2,46500257,16759490,CC1(C(=O)C=C2C=C(OC=C2C1=O)CCCCNC(=O)OC(C)(C)C)OC(=O)C3=CC=CO3,Active,45,,,=,30.256,1.04,-2.2,-100,4,20,-50.7,0.7,0.9,0.6,-0.2,0.7,-3.1,-6.9,-13.4,-4.7,-50.7
3,47194041,16738628,CCOC(=O)C1C2CC=CC2C3=C(N1)C(=CC(=C3)C)F,Inactive,0,,,>,300,,,,,19,4.2,2.7,4.2,-1.4,-1.5,0.7,3,0.7,-2.6,1.8,-0.9
4,16952590,6532771,CCOC(=O)/C=C\1/N(C(=O)/C(=C/C2=CC3=C(C=C2)C=C(C=C3)OC)/S1)CC(=O)NCC4CCCO4,Inactive,0,,,>,300,3.946,1.4,-100,0.5,20,-20,1.5,2,-0.8,1,-5.8,-5.6,-10.8,-17,-7.6,-20
5,46500140,16759438,CC1(C(=O)C=C2C=C(OC=C2C1=O)C3=CC=C(C=C3)C#N)OC(=O)C4=NC5=CC=CC=C5N=C4,Active,45,,,=,44.918,1.076,-1.5,-100,1.14,18,-39.9,-1.1,0.4,-2.6,-1.4,-4.1,-5,-7.8,-11.4,,-39.9
6,3713643,2998487,C1CCN(C1)C2=NC3=CC=CC=C3N=C2C(C#N)C(=O)NCC4=CC=CC=C4,Inconclusive,,,,>,300,,,,,14,19.5,6.2,2.3,1.7,-4.6,2.2,,,,-4.8,19.5
7,848576,651025,CCCN1CC=C2C(C1)C(C(C(=C2C#N)N)(C#N)C#N)C3=C(C=CC(=C3)OC)OC,Active,46,,,=,25.529,1.04,0.2,-100,1.12,20,-54.8,1,0.6,-0.8,-2.6,-2.9,-2.8,-10.1,-22,-34,-54.8
8,49666815,2837576,COC1=CC(=CC2=C1OCO2)C3C(=C(OC4=C3C(=O)CCC4)N)C#N,Inactive,0,,,>,300,,,,,18,-4.4,2.7,-0.9,3.3,-2,1.8,0.1,2.7,-1.1,-3.5,-4.4
9,46500281,16759445,CCCCC1=CC2=CC(=O)C(C(=O)C2=CO1)(C)OC(=O)CC,Active,47,,,=,21.631,1.032,-1.5,-100,1.81,20,-64.4,-1.3,-1.3,-2,-1.8,-1.2,-3.1,-6,-12.7,-36.1,-64.4
10,26725357,16745579,CCCCC1=CC2=CC(=O)C(C(=O)C2=CO1)(C)OC(=O)C3=NC4=CC=CC=C4N=C3,Active,47,,,=,19.035,1.095,-8.6,-100,1.44,18,-70,-3.7,-10.4,-4.6,-9.8,-10.2,-19.3,-17.4,-23.9,,-70
11,49820584,16445815,CSC1=NN=C(S1)N2C(C(=C(C2=O)O)C(=O)C3=CC=CO3)C4=CC=C(C=C4)F,Active,45,,,=,82.76,1.513,1,-100,0.5,18,-30.5,-0.7,-0.7,-3.6,-2.4,-12.2,-14.3,-19.3,-28,,-30.5
12,7978187,2918555,C1=CN=C(N=C1)N2C(C(=C(C2=O)O)C(=O)C3=CC=CO3)C4=CC=CS4,Active,45,,,=,31.541,1.044,-2.6,-100,4,19,-46.7,-0.5,0.7,-4,-3.7,0,0.4,-7.1,-7.9,-5.8,-46.7
13,49718616,24790340,CC(CSC)N1CCC(CC1)N2CCC(CC2)C(=O)NCC3=CC=CC=N3,Inactive,0,,,>,300,,,,,20,-15.7,1.7,1.1,1.2,0.2,0.2,0.3,-0.8,-6.7,-5.6,-15.7
14,47193988,16738636,C1C=CC2C1C(NC3=C2C=C(C=C3)OC(F)(F)F)C(=O)NCCOC4=CC=CC=C4,Inactive,0,,,>,300,,,,,20,-11.8,-7,-8.1,-4.5,-6.1,-11.8,-7.5,-7,-5.6,-3.4,-4.8
15,4241774,3236706,C1=CC=NC(=C1)C#CC(C2=CC=CS2)O,Inconclusive,,,,=,27.396,1.248,0,-100,1.07,19,-60.3,1.1,1.6,0.5,-5.9,-6.1,-7.1,-7.9,-30.3,-2.7,-60.3
16,47204654,3136931,CCOC(=O)C1C2CC=CC2C3=C(N1)C=CC(=C3)C(=O)OCC,Inactive,0,,,>,300,,,,,19,-6,-0.4,-4.5,-2.8,-5.7,-5.9,-6,-4.5,-5.6,-0.8,0.8
17,47193951,16738640,C1C=CC2C1C(NC3=C2C=C(C=C3)OC(F)(F)F)C(=O)NCCF,Inactive,0,,,>,300,,,,,20,4.1,1.5,1.6,4.1,3.1,1.6,1.8,2,3.6,-1.9,-2.1
18,46500180,16759478,CC1(C(=O)C=C2C=C(OC=C2C1=O)C3=CC=C(C=C3)C#N)OC(=O)C4=CC=CS4,Active,45,,,=,31.264,1.044,-4.4,-100,3.82,20,-48.6,0.6,1.2,-5.4,-3.2,-3.8,-5.6,-10.6,-9.9,-9,-48.6
19,14733986,2831070,CCOC(=O)C1=C(OC(=C(C1C2=CC(=C(C=C2)O)OC)C#N)N)C,Inactive,0,,,>,300,,,,,20,-6.5,-0.9,-0.1,5,2.5,1.1,-0.5,2.8,-6.5,2.2,1.3
20,26725320,16745543,CC1(C(=O)C2=COC(=CC2=C(C1=O)Br)C3=CC=C(C=C3)OC)OC(=O)C4CCCC4,Inactive,0,,,>,300,,,,,20,-5.3,1,-0.7,-1.1,0.4,0.5,-0.6,-5.3,-4.9,-2.3,-0.6
21,26662746,4370788,CCN(CC)CCN1C(C(=C(C1=O)O)C(=O)C2=CC3=C(O2)C(=CC=C3)OC)C4=CC=C(C=C4)F,Inactive,0,,,>,300,,,,,20,-3.3,-1,-0.5,-0.1,2.7,-0.3,-3.3,0,-0.1,2.3,1.2
22,47204659,2828653,CC1(CC2=C(C(C(=C(O2)N)C#N)C3=CC4=C(C=C3)OCO4)C(=O)C1)C,Inactive,0,,,>,300,,,,,20,-7.4,-0.4,-5.5,-4.9,-7.4,-0.2,-2.6,-4.6,-6.8,-2,-3.7
23,49720336,5315615,C1=CC(=C(C=C1CC(C(=O)O)OC(=O)/C=C/C2=CC(=C(C=C2)O)O)O)O,Active,51,,,=,8.751,1.054,-9.8,-100,1.65,19,-92.9,-5.7,-7.4,-13.9,-11.6,-12.4,-18,-28,-48.5,-70.6,-92.9
24,26660850,5219557,COC1=C(C=C(C=C1)C2C3=C(C=C(C=C3)O)OC4=C2C(=N)N(C=N4)CC5=CC=CO5)OC,Inactive,0,,,>,300,,,,,20,-11.9,-3.1,-2.8,-4.2,-2,0.1,-1.8,-4.8,-3.6,-5.9,-11.9
25,49677903,24761865,CC(C)OCC(CN1CCN(CC1)CCN2C(=O)C3=CC=CC4=C3C(=CC=C4)C2=O)O.Cl,Inactive,0,,,>,300,,,,,20,-3.5,0.9,1.7,-1.1,-0.6,-1.4,-0.4,-3.5,-0.3,-1,-2.8
26,49715820,3359169,C1CC(OC1)CNC(=O)C2=NN3C(=CC(=NC3=C2Br)C4=CC(=CS4)Br)C(F)(F)F,Inconclusive,,,,>,300,,,,,15,-27.5,0.7,-6,-1.5,-14.7,-5.7,-16,-27.5,,,-13.7
27,47193991,16738667,COC(=O)CNC(=O)C1C2CC=CC2C3=CC=CC=C3N1,Active,45,,,=,172.824,2.5,2,-100,0.72,17,-23.1,1.3,0.4,1,2.1,2.2,-3.1,-2.8,-13.2,-3.9,-23.1
28,47203308,3136927,C1C=CC2C1C(NC3=C2C=C(C=C3)Br)C(=O)O,Active,52,,,=,6.319,1.047,-3.1,-100,1.97,20,-101.1,0.3,-1.1,0,-6.5,-7.7,-16.6,-26.4,-58.4,-85.9,-101.1
29,47194060,16738654,CCOC(=O)C1C2CC=CC2C3=C(N1)C=CC(=C3)C(F)(F)F,Inactive,0,,,>,300,,,,,20,-6.7,1.2,1.6,1.5,1.8,1.1,-0.8,-1.2,-2.6,0.9,-6.7
30,46500185,16759446,CCCCC1=CC2=CC(=O)C(C(=O)C2=CO1)(C)OC(=O)C3=CN=C(C=C3)Cl,Active,47,,,=,21.572,1.035,-2.1,-100,1.65,20,-63.7,-0.5,-1.9,-2.4,-2.4,-2.5,-6.6,-7.1,-15.1,-37.9,-63.7
31,46500181,16759506,CC1(C(=O)C=C2C=C(OC=C2C1=O)C3=CSC=C3)OC(=O)C4=CN=C(C=C4)Cl,Active,45,,,=,41.922,1.205,-2,-100,1.17,20,-45.9,2.7,-2.2,0,-3.8,-3.5,-8.1,-10.2,-18.4,-14.4,-45.9
32,24823404,3453217,C1C=CC2C1C(NC3=C2C(=C(C=C3O)Cl)[N+](=O)[O-])C(=O)O,Inconclusive,,,,=,19.148,1.168,-14.9,-100,4,18,-106.7,-1.1,-8.7,-3.9,-13.1,-23.3,-23.7,-22.2,-28.4,-23.5,-106.7
33,14728295,4463724,CC1=C(C(NC(=S)N1)C2=CC(=C(C=C2)OC(C)C)OC)C(=O)OC(C)C,Inactive,0,,,>,300,,,,,19,3.8,3.8,0.7,1.5,2.2,2.4,1.8,1,1.5,-2.2,-3.6
34,26663487,5994065,C1=COC(=C1)/C=C/C=C\2/C(=O)N(C(=S)S2)C(CC(=O)O)C(=O)O,Active,46,,,=,23.256,1.053,1.1,-100,4,20,-81.7,4.3,1.7,-2.9,1.5,3.3,1.7,-2.6,-6.5,-0.7,-81.7
35,46500254,16759461,CC1(C(=O)C=C2C=C(OC=C2C1=O)C3CC3)OC(=O)C4=NC5=CC=CC=C5N=C4,Inactive,0,,,>,300,,,,,18,-9.9,-3.4,-2.7,3.3,-1.6,-9.1,-9.9,-7.8,-3.9,1.2,3.1
