PUBCHEM_RESULT_TAG,PUBCHEM_SID,PUBCHEM_CID,PUBCHEM_EXT_DATASOURCE_SMILES,PUBCHEM_ACTIVITY_OUTCOME,PUBCHEM_ACTIVITY_SCORE,PUBCHEM_ACTIVITY_URL,PUBCHEM_ASSAYDATA_COMMENT,avPercentage
RESULT_TYPE,,,,,,,,FLOAT
RESULT_DESCR,,,,,,,,Percentage of the test compound readout over those of negative controls at a concentration of 10 uM.
RESULT_UNIT,,,,,,,,NONE
RESULT_ATTR_CONC_MICROMOL,,,,,,,,10
1,17403351,11957314,CCCCCCCCC[N+]1=CC=CC2=C1C=CC3=CC=CC=C32.[Br-],Active,90,,,6.5
2,24810078,16193002,CCCCCCCCCC[N+]1=CC=CC2=C1C=CC3=CC=CC=C32.[I-],Active,90,,,7.5
3,24803318,16192614,CCCCCCCCN1C2=C(CCCC2)C(=N)C3=C1CCC3.Br,Active,89,,,10
4,14718880,9549110,CCCCCCCCCN1C2=C(CCC2)C(=N)C3=C1CCC3.Br,Active,89,,,10
5,24802966,16192607,CCCCCCCCCN1C2=C(CCCC2)C(=N)C3=C1CCC3.Br,Active,89,,,9
6,47202363,2936118,CC1=CC(=C(C=C1)C(C)C)OCCNCCC2=CC=CC=C2.C(=O)(C(=O)O)O,Active,89,,,13
7,24807028,776996,COC1=CC=C(C=C1)CNCC2=CC(=CC=C2)OC3=CC=CC=C3,Active,89,,,10
8,26663415,16682357,CC1=CC2=C(C=C1CN(C)C)C3=CC=CC=C3C=C2.Cl,Active,89,,,13
9,24810829,16193233,[B-](F)(F)(F)F.CC\1(C2=CC=CC=C2N(/C1=C\C=C\C=C\C=[N+](C)C)C)C,Active,89,,,11.5
10,51089733,12627143,CC1=CC=C(C=C1)C2=CC(=[N+](C(=C2)C3=CC=C(C=C3)C)C4=CC=CC=C4)C5=CC=C(C=C5)C.[O-]Cl(=O)(=O)=O,Active,89,,,11.5
11,51087896,10692407,CCCCCCCCCOCN1C=[N+](C2=CC=CC=C21)CC3=CC=CC=C3.[Cl-],Active,89,,,12
12,17414659,2934091,CC1=CC(=C(C(=C1)Cl)OCCCCNCC2=CC=CC=C2)C.C(=O)(C(=O)O)O,Active,89,,,12
13,47197006,2972826,CC1=C(C=C(C=C1)NC2=NC3=CC=CC=C3C(=N2)N)Cl.Cl,Active,89,,,12.5
14,51089876,12647563,CC1=CC=C(C=C1)C[N+]2=C(C=C(C=C2C3=CC=C(C=C3)C)C4=CC=C(C=C4)C)C5=CC=C(C=C5)C.[O-]Cl(=O)(=O)=O,Active,89,,,11.5
15,51087912,10787985,CCCCCCCCCCOCN1C=[N+](C2=CC=CC=C21)CC3=CC=CC=C3.[Cl-],Active,89,,,11
16,17413636,2960752,C1=CC=C(C=C1)COC2=CC=C(C=C2)CNCC3=CC=CS3.Cl,Active,89,,,10.5
17,49645137,17367817,COC1=CC=C(C=C1)CNCC2=CC=CC3=CC=CC=C32.C(=O)(C(=O)O)O,Active,89,,,13
18,47201871,2934463,CC1=CC(=C(C(=C1)Br)OCCCNCC2=CC=CC=C2)C.C(=O)(C(=O)O)O,Active,89,,,11.5
