PUBCHEM_RESULT_TAG,PUBCHEM_SID,PUBCHEM_CID,PUBCHEM_EXT_DATASOURCE_SMILES,PUBCHEM_ACTIVITY_OUTCOME,PUBCHEM_ACTIVITY_SCORE,PUBCHEM_ACTIVITY_URL,PUBCHEM_ASSAYDATA_COMMENT,Percentage
RESULT_TYPE,,,,,,,,FLOAT
RESULT_DESCR,,,,,,,,Percentage of the test compound readout over the 3SD of negative controls at a concentration of 10 uM
RESULT_UNIT,,,,,,,,NONE
RESULT_ATTR_CONC_MICROMOL,,,,,,,,10
1,855531,2406,C1=C(C=C(C(=C1SC2=C(C(=CC(=C2)Cl)Cl)O)O)Cl)Cl,Active,100,,,222.7
2,14724688,1381466,CC1=NN(C(=C1/C=C\2/C(=O)NC(=S)S2)Cl)C3=CC=CC=C3,Active,96,,,214.6
3,22407748,15945225,CC1=CC=C(C=C1)C2=NC3=CC=CC=C3C(=C2)C4=NNC(=S)O4.CN(C)C=O,Active,75,,,167.5
4,14738858,1293677,CC1=CC(=C(C=C1OCC(=O)NC2CCCCC2)S(=O)(=O)N3CCCCCC3)Cl,Active,73,,,163.7
5,17411059,1488444,C1=CC(=C(C=C1Cl)S(=O)(=O)NC2=NC(=CS2)C3=C(C=CS3)Cl)Cl,Active,66,,,149
6,24816802,7110333,CCCC1=NC2=C(C(=N1)SCC(=O)N3CCC(CC3)C)C(=O)N(C(=O)N2C)C,Active,63,,,141.2
7,49827076,11836590,C1=COC(=C1)/C=N/NC(=O)C2=C(C=NN2)Br,Active,61,,,137.2
8,14738859,2203667,CC1=CC(=C(C=C1OCC(=O)NC2CCCCC2)S(=O)(=O)N3CCCC3)Cl,Active,59,,,132.9
9,51087545,7158934,CC1CCN(CC1)C(=O)CSC2=NC(=NC3=C2C(=O)N(C(=O)N3C)C)C(C)C,Active,55,,,123.8
10,14738864,2204326,CC1=CC(=C(C=C1OCC(=O)NC2CCCCC2)S(=O)(=O)N3CCSCC3)Cl,Active,54,,,121.7
11,14732163,3491391,COC(=O)C1=CN(C(=O)C2=CC=CC=C21)NC(=O)CCC3CCCC3,Active,54,,,121.6
12,51090451,7475825,CC(C)CC1=NC2=C(C(=N1)SCC(=O)N3CCCCC3)C(=O)N(C(=O)N2C)C,Active,54,,,121.3
13,16953404,4877971,CCOC1=CC(=C(C=C1NC(=O)CC23CC4CC(C2)CC(C4)C3)OCC)N5CCOCC5,Active,50,,,113.2
14,26730460,2747429,CCOC1=CC(=C(C=C1NC(=O)CC2=CC=CC=C2)OCC)N3CCOCC3,Active,50,,,113
15,47200766,3111211,CC1=CC(=C(C(=C1)C)NC(=O)C2CC3CCC2C3)C,Active,50,,,112.3
16,855525,5803,C1=CC(=C(C=C1OC2=C(C=C(C=C2I)CC(=O)O)I)I)O,Active,50,,,112.1
17,3714777,2998948,CCOC1=CC(=C(C=C1NC(=O)CCC2CCCC2)OCC)N3CCOCC3,Active,50,,,112.1
18,8139957,3598,C1=C(C(=C(C(=C1Cl)Cl)CC2=C(C(=CC(=C2Cl)Cl)Cl)O)O)Cl,Active,50,,,111.7
19,49669307,3605388,CC(C)C1=NC(=C(C=C1)CNC(=O)CC(C)C2=CC=CC=C2)SC,Active,50,,,111.6
