PUBCHEM_RESULT_TAG,PUBCHEM_SID,PUBCHEM_CID,PUBCHEM_EXT_DATASOURCE_SMILES,PUBCHEM_ACTIVITY_OUTCOME,PUBCHEM_ACTIVITY_SCORE,PUBCHEM_ACTIVITY_URL,PUBCHEM_ASSAYDATA_COMMENT,EC50 Qualifier,EC50,EC50 Standard Error,S0,SInf,Hill Slope,Num. Points,Max. Activity,Activity at 0.150uM,Activity at 0.160uM,Activity at 0.300uM,Activity at 0.600uM,Activity at 1.20uM,Activity at 2.35uM,Activity at 2.60uM,Activity at 3.00uM,Activity at 5.00uM,Activity at 10.00uM,Activity at 19.5uM
RESULT_TYPE,,,,,,,,STRING,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,INTEGER,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT
RESULT_DESCR,,,,,,,,"'>', '=',  or '<'",the concentration whereupon perceived activity reaches 50% of the maximum,the standard error for the calculated EC50 value,the fitted activity level at zero concentration,the fitted activity level at infinite concentration,the slope at EC50,the number of data points included in the plot,the maximum activity value observed,The average measured activity of all accepted replicates at the specified concentration,The average measured activity of all accepted replicates at the specified concentration,The average measured activity of all accepted replicates at the specified concentration,The average measured activity of all accepted replicates at the specified concentration,The average measured activity of all accepted replicates at the specified concentration,The average measured activity of all accepted replicates at the specified concentration,The average measured activity of all accepted replicates at the specified concentration,The average measured activity of all accepted replicates at the specified concentration,The average measured activity of all accepted replicates at the specified concentration,The average measured activity of all accepted replicates at the specified concentration,The average measured activity of all accepted replicates at the specified concentration
RESULT_UNIT,,,,,,,,,MICROMOLAR,MICROMOLAR,PERCENT,PERCENT,NONE,NONE,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT
RESULT_IS_ACTIVE_CONCENTRATION,,,,,,,,,TRUE,,,,,,,,,,,,,,,,,
RESULT_ATTR_CONC_MICROMOL,,,,,,,,,,,,,,,,0.15,0.16,0.3,0.6,1.2,2.35,2.6,3,5,10,19.5
1,24817160,2876301,C1=CC=C2C(=C1)NC(C(=O)N2)CC(=O)NC3=CC=CC=C3NC(=O)CC4C(=O)NC5=CC=CC=C5N4,Inactive,0,,,>,195,,-1.9,-1.9,0,15,-5,,-1.8,-1.6,0.9,-0.4,,0.4,,-3.2,-4,-5
2,47197943,2881219,COC1=C(C=C(C(=C1)N2C(CC(=N2)C3=CC=CC=C3)C4=CC=CC=C4)C=O)C=O,Inactive,0,,,>,195,,-1.7,-1.7,0,14,18.2,,-5.1,-8.7,-8.2,-8.1,,-5.6,,5.7,18.2,
3,47199828,2848433,CC(CC1=CC=C(C=C1)OC)NC2=CC(=CC=C2)SC,Inactive,0,,,>,195,,4.7,4.7,0,16,10,,1.7,5.9,5.8,0.3,,2.8,,4.2,7.1,10
4,24787008,3154268,COC1=C(C=C(C=C1)C2=NN(C(C2)C3=CC=CS3)S(=O)(=O)C)OC,Inactive,0,,,>,195,,15.7,15.7,0,15,44.7,,4.6,3,6.4,9.2,,6.6,,14.9,29.7,44.7
5,26665034,254339,C1=CC2=C(C=C1O)C(=O)N(C2=O)C(CCC(=O)N)C(=O)O,Inactive,0,,,>,195,,-5.5,-5.5,0,16,-8.3,,-7,-8.2,-7,-8.3,,-2.3,,-7,-1.5,-2.6
