PUBCHEM_RESULT_TAG,PUBCHEM_SID,PUBCHEM_CID,PUBCHEM_EXT_DATASOURCE_SMILES,PUBCHEM_ACTIVITY_OUTCOME,PUBCHEM_ACTIVITY_SCORE,PUBCHEM_ACTIVITY_URL,PUBCHEM_ASSAYDATA_COMMENT,EC50_Qualifier,EC50_uM,Log_EC50_M,Log_EC50_M_Standard_Error,Hill_Slope,S0,SInf,Num_Points,Max_Activity,Activity_at_0.195uM,Activity_at_0.38uM,Activity_at_0.8uM,Activity_at_1.6uM,Activity_at_3uM,Activity_at_6uM,Activity_at_12uM,Activity_at_26uM
RESULT_TYPE,,,,,,,,STRING,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,INTEGER,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT
RESULT_DESCR,,,,,,,,"'>', '=',  or '<'",the concentration whereupon activity reaches 50% of the maximum.,the log of the EC50 (molar),the standard error for the log of the EC50 value,the slope at EC50,the fitted activity level at zero concentration,the fitted activity level at infinite concentration,the number of data points included in the plot,the maximum activity value observed,The average measured activity of all accepted replicates at the specified concentration,The average measured activity of all accepted replicates at the specified concentration,The average measured activity of all accepted replicates at the specified concentration,The average measured activity of all accepted replicates at the specified concentration,The average measured activity of all accepted replicates at the specified concentration,The average measured activity of all accepted replicates at the specified concentration,The average measured activity of all accepted replicates at the specified concentration,The average measured activity of all accepted replicates at the specified concentration
RESULT_UNIT,,,,,,,,NONE,MICROMOLAR,NONE,NONE,NONE,PERCENT,PERCENT,NONE,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT
RESULT_IS_ACTIVE_CONCENTRATION,,,,,,,,,TRUE,,,,,,,,,,,,,,,
RESULT_ATTR_CONC_MICROMOL,,,,,,,,,,,,,,,,,0.195,0.38,0.8,1.6,3,6,12,26
1,24804410,800048,CCN1C2=CC=CC=C2C(=C(C1=O)[N+](=O)[O-])Cl,Inconclusive,0,,,,,,,,,,12,248.3,3.806,3.468,1.365,32.68,347.8,475.5,248.3,-58.94
2,14735737,6401209,CC(C)CSC1=NC2=C(C3=CC=CC=C3N2)N=N1,Inconclusive,0,,,,,,,,,,16,47.54,27.93,37.41,47.3,45.92,47.54,41.35,40.11,26.44
3,22404351,2290919,CC1=C(C=C(C=C1)N/C=C/C(=O)C2=CC=CC=C2)C,Inconclusive,0,,,,,,,,,,15,-69.84,-30.46,-31.15,-27.72,-31.83,-40.45,-49.52,-61.16,-69.84
4,14730335,5919900,C1=CC=C(C=C1)/C=C\2/C(=C(C(=O)O2)C#N)C3=CC=CC=C3,Inconclusive,0,,,,,,,,,,14,371.6,10.67,13.13,22.59,51.96,327.9,361.7,-26.13,-94.98
5,24820826,3148028,C1=CC(=CC=C1OCC(=O)NC2=NC=C(S2)[N+](=O)[O-])Cl,Active,64,,,=,0.3824,-6.417,0.09249,1.139,0,50,14,45.09,15.98,21.85,24.16,38.18,44.71,48.26,45.09,42.85
6,22406912,4113258,C1=CC=C(C=C1)C2=CC=C(C=C2)C3=NC4=CC=CC=C4C(=C3)C(=O)NCC5=CC=CC=N5,Active,63,,,=,0.4615,-6.336,0.2066,1.042,-11.02,38.98,14,40.26,3.778,11.08,20.7,27.27,33.68,37.44,40.26,37
7,17514028,4561725,C1CN(CCN1C2=CC=CC=C2[N+](=O)[O-])C3=C(C(=O)C4=CC=CC=C4C3=O)Cl,Inconclusive,61,,,=,0.7344,-6.134,0.2537,2.496,-5.312,44.69,14,71.88,0.2374,1.43,25.81,24.19,71.88,153.4,50.25,18.77
8,49716125,4046943,CC1=CC(=NO1)NC(=O)CSC2=C(C=C3CCCC3=N2)C#N,Active,61,,,=,0.8296,-6.081,0.1102,0.6479,0,51.95,15,46.07,16.38,17.49,26.41,29.58,37.84,41.28,43.88,42.74
9,14729206,6404473,CC1=CC(=CC=C1)C2=NN=C3C4=CC=CC=C4C(=O)C3=C2,Active,60,,,=,0.8966,-6.047,0.05409,1.088,0,52.18,14,47.99,8.986,14.22,25.14,32.44,41.91,47.85,47.99,17.54
10,17402287,6080679,CC1=CC=CC=C1C(=O)O/N=C/2\CCS(=O)(=O)C3=C2C=CS3,Active,60,,,=,0.9425,-6.026,0.1023,0.8668,0,57.34,15,54.39,12.18,18.93,26.13,33.72,40.07,51.02,54.39,44.94
11,26665235,135452472,C1=CC2=C(NC(=C2C=C1)O)N=C3N=C4C=CC=CC4=N3,Inconclusive,60,,,=,0.9873,-6.006,0.213,4,5.669,151.1,16,247,4.405,12.44,39.33,138.9,247,240.8,90.72,26.08
12,14740550,1211724,C1=CC=C(C=C1)C(=O)C#CC2=CC(=CC=C2)[N+](=O)[O-],Inconclusive,60,,,=,1.085,-5.965,0.2882,1.208,0.2831,50.28,14,48.68,11.4,11.97,17.94,24.37,48.68,77.91,48.01,42.44
13,24824101,81124,C1=CC=C(C=C1)NC2=CC(=O)C3=CC=CC=C3C2=O,Active,59,,,=,1.26,-5.9,0.05582,1.019,0,90.73,15,85.85,9.154,25.25,32.48,52.04,60.92,79.89,80.95,72.85
14,26725674,2048162,C1=CC=C(C=C1)/C=C/CSC2=NC3=C(N2)C=C(C=N3)Br,Active,59,,,=,1.374,-5.862,0.2707,0.7427,-14.17,35.83,15,32.09,-3.061,0.9321,3.197,11.43,18.26,17.92,32.09,26.69
15,17411862,725600,COC1=CC(=CC(=C1OC)OC)C(=O)SC2=CC=C(C=C2)Cl,Active,58,,,=,1.488,-5.827,0.07231,1.91,-2.824,47.18,16,52.54,-2.954,2.49,11.03,21.32,37.31,44.81,52.54,38.98
16,24813018,5757382,C1=CC=C2C(=C1)N=CN2C(=O)/C=C/C3=CC(=CC=C3)[N+](=O)[O-],Inconclusive,58,,,=,1.62,-5.79,0.1299,4,14.53,178,16,245.9,8.464,14.26,31.57,87.84,176.2,245.9,227.2,54.2
17,24789082,2791433,COC1=CC=C(C=C1)N2C(=O)C(=C(C2=O)Cl)OC3=CC=CC(=C3)OC,Active,57,,,=,1.843,-5.734,0.04201,4,12.27,75.51,14,78.15,12.32,10.86,16.92,31.71,74.25,70.38,83.09,56.25
