PUBCHEM_RESULT_TAG,PUBCHEM_SID,PUBCHEM_CID,PUBCHEM_EXT_DATASOURCE_SMILES,PUBCHEM_ACTIVITY_OUTCOME,PUBCHEM_ACTIVITY_SCORE,PUBCHEM_ACTIVITY_URL,PUBCHEM_ASSAYDATA_COMMENT,EC50_Qualifier,EC50_uM,Log_EC50_M,Log_EC50_M_Standard_Error,Hill_Slope,S0,SInf,Num_Points,Max_Activity,Activity_at_18nM,Activity_at_0.05uM,Activity_at_0.15uM,Activity_at_0.46uM,Activity_at_1.35uM,Activity_at_4.2uM,Activity_at_12uM,Activity_at_0.038mM
RESULT_TYPE,,,,,,,,STRING,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,INTEGER,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT
RESULT_DESCR,,,,,,,,"'>', '=',  or '<'",the concentration at which activity reaches 50% of the maximum,the log of the EC50 (molar),the standard error for the log of the EC50 value,the slope at EC50,the fitted activity level at zero concentration,the fitted activity level at infinite concentration,the number of data points included in the plot,the maximum activity value observed,The average measured activity of all accepted replicates at the specified concentration,The average measured activity of all accepted replicates at the specified concentration,The average measured activity of all accepted replicates at the specified concentration,The average measured activity of all accepted replicates at the specified concentration,The average measured activity of all accepted replicates at the specified concentration,The average measured activity of all accepted replicates at the specified concentration,The average measured activity of all accepted replicates at the specified concentration,The average measured activity of all accepted replicates at the specified concentration
RESULT_UNIT,,,,,,,,NONE,MICROMOLAR,NONE,NONE,NONE,PERCENT,PERCENT,NONE,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT
RESULT_IS_ACTIVE_CONCENTRATION,,,,,,,,,TRUE,,,,,,,,,,,,,,,
RESULT_ATTR_CONC_MICROMOL,,,,,,,,,,,,,,,,,0.018,0.05,0.15,0.46,1.35,4.2,12,38
1,4243234,2793468,CC1=C(C(N2C(=NN=N2)N1)C3=CC=NC=C3)C(=O)NC4=CC=CC=C4OC,Inconclusive,0,,,,,,,,,,8,-46.63,-41.8,-46.63,-43.3,-39.58,-38.59,-40.37,-39.32,-34.81
2,17506118,3727153,C1=CC=C(C(=C1)C2=CC=C(O2)C3C(C(NC(=O)N3)(C(F)(F)F)O)C(=O)C4=CC=C(C=C4)Cl)[N+](=O)[O-],Inconclusive,0,,,,,,,,,,8,-88.9,-33.92,-36.83,-39.95,-41.9,-16.26,-19.75,-41.46,-88.9
3,848255,650693,CC1=CC=C(C=C1)N2C3=C(C(C(=C(O3)N)C#N)C4=CC=CS4)C(=N2)C,Inconclusive,0,,,,,,,,,,8,-97.31,-93.7,-76.16,-39.97,-36.07,-37.38,-87.65,-73.12,-97.31
4,17506376,5347421,C1=CC=C2C(=C1)C=CC=C2C/C(=N/OC(=O)C3=CC=CS3)/N,Inconclusive,0,,,,,,,,,,7,-62.67,-38.71,-37.49,-50.19,-57.15,-5.822,-25.79,-45.18,-62.67
5,17432531,2827046,C1=CC=C(C(=C1)C(C2=C(C=C(C=C2)N(CCO)CCO)Cl)C3=C(C=C(C=C3)N(CCO)CCO)Cl)Cl,Inconclusive,0,,,,,,,,,,8,-99.54,-99.54,-3.293,-0.6591,1.134,-3.431,-21.78,-49.93,-63.6
6,47199811,2974206,COC1=C(C=C2C(=C1)C=CN=C2C(=O)C3=CC(=C(C=C3Br)OC)OC)OC,Inconclusive,0,,,,,,,,,,8,-96.4,-3.502,-14.22,-53.62,-1.817,-96.24,-96.4,-91.41,0.2919
7,24804647,1095027,C1COCCN1C2=CC=C(C3=NON=C23)N,Inconclusive,0,,,,,,,,,,8,-88.71,-36.18,-38.55,-38.69,-39.42,-11.74,-18.64,-55.7,-88.71
8,49716493,6035171,COC(=O)C1=CC=CC=C1NC2=C/C(=N\S(=O)(=O)C3=CC=C(C=C3)C(=O)O)/C4=CC=CC=C4C2=O,Inconclusive,0,,,,,,,,,,8,189.9,-40.68,-72.52,-93.6,-95.86,-91.96,-83.39,-15.57,189.9
