PUBCHEM_RESULT_TAG,PUBCHEM_SID,PUBCHEM_CID,PUBCHEM_EXT_DATASOURCE_SMILES,PUBCHEM_ACTIVITY_OUTCOME,PUBCHEM_ACTIVITY_SCORE,PUBCHEM_ACTIVITY_URL,PUBCHEM_ASSAYDATA_COMMENT,Value1_30uM,Value1_10uM,Value1_3.44uM,Value1_1.25uM,Value1_313nM,Value1_122nM,Value1_38.1nM,Value1_15.3nM,Value1_3.81nM,AB_mean1,AB_stddev1,KK3118_mean1,KK3118_stddev1,zprime_AB_KK3118_1,FitConverged_1,FitCategory_1,bottom_1,bottom_stderr_1,bottom_pr_1,top_1,top_stderr_1,top_pr_1,logEC50_1,logEC50_stderr_1,logEC50_pr_1,slope_1,slope_stderr_1,slope_pr_1,EC50_1,EC50_stderr_1
RESULT_TYPE,,,,,,,,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,BOOLEAN,STRING,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT
RESULT_DESCR,,,,,,,,"The raw fluorescence intensities were divided by the initial fluorescence, and the maximum from 12 to 40 seconds after stimulus addition was calculated and labeled 'Value_ConcUnit.'","The raw fluorescence intensities were divided by the initial fluorescence, and the maximum from 12 to 40 seconds after stimulus addition was calculated and labeled 'Value_ConcUnit.'","The raw fluorescence intensities were divided by the initial fluorescence, and the maximum from 12 to 40 seconds after stimulus addition was calculated and labeled 'Value_ConcUnit.'","The raw fluorescence intensities were divided by the initial fluorescence, and the maximum from 12 to 40 seconds after stimulus addition was calculated and labeled 'Value_ConcUnit.'","The raw fluorescence intensities were divided by the initial fluorescence, and the maximum from 12 to 40 seconds after stimulus addition was calculated and labeled 'Value_ConcUnit.'","The raw fluorescence intensities were divided by the initial fluorescence, and the maximum from 12 to 40 seconds after stimulus addition was calculated and labeled 'Value_ConcUnit.'","The raw fluorescence intensities were divided by the initial fluorescence, and the maximum from 12 to 40 seconds after stimulus addition was calculated and labeled 'Value_ConcUnit.'","The raw fluorescence intensities were divided by the initial fluorescence, and the maximum from 12 to 40 seconds after stimulus addition was calculated and labeled 'Value_ConcUnit.'","The raw fluorescence intensities were divided by the initial fluorescence, and the maximum from 12 to 40 seconds after stimulus addition was calculated and labeled 'Value_ConcUnit.'",Mean of the vehicle control (Assay Buffer + 0.1% DMSO) on a per-plate basis,Standard deviation of the vehicle control (Assay Buffer + 0.1% DMSO) on a per-plate basis,Mean of the KK3118 control on a per-plate basis,Standard deviation of the KK3118 control on a per-plate basis,Z factor calculation of vehicle and KK3118 control populations. (http://en.wikipedia.org/wiki/Z-factor),R statistics reports TRUE when algorithm converges on an equation with a fit value; Otherwise R statistics reports FALSE,"Qualitative assessment of the quality of the curve. Options are fit, trend, and no fit","If the fit converged, then this is the calculated value for the bottom parameter",Standard error for the calculated bottom value,p value for the calculated bottom value,"If the fit converged, then this is the calculated value for the top parameter",Standard error for the calculated top value,p value for the calculated top value,"If the fit converged, then this is the calculated value for theLogEC50 parameter",Standard error for the calculated EC50 value,p value for the calculated logEC50,"If the fit converged, then this is the calculated value for the slope parameter",Standard error for the calculated slope value,p value for the calculated slope,EC50 value in micromolar,Standard error for the calculated EC50 value
RESULT_UNIT,,,,,,,,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,MICROMOLAR,MICROMOLAR
RESULT_IS_ACTIVE_CONCENTRATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TRUE,
RESULT_ATTR_CONC_MICROMOL,,,,,,,,30,10,3.34,1.25,0.313,0.122,0.0381,0.0153,0.0381,,,,,,,,,,,,,,,,,,,,,
1,4243096,2155601,CCC1=NN=C(O1)NC(=O)C2=CC=C(C=C2)S(=O)(=O)N(CC)CC3=CC=CC=C3,Inactive,0,,,1.11961,1.29697,2.08378,1.27366,1.91074,1.82924,2.23182,2.40037,2.4259,2.44657,0.179051,1.16453,0.015,0.546,false,No fit,,,,,,,,,,,,,,
2,4245724,3240162,CCC1CCCCN1S(=O)(=O)C2=CC=C(C=C2)C(=O)NC3=NN=C(O3)C4=CC=CS4,Active,100,,,1.20749,1.1242,1.36868,1.96605,2.28796,2.56348,2.57855,2.65485,2.36075,2.44657,0.179051,1.16453,0.015,0.546,true,Fit,1.1282,0.116723,0.000201188,2.5239,0.0671749,2.52e-07,-5.84207,0.1055,3.63e-08,-1.6142,0.616774,0.0472593,1.44,0.152
3,861649,662887,CC1=CC(=C(C=C1Cl)OC)NC(=O)CSC2=NN=C(N2CC3=CC=CO3)C4=CC=CC=N4,Active,100,,,1.11479,1.5106,2.27812,2.36787,2.52662,2.57742,2.63664,2.72204,2.64845,2.44657,0.179051,1.16453,0.015,0.546,true,Trend,0.855664,0.292769,0.0329118,2.62168,0.0459513,3.13e-08,-5.12321,0.149595,3.99e-07,-1.34142,0.402021,0.020627,7.53,1.13
4,14723470,3147857,C1C(OC2=CC=CC=C2O1)C(=O)NC3=CC=C(C=C3)S(=O)(=O)NC4=CC=CC=C4,Active,100,,,1.37776,1.23881,1.86177,2.42073,2.60303,2.15953,2.46519,2.57527,2.61901,2.44657,0.179051,1.16453,0.015,0.546,true,Fit,1.30653,0.139446,0.000233423,2.47528,0.0785662,6.05e-07,-5.47272,0.0674631,5.39e-09,-5.05524,22.4402,0.830682,3.37,0.227
5,14743283,1855370,CCCCN1N=C(N=N1)NC(=O)C2=CC=C(O2)C3=CC(=CC=C3)Cl,Active,100,,,1.1349,1.17395,2.03982,2.42475,2.31511,2.57985,2.25121,2.55939,2.46647,2.44657,0.179051,1.16453,0.015,0.546,true,Trend,1.13417,0.131596,0.000347092,2.43443,0.0542647,1.04e-07,-5.3735,0.114084,8.15e-08,-4.01068,4.25909,0.389595,4.23,0.483
