PUBCHEM_RESULT_TAG,PUBCHEM_SID,PUBCHEM_CID,PUBCHEM_EXT_DATASOURCE_SMILES,PUBCHEM_ACTIVITY_OUTCOME,PUBCHEM_ACTIVITY_SCORE,PUBCHEM_ACTIVITY_URL,PUBCHEM_ASSAYDATA_COMMENT,Average Inhibition at 6.6 uM,Standard Deviation
RESULT_TYPE,,,,,,,,FLOAT,FLOAT
RESULT_DESCR,,,,,,,,Normalized percent inhibition of the screen at a compound concentration of 6.6 micromolar.,Standard deviation derived from the normalized percent activation of the triplicate data for each compound.
RESULT_UNIT,,,,,,,,PERCENT,NONE
RESULT_ATTR_CONC_MICROMOL,,,,,,,,6.6,
1,26658686,4587576,CCOC(=O)C1CCN(CC1)C2=C(C(=O)C3=CC=CC=C3C2=O)NS(=O)(=O)C4=CC=C(C=C4)Cl,Active,100,,,118.7,3.29762
2,56316493,24979400,CSC1=CC=CC(=C1)N2CC(CC2=O)C(=O)NCCN3C(=O)/C(=C/C4=CN=CC=C4)/SC3=O,Active,94,,,112.35,4.08725
3,49641834,16875665,CC[N+]1=C2C=C(C=CC2=NC3=CC=CC=C31)N(CC)CC.[I-],Active,92,,,110.21,12.8577
4,26662627,607082,CC(=O)NC1=CC2=NC3=CC=CC=C3N=C2C=C1,Active,92,,,109.7,5.65897
5,24809272,2851304,CN1C2=CC=CC=C2N=C1N=NC3=CC=C(C=C3)N(C)C,Active,90,,,106.98,2.13488
6,56316736,24979561,COC1=CC(=C(C=C1)N2CC(CC2=O)C(=O)NCCN3C(=O)/C(=C/C4=CN=CC=C4)/SC3=O)OC,Active,89,,,106.43,4.49871
7,49724792,4089709,C1=CC=C2C(=C1)C(=O)N(S2)C3=CC(=CC=C3)S(=O)(=O)NC4=CC=CC=C4C(=O)O,Active,86,,,102.89,0.481177
8,17408655,1717232,CCN1C2=C(C=C(C=C2)NC(=O)C3=CC(=CC=C3)OC)C4=CC=CC=C41,Active,86,,,102.58,2.00019
9,3713616,2124414,CC1=C(C(=NO1)C)COC(=O)C2=CC3=C(C=C2)C(=O)C4=CC=CC=C4S3(=O)=O,Active,86,,,102.34,2.20442
10,845167,647501,CCN1C2=NC(=O)N(C(=O)C2=NC(=N1)C3=CC=CC=C3)C,Active,85,,,101.73,7.68164
11,14738320,9551386,CC(=O)C1=CC(=CC=C1)NC(=O)C2CCCN2S(=O)(=O)C3=CC=CC4=NSN=C43,Active,85,,,101.41,2.32953
12,24814900,511526,C1=CC=C2C(=C1)C(=C(N2)O)N=NC(=O)C3=CC=CS3,Active,85,,,101.39,2.15464
13,17414686,682575,C/C(=C/C1=CC=CC=C1)/C=C/2\C(=O)N=C(S2)N3CCOCC3,Active,85,,,101.17,1.50069
14,3714377,2555366,CC1=CN=C(S1)NC(=O)C2=CC=C(O2)C3=NC4=CC=CC=C4S3,Active,84,,,100.69,0.606215
15,24802047,727719,C1=CC=C2C(=C1)C(=C(N2)O)N=NC(=O)C3=CC=CO3,Active,83,,,99.05,6.29584
16,49643589,1103612,CC(=O)OC1=CC=CC(=C1)N2C(=O)C3=C4C(=C(C=C3)[N+](=O)[O-])C=CC=C4C2=O,Active,83,,,98.97,16.6308
17,3711499,2997660,C1COC(=O)C1OC(=O)C2=CC=C(S2)C3=NC4=CC=CC=C4S3,Active,82,,,98.5,1.41356
18,4256085,1246947,CC1=C(SC(=N1)NC(=O)C2=CC3=C(S2)CCCC3)C(=O)OC,Active,82,,,98.36,1.9812
19,26661696,2833927,CC(=O)N(C1=CC=C(C=C1)C(=O)O)C2=C(C(=O)C3=CC=CC=C3C2=O)N4CCOCC4,Active,82,,,98.12,6.2242
20,4254756,976322,COC1=C(C=C(C=C1)C2=NC3=CC=CC=C3S2)O,Active,82,,,97.8,0.906671
21,4260863,723043,C1=CC=C2C(=C1)C=CC(=N2)C3=NC4=CC=CC=C4O3,Active,82,,,97.75,1.38701
22,26731501,135448401,CC1=CC(=NC2=C1C(=C(S2)C(=O)N/N=C/C3=CC(=C(C=C3)O)OC)N)C,Active,82,,,97.66,0.875345
