PUBCHEM_RESULT_TAG,PUBCHEM_SID,PUBCHEM_CID,PUBCHEM_EXT_DATASOURCE_SMILES,PUBCHEM_ACTIVITY_OUTCOME,PUBCHEM_ACTIVITY_SCORE,PUBCHEM_ACTIVITY_URL,PUBCHEM_ASSAYDATA_COMMENT,IC50_Qualifier,IC50,Std.Err(IC50),nH,Excluded_Points_first_point,% Activity at 20 uM_first_point,% Activity at 10 uM_first_point,% Activity at 5 uM_first_point,% Activity at 2.5 uM_first_point,% Activity at 1.25 uM_first_point,% Activity at 0.625 uM_first_point,% Activity at 0.3125 uM_first_point,% Activity at 0.15625 uM_first_point,% Activity at 0.078125 uM_first_point,% Activity at 0.0390625 uM_first_point,Excluded_Points_second_point,% Activity at 20 uM_second_point,% Activity at 10 uM_second_point,% Activity at 5 uM_second_point,% Activity at 2.5 uM_second_point,% Activity at 1.25 uM_second_point,% Activity at 0.625 uM_second_point,% Activity at 0.3125 uM_second_point,% Activity at 0.15625 uM_second_point,% Activity at 0.078125 uM_second_point,% Activity at 0.0390625 uM_second_point,Excluded_Points_third_point,% Activity at 20 uM_third_point,% Activity at 10 uM_third_point,% Activity at 5 uM_third_point,% Activity at 2.5 uM_third_point,% Activity at 1.25 uM_third_point,% Activity at 0.625 uM_third_point,% Activity at 0.3125 uM_third_point,% Activity at 0.15625 uM_third_point,% Activity at 0.078125 uM_third_point,% Activity at 0.0390625 uM_third_point
RESULT_TYPE,,,,,,,,STRING,FLOAT,FLOAT,FLOAT,STRING,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,STRING,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,STRING,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT
RESULT_DESCR,,,,,,,,"This qualifier is to be used with the next TID, IC50_1_Range1. If qualifier is =, the IC50 result equals the value in that column. If the qualifier is >, the IC50 result is greater than that value. If the qualifier is <, the IC50 result is smaller than that value",IC50 value determined using sigmoidal dose response equation,Standard Error of IC50 value,Hill coefficient determined using sigmoidal dose response equation,Flags to indicate which of the first dose-response points were excluded from analysis. (1) means the titration point was excluded and (0) means the point was not excluded.,% inhibition at the test concentration,% inhibition at the test concentration,% inhibition at the test concentration,% inhibition at the test concentration,% inhibition at the test concentration,% inhibition at the test concentration,% inhibition at the test concentration,% inhibition at the test concentration,% inhibition at the test concentration,% inhibition at the test concentration,Flags to indicate which of the first dose-response points were excluded from analysis. (1) means the titration point was excluded and (0) means the point was not excluded.,% inhibition at the test concentration,% inhibition at the test concentration,% inhibition at the test concentration,% inhibition at the test concentration,% inhibition at the test concentration,% inhibition at the test concentration,% inhibition at the test concentration,% inhibition at the test concentration,% inhibition at the test concentration,% inhibition at the test concentration,Flags to indicate which of the first dose-response points were excluded from analysis. (1) means the titration point was excluded and (0) means the point was not excluded.,% inhibition at the test concentration,% inhibition at the test concentration,% inhibition at the test concentration,% inhibition at the test concentration,% inhibition at the test concentration,% inhibition at the test concentration,% inhibition at the test concentration,% inhibition at the test concentration,% inhibition at the test concentration,% inhibition at the test concentration
RESULT_UNIT,,,,,,,,NONE,MICROMOLAR,MICROMOLAR,NONE,NONE,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT,NONE,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT,NONE,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT
RESULT_IS_ACTIVE_CONCENTRATION,,,,,,,,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RESULT_ATTR_CONC_MICROMOL,,,,,,,,,,,,,20,10,5,2.5,1.25,0.625,0.3125,0.15625,0.078125,0.0390625,,20,10,5,2.5,1.25,0.625,0.3125,0.15625,0.078125,0.0390625,,20,10,5,2.5,1.25,0.625,0.3125,0.15625,0.078125,0.0390625
1,56424129,2913535,CN1CCN(CC1)CCCN2C3=CC=CC=C3SC4=C2C=C(C=C4)C(F)(F)F.Cl,Inactive,41,,,>,20,,,"0,0,0,0,0,0,0,0,0,0",58.4866,42.6757,18.4599,4.03954,-4.92166,-7.92933,-9.84002,-4.06159,-4.16974,2.72626,"0,0,0,0,0,0,0,0,0,0",60.2376,36.166,16.0908,5.03352,1.54689,-8.85635,-7.57912,-6.59545,-0.137202,4.51335,"0,0,0,0,0,0,0,0,0,0",52.0541,35.3111,12.4548,1.00612,-8.06323,-8.25379,-7.55337,-1.30628,9.10211,-2.1509
2,848826,651279,C1=CC=C2C(=C1)C(=O)N(C2=O)CCCCCC(=O)NCCC3=NC4=CC=CC=C4N3,Inactive,41,,,>,20,,,"0,0,0,0,0,0,0,0,0,0",44.8439,29.5069,15.9672,16.3844,9.31326,9.79738,-0.45136,1.85074,1.59839,3.28248,"0,0,0,0,0,0,0,0,0,0",45.91,25.8863,11.9965,1.63959,7.24292,5.07472,8.12359,11.7338,11.2291,10.3639,"0,0,0,0,0,0,0,0,0,0",45.3435,21.004,7.75278,10.8377,8.21114,0.82587,0.949473,1.49023,3.30308,6.13564
3,4243390,3238119,CC1=CC=C(C=C1)C2=NOC(=N2)CCC(=O)NC3=CC=CC=C3N4CCN(CC4)C,Inactive,41,,,>,20,,,"0,0,0,0,0,0,0,0,0,0",70.9138,53.424,27.8434,18.9543,9.91583,14.5509,11.4248,9.77163,9.29781,7.89183,"0,0,0,0,0,0,0,0,0,0",71.9181,51.9459,27.3129,14.8187,16.7706,13.8608,11.2755,9.53472,5.91934,6.7691,"0,0,0,0,0,0,0,0,0,0",71.434,54.4077,30.336,18.3363,12.7587,14.0411,10.7913,13.1707,11.5278,8.66435
4,4247687,3241862,CCNC(=O)C1=CC=CC=C1NC(=O)C2=CC(=CC=C2)S(=O)(=O)N3CCC(CC3)C,Inactive,41,,,>,20,,,"0,0,0,0,0,0,0,0,0,0",43.4379,23.7593,5.72363,1.51598,-8.7997,-7.39887,-8.30529,-5.99289,-5.70448,2.64386,"0,0,0,0,0,0,0,0,0,0",36.5316,24.3516,7.82488,-0.832468,-11.4469,-7.93963,-14.0013,-8.6761,-1.00757,-0.415309,"0,0,0,0,0,0,0,0,0,0",40.6105,19.4126,4.77601,1.58809,-7.42462,-7.29072,-10.1233,-8.81515,1.33573,-5.82293
5,14733438,1604314,CCOC(=O)C1=C(O/C(=C(/C(=O)OC)\C(F)(F)F)/S1)C2=CC=CC=C2,Inactive,41,,,>,20,,,"0,0,0,0,0,0,0,0,0,0",44.2156,27.9155,19.2993,3.74084,11.945,3.75114,4.47215,3.75114,12.4033,15.6531,"0,0,0,0,0,0,0,0,0,0",42.5418,36.6604,20.4375,12.7793,11.1879,15.3956,-3.22212,13.2016,11.9656,12.5475,"0,0,0,0,0,0,0,0,0,0",48.1503,38.0921,31.9274,17.0384,13.1192,8.28839,6.15109,12.5424,10.1115,12.9544
