PUBCHEM_RESULT_TAG,PUBCHEM_SID,PUBCHEM_CID,PUBCHEM_EXT_DATASOURCE_SMILES,PUBCHEM_ACTIVITY_OUTCOME,PUBCHEM_ACTIVITY_SCORE,PUBCHEM_ACTIVITY_URL,PUBCHEM_ASSAYDATA_COMMENT,AvPercentage
RESULT_TYPE,,,,,,,,FLOAT
RESULT_DESCR,,,,,,,,Average percent of the duplicates of each test compound readout (Percentage (%)) at a concentration of 10 uM.
RESULT_UNIT,,,,,,,,NONE
RESULT_ATTR_CONC_MICROMOL,,,,,,,,10
1,17432516,135425030,C1=CC=C(C=C1)C(=O)N/N=C/C2=C(C3=CC=CC=C3S2)O,Active,99,http://www.jhicc.org/,,-81.465
2,22413392,4170685,COC1=CC=CC(=C1)C2CC3C(=O)C=CC2N3CC4=CC=CC=C4,Active,97,http://www.jhicc.org/,,-58.855
3,7969549,2991558,CCCCN1C(=NC2=C1C(=O)N(C(=O)N2C)C)CN3CCN(CC3)C4=CC=CC=C4,Active,94,http://www.jhicc.org/,,-41.885
4,26658311,135458240,C1=CC=C(C=C1)C2=CSC(=N2)/C(=C(/CCl)\O)/C#N,Active,92,http://www.jhicc.org/,,-31.815
5,17410905,2894099,C1=CC=C2C(=C1)C(C(=O)N2)(C3=CC=C(C=C3)N)C4=CC=C(C=C4)N,Active,91,http://www.jhicc.org/,,-27.465
6,49734953,22588316,C1CC(OC1)CNC(=O)C2=C3NC(=O)C4=C(N3C(=S)S2)C=C(C=C4)C(=O)NCCC5=CC=CC=C5,Active,90,http://www.jhicc.org/,,-19.425
7,47195134,1221759,C1=CC=C2C(=C1)N=CC(=N2)NS(=O)(=O)C3=CC=C(C=C3)NC(=O)C4=C(C=C(C=C4)Cl)Cl,Active,88,http://www.jhicc.org/,,-9.535
8,26725885,6385598,C1=CC(=CC=C1N/N=C(\C#N)/C(=S)N)[N+](=O)[O-],Active,88,http://www.jhicc.org/,,-9.755
9,7970747,4885829,CN1C2=C(C(=O)N(C1=O)C)N(C(=N2)CN3CCN(CC3)C4=CC=C(C=C4)F)CC(=O)OC,Active,88,http://www.jhicc.org/,,-12.14
10,49735744,20912379,C1CCC2=NC3=C(N2CC1)N=CN=C3N4CCCC(C4)C(=O)N5CCN(CC5)C6=CC=CC=C6F,Active,88,http://www.jhicc.org/,,-10.595
11,49827169,2948133,CC1=CC=C(C=C1)S(=O)(=O)N(CC(COC2=CC=C(C=C2)N(C)C(=O)C)O)C3=CC=CC=C3C,Active,88,http://www.jhicc.org/,,-11.255
12,22405070,15945037,C=CC[C@H]1CC(=C[C@@H](N1)CC=C)CC2=CC=CC=C2.Cl,Active,88,http://www.jhicc.org/,,-13.18
13,7969707,4891472,CCCN1C(=NC2=C1C(=O)N(C(=O)N2C)C)CN3CCN(CC3)C4=CC(=CC=C4)Cl,Active,88,http://www.jhicc.org/,,-12.655
14,49720529,24791264,C1CCC(CC1)NC(=O)C2=CC=C(C=C2)OC3CCN(CC3)CC4=CC=CC=N4,Active,87,http://www.jhicc.org/,,-6.26
15,26659382,16681822,CCCCCC1=CC(=C(C=C1)OCCC[N+]2=CC=CC=C2)CCCCC.[Cl-],Active,87,http://www.jhicc.org/,,-5.485
16,14740670,1189526,C1=CC=C(C=C1)OC(=O)CS(=O)C2=C(C=C(C=C2)C(F)(F)F)[N+](=O)[O-],Active,87,http://www.jhicc.org/,,-5.66
17,7970492,3341719,CN1C2=C(C(=O)N(C1=O)C)N(C(=N2)CN3CCN(CC3)C4=CC(=CC=C4)Cl)CCOC,Active,87,http://www.jhicc.org/,,-5.565
