PUBCHEM_RESULT_TAG,PUBCHEM_SID,PUBCHEM_CID,PUBCHEM_EXT_DATASOURCE_SMILES,PUBCHEM_ACTIVITY_OUTCOME,PUBCHEM_ACTIVITY_SCORE,PUBCHEM_ACTIVITY_URL,PUBCHEM_ASSAYDATA_COMMENT,AC50_Qualifier,AC50_uM,pAC50_M,Hill_Slope,S0_(%),Sinf_(%),Num_Points,Max_Activity_(%),Max_Activity_Conc_uM,Max_Concentration_uM,Activity_at_0.015uM_(%),Activity_at_0.046uM_(%),Activity_at_0.135uM_(%),Activity_at_0.42uM_(%),Activity_at_1.2uM_(%),Activity_at_3.8uM_(%),Activity_at_11uM_(%),Activity_at_35uM_(%)
RESULT_TYPE,,,,,,,,STRING,FLOAT,STRING,FLOAT,FLOAT,FLOAT,INTEGER,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT
RESULT_DESCR,,,,,,,,"'>','=', or '<'",The concentration at which activity reaches 50% of the maximum,Equal to -1*log10(AC50),The slope at AC50,The fitted activity value at zero concentration,The fitted activity value at infinite concentration,The number of data points used to generate the plot,"The maximum activity value observed, based on mean of replicates per concentration",The concentration at which the maximum activity is observed,Maximum valid test concentration,The average measured activity of all accepted replicates at the specified concentration,The average measured activity of all accepted replicates at the specified concentration,The average measured activity of all accepted replicates at the specified concentration,The average measured activity of all accepted replicates at the specified concentration,The average measured activity of all accepted replicates at the specified concentration,The average measured activity of all accepted replicates at the specified concentration,The average measured activity of all accepted replicates at the specified concentration,The average measured activity of all accepted replicates at the specified concentration
RESULT_UNIT,,,,,,,,NONE,MICROMOLAR,NONE,NONE,PERCENT,PERCENT,NONE,PERCENT,MICROMOLAR,MICROMOLAR,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT
RESULT_IS_ACTIVE_CONCENTRATION,,,,,,,,,TRUE,,,,,,,,,,,,,,,,
RESULT_ATTR_CONC_MICROMOL,,,,,,,,,,,,,,,,,,0.015,0.046,0.135,0.42,1.2,3.8,11,35
1,3711595,2997702,CC1(C[N+]2=C(N1C3=CC=C(C=C3)OC)CCC4=CC=CC=C42)O.[Br-],Inactive,0,,,,,,,-2.251,-2.251,16,-5.829,0.015,35,-5.829,-4.597,0.863,-0.99,-0.342,-2.257,-2.73,-2.124
2,56463206,11957703,C=CCN1CCC2=CC(=C(C=C2C(C1)C3=CC=CC=C3)O)O.Br,Inactive,0,,,,,,,-10.573,-10.573,16,-17.949,0.135,35,-16.327,-12.511,-17.949,-15.696,-12.787,-5.966,-3.101,-0.248
3,89853302,4841521,CC1=C(C(=NC=C1Cl)NC(=O)COC(=O)C(CCSC)NC(=O)C2=CC=CO2)Cl,Inactive,0,,,,,,,3.416,3.416,15,5.625,0.046,35,2.236,5.625,2.075,0.923,2.046,5.187,5.201,5.142
4,17506932,2910654,CC1=CC(=C(C=C1)NS(=O)(=O)C2=CC=C(C=C2)NC(=O)C(C)SC3=CC=C(C=C3)Cl)C,Inactive,0,,,,,,,2.639,2.639,16,8.071,0.135,35,3.823,6.26,8.071,5.635,3.845,-2.159,-3.292,-1.069
5,99361053,328867,COC1=C(C=CC(=C1)C=C2CCCC(=CC3=CC(=C(C=C3)OCC4CO4)OC)C2=O)OCC5CO5,Inconclusive,0,,,,,,,,,14,-99.305,35,35,0.872,1.669,-0.108,-2.036,15.502,,-82.868,-99.305
6,22404371,5181726,CN1C(=O)C(SC1=NC2=CC=CC=C2)CC(=O)NC3CCCCC3,Inactive,0,,,,,,,-6.459,-6.459,16,-15.855,0.015,35,-15.855,-12.953,-8.915,-7.96,-4.038,-1.512,-2.452,2.017
7,49668843,3782913,C1CC1C(=O)N2C(CC(=N2)C3=CC=C(C=C3)Br)(C(F)(F)F)O,Inactive,0,,,,,,,-5.163,-5.163,14,-17.931,0.046,35,-12.527,-17.931,-4.535,-3.528,-5.039,3.648,2.616,-10.08
8,99358358,303610,CC(=O)C1=CCC2C1(OC(=O)CC3C2CCC4C3(CCC(C4)OC(=O)C)C)C,Active,58,,,=,1.65,5.784,1.056,0,-100,16,-100.606,11,35,-0.475,-1.172,-15.98,-19.52,-40.93,-61.702,-100.606,-100.5
9,14735533,9550758,CCC(=O)OC1C2=CC=CC=C2C(=O)N1CC3=CC=CC=C3,Inactive,0,,,,,,,-4.192,-4.192,16,-10.748,11,35,1.36,2.785,-1.292,-7.594,-5.126,-5.44,-10.748,-7.481
10,49718368,24790147,C1CCCN(CC1)C(=O)C2CCC(=O)N(C2)CCC3=CC=C(C=C3)Cl,Inactive,0,,,,,,,-4.562,-4.562,16,16.509,35,35,-15.417,-8.083,-9.801,-7.762,-12.674,-2.858,3.594,16.509
11,49723782,20912340,COC1=CC=CC=C1N2CCN(CC2)CCCNC(=O)C3CCCN(C3)C4=NC=NC5=C4N=C6N5CCCCC6,Inactive,0,,,,,,,0.363,0.363,15,-8.268,0.046,35,-3.127,-8.268,2.868,2.867,1.511,-0.123,2.609,0.249
12,844240,6602590,CC(C)CC(C1=NN=NN1CCOC)N2CCN(CC2)CC=C.Cl,Inactive,0,,,,,,,-2.038,-2.038,14,-12.913,3.8,35,0.96,4.993,4.066,-0.513,-2.092,-12.913,-4.383,-11.097
13,17431453,3197170,CC1=CC=C(C=C1)C(C(=O)NC2CCCC2)N(CC3=CC=C(C=C3)OC)C(=O)C4=NSC(=C4Cl)Cl,Inactive,0,,,,,,,-0.699,-0.699,16,-7.991,0.42,35,2.302,-5.146,0.631,-7.991,5.031,-2.632,4.918,-2.707
14,49820189,5901949,COC1=CC(=CC(=C1OC)OC)C2=C3C(=CC(=N2)C(=O)NCC4CCCO4)C5=CC=CC=C5N3,Active,44,,,=,37.8,4.423,0.909,-2.239,-100,16,-48.446,35,35,-2.636,0.245,-4.306,-5.802,-7.559,-8.22,-29.644,-48.446
15,51086611,18561471,CC1=CC=C(C=C1)CNC(=O)C(=O)NCC2N(CCO2)S(=O)(=O)C3=CC=C(C=C3)Cl,Inactive,0,,,,,,,-4.342,-4.342,15,-10.034,11,35,-3.182,1.195,0.381,-5.062,-2.503,-6.25,-10.034,-9.637
16,22403080,3687124,CCOC1=C(C=CC(=C1)C(=O)OC(C)C(=O)NC2=C(C=C(C=N2)Cl)Cl)OCC(=O)N3CCOCC3,Inactive,0,,,,,,,0.722,0.722,15,8.921,35,35,4.136,-0.254,-4.663,-7.284,-0.16,-1.567,2.644,8.921
17,24797461,3155139,CCC(C(=O)NC1CCSC1=O)OC2=CC=CC=C2,Inactive,0,,,,,,,1.664,1.664,16,3.664,0.42,35,2.378,2.266,3.447,3.664,-0.115,-0.774,1.556,0.894
18,103074497,2922130,CCN(CC)C1=CC=C(C=C1)C(C2=C(C3=C(C=CC=N3)C=C2)O)NC(=O)C(C)C,Active,51,,,=,7.26,5.139,4,-1.103,-87.534,15,-84.978,35,35,-2.203,1.156,-0.996,-4.433,-4.946,7.601,-77.707,-84.978
19,99356748,46902664,CC(C)CC1C(=O)N(CCS(=O)(=O)N1CC2=CC=C(C=C2)C3=CN=C(C=C3)F)CC4=CN(N=N4)CC5CCCCC5,Active,45,,,=,32.8,4.484,0.963,7.501,-100,16,-48.905,35,35,5.596,11.229,8.047,6.3,-2.274,-3.45,-18.593,-48.905
20,22406771,5253159,CC1=C(SC2=NC=NC(=C12)NCC3COC4=CC=CC=C4O3)C,Active,44,,,=,35.89,4.445,0.521,-9.836,-100,15,-54.893,35,35,-10.926,-12.409,-11.762,-22.001,-21.548,-29.948,-41.833,-54.893
21,4244118,3238761,COC1=C(C=C(C=C1)C2CC(N3C(=C(C=N3)C(=O)NCC4=CN=CC=C4)N2)C(F)(F)F)OC,Inactive,0,,,,,,,-8.238,-8.238,16,-12.311,1.2,35,-6.774,-9.395,-5.088,-4.437,-12.311,-7.559,-10.786,-9.551
22,26662404,3801957,CCSC1=C(C(CC(=O)N1)C2=CC=C(O2)C)C#N,Inactive,0,,,,,,,0.963,0.963,16,10.679,0.135,35,2.548,5.979,10.679,-1.462,-1.632,-4,-1.343,-3.062
23,49727716,3160088,C1C(CN(C1=O)C2=CC(=CC=C2)Cl)C(=O)NCC3=CC=CO3,Inactive,0,,,,,,,1.857,1.857,15,-7.305,11,35,6.996,2.201,5.536,0.776,0.466,1.624,-7.305,-0.017
24,7977732,2864928,CCOC(=O)C1=C(N(C(=O)NC1C2=CC=CC=C2OC)C)C,Inactive,0,,,,,,,-5.756,-5.756,16,15.266,35,35,-12.715,-11.824,-6.257,-10.134,-10.421,-9.756,-0.208,15.266
25,4242721,3237540,C1CCC(=CC1)CCNC(=O)CN2C(=O)C3C4CC(C3C2=O)C=C4,Inactive,0,,,,,,,-3.576,-3.576,14,-24.263,0.046,35,-20.436,-24.263,-6.382,-1.415,2.655,-1.161,6.947,21.792
26,4255094,2946325,C1COCCN1C(=O)CC(C2=CC=C(C=C2)F)C3=CC=CO3,Inactive,0,,,,,,,7.48,7.48,16,15.165,0.015,35,15.165,10.218,8.524,2.325,-2.352,1.612,9.647,14.704
27,87344148,3237109,CC(C)C(CC(=O)NCC1=CC=CO1)NS(=O)(=O)C2=CC=C(C=C2)OC,Inactive,0,,,,,,,-8.655,-8.655,16,-16.145,0.046,35,-9.556,-16.145,-4.168,-9.429,-8.811,-8.426,-1.882,-10.826
28,49713779,24789213,C1CN(CCC1NC2=C(C=C(C=C2)C(CC(=O)N)NC(=O)C3=CC=CC=C3)[N+](=O)[O-])CC4=CC=CC=C4,Inactive,0,,,,,,,-6.618,-6.618,16,-11.388,35,35,-2.682,-6.608,-4.67,-7.825,-6.899,-5.032,-7.842,-11.388
29,855975,6603067,CN1[C@@H]2CC[C@H]1CC(C2)OC(=O)C3C=NC4=CC=CC=C34.Cl,Inactive,0,,,,,,,8.711,8.711,16,36.57,35,35,6.478,-0.121,3.574,1.477,4.906,3.148,13.656,36.57
30,24826059,3527455,CCOC(=O)C1=C(NC(=C(C1C(=O)OCC(=O)N(C)C2CCS(=O)(=O)C2)C(=O)OCC)C)C,Inconclusive,0,,,,,,,,,16,-32.147,0.015,35,-32.147,-19.604,14.376,16.481,9.198,4.228,0.813,5.38
31,24807653,3179258,CC1=CC=C(O1)C2=NN(N=N2)CC(=O)N(CC3=CC=CO3)C(C4=CC=NC=C4)C(=O)NC(C)(C)C,Inactive,0,,,,,,,-9.863,-9.863,16,-34.034,0.046,35,-21.369,-34.034,-10.316,-4.208,-1.864,-2.894,-5.102,0.887
32,14737351,4208276,CCC(C)N1C(CCC1=O)C(=O)N2CCN(CC2)C3=CC=C(C=C3)F,Inactive,0,,,,,,,6.466,6.466,16,12.268,0.42,35,2.328,11.919,7.027,12.268,6.255,5.404,4.534,1.995
33,22412807,15945649,COC1=CC=C(C=C1)NC2=NCC(S2)CC3=CC=C(C=C3)Br,Active,37,,,=,182.65,3.738,0.5,2.508,-100,16,-26.874,35,35,3.934,-2.288,2.794,-1.483,-5.381,-15.369,-17.397,-26.874
34,17515931,4833625,CC1CC2=CC=CC=C2N1C(=O)C(C)SC3=NC(=CS3)C4=CC=C(C=C4)F,Active,39,,,=,117.25,3.931,1.661,0.478,-100,15,-11.409,35,35,4.593,-2.54,-1.911,0.997,1.266,0.11,-1.564,-11.409
35,49643371,2922048,CCCCC(=O)NC(C1=C(C=C(C=C1)Cl)Cl)C2=C(C3=C(C=CC=N3)C=C2)O,Active,53,,,=,4.57,5.340,4,0.788,-91.737,16,-91.145,35,35,2.973,-1.369,2.52,1.991,-2.736,-28.798,-89.753,-91.145
36,47202972,2922086,CC(=O)NC(C1=CC=C(C=C1)OC)C2=CC(=C3C=CC=NC3=C2O)Cl,Active,54,,,=,4.38,5.359,1.386,-5.504,-100,16,-98.273,35,35,0.5,-12.321,-2.985,-10.724,-21.318,-45.962,-79.657,-98.273
37,85271849,44246522,COC(=O)C1C2CC[C@H](N2)CC1OC(=O)C3=CC=CC=C3,Inactive,0,,,,,,,-0.619,-0.619,15,-6.364,1.2,35,0.886,-5.516,0.134,-0.923,-6.364,4.371,1.971,1.781
38,842498,644769,CC1=C2C(C(=C(OC2=NN1)N)C#N)C3=C(N(N=C3C)C4=CC=CC=C4)Cl,Active,52,,,=,7.01,5.154,2.142,4.077,-100,16,-93.596,35,35,7.254,3.37,5.123,1.747,-0.545,-16.657,-72.582,-93.596
