PUBCHEM_RESULT_TAG,PUBCHEM_SID,PUBCHEM_CID,PUBCHEM_EXT_DATASOURCE_SMILES,PUBCHEM_ACTIVITY_OUTCOME,PUBCHEM_ACTIVITY_SCORE,PUBCHEM_ACTIVITY_URL,PUBCHEM_ASSAYDATA_COMMENT,IC50_Mean_Qualifier,IC50_Mean,IC50_Qualifier_1_Range1,IC50_1_Range1,Std.Err(IC50)_1_Range1,nH_1_Range1,Excluded_Points_first_point_Range1,% Activity at 66 uM_first_point_Range1,% Activity at 33 uM_first_point_Range1,% Activity at 16.5 uM_first_point_Range1,% Activity at 8.25 uM_first_point_Range1,% Activity at 4.125 uM_first_point_Range1,IC50_Qualifier_2_Range1,IC50_2_Range1,Std.Err(IC50)_2_Range1,nH_2_Range1,Excluded_Points_second_point_Range1,% Activity at 66 uM_second_point_Range1,% Activity at 33 uM_second_point_Range1,% Activity at 16.5 uM_second_point_Range1,% Activity at 8.25 uM_second_point_Range1,% Activity at 4.125 uM_second_point_Range1,IC50_Qualifier_1_Range2,IC50_1_Range2,Std.Err(IC50)_1_Range2,nH_1_Range2,Excluded_Points_first_point_Range2,% Activity at 66 uM_first_point_Range2,% Activity at 33 uM_first_point_Range2,% Activity at 16.5 uM_first_point_Range2,% Activity at 8.25 uM_first_point_Range2,% Activity at 4.125 uM_first_point_Range2,% Activity at 2.0625 uM_first_point_Range2,% Activity at 1.03125 uM_first_point_Range2,% Activity at 0.515625 uM_first_point_Range2,% Activity at 0.2578125 uM_first_point_Range2,% Activity at 0.1289062 uM_first_point_Range2
RESULT_TYPE,,,,,,,,STRING,FLOAT,STRING,FLOAT,FLOAT,FLOAT,STRING,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,STRING,FLOAT,FLOAT,FLOAT,STRING,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,STRING,FLOAT,FLOAT,FLOAT,STRING,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT
RESULT_DESCR,,,,,,,,"This qualifier is to be used with the next TID, IC50. If the qualifier is =, the IC50 result equals the value in that column. If the qualifier is >, the IC50 result is greater than that value. If the qualifier is <, the IC50 result is smaller than that value",IC50 value determined using a sigmoidal dose response equation,"This qualifier is to be used with the next TID, . If the qualifier is =, the IC50 result equals the value in that column. If the qualifier is >, the IC50 result is greater than that value. If the qualifier is <, the IC50 result is smaller than that value",IC50 value determined using a sigmoidal dose response equation,Standard Error of the IC50 value,Hill coefficient determined using sigmoidal dose response equation,Flags to indicate which of the dose-response points were excluded from analysis. (1) means the titration point was excluded and (0) means the point was not excluded.,% Activity at the test concentration,% Activity at the test concentration,% Activity at the test concentration,% Activity at the test concentration,% Activity at the test concentration,"This qualifier is to be used with the next TID, . If the qualifier is =, the IC50 result equals the value in that column. If the qualifier is >, the IC50 result is greater than that value. If the qualifier is <, the IC50 result is smaller than that value",IC50 value determined using a sigmoidal dose response equation,Standard Error of the IC50 value,Hill coefficient determined using sigmoidal dose response equation,Flags to indicate which of the dose-response points were excluded from analysis. (1) means the titration point was excluded and (0) means the point was not excluded.,% Activity at the test concentration,% Activity at the test concentration,% Activity at the test concentration,% Activity at the test concentration,% Activity at the test concentration,"This qualifier is to be used with the next TID, . If the qualifier is =, the IC50 result equals the value in that column. If the qualifier is >, the IC50 result is greater than that value. If the qualifier is <, the IC50 result is smaller than that value",IC50 value determined using a sigmoidal dose response equation,Standard Error of the IC50 value,Hill coefficient determined using sigmoidal dose response equation,Flags to indicate which of the dose-response points were excluded from analysis. (1) means the titration point was excluded and (0) means the point was not excluded.,% Activity at the test concentration,% Activity at the test concentration,% Activity at the test concentration,% Activity at the test concentration,% Activity at the test concentration,% Activity at the test concentration,% Activity at the test concentration,% Activity at the test concentration,% Activity at the test concentration,% Activity at the test concentration
RESULT_UNIT,,,,,,,,NONE,MICROMOLAR,NONE,MICROMOLAR,MICROMOLAR,NONE,NONE,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT,NONE,MICROMOLAR,MICROMOLAR,NONE,NONE,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT,NONE,MICROMOLAR,MICROMOLAR,NONE,NONE,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT
RESULT_IS_ACTIVE_CONCENTRATION,,,,,,,,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RESULT_ATTR_CONC_MICROMOL,,,,,,,,,,,,,,,66,33,16.5,8.25,4.125,,,,,,66,33,16.5,8.25,4.125,,,,,,66,33,16.5,8.25,4.125,2.0625,1.03125,0.515625,0.257812,0.128906
1,7977477,1073972,COC1=CC=C(C=C1)NC(=O)CSC2=NC(=C(C(=O)N2)CC3=CC=CC=C3)O,Inactive,41,,,>,66,>,66,,,"0,0,0,0,0",18.0769,11.1176,10.2477,6.33313,8.50789,>,66,,,"0,0,0,0,0",17.6799,13.6574,10.6663,17.6799,20.4648,,,,,,,,,,,,,,,
2,4248968,3242977,CC1=CC2=C(N1C)C=CC(=C2)CNC(=O)C3=CC4=C(C=C3)OCO4,Inactive,41,,,>,66,>,66,,,"0,0,0,0,0",10.2477,5.02828,6.44187,5.02828,4.37585,>,66,,,"0,0,0,0,0",14.4825,12.2134,13.4511,10.46,11.8009,,,,,,,,,,,,,,,
3,22405508,15945063,CN1CCC2=CC3=C(C4=C2[C@H]1[C@@H](C5=CC=CC=C54)O)OCO3.Br,Inactive,41,,,=,25.8,=,40.746,,1,"0,0,0,0,0",92.5609,71.3137,51.201,35.9361,23.6622,=,13.468,,1,"0,0,0,0,0",61.4634,43.1954,29.8206,19.273,8.29042,=,29.589,,0.776,"0,0,0,0,0,0,0,0,0,0",120.218,104.257,77.8345,60.4715,39.7653,40.1967,26.3925,26.9317,19.4904,16.1473
4,22410052,2404972,CCC1=C(C(=CC(=C1)SC#N)C)NC(=O)CCl,Inactive,41,,,>,66,>,66,,,"0,0,0,0,0",6.65935,9.05158,3.17972,5.13701,10.7914,>,66,,,"0,0,0,0,0",10.6663,11.6977,14.8951,12.2134,16.958,,,,,,,,,,,,,,,
5,864508,665752,CN1C(=C(SC1=S)C(=O)NCCC2=CC=C(C=C2)OC)N,Inactive,41,,,>,66,>,66,,,"0,0,0,0,0",8.61663,11.4438,8.18168,6.33313,0.243796,>,66,,,"0,0,0,0,0",16.958,19.2271,11.904,17.2674,8.91288,,,,,,,,,,,,,,,
