PUBCHEM_RESULT_TAG,PUBCHEM_SID,PUBCHEM_CID,PUBCHEM_EXT_DATASOURCE_SMILES,PUBCHEM_ACTIVITY_OUTCOME,PUBCHEM_ACTIVITY_SCORE,PUBCHEM_ACTIVITY_URL,PUBCHEM_ASSAYDATA_COMMENT,IC50_Qualifier,IC50,Std.Err(IC50),nH,Excluded_Points_first_point,% Activity at 80 uM_first_point,% Activity at 40 uM_first_point,% Activity at 20 uM_first_point,% Activity at 10 uM_first_point,% Activity at 5 uM_first_point,% Activity at 2.5 uM_first_point,% Activity at 1.25 uM_first_point,% Activity at 0.625 uM_first_point,% Activity at 0.3125 uM_first_point,% Activity at 0.15625 uM_first_point,Excluded_Points_second_point,% Activity at 80 uM_second_point,% Activity at 40 uM_second_point,% Activity at 20 uM_second_point,% Activity at 10 uM_second_point,% Activity at 5 uM_second_point,% Activity at 2.5 uM_second_point,% Activity at 1.25 uM_second_point,% Activity at 0.625 uM_second_point,% Activity at 0.3125 uM_second_point,% Activity at 0.15625 uM_second_point
RESULT_TYPE,,,,,,,,STRING,FLOAT,FLOAT,FLOAT,STRING,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,STRING,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT
RESULT_DESCR,,,,,,,,"This qualifier is to be used with the next TID, IC50. If the qualifier is =, the IC50 result equals the value in that column. If the qualifier is >, the IC50 result is greater than that value. If the qualifier is <, the IC50 result is smaller than that value",IC50 value determined using a sigmoidal dose response equation,Standard Error of the IC50 value,Hill coefficient determined using sigmoidal dose response equation,Flags to indicate which of the first dose-response points were excluded from analysis. (1) means the titration point was excluded and (0) means the point was not excluded.,% Activity at the test concentration,% Activity at the test concentration,% Activity at the test concentration,% Activity at the test concentration,% Activity at the test concentration,% Activity at the test concentration,% Activity at the test concentration,% Activity at the test concentration,% Activity at the test concentration,% Activity at the test concentration,Flags to indicate which of the second dose-response points were excluded from analysis. (1) means the titration point was excluded and (0) means the point was not excluded.,% Activity at the test concentration,% Activity at the test concentration,% Activity at the test concentration,% Activity at the test concentration,% Activity at the test concentration,% Activity at the test concentration,% Activity at the test concentration,% Activity at the test concentration,% Activity at the test concentration,% Activity at the test concentration
RESULT_UNIT,,,,,,,,NONE,MICROMOLAR,MICROMOLAR,NONE,NONE,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT,NONE,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT
RESULT_IS_ACTIVE_CONCENTRATION,,,,,,,,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,
RESULT_ATTR_CONC_MICROMOL,,,,,,,,,,,,,80,40,20,10,5,2.5,1.25,0.625,0.3125,0.15625,,80,40,20,10,5,2.5,1.25,0.625,0.3125,0.15625
1,14734157,9550563,C1=CC(=C(C=C1N2C(=O)NC3=CC(=C(C=C3N2O)Cl)Cl)Cl)Cl,Active,55,,,=,12,1.15,1.216,"0,0,0,0,0,0,0,0,0,0",87.3095,77.6284,68.7313,45.5586,34.8473,-1.70374,6.87199,-5.13579,5.71115,-9.52232,"0,0,0,0,0,0,0,0,0,0",86.3263,79.959,61.3536,51.946,24.8832,8.89908,-2.69141,15.2068,-3.66208,8.74509
2,17415526,1366188,C1=CC(=CC=C1CC2=CC=NC=C2)NC(=O)C3=CC(=C(C=C3)Cl)[N+](=O)[O-],Active,55,,,=,10.9,1.29,1.232,"0,0,0,0,0,0,0,0,0,0",84.061,78.7195,68.737,51.1683,35.2189,0.761875,-7.78639,-0.552265,-7.76264,-8.91421,"0,0,0,0,0,0,0,0,0,0",79.7493,76.7844,71.0246,50.9975,43.5211,5.23837,-1.16977,-7.07145,8.19533,-3.45517
3,14739832,9613476,COC(=O)C(/C=N/OCC1=CC=C(C=C1)[N+](=O)[O-])NC(=O)C2=C(C=C(C=C2)Cl)Cl,Active,56,,,=,10.4,0.836,1.116,"0,0,0,0,0,0,0,0,0,0",87.4055,77.3849,67.0387,52.9002,37.9094,16.9858,1.66485,0.916726,5.29234,11.458,"0,0,0,0,0,0,0,0,0,0",87.6363,82.5059,67.9704,48.505,37.1799,4.6138,1.39707,3.02688,10.9424,2.0006
4,17517444,5142145,CC(=O)NC(=S)NC1=C(C2=C(S1)CCCCC2)C#N,Active,55,,,=,13.6,2.11,1.04,"0,0,0,0,0,0,0,0,0,0",73.2446,68.3115,71.196,43.3906,27.5706,-1.07196,-11.3822,6.4101,-10.8391,-11.7551,"0,0,0,0,0,0,0,0,0,0",72.2155,72.0947,68.059,51.1516,38.9384,3.70315,3.06631,15.2534,3.1329,-0.813957
5,17434082,896140,C1=CC(=CC(=C1)Cl)CCNC(=O)C2=CC(=C(C=C2)Cl)[N+](=O)[O-],Active,54,,,=,9.95,0.836,1.456,"0,0,0,0,0,0,0,0,0,0",91.334,84.6354,70.194,53.8627,35.0422,6.80232,-5.49678,-8.50085,-6.34609,2.73019,"0,0,0,0,0,0,0,0,0,0",92.0541,84.3873,69.8805,55.8612,31.7831,5.63919,-9.43082,-3.99726,9.96657,5.37256
