PUBCHEM_RESULT_TAG,PUBCHEM_SID,PUBCHEM_CID,PUBCHEM_EXT_DATASOURCE_SMILES,PUBCHEM_ACTIVITY_OUTCOME,PUBCHEM_ACTIVITY_SCORE,PUBCHEM_ACTIVITY_URL,PUBCHEM_ASSAYDATA_COMMENT,ConfValue1,DMSOMean1,DMSOStddev1,EC80Mean1,EC80Stddev1,ECMAXMean1,ECMAXStddev1,Zprime_DMSO_EC80_1,Zprime_DMSO_ECMAX_1,ConfValue2,DMSOMean2,DMSOStddev2,EC80Mean2,EC80Stddev2,ECMAXMean2,ECMAXStddev2,Zprime_DMSO_EC80_2,Zprime_DMSO_ECMAX_2
RESULT_TYPE,,,,,,,,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT
RESULT_DESCR,,,,,,,,minimum fluorescence intensity value subtracted from the maximum fluorescence intensity value for sample 1 of test compound,Mean of the DMSO (vehicle) control for sample 1 calculated on a per plate basis,Standard deviation of the DMSO (vehicle) control for sample 1 calculated on a per plate basis,Mean of the EC80 acetylcholine control for sample 1 calculated on a per plate basis,Standard deviation of the EC80 acetylcholine control for sample 1 calculated on a per plate basis,Mean of the ECMax acetylcholine control for sample 1 calculated on a per plate basis,Standard deviation of the ECMax acetylcholine control for sample 1 calculated on a per plate basis,Zprime for sample 1 calculated as 1-[3* (EC80Stddev1 + DMSOStddev1) / (EC80Mean1 - DMSOMean1)],Zprime for sample 1 calculated as 1-[3* (ECMAXStddev1 + DMSOStddev1) / (ECMAXMean1 + DMSOMean1)],minimum fluorescence intensity value subtracted from the maximum fluorescence intensity value for sample 2 of test compound,Mean of the DMSO (vehicle) control for sample 2 calculated on a per plate basis,Standard deviation of the DMSO (vehicle) control for sample 2 calculated on a per plate basis,Mean of the EC80 acetylcholine control for sample 2 calculated on a per plate basis,Standard deviation of the EC80 acetylcholine control for sample 2 calculated on a per plate basis,Mean of the ECMax acetylcholine control for sample 2 calculated on a per plate basis,Standard deviation of the ECMax acetylcholine control for sample 2 calculated on a per plate basis,Zprime for sample 2 calculated as 1-[3* (EC80Stddev2 + DMSOStddev2) / (EC80Mean2 + DMSOMean2)],Zprime for sample 2 calculated as 1-[3* (ECMAXStddev2 + DMSOStddev2) / (ECMAXMean2 - DMSOMean2)]
RESULT_UNIT,,,,,,,,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE
1,842131,6602565,C1CCN(CC1)C2=NC3=CC=CC=C3C(=N2)NCC4=CC=CO4.Cl,Inactive,0,,,464.123,16.1398,5.85906,500.14,41.3115,753.081,38.2811,0.708,0.82,465.102,23.5087,8.27048,534.944,57.1443,730.841,41.3298,0.616,0.79
2,842133,644388,CN1C(=CN=C1NCC2=C(C=CC(=C2)Cl)O)C3=CC(=CC=C3)OC.C(=O)(C(=O)O)O,Active,100,,,274.816,20.0097,6.01278,726.995,66.7194,1052.84,55.4146,0.691,0.822,442.286,23.8902,8.01021,607.298,25.6563,800.353,48.3103,0.827,0.782
3,842192,644447,COC1=CC=C(C=C1)C2=NN=C(C=C2)SCC(=O)NCC3=CC=CO3,Inactive,0,,,571.878,16.1398,5.85906,500.14,41.3115,753.081,38.2811,0.708,0.82,596.143,23.5087,8.27048,534.944,57.1443,730.841,41.3298,0.616,0.79
4,842195,644450,CC1=NC2=C(C3=C(S2)CCCC3)C4=NN=C(N14)SCC(=O)NCC5=CC=CO5,Inactive,0,,,662.53,20.0097,6.01278,726.995,66.7194,1052.84,55.4146,0.691,0.822,573.02,23.8902,8.01021,607.298,25.6563,800.353,48.3103,0.827,0.782
5,842212,644467,C1CN(CCN1C2=NC3=CC=CC=C3S2)C(C4=CC=CC=C4)C5=NN=NN5CC6=CC=CC=C6,Inactive,0,,,636.163,17.5332,6.06815,633.626,51.1458,957.265,70.72,0.721,0.755,609.429,22.8706,6.91594,616.37,29.1445,819.667,54.5919,0.818,0.768
6,842226,644481,CN(C1CCCCC1)S(=O)(=O)C2=CC=C(C=C2)N3C=NN=N3,Inactive,0,,,602.224,17.5332,6.06815,633.626,51.1458,957.265,70.72,0.721,0.755,618.122,22.8706,6.91594,616.37,29.1445,819.667,54.5919,0.818,0.768
7,842234,644490,C1CN(CCN1CC(=O)N2CCOCC2)C(C3=CC=CC=C3)C4=CC=CC=C4.C(=O)(C(=O)O)O,Active,100,,,160.938,16.6596,2.83897,596.015,46.9836,896.89,56.9892,0.742,0.796,196.592,25.2991,8.41132,603.282,47.3924,797.635,46.595,0.71,0.786
