PUBCHEM_RESULT_TAG,PUBCHEM_SID,PUBCHEM_CID,PUBCHEM_EXT_DATASOURCE_SMILES,PUBCHEM_ACTIVITY_OUTCOME,PUBCHEM_ACTIVITY_SCORE,PUBCHEM_ACTIVITY_URL,PUBCHEM_ASSAYDATA_COMMENT,AC50_Qualifier,AC50_uM,pAC50_M,Hill_Slope,S0_(%),Sinf_(%),Num_Points,Max_Activity_(%),Max_Activity_Conc_uM,Max_Concentration_uM,Activity_at_0.05uM_(%),Activity_at_0.1uM_(%),Activity_at_0.15uM_(%),Activity_at_0.16uM_(%),Activity_at_0.21uM_(%),Activity_at_0.3uM_(%),Activity_at_0.35uM_(%),Activity_at_0.42uM_(%),Activity_at_0.6uM_(%),Activity_at_0.68uM_(%),Activity_at_0.8uM_(%),Activity_at_1.2uM_(%),Activity_at_1.35uM_(%),Activity_at_1.6uM_(%),Activity_at_2.35uM_(%),Activity_at_2.6uM_(%),Activity_at_3.5uM_(%),Activity_at_4.6uM_(%),Activity_at_5uM_(%),Activity_at_5.6uM_(%),Activity_at_6.8uM_(%),Activity_at_9uM_(%),Activity_at_10uM_(%),Activity_at_11uM_(%),Activity_at_19.5uM_(%),Activity_at_21uM_(%)
RESULT_TYPE,,,,,,,,STRING,FLOAT,STRING,FLOAT,FLOAT,FLOAT,INTEGER,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,STRING,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT
RESULT_DESCR,,,,,,,,,,,The slope at AC50,The fitted activity value at zero concentration,The fitted activity value at infinite concentration,The number of data points used to generate the plot,"The maximum activity value observed, based on mean of replicates per concentration",The concentration at which the maximum activity is observed,Maximum valid test concentration,The average measured activity of all accepted replicates at the specified concentration,The average measured activity of all accepted replicates at the specified concentration,The average measured activity of all accepted replicates at the specified concentration,The average measured activity of all accepted replicates at the specified concentration,The average measured activity of all accepted replicates at the specified concentration,The average measured activity of all accepted replicates at the specified concentration,The average measured activity of all accepted replicates at the specified concentration,The average measured activity of all accepted replicates at the specified concentration,The average measured activity of all accepted replicates at the specified concentration,The average measured activity of all accepted replicates at the specified concentration,The average measured activity of all accepted replicates at the specified concentration,The average measured activity of all accepted replicates at the specified concentration,The average measured activity of all accepted replicates at the specified concentration,The average measured activity of all accepted replicates at the specified concentration,The average measured activity of all accepted replicates at the specified concentration,The average measured activity of all accepted replicates at the specified concentration,The average measured activity of all accepted replicates at the specified concentration,The average measured activity of all accepted replicates at the specified concentration,The average measured activity of all accepted replicates at the specified concentration,The average measured activity of all accepted replicates at the specified concentration,,The average measured activity of all accepted replicates at the specified concentration,The average measured activity of all accepted replicates at the specified concentration,The average measured activity of all accepted replicates at the specified concentration,The average measured activity of all accepted replicates at the specified concentration,The average measured activity of all accepted replicates at the specified concentration
RESULT_UNIT,,,,,,,,,MICROMOLAR,,NONE,PERCENT,PERCENT,NONE,PERCENT,MICROMOLAR,MICROMOLAR,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT,,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT
RESULT_IS_ACTIVE_CONCENTRATION,,,,,,,,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RESULT_ATTR_CONC_MICROMOL,,,,,,,,,,,,,,,,,,0.05,0.1,0.15,0.16,0.21,0.3,0.35,0.42,0.6,0.68,0.8,1.2,1.35,1.6,2.35,2.6,3.5,4.6,5,5.6,,9,10,11,19.5,21
1,24833428,16196465,CC(=O)NC1=CC=C(C=C1)NC(=O)[C@@H]2CCCN2S(=O)(=O)C3=CC4=C(C=C3)OCCO4,Inactive,0,,,,,,,-4.62704,-4.62704,16,-10.959,0.16,19.5,,,,-10.959,,-8.626,,,-7.119,,,-6.307,,,,-7.338,,,-0.02,,,,-2.893,,6.246,
2,24795491,2972876,CC1=CC(=NO1)NC(=O)CCCN2C(=O)C3=CC=CC4=C3C(=CC=C4)C2=O,Inactive,0,,,,,,,-4.51476,-4.51476,16,-9.998,0.16,19.5,,,,-9.998,,-6.294,,,-5.055,,,-6.265,,,,-4.142,,,-2.804,,,,-0.16,,-1.401,
3,49645155,706586,CN1C2=C(C(=O)NC1=O)N(C(=S)N2)CCCC3=CC=CC=C3,Inactive,0,,,,,,,-11.8414,-11.8414,15,-15.727,2.6,19.5,,,,-12.035,,-9.422,,,-10.521,,,-13.078,,,,-15.727,,,-10.732,,,,-12.077,,-11.256,
4,24809680,3118907,CC1=C(C(=O)N(N1C)C2=CC=CC=C2)N=NC3=CC(=C(C=C3)N)OC,Inactive,0,,,,,,,-10.6897,-10.6897,16,-17.659,19.5,19.5,,,,-0.574,,-5.013,,,-6.751,,,-8.712,,,,-15.101,,,-14.732,,,,-16.976,,-17.659,
5,49717208,16034465,CC1CCN(CC1)C(=O)C2CCN(CC2)S(=O)(=O)C3=C(ON=C3C)/C=C/C4=CC=CC(=C4)C,Inactive,0,,,,,,,-6.67167,-6.67167,15,-11.453,2.6,19.5,,,,6.259,,-5.348,,,-7.623,,,-7.93,,,,-11.453,,,-9.985,,,,-9.902,,-9.048,
