PUBCHEM_RESULT_TAG,PUBCHEM_SID,PUBCHEM_CID,PUBCHEM_EXT_DATASOURCE_SMILES,PUBCHEM_ACTIVITY_OUTCOME,PUBCHEM_ACTIVITY_SCORE,PUBCHEM_ACTIVITY_URL,PUBCHEM_ASSAYDATA_COMMENT,AC50_Qualifier,AC50_uM,pAC50_M,ACTIVITY_OUTCOME_TEST1,ACTIVITY_SCORE_TEST1,ASSAYDATA_COMMENT_TEST1,AC50_Qualifier_TEST1,AC50_uM_TEST1,pAC50_M_TEST1,Hill_Slope_TEST1,S0_(%)_TEST1,Sinf_(%)_TEST1,Num_Points_TEST1,Max_Activity_(%)_TEST1,Max_Activity_Conc_uM_TEST1,Max_Concentration_uM_TEST1,Activity_at_0.009uM_(%)_TEST1,Activity_at_0.01uM_(%)_TEST1,Activity_at_0.011uM_(%)_TEST1,Activity_at_0.012uM_(%)_TEST1,Activity_at_0.016uM_(%)_TEST1,Activity_at_0.0285uM_(%)_TEST1,Activity_at_0.03uM_(%)_TEST1,Activity_at_0.035uM_(%)_TEST1,Activity_at_0.05uM_(%)_TEST1,Activity_at_0.08uM_(%)_TEST1,Activity_at_0.09uM_(%)_TEST1,Activity_at_0.1uM_(%)_TEST1,Activity_at_0.11uM_(%)_TEST1,Activity_at_0.15uM_(%)_TEST1,Activity_at_0.235uM_(%)_TEST1,Activity_at_0.285uM_(%)_TEST1,Activity_at_0.3uM_(%)_TEST1,Activity_at_0.35uM_(%)_TEST1,Activity_at_0.46uM_(%)_TEST1,Activity_at_0.75uM_(%)_TEST1,Activity_at_0.8uM_(%)_TEST1,Activity_at_0.9uM_(%)_TEST1,Activity_at_1uM_(%)_TEST1,Activity_at_1.35uM_(%)_TEST1,Activity_at_2.1uM_(%)_TEST1,Activity_at_2.6uM_(%)_TEST1,Activity_at_2.85uM_(%)_TEST1,Activity_at_3uM_(%)_TEST1,Activity_at_3.8uM_(%)_TEST1,Activity_at_6.8uM_(%)_TEST1,Activity_at_7.5uM_(%)_TEST1,Activity_at_8uM_(%)_TEST1,Activity_at_9uM_(%)_TEST1,Activity_at_12uM_(%)_TEST1,Activity_at_19.5uM_(%)_TEST1,Activity_at_23.5uM_(%)_TEST1,Activity_at_26uM_(%)_TEST1,Activity_at_35uM_(%)_TEST1,ACTIVITY_OUTCOME_TEST2,ACTIVITY_SCORE_TEST2,ASSAYDATA_COMMENT_TEST2,AC50_Qualifier_TEST2,AC50_uM_TEST2,pAC50_M_TEST2,Hill_Slope_TEST2,S0_(%)_TEST2,Sinf_(%)_TEST2,Num_Points_TEST2,Max_Activity_(%)_TEST2,Max_Activity_Conc_uM_TEST2,Max_Concentration_uM_TEST2,Activity_at_0.011uM_(%)_TEST2,Activity_at_0.035uM_(%)_TEST2,Activity_at_0.1uM_(%)_TEST2,Activity_at_0.3uM_(%)_TEST2,Activity_at_0.9uM_(%)_TEST2,Activity_at_2.85uM_(%)_TEST2,Activity_at_8uM_(%)_TEST2,Activity_at_26uM_(%)_TEST2
RESULT_TYPE,,,,,,,,STRING,FLOAT,STRING,INTEGER,INTEGER,STRING,STRING,FLOAT,STRING,FLOAT,FLOAT,FLOAT,INTEGER,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,INTEGER,INTEGER,STRING,STRING,FLOAT,STRING,FLOAT,FLOAT,FLOAT,INTEGER,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT
RESULT_DESCR,,,,,,,,"'>','=', or '<'",The concentration at which activity reaches 50% of the maximum,Equal to -1*log10(AC50),The PubChem Activity Outcome for the subset of data included in the indicated Test number.,The PubChem Activity Score for the subset of data included in the indicated Test number.,Comments relevant to the subset of data included in the indicated Test number.,"'>','=', or '<'",The concentration at which activity reaches 50% of the maximum,Equal to -1*log10(AC50),The slope at AC50,The fitted activity value at zero concentration,The fitted activity value at infinite concentration,The number of data points used to generate the plot,"The maximum activity value observed, based on mean of replicates per concentration",The concentration at which the maximum activity is observed,Maximum valid test concentration,The average measured activity of all accepted replicates at the specified concentration,The average measured activity of all accepted replicates at the specified concentration,The average measured activity of all accepted replicates at the specified concentration,The average measured activity of all accepted replicates at the specified concentration,The average measured activity of all accepted replicates at the specified concentration,The average measured activity of all accepted replicates at the specified concentration,The average measured activity of all accepted replicates at the specified concentration,The average measured activity of all accepted replicates at the specified concentration,The average measured activity of all accepted replicates at the specified concentration,The average measured activity of all accepted replicates at the specified concentration,The average measured activity of all accepted replicates at the specified concentration,The average measured activity of all accepted replicates at the specified concentration,The average measured activity of all accepted replicates at the specified concentration,The average measured activity of all accepted replicates at the specified concentration,The average measured activity of all accepted replicates at the specified concentration,The average measured activity of all accepted replicates at the specified concentration,The average measured activity of all accepted replicates at the specified concentration,The average measured activity of all accepted replicates at the specified concentration,The average measured activity of all accepted replicates at the specified concentration,The average measured activity of all accepted replicates at the specified concentration,The average measured activity of all accepted replicates at the specified concentration,The average measured activity of all accepted replicates at the specified concentration,The average measured activity of all accepted replicates at the specified concentration,The average measured activity of all accepted replicates at the specified concentration,The average measured activity of all accepted replicates at the specified concentration,The average measured activity of all accepted replicates at the specified concentration,The average measured activity of all accepted replicates at the specified concentration,The average measured activity of all accepted replicates at the specified concentration,The average measured activity of all accepted replicates at the specified concentration,The average measured activity of all accepted replicates at the specified concentration,The average measured activity of all accepted replicates at the specified concentration,The average measured activity of all accepted replicates at the specified concentration,The average measured activity of all accepted replicates at the specified concentration,The average measured activity of all accepted replicates at the specified concentration,The average measured activity of all accepted replicates at the specified concentration,The average measured activity of all accepted replicates at the specified concentration,The average measured activity of all accepted replicates at the specified concentration,The average measured activity of all accepted replicates at the specified concentration,The PubChem Activity Outcome for the subset of data included in the indicated Test number.,The PubChem Activity Score for the subset of data included in the indicated Test number.,Comments relevant to the subset of data included in the indicated Test number.,"'>','=', or '<'",The concentration at which activity reaches 50% of the maximum,Equal to -1*log10(AC50),The slope at AC50,The fitted activity value at zero concentration,The fitted activity value at infinite concentration,The number of data points used to generate the plot,"The maximum activity value observed, based on mean of replicates per concentration",The concentration at which the maximum activity is observed,Maximum valid test concentration,The average measured activity of all accepted replicates at the specified concentration,The average measured activity of all accepted replicates at the specified concentration,The average measured activity of all accepted replicates at the specified concentration,The average measured activity of all accepted replicates at the specified concentration,The average measured activity of all accepted replicates at the specified concentration,The average measured activity of all accepted replicates at the specified concentration,The average measured activity of all accepted replicates at the specified concentration,The average measured activity of all accepted replicates at the specified concentration
RESULT_UNIT,,,,,,,,NONE,MICROMOLAR,NONE,NONE,NONE,NONE,NONE,MICROMOLAR,NONE,NONE,PERCENT,PERCENT,NONE,PERCENT,MICROMOLAR,MICROMOLAR,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT,NONE,NONE,NONE,NONE,MICROMOLAR,NONE,NONE,PERCENT,PERCENT,NONE,PERCENT,MICROMOLAR,MICROMOLAR,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT
RESULT_IS_ACTIVE_CONCENTRATION,,,,,,,,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RESULT_ATTR_CONC_MICROMOL,,,,,,,,,,,,,,,,,,,,,,,,0.009,0.01,0.011,0.012,0.016,0.0285,0.03,0.035,0.05,0.08,0.09,0.1,0.11,0.15,0.235,0.285,0.3,0.35,0.46,0.75,0.8,0.9,1,1.35,2.1,2.6,2.85,3,3.8,6.8,7.5,8,9,12,19.5,23.5,26,35,,,,,,,,,,,,,,0.011,0.035,0.1,0.3,0.9,2.85,8,26
1,131432245,54635985,CCC(=O)NC1=CC2=C(C=C1)C(=O)N(C[C@@H]([C@H](CN([C@@H](CO2)C)C(=O)CC)C)OC)C,Inactive,0,,,,,,1,0,,,,,,-1.0979,-1.0979,16,-3.892,8,26,,,1.306,,,,,-2.207,,,,-3.235,,,,,-1.269,,,,,0.651,,,,,-1.927,,,,,-3.892,,,,,1.79,,,,,,,,,,,,,,,,,,,,,,
2,131431200,54634941,C[C@@H]1CN([C@H](COC2=C(C=CC(=C2)NC(=O)C3CC3)C(=O)N(C[C@@H]1OC)C)C)CC4=CC=CC=C4,Inactive,0,,,,,,1,0,,,,,,0.465287,0.465287,16,2.881,0.3,26,,,2.151,,,,,-0.019,,,,0.73,,,,,2.881,,,,,2.087,,,,,-0.413,,,,,-1.24,,,,,-2.456,,,,,,,,,,,,,,,,,,,,,,
3,131428009,54631766,CCCC(=O)NC1=CC2=C(C=C1)C(=O)N(C[C@H]([C@H](CN[C@@H](CO2)C)C)OC)C,Inactive,0,,,,,,1,0,,,,,,-2.48475,-2.48475,16,-15.503,26,26,,,-0.862,,,,,-2.997,,,,-1.017,,,,,1.467,,,,,1.53,,,,,-1.811,,,,,-0.685,,,,,-15.503,,,,,,,,,,,,,,,,,,,,,,
4,131464433,54668920,C1CCN2[C@H](CN(C1)C(=O)CC3=CC=CC=C3)[C@@H]([C@H]2CO)C4=CC=C(C=C4)C#CC5=CC=CC=C5,Active,43,,,=,47.28,4.325,2,43,,=,47.28,4.325,1.239,2.057,-47.943,16,-13.739,26,26,,,1.51,,,,,-0.286,,,,0.803,,,,,3.455,,,,,3.406,,,,,3.011,,,,,-4.82,,,,,-13.739,,,,,,,,,,,,,,,,,,,,,,
5,131435983,54639688,C[C@H](C1=CC=CC=C1)NC(=O)C[C@@H]2CC[C@H]([C@H](O2)CO)NC(=O)CN3CCOCC3,Inactive,0,,,,,,1,0,,,,,,4.20746,4.20746,16,7.132,0.3,26,,,6.489,,,,,4.402,,,,2.265,,,,,7.132,,,,,5.107,,,,,4.49,,,,,2.158,,,,,1.617,,,,,,,,,,,,,,,,,,,,,,
