,dvrl_LGBM_greedy,Greedy Acquisition,Random Sampling
0,0.014806378132118452,0.014806378132118452,0.014806378132118452
1,0.04669703872437358,0.1560364464692483,0.02562642369020501
2,0.06264236902050115,0.2966970387243736,0.04555808656036447
3,0.08485193621867881,0.37528473804100226,0.06093394077448747
4,0.09908883826879271,0.44533029612756264,0.0785876993166287
5,0.11560364464692482,0.4908883826879271,0.09111617312072894
6,0.13724373576309795,0.5313211845102506,0.10421412300683372
0,,,
0,0.012528473804100227,0.012528473804100227,0.012528473804100227
1,0.05296127562642369,0.09908883826879271,0.02733485193621868
2,0.06719817767653759,0.26594533029612755,0.040432801822323464
3,0.07687927107061504,0.37528473804100226,0.05580865603644647
4,0.09510250569476082,0.4402050113895216,0.0683371298405467
5,0.11047835990888383,0.49316628701594534,0.0785876993166287
6,0.1264236902050114,0.5273348519362187,0.09453302961275627
0,,,
0,0.01765375854214123,0.01765375854214123,0.01765375854214123
1,0.04669703872437358,0.14123006833712984,0.03246013667425968
2,0.06036446469248292,0.28416856492027337,0.04726651480637813
3,0.0746013667425968,0.3673120728929385,0.06378132118451026
4,0.08997722095671981,0.4379271070615034,0.07630979498861047
5,0.09908883826879271,0.48291571753986334,0.09396355353075171
6,0.10933940774487472,0.5182232346241458,0.11104783599088838
0,,,
0,0.011958997722095672,0.011958997722095672,0.011958997722095672
1,0.02733485193621868,0.13838268792710706,0.02334851936218679
2,0.037015945330296125,0.26765375854214124,0.038154897494305236
3,0.050683371298405465,0.3838268792710706,0.05466970387243736
4,0.09111617312072894,0.4527334851936219,0.0774487471526196
5,0.1315489749430524,0.49259681093394075,0.09510250569476082
6,0.1378132118451025,0.525626423690205,0.10990888382687927
0,,,
0,0.0193621867881549,0.0193621867881549,0.0193621867881549
1,0.03302961275626424,0.12300683371298406,0.03530751708428246
2,0.06662870159453303,0.2539863325740319,0.04783599088838269
3,0.0746013667425968,0.34225512528473806,0.06662870159453303
4,0.07801822323462415,0.42425968109339407,0.07915717539863326
5,0.09054669703872438,0.4760820045558087,0.08940774487471526
6,0.11617312072892938,0.5222095671981777,0.10592255125284739
0,,,
0,0.011389521640091117,0.011389521640091117,0.011389521640091117
1,0.034738041002277904,0.12072892938496584,0.0244874715261959
2,0.0785876993166287,0.265375854214123,0.04612756264236902
3,0.0888382687927107,0.3735763097949886,0.06492027334851937
4,0.1082004555808656,0.44874715261959,0.08086560364464693
5,0.12015945330296128,0.4994305239179954,0.09396355353075171
6,0.1315489749430524,0.5341685649202733,0.11389521640091116
0,,,
0,0.014806378132118452,0.014806378132118452,0.014806378132118452
1,0.029612756264236904,0.15831435079726652,0.03189066059225513
2,0.06264236902050115,0.2984054669703872,0.04669703872437358
3,0.07630979498861047,0.39635535307517084,0.06093394077448747
4,0.10421412300683372,0.4527334851936219,0.0785876993166287
5,0.12870159453302962,0.4920273348519362,0.09681093394077449
6,0.14009111617312073,0.5279043280182233,0.10876993166287016
0,,,
0,0.011958997722095672,0.011958997722095672,0.011958997722095672
1,0.050683371298405465,0.10933940774487472,0.03132118451025057
2,0.06548974943052392,0.260250569476082,0.04783599088838269
3,0.07175398633257403,0.36503416856492027,0.062072892938496584
4,0.07687927107061504,0.43337129840546695,0.0746013667425968
5,0.09225512528473805,0.48234624145785876,0.08542141230068337
6,0.10933940774487472,0.5199316628701595,0.09965831435079726
0,,,
0,0.02050113895216401,0.02050113895216401,0.02050113895216401
1,0.05466970387243736,0.1765375854214123,0.03530751708428246
2,0.05694760820045558,0.2938496583143508,0.05125284738041002
3,0.0683371298405467,0.3946469248291572,0.06890660592255125
4,0.08485193621867881,0.46867881548974943,0.08029612756264237
5,0.11161731207289294,0.5142369020501139,0.09168564920273349
6,0.11275626423690205,0.5392938496583144,0.10649202733485194
0,,,
0,0.015375854214123007,0.015375854214123007,0.015375854214123007
1,0.05580865603644647,0.13211845102505695,0.027904328018223234
2,0.06776765375854214,0.270501138952164,0.040432801822323464
3,0.08599088838268792,0.38439635535307515,0.05466970387243736
4,0.09908883826879271,0.45045558086560367,0.07004555808656036
5,0.13496583143507973,0.494874715261959,0.08086560364464693
6,0.14749430523917995,0.5330296127562643,0.09851936218678815
0,,,
