,shapley_LGBM_greedy,Greedy Acquisition,Random Sampling
0,0.013097949886104784,0.013097949886104784,0.013097949886104784
1,0.08143507972665148,0.14977220956719817,0.02619589977220957
2,0.10079726651480637,0.27107061503416857,0.038154897494305236
3,0.12357630979498861,0.3684510250569476,0.05239179954441914
4,0.1469248291571754,0.4202733485193622,0.06492027334851937
5,0.17027334851936218,0.4760820045558087,0.08257403189066059
6,0.20045558086560364,0.5244874715261959,0.09851936218678815
0,,,
0,0.014236902050113895,0.014236902050113895,0.014236902050113895
1,0.055239179954441914,0.1492027334851936,0.023917995444191344
2,0.08769931662870159,0.3086560364464693,0.038154897494305236
3,0.1070615034168565,0.39635535307517084,0.0541002277904328
4,0.12984054669703873,0.4527334851936219,0.06947608200455581
5,0.1480637813211845,0.4988610478359909,0.08656036446469248
6,0.15774487471526197,0.5227790432801822,0.0928246013667426
0,,,
0,0.012528473804100227,0.012528473804100227,0.012528473804100227
1,0.06036446469248292,0.1315489749430524,0.02164009111617312
2,0.09567198177676538,0.29100227790432803,0.037015945330296125
3,0.12471526195899772,0.3838268792710706,0.05580865603644647
4,0.13838268792710706,0.43451025056947606,0.07403189066059225
5,0.15888382687927108,0.4874715261958998,0.0837129840546697
6,0.17596810933940774,0.5222095671981777,0.09908883826879271
0,,,
0,0.013097949886104784,0.013097949886104784,0.013097949886104784
1,0.057517084282460135,0.16173120728929385,0.027904328018223234
2,0.07801822323462415,0.3069476082004556,0.04100227790432802
3,0.10535307517084283,0.4031890660592255,0.05239179954441914
4,0.1315489749430524,0.45842824601366744,0.06605922551252848
5,0.1469248291571754,0.5028473804100227,0.08428246013667426
6,0.16685649202733485,0.5375854214123007,0.0979498861047836
0,,,
0,0.011389521640091117,0.011389521640091117,0.011389521640091117
1,0.030751708428246014,0.08428246013667426,0.0244874715261959
2,0.08200455580865604,0.25626423690205014,0.043849658314350795
3,0.10649202733485194,0.3792710706150342,0.05808656036446469
4,0.11845102505694761,0.45558086560364464,0.06890660592255125
5,0.14236902050113895,0.49658314350797267,0.08257403189066059
6,0.1674259681093394,0.5239179954441914,0.09339407744874716
0,,,
0,0.015375854214123007,0.015375854214123007,0.015375854214123007
1,0.050683371298405465,0.17312072892938496,0.030751708428246014
2,0.08314350797266515,0.30125284738041,0.042710706150341685
3,0.09339407744874716,0.3878132118451025,0.05808656036446469
4,0.11275626423690205,0.4510250569476082,0.07630979498861047
5,0.13838268792710706,0.494874715261959,0.09453302961275627
6,0.15546697038724375,0.5290432801822323,0.1133257403189066
0,,,
0,0.015945330296127564,0.015945330296127564,0.015945330296127564
1,0.04214123006833713,0.13325740318906606,0.02733485193621868
2,0.05694760820045558,0.2636674259681093,0.04555808656036447
3,0.0837129840546697,0.39863325740318906,0.05922551252847381
4,0.09567198177676538,0.45785876993166286,0.07630979498861047
5,0.1224373576309795,0.5011389521640092,0.09396355353075171
6,0.14009111617312073,0.5353075170842825,0.10933940774487472
0,,,
0,0.017084282460136675,0.017084282460136675,0.017084282460136675
1,0.04441913439635535,0.1469248291571754,0.03929384965831435
2,0.09054669703872438,0.28132118451025057,0.056378132118451024
3,0.09851936218678815,0.3792710706150342,0.07118451025056947
4,0.11560364464692482,0.44931662870159456,0.08428246013667426
5,0.13382687927107062,0.4988610478359909,0.09624145785876993
6,0.1571753986332574,0.534738041002278,0.1121867881548975
0,,,
0,0.011958997722095672,0.011958997722095672,0.011958997722095672
1,0.06719817767653759,0.15148063781321183,0.029612756264236904
2,0.0979498861047836,0.2716400911161731,0.04555808656036447
3,0.11503416856492027,0.3804100227790433,0.0632118451025057
4,0.14578587699316628,0.4527334851936219,0.07801822323462415
5,0.1662870159453303,0.4863325740318907,0.08826879271070615
6,0.17938496583143507,0.510250569476082,0.0979498861047836
0,,,
0,0.018223234624145785,0.018223234624145785,0.018223234624145785
1,0.043849658314350795,0.18166287015945332,0.03132118451025057
2,0.057517084282460135,0.332004555808656,0.04783599088838269
3,0.08086560364464693,0.42312072892938496,0.06150341685649203
4,0.1070615034168565,0.4766514806378132,0.0734624145785877
5,0.12300683371298406,0.520501138952164,0.08997722095671981
6,0.14521640091116172,0.5484054669703873,0.10535307517084283
0,,,
