,MVSA_GPR_greedy,Greedy Acquisition,Random Sampling
0,0.01654081265731751,0.01654081265731751,0.01654081265731751
1,0.15354189140596908,0.1362819129809421,0.02876663070837828
2,0.2896440129449838,0.26842862279755486,0.0422509888529306
3,0.37971952535059333,0.36389787846098526,0.0573534699748292
4,0.4341963322545847,0.43275800071916576,0.07353469974829198
5,0.4811218985976268,0.4717727436174038,0.08809780654440849
6,0.5199568500539374,0.5077310320028766,0.10409924487594391
0,,,
0,0.018698309960445882,0.018698309960445882,0.018698309960445882
1,0.15012585400934916,0.13700107874865156,0.0346997482919813
2,0.29899316792520675,0.2777777777777778,0.04836389787846099
3,0.39176555195972673,0.37468536497662713,0.0649047105357785
4,0.44534340165408126,0.4349154980222941,0.08018698309960445
5,0.5,0.4733908665947501,0.09546925566343042
6,0.5431499460625674,0.5070118662351673,0.1096727795756922
0,,,
0,0.012765192376842862,0.012765192376842862,0.012765192376842862
1,0.13088816972312117,0.11254944264653002,0.028946422150305646
2,0.2736425746134484,0.24128011506652283,0.042790363178712695
3,0.37001078748651567,0.33117583603020495,0.05591513843941028
4,0.4275440489032722,0.4045307443365696,0.06706220783890687
5,0.4715929521754764,0.45145631067961167,0.08162531463502337
6,0.5217547644732111,0.48957209636821286,0.09600862998921252
0,,,
0,0.017439769866954332,0.017439769866954332,0.017439769866954332
1,0.15210355987055016,0.1281912980942107,0.03254225098885293
2,0.2871269327580007,0.26429341963322545,0.05052139518158936
3,0.3692916217188062,0.3554476806903991,0.06580366774541532
4,0.4316792520676016,0.4198130169003955,0.08234448040273283
5,0.47824523552678894,0.4665587918015103,0.09618842143113988
6,0.5240920532182668,0.5046745774901115,0.1121898597626753
0,,,
0,0.018878101402373247,0.018878101402373247,0.018878101402373247
1,0.160913340524991,0.1348435814455232,0.03380079108234448
2,0.3024092053218267,0.2761596548004315,0.04692556634304207
3,0.3851132686084142,0.3718087019057893,0.0593311758360302
4,0.447680690399137,0.4279036317871269,0.07263574253865517
5,0.48651564185544766,0.4739302409205322,0.0875584322186264
6,0.531103919453434,0.5100683207479324,0.10302049622437973
0,,,
0,0.014203523912261776,0.014203523912261776,0.014203523912261776
1,0.1508450197770586,0.12657317511686444,0.02912621359223301
2,0.29845379359942464,0.269507371449119,0.04548723480762316
3,0.3788205681409565,0.36695433297375046,0.062387630348795395
4,0.42125134843581447,0.4147788565264293,0.0789284430061129
5,0.46116504854368934,0.45792880258899676,0.09367134124415678
6,0.5026968716289104,0.5030564545127651,0.1071556993887091
0,,,
0,0.014563106796116505,0.014563106796116505,0.014563106796116505
1,0.14473211075152823,0.11812297734627832,0.02876663070837828
2,0.28496943545487236,0.24937072995325424,0.044048903272204246
3,0.3768428622797555,0.3586839266450917,0.05591513843941028
4,0.43149946062567424,0.41118302768788206,0.07011866235167206
5,0.47375044947860484,0.4622437971952535,0.08629989212513485
6,0.5116864437252787,0.4985616684645811,0.10176195613088818
0,,,
0,0.014563106796116505,0.014563106796116505,0.014563106796116505
1,0.1323265012585401,0.11434735706580366,0.03002517080186983
2,0.2747213232650126,0.2513484358144552,0.04350952894642215
3,0.3572455951096728,0.33980582524271846,0.05915138439410284
4,0.4401294498381877,0.41837468536497663,0.0724559510967278
5,0.4904710535778497,0.468896080546566,0.08432218626393384
6,0.5289464221503056,0.5062927004674578,0.10014383315354189
0,,,
0,0.014203523912261776,0.014203523912261776,0.014203523912261776
1,0.14113628191298094,0.12405609492988134,0.026429341963322545
2,0.27040632865875586,0.23822366055375765,0.041172240201366415
3,0.370190578928443,0.3376483279395901,0.05969075871988493
4,0.4376123696512046,0.40111470693994966,0.0744336569579288
5,0.48453793599424666,0.4602660913340525,0.09133405249910104
6,0.5244516361021215,0.5021574973031284,0.10625674217907227
0,,,
0,0.014203523912261776,0.014203523912261776,0.014203523912261776
1,0.11902193455591514,0.10517799352750809,0.030204962243797196
2,0.2574613448399856,0.2339086659475009,0.04656598345918734
3,0.3723480762315714,0.337108953613808,0.06292700467457749
4,0.4316792520676016,0.41585760517799353,0.07695073714491191
5,0.48022294138798993,0.4672779575692197,0.09241280115066523
6,0.5249910104279036,0.5070118662351673,0.10607695073714492
0,,,
