,MVSA_GPR_greedy,Greedy Acquisition,Random Sampling
0,0.014925373134328358,0.014925373134328358,0.014925373134328358
1,0.046766169154228855,0.046766169154228855,0.034328358208955224
2,0.09104477611940298,0.08407960199004975,0.04378109452736319
3,0.14577114427860696,0.12189054726368159,0.05572139303482587
4,0.19502487562189055,0.15422885572139303,0.06965174129353234
5,0.245273631840796,0.19601990049751244,0.08507462686567165
6,0.28756218905472636,0.227363184079602,0.09402985074626866
0,,,
0,0.015920398009950248,0.015920398009950248,0.015920398009950248
1,0.05323383084577114,0.05223880597014925,0.027860696517412936
2,0.09353233830845771,0.08557213930348259,0.044278606965174126
3,0.1482587064676617,0.12786069651741294,0.05970149253731343
4,0.20149253731343283,0.1691542288557214,0.07412935323383085
5,0.245273631840796,0.2019900497512438,0.0890547263681592
6,0.28507462686567164,0.23383084577114427,0.1009950248756219
0,,,
0,0.010447761194029851,0.010447761194029851,0.010447761194029851
1,0.04378109452736319,0.03482587064676617,0.021393034825870648
2,0.09651741293532339,0.07313432835820896,0.03731343283582089
3,0.1582089552238806,0.12288557213930348,0.05621890547263682
4,0.20746268656716418,0.16716417910447762,0.07412935323383085
5,0.2462686567164179,0.20845771144278608,0.08358208955223881
6,0.2870646766169154,0.24378109452736318,0.09850746268656717
0,,,
0,0.018407960199004977,0.018407960199004977,0.018407960199004977
1,0.05124378109452736,0.044278606965174126,0.03283582089552239
2,0.09900497512437811,0.07661691542288557,0.050746268656716415
3,0.14577114427860696,0.10895522388059702,0.061691542288557215
4,0.19154228855721392,0.14328358208955225,0.0736318407960199
5,0.2417910447761194,0.19303482587064677,0.08606965174129354
6,0.2935323383084577,0.236318407960199,0.10398009950248756
0,,,
0,0.023880597014925373,0.023880597014925373,0.023880597014925373
1,0.05721393034825871,0.0626865671641791,0.03681592039800995
2,0.09651741293532339,0.09701492537313433,0.05223880597014925
3,0.13432835820895522,0.12985074626865672,0.06716417910447761
4,0.191044776119403,0.16766169154228855,0.08159203980099503
5,0.24427860696517412,0.21393034825870647,0.09850746268656717
6,0.28308457711442786,0.24925373134328357,0.11442786069651742
0,,,
0,0.007960199004975124,0.007960199004975124,0.007960199004975124
1,0.04029850746268657,0.04029850746268657,0.022388059701492536
2,0.09154228855721393,0.09004975124378109,0.034328358208955224
3,0.14925373134328357,0.13880597014925372,0.050746268656716415
4,0.19601990049751244,0.17860696517412936,0.06368159203980099
5,0.23980099502487562,0.2054726368159204,0.07661691542288557
6,0.28059701492537314,0.23781094527363184,0.0955223880597015
0,,,
0,0.013432835820895522,0.013432835820895522,0.013432835820895522
1,0.0736318407960199,0.06417910447761194,0.031840796019900496
2,0.13532338308457711,0.1109452736318408,0.04825870646766169
3,0.17960199004975125,0.1582089552238806,0.06069651741293532
4,0.21343283582089553,0.19701492537313434,0.07462686567164178
5,0.25223880597014925,0.23134328358208955,0.0845771144278607
6,0.28756218905472636,0.2606965174129353,0.1009950248756219
0,,,
0,0.013432835820895522,0.013432835820895522,0.013432835820895522
1,0.0472636815920398,0.04825870646766169,0.02935323383084577
2,0.09502487562189055,0.08507462686567165,0.045771144278606964
3,0.1482587064676617,0.13034825870646766,0.05870646766169154
4,0.18855721393034827,0.17412935323383086,0.07462686567164178
5,0.22487562189054727,0.21293532338308457,0.08606965174129354
6,0.2671641791044776,0.24378109452736318,0.10348258706467661
0,,,
0,0.020398009950248756,0.020398009950248756,0.020398009950248756
1,0.0691542288557214,0.07114427860696518,0.03333333333333333
2,0.13134328358208955,0.1328358208955224,0.04975124378109453
3,0.1855721393034826,0.18159203980099503,0.06467661691542288
4,0.22885572139303484,0.20746268656716418,0.08009950248756219
5,0.2626865671641791,0.236318407960199,0.09104477611940298
6,0.29701492537313434,0.2606965174129353,0.10348258706467661
0,,,
0,0.015920398009950248,0.015920398009950248,0.015920398009950248
1,0.05373134328358209,0.0527363184079602,0.02935323383084577
2,0.11442786069651742,0.09353233830845771,0.04626865671641791
3,0.1761194029850746,0.13681592039800994,0.06318407960199005
4,0.22686567164179106,0.18706467661691542,0.08009950248756219
5,0.26417910447761195,0.2308457711442786,0.09800995024875622
6,0.2945273631840796,0.26417910447761195,0.11293532338308458
0,,,
