,MVSA_GPR_greedy,Greedy Acquisition,Random Sampling
0,0.011844331641285956,0.011844331641285956,0.011844331641285956
1,0.07445008460236886,0.07698815566835872,0.023688663282571912
2,0.1751269035532995,0.16328257191201354,0.03976311336717428
3,0.3003384094754653,0.2859560067681895,0.05245346869712352
4,0.39593908629441626,0.3595600676818951,0.07021996615905245
5,0.4560067681895093,0.42470389170896783,0.08714043993231811
6,0.5016920473773265,0.46362098138747887,0.09813874788494077
0,,,
0,0.01692047377326565,0.01692047377326565,0.01692047377326565
1,0.1785109983079526,0.13282571912013535,0.025380710659898477
2,0.24534686971235195,0.22081218274111675,0.038917089678511
3,0.3240270727580372,0.2893401015228426,0.051607445008460234
4,0.4010152284263959,0.3646362098138748,0.06345177664974619
5,0.4517766497461929,0.43316412859560066,0.07952622673434856
6,0.47292724196277497,0.4712351945854484,0.0922165820642978
0,,,
0,0.02030456852791878,0.02030456852791878,0.02030456852791878
1,0.15905245346869712,0.13367174280879865,0.03299492385786802
2,0.27411167512690354,0.2470389170896785,0.049069373942470386
3,0.36125211505922167,0.33587140439932317,0.0583756345177665
4,0.4263959390862944,0.3934010152284264,0.07698815566835872
5,0.4703891708967851,0.43824027072758037,0.09644670050761421
6,0.511844331641286,0.47377326565143824,0.11421319796954314
0,,,
0,0.01692047377326565,0.01692047377326565,0.01692047377326565
1,0.10829103214890017,0.10067681895093063,0.02961082910321489
2,0.2656514382402707,0.2233502538071066,0.04230118443316413
3,0.350253807106599,0.34348561759729274,0.05922165820642978
4,0.4213197969543147,0.4086294416243655,0.0727580372250423
5,0.4653130287648054,0.4543147208121827,0.08883248730964467
6,0.5,0.4847715736040609,0.1065989847715736
0,,,
0,0.011844331641285956,0.011844331641285956,0.011844331641285956
1,0.15820642978003385,0.1218274111675127,0.02961082910321489
2,0.233502538071066,0.20642978003384094,0.04483925549915398
3,0.30372250423011843,0.30287648054145516,0.05922165820642978
4,0.3917089678510998,0.38155668358714045,0.07614213197969544
5,0.44839255499153974,0.4517766497461929,0.0922165820642978
6,0.48646362098138746,0.48646362098138746,0.09983079526226735
0,,,
0,0.01353637901861252,0.01353637901861252,0.01353637901861252
1,0.08460236886632826,0.08037225042301184,0.02707275803722504
2,0.19796954314720813,0.15736040609137056,0.04568527918781726
3,0.28849407783417935,0.272419627749577,0.06514382402707276
4,0.38071065989847713,0.34348561759729274,0.0829103214890017
5,0.44923857868020306,0.40524534686971236,0.10236886632825719
6,0.48392554991539766,0.46277495769881555,0.11336717428087986
0,,,
0,0.018612521150592216,0.018612521150592216,0.018612521150592216
1,0.14890016920473773,0.10152284263959391,0.031302876480541454
2,0.2893401015228426,0.21912013536379019,0.05583756345177665
3,0.35194585448392557,0.3248730964467005,0.07191201353637902
4,0.39509306260575294,0.39678510998307953,0.08460236886632826
5,0.44585448392554994,0.4433164128595601,0.10406091370558376
6,0.4957698815566836,0.4805414551607445,0.11590524534686972
0,,,
0,0.021150592216582064,0.021150592216582064,0.021150592216582064
1,0.188663282571912,0.15228426395939088,0.03468697123519458
2,0.23942470389170897,0.2470389170896785,0.048223350253807105
3,0.33671742808798644,0.3392554991539763,0.06091370558375635
4,0.4170896785109983,0.4120135363790186,0.07952622673434856
5,0.4593908629441624,0.45854483925549916,0.09137055837563451
6,0.5050761421319797,0.4873096446700508,0.10321489001692047
0,,,
0,0.00676818950930626,0.00676818950930626,0.00676818950930626
1,0.06683587140439932,0.046531302876480544,0.02707275803722504
2,0.19796954314720813,0.1311336717428088,0.046531302876480544
3,0.2893401015228426,0.24450084602368866,0.0676818950930626
4,0.3646362098138748,0.33587140439932317,0.08460236886632826
5,0.42470389170896783,0.4077834179357022,0.09898477157360407
6,0.46362098138747887,0.4517766497461929,0.116751269035533
0,,,
0,0.012690355329949238,0.012690355329949238,0.012690355329949238
1,0.08629441624365482,0.04991539763113367,0.024534686971235193
2,0.22588832487309646,0.14213197969543148,0.04568527918781726
3,0.3062605752961083,0.25888324873096447,0.06006768189509306
4,0.4010152284263959,0.34348561759729274,0.07529610829103214
5,0.4619289340101523,0.3900169204737733,0.09306260575296109
6,0.5177664974619289,0.42216582064297803,0.10575296108291032
0,,,
