,MVSA_GPR_greedy,Greedy Acquisition,Random Sampling
0,0.016172506738544475,0.016172506738544475,0.016172506738544475
1,0.05660377358490566,0.04851752021563342,0.025157232704402517
2,0.11320754716981132,0.07547169811320754,0.042228212039532795
3,0.1761006289308176,0.1078167115902965,0.053009883198562445
4,0.22282120395327942,0.14555256064690028,0.0664869721473495
5,0.26235399820305483,0.1761006289308176,0.08265947888589398
6,0.28751123090745734,0.21293800539083557,0.09793351302785265
0,,,
0,0.017070979335130278,0.017070979335130278,0.017070979335130278
1,0.04582210242587601,0.053009883198562445,0.03234501347708895
2,0.09344115004492363,0.07816711590296496,0.04582210242587601
3,0.132973944294699,0.12039532794249776,0.05750224618149147
4,0.1707097933513028,0.16531895777178796,0.0673854447439353
5,0.20934411500449238,0.1949685534591195,0.08265947888589398
6,0.23450134770889489,0.2174303683737646,0.09973045822102426
0,,,
0,0.013477088948787063,0.013477088948787063,0.013477088948787063
1,0.053009883198562445,0.06019766397124888,0.03234501347708895
2,0.08984725965858041,0.09523809523809523,0.04582210242587601
3,0.13836477987421383,0.12848158131176998,0.0646900269541779
4,0.17879604672057503,0.15902964959568733,0.0862533692722372
5,0.21024258760107817,0.20035938903863432,0.09883198562443846
6,0.2551662174303684,0.2389937106918239,0.11590296495956873
0,,,
0,0.013477088948787063,0.013477088948787063,0.013477088948787063
1,0.06289308176100629,0.05480682839173405,0.031446540880503145
2,0.09613656783468104,0.09703504043126684,0.044923629829290206
3,0.16262353998203055,0.1302785265049416,0.0664869721473495
4,0.2165318957771788,0.16531895777178796,0.07906558849955077
5,0.2605570530098832,0.19946091644204852,0.09344115004492363
6,0.2991913746630728,0.24528301886792453,0.1078167115902965
0,,,
0,0.013477088948787063,0.013477088948787063,0.013477088948787063
1,0.03773584905660377,0.0440251572327044,0.02605570530098832
2,0.07547169811320754,0.0853548966756514,0.03773584905660377
3,0.11769991015274034,0.12039532794249776,0.06289308176100629
4,0.1778975741239892,0.1545372866127583,0.07726864330637916
5,0.2165318957771788,0.19137466307277629,0.09254267744833783
6,0.2632524707996406,0.22282120395327942,0.1078167115902965
0,,,
0,0.016172506738544475,0.016172506738544475,0.016172506738544475
1,0.03863432165318958,0.04132973944294699,0.036837376460017966
2,0.0646900269541779,0.0664869721473495,0.053009883198562445
3,0.11680143755615453,0.09613656783468104,0.06918238993710692
4,0.16531895777178796,0.12848158131176998,0.07637017070979335
5,0.2183288409703504,0.15633423180592992,0.09074573225516622
6,0.24977538185085355,0.1949685534591195,0.09973045822102426
0,,,
0,0.016172506738544475,0.016172506738544475,0.016172506738544475
1,0.07367475292003593,0.06558849955076371,0.031446540880503145
2,0.12309074573225516,0.11320754716981132,0.050314465408805034
3,0.16172506738544473,0.14914645103324348,0.0646900269541779
4,0.19137466307277629,0.18508535489667566,0.08176100628930817
5,0.2407906558849955,0.23360287511230907,0.09793351302785265
6,0.27672955974842767,0.26504941599281223,0.11230907457322552
0,,,
0,0.017969451931716084,0.017969451931716084,0.017969451931716084
1,0.07187780772686433,0.0646900269541779,0.03324348607367475
2,0.12488769092542677,0.10601976639712489,0.0440251572327044
3,0.15992812219227315,0.1293800539083558,0.05121293800539083
4,0.1931716082659479,0.16711590296495957,0.0664869721473495
5,0.22192273135669363,0.1967654986522911,0.08176100628930817
6,0.261455525606469,0.2210242587601078,0.09433962264150944
0,,,
0,0.012578616352201259,0.012578616352201259,0.012578616352201259
1,0.030548068283917342,0.03863432165318958,0.030548068283917342
2,0.05211141060197664,0.07367475292003593,0.047619047619047616
3,0.09164420485175202,0.09973045822102426,0.0673854447439353
4,0.1545372866127583,0.13836477987421383,0.07816711590296496
5,0.19946091644204852,0.18238993710691823,0.08984725965858041
6,0.25696316262353996,0.2192273135669362,0.1105121293800539
0,,,
0,0.009883198562443846,0.009883198562443846,0.009883198562443846
1,0.047619047619047616,0.04043126684636118,0.028751123090745734
2,0.0862533692722372,0.07906558849955077,0.042228212039532795
3,0.14465408805031446,0.11769991015274034,0.05840071877807727
4,0.18688230008984727,0.15363881401617252,0.07187780772686433
5,0.2210242587601078,0.18778077268643306,0.09074573225516622
6,0.24707996406109614,0.2138364779874214,0.11410601976639713
0,,,
