,MVSA_GPR_greedy,Greedy Acquisition,Random Sampling
0,0.013097949886104784,0.013097949886104784,0.013097949886104784
1,0.20330296127562641,0.15432801822323464,0.027904328018223234
2,0.33997722095671984,0.28075170842824604,0.04214123006833713
3,0.44646924829157175,0.37300683371298404,0.06492027334851937
4,0.5136674259681093,0.4419134396355353,0.08542141230068337
5,0.5415717539863326,0.49316628701594534,0.09965831435079726
6,0.5620728929384966,0.530751708428246,0.11503416856492027
0,,,
0,0.0193621867881549,0.0193621867881549,0.0193621867881549
1,0.19988610478359908,0.15831435079726652,0.03302961275626424
2,0.3445330296127563,0.2955580865603645,0.048405466970387244
3,0.44248291571753984,0.39123006833712987,0.06776765375854214
4,0.489749430523918,0.4510250569476082,0.08485193621867881
5,0.5273348519362187,0.4857630979498861,0.10136674259681093
6,0.5535307517084282,0.5148063781321185,0.11503416856492027
0,,,
0,0.014236902050113895,0.014236902050113895,0.014236902050113895
1,0.18166287015945332,0.15660592255125286,0.029612756264236904
2,0.3462414578587699,0.3001138952164009,0.04100227790432802
3,0.4174259681093394,0.38895216400911165,0.05239179954441914
4,0.47380410022779046,0.4510250569476082,0.06890660592255125
5,0.515375854214123,0.4891799544419134,0.08599088838268792
6,0.5484054669703873,0.5324601366742597,0.10079726651480637
0,,,
0,0.012528473804100227,0.012528473804100227,0.012528473804100227
1,0.14578587699316628,0.10022779043280182,0.02562642369020501
2,0.311503416856492,0.2511389521640091,0.044988610478359906
3,0.4288154897494305,0.35193621867881547,0.05979498861047836
4,0.47892938496583143,0.4288154897494305,0.08029612756264237
5,0.5279043280182233,0.49031890660592253,0.09624145785876993
6,0.5580865603644647,0.525626423690205,0.11389521640091116
0,,,
0,0.011958997722095672,0.011958997722095672,0.011958997722095672
1,0.14407744874715261,0.11902050113895217,0.026765375854214124
2,0.332004555808656,0.28189066059225515,0.04555808656036447
3,0.4316628701594533,0.38667425968109337,0.05922551252847381
4,0.4994305239179954,0.44874715261959,0.07403189066059225
5,0.5290432801822323,0.494874715261959,0.08997722095671981
6,0.5580865603644647,0.5353075170842825,0.10592255125284739
0,,,
0,0.02050113895216401,0.02050113895216401,0.02050113895216401
1,0.1121867881548975,0.10592255125284739,0.040432801822323464
2,0.2955580865603645,0.26594533029612755,0.05979498861047836
3,0.4162870159453303,0.3707289293849658,0.07403189066059225
4,0.4715261958997722,0.44362186788154895,0.08769931662870159
5,0.5062642369020501,0.5028473804100227,0.10421412300683372
6,0.5392938496583144,0.5296127562642369,0.11674259681093394
0,,,
0,0.011958997722095672,0.011958997722095672,0.011958997722095672
1,0.1714123006833713,0.16287015945330297,0.02562642369020501
2,0.32744874715261957,0.34054669703872437,0.037015945330296125
3,0.4271070615034169,0.4202733485193622,0.048405466970387244
4,0.49430523917995445,0.48348519362186787,0.06036446469248292
5,0.5261958997722096,0.5222095671981777,0.07801822323462415
6,0.5506833712984055,0.5421412300683371,0.0928246013667426
0,,,
0,0.014236902050113895,0.014236902050113895,0.014236902050113895
1,0.16856492027334852,0.12300683371298406,0.029612756264236904
2,0.31890660592255127,0.265375854214123,0.043849658314350795
3,0.4265375854214123,0.38439635535307515,0.06036446469248292
4,0.4772209567198178,0.44419134396355353,0.08200455580865604
5,0.5261958997722096,0.48006833712984054,0.09681093394077449
6,0.5558086560364465,0.5074031890660592,0.11161731207289294
0,,,
0,0.01366742596810934,0.01366742596810934,0.01366742596810934
1,0.12471526195899772,0.1121867881548975,0.02847380410022779
2,0.3183371298405467,0.2744874715261959,0.044988610478359906
3,0.4419134396355353,0.39749430523917995,0.06036446469248292
4,0.5011389521640092,0.4612756264236902,0.06890660592255125
5,0.5387243735763098,0.5056947608200456,0.08599088838268792
6,0.5643507972665148,0.5375854214123007,0.10250569476082004
0,,,
0,0.015375854214123007,0.015375854214123007,0.015375854214123007
1,0.17995444191343962,0.15318906605922553,0.025056947608200455
2,0.3468109339407745,0.28815489749430523,0.03986332574031891
3,0.438496583143508,0.3878132118451025,0.055239179954441914
4,0.5005694760820045,0.46070615034168566,0.0734624145785877
5,0.5330296127562643,0.5022779043280182,0.08712984054669703
6,0.5580865603644647,0.5318906605922551,0.10079726651480637
0,,,
