,MVSA_GPR_greedy,Greedy Acquisition,Random Sampling
0,0.01282051282051282,0.01282051282051282,0.01282051282051282
1,0.19373219373219372,0.16595441595441596,0.027065527065527065
2,0.4301994301994302,0.35113960113960113,0.0405982905982906
3,0.5505698005698005,0.45726495726495725,0.053418803418803416
4,0.6160968660968661,0.5484330484330484,0.0641025641025641
5,0.6602564102564102,0.5954415954415955,0.07692307692307693
6,0.6937321937321937,0.6545584045584045,0.09472934472934473
0,,,
0,0.010683760683760684,0.010683760683760684,0.010683760683760684
1,0.2621082621082621,0.202991452991453,0.030626780626780627
2,0.4131054131054131,0.36253561253561256,0.04772079772079772
3,0.48646723646723644,0.4515669515669516,0.06695156695156695
4,0.5370370370370371,0.5121082621082621,0.08190883190883191
5,0.5648148148148148,0.5541310541310541,0.099002849002849
6,0.5897435897435898,0.5847578347578347,0.11609686609686609
0,,,
0,0.009971509971509971,0.009971509971509971,0.009971509971509971
1,0.16880341880341881,0.14245014245014245,0.02207977207977208
2,0.3561253561253561,0.2913105413105413,0.0405982905982906
3,0.4650997150997151,0.40527065527065526,0.05555555555555555
4,0.5762108262108262,0.49145299145299143,0.06837606837606838
5,0.6474358974358975,0.5747863247863247,0.08547008547008547
6,0.6851851851851852,0.6331908831908832,0.10185185185185185
0,,,
0,0.013532763532763533,0.013532763532763533,0.013532763532763533
1,0.1794871794871795,0.16524216524216523,0.0292022792022792
2,0.3454415954415954,0.3319088319088319,0.04487179487179487
3,0.457977207977208,0.4686609686609687,0.053418803418803416
4,0.5740740740740741,0.5769230769230769,0.06837606837606838
5,0.6467236467236467,0.6467236467236467,0.08190883190883191
6,0.6951566951566952,0.6994301994301995,0.09757834757834757
0,,,
0,0.010683760683760684,0.010683760683760684,0.010683760683760684
1,0.13746438746438747,0.13675213675213677,0.027777777777777776
2,0.292022792022792,0.26424501424501423,0.0405982905982906
3,0.4707977207977208,0.3660968660968661,0.0584045584045584
4,0.5933048433048433,0.4672364672364672,0.07621082621082621
5,0.6730769230769231,0.5676638176638177,0.08974358974358974
6,0.7371794871794872,0.6445868945868946,0.10968660968660969
0,,,
0,0.013532763532763533,0.013532763532763533,0.013532763532763533
1,0.17806267806267806,0.1517094017094017,0.0292022792022792
2,0.3468660968660969,0.2913105413105413,0.04772079772079772
3,0.5106837606837606,0.45085470085470086,0.0584045584045584
4,0.6111111111111112,0.5648148148148148,0.07692307692307693
5,0.6652421652421653,0.6310541310541311,0.0933048433048433
6,0.7015669515669516,0.6737891737891738,0.10683760683760683
0,,,
0,0.018518518518518517,0.018518518518518517,0.018518518518518517
1,0.21367521367521367,0.202991452991453,0.03276353276353276
2,0.4415954415954416,0.3454415954415954,0.04772079772079772
3,0.5505698005698005,0.4878917378917379,0.0584045584045584
4,0.6196581196581197,0.5804843304843305,0.0811965811965812
5,0.6801994301994302,0.6488603988603988,0.10185185185185185
6,0.7215099715099715,0.6930199430199431,0.11396011396011396
0,,,
0,0.014957264957264958,0.014957264957264958,0.014957264957264958
1,0.1987179487179487,0.17663817663817663,0.03133903133903134
2,0.33547008547008544,0.34116809116809116,0.039886039886039885
3,0.49216524216524216,0.49216524216524216,0.05698005698005698
4,0.5811965811965812,0.6011396011396012,0.07193732193732194
5,0.6502849002849003,0.6873219373219374,0.08618233618233619
6,0.7222222222222222,0.7272079772079773,0.10327635327635327
0,,,
0,0.019943019943019943,0.019943019943019943,0.019943019943019943
1,0.2913105413105413,0.20512820512820512,0.037037037037037035
2,0.42806267806267806,0.38746438746438744,0.05413105413105413
3,0.5534188034188035,0.4807692307692308,0.07264957264957266
4,0.6146723646723646,0.5633903133903134,0.08547008547008547
5,0.6538461538461539,0.6232193732193733,0.09615384615384616
6,0.6894586894586895,0.665954415954416,0.10683760683760683
0,,,
0,0.014245014245014245,0.014245014245014245,0.014245014245014245
1,0.14316239316239315,0.11253561253561253,0.027777777777777776
2,0.36752136752136755,0.27635327635327633,0.045584045584045586
3,0.4878917378917379,0.4252136752136752,0.06196581196581197
4,0.5854700854700855,0.5135327635327636,0.08048433048433049
5,0.6602564102564102,0.5876068376068376,0.10042735042735043
6,0.6930199430199431,0.6289173789173789,0.11324786324786325
0,,,
