,MVSA_GPR_greedy,Greedy Acquisition,Random Sampling
0,4475.073396444321,8.885706663131714,2.713338851928711
0,,,
0,4474.978444337845,5.136604070663452,2.7112836837768555
0,,,
0,4488.489778280258,5.144345283508301,2.6999895572662354
0,,,
0,4455.629667758942,5.216876745223999,2.7074596881866455
0,,,
0,4476.297838687897,5.1324756145477295,2.7033557891845703
0,,,
0,4464.230721712112,5.145487546920776,2.7093522548675537
0,,,
0,4472.831929922104,5.098751068115234,2.708662986755371
0,,,
0,4484.817997932434,5.103732585906982,2.7249794006347656
0,,,
0,4476.6834099292755,7.684006214141846,2.6978871822357178
0,,,
0,4468.13038444519,5.097603797912598,2.7016091346740723
0,,,
