,MVSA_GPR_greedy,Greedy Acquisition,Random Sampling
0,0.015060240963855422,0.015060240963855422,0.015060240963855422
1,0.1932013769363167,0.18717728055077454,0.03141135972461274
2,0.3635972461273666,0.3386402753872633,0.04604130808950086
3,0.47117039586919107,0.4462134251290878,0.06153184165232358
4,0.5503442340791739,0.5339931153184165,0.0761617900172117
5,0.6140275387263339,0.6002581755593803,0.08820998278829605
6,0.6660929432013769,0.6385542168674698,0.10327022375215146
0,,,
0,0.012048192771084338,0.012048192771084338,0.012048192771084338
1,0.17728055077452667,0.1703958691910499,0.02882960413080895
2,0.35240963855421686,0.3270223752151463,0.04130808950086059
3,0.4961273666092943,0.4462134251290878,0.058519793459552494
4,0.5602409638554217,0.5357142857142857,0.0757314974182444
5,0.6222030981067126,0.5959552495697074,0.08691910499139414
6,0.6613597246127366,0.6364027538726333,0.10197934595524957
0,,,
0,0.015060240963855422,0.015060240963855422,0.015060240963855422
1,0.2117039586919105,0.18588640275387264,0.026247848537005163
2,0.37865748709122204,0.3300344234079174,0.04044750430292599
3,0.459552495697074,0.4255593803786575,0.05206540447504303
4,0.5413080895008606,0.5154905335628227,0.06583476764199656
5,0.6230636833046471,0.5864888123924269,0.07874354561101549
6,0.669104991394148,0.6342512908777969,0.09466437177280551
0,,,
0,0.012048192771084338,0.012048192771084338,0.012048192771084338
1,0.13941480206540446,0.12263339070567986,0.027538726333907058
2,0.34165232358003444,0.2990533562822719,0.043029259896729774
3,0.4642857142857143,0.46686746987951805,0.060240963855421686
4,0.5395869191049913,0.5512048192771084,0.07530120481927711
5,0.6080034423407917,0.6088640275387264,0.09380378657487091
6,0.6635111876075731,0.6592082616179001,0.10972461273666093
0,,,
0,0.01721170395869191,0.01721170395869191,0.01721170395869191
1,0.25,0.21686746987951808,0.03313253012048193
2,0.3876936316695353,0.35542168674698793,0.04862306368330465
3,0.48838209982788294,0.45051635111876076,0.06325301204819277
4,0.5666953528399311,0.5228055077452668,0.07960413080895008
5,0.6351118760757315,0.5851979345955249,0.09294320137693632
6,0.6772805507745266,0.6462994836488812,0.10628227194492254
0,,,
0,0.015920826161790018,0.015920826161790018,0.015920826161790018
1,0.1923407917383821,0.16394148020654045,0.031841652323580036
2,0.37865748709122204,0.31411359724612736,0.04604130808950086
3,0.5034423407917383,0.4462134251290878,0.05895008605851979
4,0.5783132530120482,0.5301204819277109,0.07013769363166954
5,0.6497418244406197,0.5882099827882961,0.08950086058519793
6,0.6910499139414802,0.641566265060241,0.10283993115318417
0,,,
0,0.01161790017211704,0.01161790017211704,0.01161790017211704
1,0.20137693631669534,0.1746987951807229,0.03700516351118761
2,0.34982788296041306,0.3420826161790017,0.05120481927710843
3,0.4617039586919105,0.4556798623063683,0.06583476764199656
4,0.5658347676419966,0.5331325301204819,0.07874354561101549
5,0.6282271944922547,0.5912220309810671,0.09251290877796901
6,0.6686746987951807,0.6540447504302926,0.10370051635111877
0,,,
0,0.016781411359724614,0.016781411359724614,0.016781411359724614
1,0.21557659208261618,0.1914802065404475,0.03055077452667814
2,0.3730636833046472,0.34380378657487093,0.04345955249569707
3,0.4892426850258176,0.45309810671256456,0.05895008605851979
4,0.5666953528399311,0.5283993115318416,0.07444061962134252
5,0.637263339070568,0.5912220309810671,0.09036144578313253
6,0.6811531841652324,0.6454388984509466,0.10886402753872633
0,,,
0,0.014629948364888123,0.014629948364888123,0.014629948364888123
1,0.21815834767641998,0.1901893287435456,0.02882960413080895
2,0.3614457831325301,0.346815834767642,0.04604130808950086
3,0.49311531841652323,0.4341652323580034,0.06110154905335628
4,0.5662650602409639,0.5146299483648882,0.07271944922547333
5,0.6166092943201377,0.5976764199655766,0.08648881239242685
6,0.6480206540447504,0.648881239242685,0.10283993115318417
0,,,
0,0.012478485370051634,0.012478485370051634,0.012478485370051634
1,0.17555938037865748,0.12865748709122204,0.02882960413080895
2,0.33218588640275387,0.2706540447504303,0.047332185886402756
3,0.4496557659208262,0.40146299483648884,0.06669535283993115
4,0.5778829604130808,0.5030120481927711,0.07917383820998279
5,0.6411359724612736,0.5907917383820999,0.09036144578313253
6,0.6807228915662651,0.6424268502581756,0.10499139414802065
0,,,
