,MVSA_GPR_greedy,Greedy Acquisition,Random Sampling
0,0.013060076351215592,0.013060076351215592,0.013060076351215592
1,0.06349206349206349,0.05364677516576251,0.029535864978902954
2,0.13642756680731363,0.10849909584086799,0.045408880851918826
3,0.19971870604781997,0.16817359855334538,0.06369298774362066
4,0.2545710267229255,0.22483423749246534,0.07876230661040788
5,0.30018083182640143,0.27245328511151296,0.0916214587100663
6,0.341571227647177,0.313240908177617,0.10729355033152502
0,,,
0,0.017882258388587504,0.017882258388587504,0.017882258388587504
1,0.08358448864777979,0.06911794253566406,0.031746031746031744
2,0.14486638537271448,0.12055455093429777,0.04781997187060478
3,0.20594735784609203,0.17118746232670284,0.06550130600763512
4,0.2607996785211975,0.22443238898935103,0.08057062487442235
5,0.30982519590114527,0.2754671488848704,0.09503717098653808
6,0.352622061482821,0.3210769539883464,0.1101064898533253
0,,,
0,0.012658227848101266,0.012658227848101266,0.012658227848101266
1,0.05404862366887683,0.05163753265019088,0.0287321679726743
2,0.1209563994374121,0.10407876230661041,0.04279686558167571
3,0.1908780389793048,0.16616435603777377,0.05726341169379144
4,0.24331926863572434,0.22845087402049427,0.07293550331525014
5,0.29053646775165765,0.2764717701426562,0.08740204942736589
6,0.3379545911191481,0.3182640144665461,0.1014667470363673
0,,,
0,0.018083182640144666,0.018083182640144666,0.018083182640144666
1,0.0650994575045208,0.05947357846092023,0.03475989551938919
2,0.14386176411492868,0.12135824794052642,0.05063291139240506
3,0.2011251758087201,0.17580872011251758,0.06389391199517781
4,0.25195901145268235,0.22382961623467953,0.07815953385573639
5,0.2987743620655013,0.26441631504922647,0.09182238296162347
6,0.34297769740807715,0.304601165360659,0.10367691380349608
0,,,
0,0.013461924854329918,0.013461924854329918,0.013461924854329918
1,0.05364677516576251,0.048824593128390596,0.025517379947759693
2,0.10930279284709664,0.09865380751456701,0.040988547317661245
3,0.1729957805907173,0.1506931886678722,0.05505324492666265
4,0.2298573437813944,0.19107896323086196,0.06771147277476391
5,0.2863170584689572,0.23930078360458107,0.08599557966646575
6,0.332931484830219,0.278681936909785,0.09965842877235283
0,,,
0,0.014466546112115732,0.014466546112115732,0.014466546112115732
1,0.06389391199517781,0.05183845690174804,0.03234880450070324
2,0.13441832429174203,0.09684548925055254,0.047619047619047616
3,0.20775567611010648,0.16073940124573036,0.06389391199517781
4,0.26059875426964035,0.2180028129395218,0.07655213984327909
5,0.3124372111713884,0.2672292545710267,0.09182238296162347
6,0.3504118947156922,0.31303998392605986,0.10508338356439623
0,,,
0,0.012457303596544103,0.012457303596544103,0.012457303596544103
1,0.0721318063090215,0.06329113924050633,0.025517379947759693
2,0.14888487040385776,0.12015270243118345,0.039783001808318265
3,0.20755475185854932,0.17882258388587502,0.053445850914205346
4,0.25195901145268235,0.23126381354229456,0.06751054852320675
5,0.30018083182640143,0.2776773156519992,0.08177617038376532
6,0.3345388788426763,0.30721318063090214,0.0992565802692385
0,,,
0,0.015471167369901548,0.015471167369901548,0.015471167369901548
1,0.06771147277476391,0.06168374522804902,0.02853124372111714
2,0.14546915812738598,0.13220815752461323,0.04259594133011854
3,0.2039381153305204,0.19811131203536267,0.05525416917821981
4,0.2636126180429978,0.24874422342776772,0.07072533654812135
5,0.31585292344786015,0.28872814948764314,0.08740204942736589
6,0.353827606992164,0.3285111512959614,0.10407876230661041
0,,,
0,0.019288728149487643,0.019288728149487643,0.019288728149487643
1,0.08318264014466546,0.0705244122965642,0.03355435001004621
2,0.15551537070524413,0.1328109302792847,0.049829214386176414
3,0.2206148282097649,0.19107896323086196,0.06530038175607795
4,0.26883664858348405,0.23709061683745228,0.08036970062286518
5,0.3152501506931887,0.2833031946955998,0.09724733775366687
6,0.3542294554952783,0.324291742013261,0.11211573236889692
0,,,
0,0.015069318866787222,0.015069318866787222,0.015069318866787222
1,0.0699216395418927,0.061080972473377536,0.029535864978902954
2,0.13582479405264217,0.11854530841872614,0.04560980510347599
3,0.19168173598553345,0.1735985533453888,0.06027727546714889
4,0.25155716294956804,0.22724532851115128,0.0759493670886076
5,0.29897528631705844,0.2726542093630701,0.09081776170383765
6,0.341571227647177,0.31143258991360256,0.10327506530038176
0,,,
