,MVSA_GPR_greedy,Greedy Acquisition,Random Sampling
0,0.017417162276975363,0.017417162276975363,0.017417162276975363
1,0.1826677994902294,0.16482582837723025,0.034834324553950725
2,0.33857264231096007,0.30416312659303313,0.04885301614273577
3,0.42693288020390824,0.4048428207306712,0.06159728122344945
4,0.48300764655904843,0.4728122344944775,0.07349192863211555
5,0.5373831775700935,0.5165675446049278,0.09005947323704333
6,0.5921835174171622,0.5594732370433305,0.10407816482582838
0,,,
0,0.01656754460492778,0.01656754460492778,0.01656754460492778
1,0.19583687340696687,0.16397621070518267,0.02931180968564146
2,0.3389974511469839,0.2824978759558199,0.04800339847068819
3,0.4235344095157179,0.381053525913339,0.0632965165675446
4,0.4893797790994053,0.4447748513169074,0.07689039932030586
5,0.5539507221750213,0.49065420560747663,0.0951571792693288
6,0.607051826677995,0.5344095157179269,0.10917587085811385
0,,,
0,0.013169073916737469,0.013169073916737469,0.013169073916737469
1,0.16907391673746813,0.15717926932880205,0.03143585386576041
2,0.326677994902294,0.3211554800339847,0.04630416312659303
3,0.4175870858113849,0.39167374681393374,0.059473237043330504
4,0.48640611724723876,0.4532710280373832,0.07604078164825828
5,0.5458793542905692,0.5,0.09430756159728122
6,0.5900594732370433,0.5446049277824979,0.11045029736618521
0,,,
0,0.015293118096856415,0.015293118096856415,0.015293118096856415
1,0.17374681393372982,0.15123194562446898,0.03058623619371283
2,0.3190314358538658,0.28802039082412917,0.04672897196261682
3,0.403143585386576,0.364910790144435,0.05777400169923534
4,0.4821580288870008,0.4235344095157179,0.07221750212404418
5,0.5433305012744265,0.46983857264231094,0.08878504672897196
6,0.5981308411214953,0.5237892948173322,0.10917587085811385
0,,,
0,0.019966015293118096,0.019966015293118096,0.019966015293118096
1,0.18861512319456245,0.1469838572642311,0.033559898045879354
2,0.3445199660152931,0.2897196261682243,0.0475785896346644
3,0.4324553950722175,0.37638062871707734,0.06287170773152082
4,0.5012744265080714,0.4532710280373832,0.07858963466440103
5,0.5607476635514018,0.5038232795242141,0.09600679694137638
6,0.62107051826678,0.5539507221750213,0.11299915038232795
0,,,
0,0.019116397621070518,0.019116397621070518,0.019116397621070518
1,0.20390824129141885,0.16142735768903993,0.037807986406117246
2,0.37638062871707734,0.3173322005097706,0.05097706032285471
3,0.4447748513169074,0.4035683942225998,0.07009345794392523
4,0.4970263381478335,0.47111299915038235,0.08581138487680544
5,0.5484282073067119,0.5216652506372133,0.10110450297366186
6,0.5934579439252337,0.5590484282073067,0.11682242990654206
0,,,
0,0.014868309260832626,0.014868309260832626,0.014868309260832626
1,0.17034834324553952,0.14358538657604078,0.028462192013593884
2,0.33305012744265083,0.29184367034834324,0.04248088360237893
3,0.4201359388275276,0.38317757009345793,0.055649957519116396
4,0.48300764655904843,0.4532710280373832,0.07094307561597281
5,0.5424808836023789,0.5144435004248088,0.0913338997451147
6,0.5904842820730671,0.5628717077315208,0.10365335598980459
0,,,
0,0.019966015293118096,0.019966015293118096,0.019966015293118096
1,0.17544604927782498,0.16567544604927784,0.03695836873406967
2,0.3220050977060323,0.29524214103653357,0.05352591333899745
3,0.44010195412064573,0.39167374681393374,0.0637213254035684
4,0.5072217502124045,0.45751911639762105,0.0794392523364486
5,0.5628717077315208,0.5174171622769753,0.09303313508920985
6,0.6121495327102804,0.5671197960917587,0.10832625318606627
0,,,
0,0.015293118096856415,0.015293118096856415,0.015293118096856415
1,0.1941376380628717,0.16737468139337297,0.03143585386576041
2,0.33262531860662703,0.28759558198810536,0.04800339847068819
3,0.4175870858113849,0.3674596431605777,0.06414613423959219
4,0.47790994052676294,0.43797790994052677,0.07858963466440103
5,0.5399320305862362,0.5008496176720476,0.09260832625318606
6,0.5960067969413764,0.546304163126593,0.10577740016992354
0,,,
0,0.016992353440951572,0.016992353440951572,0.016992353440951572
1,0.159303313508921,0.14953271028037382,0.0318606627017842
2,0.3258283772302464,0.30416312659303313,0.04970263381478335
3,0.4167374681393373,0.3827527612574342,0.06542056074766354
4,0.48343245539507224,0.4409515717926933,0.0875106202209006
5,0.5471537807986406,0.49447748513169076,0.10110450297366186
6,0.5977060322854716,0.546304163126593,0.12022090059473237
0,,,
