,MVSA_GPR_greedy,Greedy Acquisition,Random Sampling
0,0.015466408893185114,0.015466408893185114,0.015466408893185114
1,0.0763653939101015,0.07757370710488158,0.027791203479942
2,0.14258095698405027,0.13508941517641374,0.04204929917834703
3,0.2124214596423393,0.19260512324794588,0.05775737071048816
4,0.263895601739971,0.2414209763170614,0.07346544224262928
5,0.31222812953117446,0.28999516674722087,0.09134847752537457
6,0.36152730787820203,0.3347027549540841,0.10439826002899952
0,,,
0,0.013533107781536975,0.013533107781536975,0.013533107781536975
1,0.08023199613339778,0.06718221362977284,0.027307878202029966
2,0.1483808603189947,0.12566457225712904,0.04229096181730305
3,0.21314644755920734,0.1848719188013533,0.05534074432092798
4,0.2709038182696955,0.2373127114548091,0.07032382793620107
5,0.32576123731271145,0.2849202513291445,0.08699855002416626
6,0.37409376510391495,0.3318028032866119,0.10028999516674722
0,,,
0,0.016916384726921217,0.016916384726921217,0.016916384726921217
1,0.07249879168680522,0.0625906234896085,0.029966167230546157
2,0.13412276462058967,0.1179313678105365,0.04325761237312711
3,0.19695505074915418,0.18173030449492508,0.06017399710004833
4,0.25640405993233445,0.23779603673272112,0.07346544224262928
5,0.3112614789753504,0.2902368293861769,0.08844852585790237
6,0.36926051232479457,0.3383276945384244,0.10608989850169163
0,,,
0,0.01836636056065732,0.01836636056065732,0.01836636056065732
1,0.0874818753020783,0.07612373127114548,0.03141614306428226
2,0.16070565490575156,0.13388110198163364,0.04639922667955534
3,0.2235379410343161,0.18559690671822135,0.05824069598840019
4,0.27525374577090383,0.23779603673272112,0.07394876752054133
5,0.3260028999516675,0.28516191396810053,0.08917351377477042
6,0.3777187046882552,0.333011116481392,0.10198163363943934
0,,,
0,0.013291445142580956,0.013291445142580956,0.013291445142580956
1,0.06500724987916869,0.05799903334944417,0.02972450459159014
2,0.13847269212179797,0.11092315128081198,0.04494925084581924
3,0.2015466408893185,0.17762203963267278,0.059207346544224264
4,0.25640405993233445,0.22957950700821653,0.07394876752054133
5,0.3110198163363944,0.2808119864668922,0.08893185113581441
6,0.36321894635089413,0.3284195263412276,0.10391493475108748
0,,,
0,0.013774770420492992,0.013774770420492992,0.013774770420492992
1,0.07201546640889318,0.0666988883518608,0.030932817786370227
2,0.13678105364910584,0.1304978250362494,0.044465925567907204
3,0.19405509908168198,0.1904301594973417,0.06017399710004833
4,0.2624456259062349,0.24552924117931368,0.07419043015949735
5,0.3262445625906235,0.29217013049782503,0.08820686321894636
6,0.37868535524407926,0.3344610923151281,0.10077332044465925
0,,,
0,0.015949734171097147,0.015949734171097147,0.015949734171097147
1,0.07249879168680522,0.07153214113098115,0.03165780570323828
2,0.14064765587240213,0.12953117448042534,0.04639922667955534
3,0.20517158047365877,0.18535524407926535,0.060657322377960364
4,0.2667955534074432,0.23803769937167713,0.07467375543740938
5,0.3185113581440309,0.2861285645239246,0.09086515224746254
6,0.36732721121314643,0.3320444659255679,0.10608989850169163
0,,,
0,0.014983083615273078,0.014983083615273078,0.014983083615273078
1,0.0763653939101015,0.06839052682455292,0.029241179313678107
2,0.13122281295311744,0.1152730787820203,0.0430159497341711
3,0.19478008699855,0.16167230546157563,0.05727404543257612
4,0.2580956984050266,0.21483808603189947,0.069357177380377
5,0.319236346060899,0.26413726437892704,0.08579023682938618
6,0.36756887385210246,0.3119864668922185,0.09980666988883519
0,,,
0,0.016433059449009184,0.016433059449009184,0.016433059449009184
1,0.07201546640889318,0.06694055099081682,0.032382793620106334
2,0.13025616239729337,0.12107298211696471,0.045915901401643304
3,0.18728854519091348,0.17955534074432092,0.06089898501691639
4,0.24504591590140165,0.2261962300628323,0.07854035766070565
5,0.2967617206379894,0.2721121314644756,0.09279845335911067
6,0.3595940067665539,0.3168197196713388,0.10584823586273562
0,,,
0,0.015949734171097147,0.015949734171097147,0.015949734171097147
1,0.08240695988400193,0.08240695988400193,0.03262445625906235
2,0.15369743837602706,0.14088931851135814,0.04809086515224746
3,0.21894635089415176,0.1959884001933301,0.0625906234896085
4,0.27573707104881584,0.24649589173513775,0.07926534557757371
5,0.3308361527307878,0.29072015466408896,0.09424842919284679
6,0.3832769453842436,0.33808603189946834,0.10995650072498792
0,,,
