,MVSA_GPR_greedy,Greedy Acquisition,Random Sampling
0,0.021164021164021163,0.021164021164021163,0.021164021164021163
1,0.1402116402116402,0.09523809523809523,0.03505291005291005
2,0.26851851851851855,0.2056878306878307,0.05026455026455026
3,0.33994708994708994,0.2804232804232804,0.0701058201058201
4,0.3968253968253968,0.3406084656084656,0.08664021164021164
5,0.4298941798941799,0.38293650793650796,0.10119047619047619
6,0.4523809523809524,0.41005291005291006,0.11574074074074074
0,,,
0,0.00992063492063492,0.00992063492063492,0.00992063492063492
1,0.07605820105820106,0.0667989417989418,0.027116402116402115
2,0.15079365079365079,0.13095238095238096,0.03968253968253968
3,0.22420634920634921,0.1984126984126984,0.056216931216931214
4,0.32671957671957674,0.2843915343915344,0.07275132275132275
5,0.3835978835978836,0.34854497354497355,0.09060846560846561
6,0.42658730158730157,0.39285714285714285,0.1078042328042328
0,,,
0,0.01521164021164021,0.01521164021164021,0.01521164021164021
1,0.08002645502645503,0.0787037037037037,0.028439153439153438
2,0.17857142857142858,0.13690476190476192,0.03968253968253968
3,0.29365079365079366,0.20965608465608465,0.05423280423280423
4,0.34523809523809523,0.30158730158730157,0.06349206349206349
5,0.38822751322751325,0.3531746031746032,0.07671957671957672
6,0.41534391534391535,0.3888888888888889,0.09391534391534391
0,,,
0,0.01455026455026455,0.01455026455026455,0.01455026455026455
1,0.05291005291005291,0.04431216931216931,0.031746031746031744
2,0.1335978835978836,0.09854497354497355,0.04298941798941799
3,0.2294973544973545,0.17857142857142858,0.0582010582010582
4,0.32076719576719576,0.26587301587301587,0.07605820105820106
5,0.375,0.33201058201058203,0.08597883597883597
6,0.4080687830687831,0.37367724867724866,0.10251322751322751
0,,,
0,0.018518518518518517,0.018518518518518517,0.018518518518518517
1,0.0958994708994709,0.07804232804232804,0.036375661375661374
2,0.21031746031746032,0.1746031746031746,0.05092592592592592
3,0.2718253968253968,0.24206349206349206,0.06812169312169312
4,0.32076719576719576,0.29828042328042326,0.08068783068783068
5,0.36706349206349204,0.3392857142857143,0.09656084656084656
6,0.421957671957672,0.373015873015873,0.10846560846560846
0,,,
0,0.016534391534391533,0.016534391534391533,0.016534391534391533
1,0.08597883597883597,0.06878306878306878,0.03306878306878307
2,0.18253968253968253,0.15211640211640212,0.04365079365079365
3,0.24537037037037038,0.2400793650793651,0.06084656084656084
4,0.3062169312169312,0.31084656084656087,0.07341269841269842
5,0.36772486772486773,0.3611111111111111,0.08928571428571429
6,0.4007936507936508,0.4001322751322751,0.10515873015873016
0,,,
0,0.013227513227513227,0.013227513227513227,0.013227513227513227
1,0.10251322751322751,0.07936507936507936,0.0291005291005291
2,0.24206349206349206,0.20502645502645503,0.04497354497354497
3,0.2996031746031746,0.2804232804232804,0.0582010582010582
4,0.35383597883597884,0.335978835978836,0.07473544973544974
5,0.3835978835978836,0.37103174603174605,0.09060846560846561
6,0.4041005291005291,0.40674603174603174,0.10582010582010581
0,,,
0,0.01455026455026455,0.01455026455026455,0.01455026455026455
1,0.09259259259259259,0.08267195767195767,0.027116402116402115
2,0.18055555555555555,0.15542328042328044,0.047619047619047616
3,0.25066137566137564,0.22486772486772486,0.061507936507936505
4,0.32076719576719576,0.2698412698412698,0.07076719576719577
5,0.3783068783068783,0.32076719576719576,0.08796296296296297
6,0.4298941798941799,0.3683862433862434,0.10383597883597884
0,,,
0,0.015873015873015872,0.015873015873015872,0.015873015873015872
1,0.09391534391534391,0.08597883597883597,0.0291005291005291
2,0.207010582010582,0.167989417989418,0.04365079365079365
3,0.294973544973545,0.251984126984127,0.0582010582010582
4,0.3664021164021164,0.333994708994709,0.07936507936507936
5,0.4087301587301587,0.376984126984127,0.09060846560846561
6,0.44312169312169314,0.40674603174603174,0.10515873015873016
0,,,
0,0.013227513227513227,0.013227513227513227,0.013227513227513227
1,0.09391534391534391,0.08597883597883597,0.02976190476190476
2,0.23544973544973544,0.21031746031746032,0.04431216931216931
3,0.29894179894179895,0.27843915343915343,0.06018518518518518
4,0.3544973544973545,0.32936507936507936,0.07473544973544974
5,0.41203703703703703,0.38227513227513227,0.08994708994708994
6,0.4365079365079365,0.4087301587301587,0.10648148148148148
0,,,
