,MVSA_GPR_greedy,Greedy Acquisition,Random Sampling
0,0.014964788732394365,0.014964788732394365,0.014964788732394365
1,0.030809859154929578,0.028169014084507043,0.027288732394366196
2,0.0721830985915493,0.05369718309859155,0.03697183098591549
3,0.10299295774647887,0.07746478873239436,0.05193661971830986
4,0.11883802816901408,0.10035211267605634,0.0721830985915493
5,0.136443661971831,0.11707746478873239,0.08538732394366197
6,0.14524647887323944,0.12940140845070422,0.0977112676056338
0,,,
0,0.014964788732394365,0.014964788732394365,0.014964788732394365
1,0.03609154929577465,0.03169014084507042,0.03345070422535211
2,0.056338028169014086,0.05545774647887324,0.0448943661971831
3,0.08274647887323944,0.07922535211267606,0.06338028169014084
4,0.1056338028169014,0.1056338028169014,0.07482394366197183
5,0.12852112676056338,0.12147887323943662,0.09242957746478873
6,0.14612676056338028,0.13204225352112675,0.10651408450704225
0,,,
0,0.017605633802816902,0.017605633802816902,0.017605633802816902
1,0.035211267605633804,0.030809859154929578,0.028169014084507043
2,0.05017605633802817,0.04753521126760563,0.0448943661971831
3,0.08538732394366197,0.07306338028169014,0.05897887323943662
4,0.1073943661971831,0.09330985915492958,0.07746478873239436
5,0.12588028169014084,0.11355633802816902,0.09330985915492958
6,0.1426056338028169,0.13556338028169015,0.10915492957746478
0,,,
0,0.014964788732394365,0.014964788732394365,0.014964788732394365
1,0.037852112676056336,0.03345070422535211,0.028169014084507043
2,0.06514084507042253,0.058098591549295774,0.04137323943661972
3,0.07834507042253522,0.07658450704225352,0.0625
4,0.09066901408450705,0.09419014084507042,0.07922535211267606
5,0.1073943661971831,0.10915492957746478,0.09507042253521127
6,0.12147887323943662,0.11971830985915492,0.11091549295774648
0,,,
0,0.009683098591549295,0.009683098591549295,0.009683098591549295
1,0.02640845070422535,0.028169014084507043,0.022007042253521125
2,0.0448943661971831,0.03697183098591549,0.040492957746478875
3,0.06866197183098592,0.05985915492957746,0.0528169014084507
4,0.10035211267605634,0.07306338028169014,0.06866197183098592
5,0.12235915492957747,0.09595070422535211,0.09242957746478873
6,0.13732394366197184,0.11091549295774648,0.1073943661971831
0,,,
0,0.01936619718309859,0.01936619718309859,0.01936619718309859
1,0.04841549295774648,0.0448943661971831,0.032570422535211266
2,0.0721830985915493,0.07306338028169014,0.05017605633802817
3,0.08626760563380281,0.0880281690140845,0.05897887323943662
4,0.10827464788732394,0.10475352112676056,0.07482394366197183
5,0.12940140845070422,0.12323943661971831,0.08538732394366197
6,0.1522887323943662,0.1329225352112676,0.10123239436619719
0,,,
0,0.011443661971830986,0.011443661971830986,0.011443661971830986
1,0.03169014084507042,0.030809859154929578,0.025528169014084508
2,0.04929577464788732,0.037852112676056336,0.03433098591549296
3,0.0818661971830986,0.05721830985915493,0.04753521126760563
4,0.10475352112676056,0.07570422535211267,0.06690140845070422
5,0.12323943661971831,0.09683098591549295,0.08450704225352113
6,0.1382042253521127,0.12323943661971831,0.09683098591549295
0,,,
0,0.014964788732394365,0.014964788732394365,0.014964788732394365
1,0.032570422535211266,0.03433098591549296,0.03609154929577465
2,0.05457746478873239,0.051056338028169015,0.05457746478873239
3,0.07042253521126761,0.07306338028169014,0.07130281690140845
4,0.0818661971830986,0.09419014084507042,0.0880281690140845
5,0.09683098591549295,0.12235915492957747,0.0994718309859155
6,0.11619718309859155,0.13732394366197184,0.12147887323943662
0,,,
0,0.01232394366197183,0.01232394366197183,0.01232394366197183
1,0.03345070422535211,0.027288732394366196,0.027288732394366196
2,0.06514084507042253,0.05193661971830986,0.040492957746478875
3,0.09242957746478873,0.0801056338028169,0.05457746478873239
4,0.11707746478873239,0.10035211267605634,0.06954225352112677
5,0.14172535211267606,0.11179577464788733,0.08626760563380281
6,0.15580985915492956,0.13028169014084506,0.10123239436619719
0,,,
0,0.01232394366197183,0.01232394366197183,0.01232394366197183
1,0.03345070422535211,0.02992957746478873,0.025528169014084508
2,0.061619718309859156,0.04753521126760563,0.03961267605633803
3,0.09330985915492958,0.07658450704225352,0.05193661971830986
4,0.11003521126760564,0.10123239436619719,0.0721830985915493
5,0.12852112676056338,0.11267605633802817,0.0897887323943662
6,0.14084507042253522,0.12588028169014084,0.11091549295774648
0,,,
