,MVSA_GPR_greedy,Greedy Acquisition,Random Sampling
0,0.017703591299949417,0.017703591299949417,0.017703591299949417
1,0.13707637835103692,0.12493677288821446,0.029843196762771876
2,0.31208902377339404,0.24987354577642892,0.041982802225594334
3,0.456752655538695,0.3449671219018715,0.05513404147698533
4,0.5321193727870511,0.4668689934243804,0.06474456246838645
5,0.5897824987354577,0.5240263024785028,0.08093070308548306
6,0.6267071320182094,0.5730905412240769,0.09863429438543247
0,,,
0,0.020738492665655032,0.020738492665655032,0.020738492665655032
1,0.27718765806777945,0.25139099645928176,0.03743045017703591
2,0.417298937784522,0.3813859382903389,0.05108750632271118
3,0.47395042994436015,0.4790085988872028,0.06980273141122914
4,0.541224076884168,0.5316135558927668,0.0834597875569044
5,0.5928174001011633,0.5685381891755185,0.09812847749114821
6,0.6337885685381892,0.6069802731411229,0.1112797167425392
0,,,
0,0.015174506828528073,0.015174506828528073,0.015174506828528073
1,0.22458270106221548,0.19726858877086495,0.028831562974203338
2,0.32524026302478504,0.296914516944866,0.04704097116843703
3,0.39807789580171976,0.3505311077389985,0.06272129489124936
4,0.5007587253414264,0.40010116337885687,0.07941325240263025
5,0.543247344461305,0.4658573596358118,0.09509357612544259
6,0.5882650480526049,0.5351542741527567,0.11178553363682348
0,,,
0,0.013657056145675266,0.013657056145675266,0.013657056145675266
1,0.19322205361659078,0.15832068791097623,0.028831562974203338
2,0.38239757207890746,0.3287809812847749,0.03995953464845726
3,0.4648457258472433,0.43601416287303996,0.05614567526555387
4,0.5063227111785533,0.48356095093576124,0.0672736469398078
5,0.5538694992412747,0.530096105209914,0.07941325240263025
6,0.5933232169954477,0.5897824987354577,0.09610520991401113
0,,,
0,0.014668689934243804,0.014668689934243804,0.014668689934243804
1,0.25290844714213456,0.225594334850784,0.030349013657056147
2,0.3596358118361153,0.31967627718765806,0.041982802225594334
3,0.45624683864441073,0.404147698533131,0.057663125948406675
4,0.5392008093070308,0.4921598381385938,0.06929691451694486
5,0.5953464845725848,0.5422357106727365,0.08801213960546282
6,0.6368234699038948,0.5877592311583207,0.10166919575113809
0,,,
0,0.010622154779969651,0.010622154779969651,0.010622154779969651
1,0.2078907435508346,0.16439049064238745,0.024279210925644917
2,0.3844208396560445,0.28730399595346484,0.036418816388467376
3,0.4683864441072332,0.4162873039959535,0.04957005563985837
4,0.5194739504299444,0.47698533131006576,0.06575619625695499
5,0.5670207384926657,0.5169448659585231,0.07789580171977745
6,0.6039453717754173,0.5644916540212443,0.09104704097116843
0,,,
0,0.012645422357106728,0.012645422357106728,0.012645422357106728
1,0.18158826504805262,0.17551846231664137,0.025290844714213456
2,0.3227111785533637,0.29387961557916037,0.03844208396560445
3,0.4218512898330804,0.39858371269600407,0.057157309054122404
4,0.5017703591299949,0.4663631765300961,0.07233181588265047
5,0.5589276681841173,0.514921598381386,0.09104704097116843
6,0.6095093576125442,0.5589276681841173,0.10773899848254932
0,,,
0,0.010622154779969651,0.010622154779969651,0.010622154779969651
1,0.16742539200809306,0.12139605462822459,0.03136064744562468
2,0.2559433485078402,0.2696004046535154,0.04400606980273141
3,0.4071825998988366,0.4046535154274153,0.05918057663125948
4,0.5017703591299949,0.48861911987860396,0.07587253414264036
5,0.5644916540212443,0.5321193727870511,0.09357612544258978
6,0.603439554881133,0.5680323722812342,0.10824481537683359
0,,,
0,0.01618614061709661,0.01618614061709661,0.01618614061709661
1,0.21851289833080426,0.18158826504805262,0.030854830551340414
2,0.35002529084471423,0.27921092564491656,0.04400606980273141
3,0.4355083459787557,0.36924633282751645,0.06322711178553364
4,0.5139099645928173,0.4253920080930703,0.07890743550834597
5,0.5877592311583207,0.49822964087000504,0.09661102680829539
6,0.6262013151239252,0.5574102175012645,0.11380880121396054
0,,,
0,0.018209408194233688,0.018209408194233688,0.018209408194233688
1,0.23267577137076378,0.2438037430450177,0.03388973191704603
2,0.3874557410217501,0.3697521497218007,0.04602933737986849
3,0.47243297926150735,0.4496712190187152,0.06069802731411229
4,0.5316135558927668,0.5083459787556904,0.07435508345978756
5,0.5852301466868993,0.5558927668184117,0.08851795649974709
6,0.6312594840667678,0.5872534142640364,0.10217501264542236
0,,,
