,MVSA_GPR_greedy,Greedy Acquisition,Random Sampling
0,0.016004415011037526,0.016004415011037526,0.016004415011037526
1,0.15562913907284767,0.13603752759381899,0.03090507726269316
2,0.2803532008830022,0.2563465783664459,0.04608167770419426
3,0.36009933774834435,0.36037527593818985,0.05932671081677704
4,0.46799116997792495,0.44150110375275936,0.07422737306843268
5,0.5331125827814569,0.5055187637969095,0.09105960264900662
6,0.5963024282560706,0.5549116997792495,0.1065121412803532
0,,,
0,0.014900662251655629,0.014900662251655629,0.014900662251655629
1,0.16445916114790288,0.141280353200883,0.03173289183222958
2,0.2980132450331126,0.2682119205298013,0.04525386313465784
3,0.38769315673289184,0.3515452538631347,0.06098233995584989
4,0.4806843267108168,0.44729580573951433,0.07643487858719647
5,0.5460816777041942,0.5149006622516556,0.08857615894039735
6,0.5990618101545254,0.5626379690949227,0.10347682119205298
0,,,
0,0.016280353200883002,0.016280353200883002,0.016280353200883002
1,0.15397350993377484,0.14652317880794702,0.03421633554083885
2,0.29939293598233996,0.27566225165562913,0.04966887417218543
3,0.39100441501103755,0.3681015452538631,0.06567328918322296
4,0.44839955849889623,0.44646799116997793,0.07947019867549669
5,0.5121412803532008,0.4988962472406181,0.0957505518763797
6,0.5783664459161147,0.5471854304635762,0.11092715231788079
0,,,
0,0.016556291390728478,0.016556291390728478,0.016556291390728478
1,0.17328918322295805,0.13796909492273732,0.033112582781456956
2,0.3049116997792494,0.2671081677704194,0.04359823399558499
3,0.3921081677704194,0.3565121412803532,0.06291390728476821
4,0.46192052980132453,0.42853200883002207,0.0802980132450331
5,0.5237306843267108,0.49144591611479027,0.09409492273730684
6,0.5747792494481236,0.5571192052980133,0.1098233995584989
0,,,
0,0.0184878587196468,0.0184878587196468,0.0184878587196468
1,0.1763245033112583,0.15811258278145696,0.037251655629139076
2,0.32146799116997793,0.30022075055187636,0.054635761589403975
3,0.40286975717439294,0.38852097130242824,0.06926048565121413
4,0.4696467991169978,0.45143487858719644,0.08554083885209714
5,0.5369757174392936,0.49862030905077265,0.10126931567328919
6,0.5968543046357616,0.5458057395143487,0.11865342163355408
0,,,
0,0.016004415011037526,0.016004415011037526,0.016004415011037526
1,0.1815673289183223,0.16556291390728478,0.027869757174392936
2,0.3504415011037528,0.3305739514348786,0.048013245033112585
3,0.43736203090507725,0.4067328918322296,0.06374172185430464
4,0.49530905077262694,0.46688741721854304,0.07809050772626931
5,0.5499448123620309,0.5198675496688742,0.09161147902869757
6,0.5946467991169978,0.5659492273730684,0.1065121412803532
0,,,
0,0.016556291390728478,0.016556291390728478,0.016556291390728478
1,0.15949227373068434,0.1327262693156733,0.03394039735099338
2,0.2844922737306843,0.2574503311258278,0.048013245033112585
3,0.39100441501103755,0.36230684326710816,0.06291390728476821
4,0.472682119205298,0.4310154525386313,0.07864238410596026
5,0.5281456953642384,0.4911699779249448,0.09050772626931568
6,0.5860927152317881,0.5405629139072847,0.10596026490066225
0,,,
0,0.012141280353200883,0.012141280353200883,0.012141280353200883
1,0.15949227373068434,0.1280353200883002,0.026490066225165563
2,0.3076710816777042,0.2764900662251656,0.039183222958057394
3,0.39155629139072845,0.36451434878587197,0.05573951434878587
4,0.4630242825607064,0.43984547461368656,0.06926048565121413
5,0.5237306843267108,0.4919977924944812,0.08526490066225166
6,0.5838852097130243,0.5391832229580574,0.1032008830022075
0,,,
0,0.016280353200883002,0.016280353200883002,0.016280353200883002
1,0.141280353200883,0.12251655629139073,0.032560706401766004
2,0.3087748344370861,0.2745584988962472,0.046357615894039736
3,0.4307395143487859,0.39072847682119205,0.06098233995584989
4,0.4988962472406181,0.45695364238410596,0.07505518763796909
5,0.565121412803532,0.510485651214128,0.08885209713024282
6,0.6178256070640177,0.5601545253863135,0.1054083885209713
0,,,
0,0.011037527593818985,0.011037527593818985,0.011037527593818985
1,0.16501103752759383,0.15811258278145696,0.030353200883002206
2,0.30022075055187636,0.28725165562913907,0.045805739514348784
3,0.4141832229580574,0.4001103752759382,0.060430463576158944
4,0.48123620309050774,0.46605960264900664,0.07753863134657836
5,0.5394591611479028,0.5231788079470199,0.0935430463576159
6,0.5905077262693157,0.565121412803532,0.1054083885209713
0,,,
