,MVSA_GPR_greedy,Greedy Acquisition,Random Sampling
0,0.012244897959183673,0.012244897959183673,0.012244897959183673
1,0.04217687074829932,0.034013605442176874,0.029931972789115645
2,0.10204081632653061,0.09931972789115646,0.053061224489795916
3,0.16326530612244897,0.145578231292517,0.06666666666666667
4,0.23265306122448978,0.21496598639455783,0.07482993197278912
5,0.2571428571428571,0.2748299319727891,0.08299319727891157
6,0.2789115646258503,0.308843537414966,0.10748299319727891
0,,,
0,0.009523809523809525,0.009523809523809525,0.009523809523809525
1,0.10748299319727891,0.06802721088435375,0.024489795918367346
2,0.15918367346938775,0.10476190476190476,0.0326530612244898
3,0.24489795918367346,0.1727891156462585,0.053061224489795916
4,0.2789115646258503,0.23945578231292516,0.06666666666666667
5,0.2979591836734694,0.28843537414965986,0.08843537414965986
6,0.32789115646258504,0.3306122448979592,0.10340136054421768
0,,,
0,0.013605442176870748,0.013605442176870748,0.013605442176870748
1,0.08163265306122448,0.05986394557823129,0.034013605442176874
2,0.17142857142857143,0.12380952380952381,0.04625850340136054
3,0.22585034013605443,0.17687074829931973,0.06258503401360545
4,0.2897959183673469,0.2272108843537415,0.07346938775510205
5,0.3115646258503401,0.27346938775510204,0.09115646258503401
6,0.3346938775510204,0.3006802721088435,0.10068027210884353
0,,,
0,0.02312925170068027,0.02312925170068027,0.02312925170068027
1,0.1306122448979592,0.09931972789115646,0.03945578231292517
2,0.24353741496598638,0.18775510204081633,0.050340136054421766
3,0.27755102040816326,0.25170068027210885,0.06258503401360545
4,0.3142857142857143,0.2965986394557823,0.07755102040816327
5,0.345578231292517,0.3183673469387755,0.08843537414965986
6,0.35918367346938773,0.3360544217687075,0.10612244897959183
0,,,
0,0.021768707482993196,0.021768707482993196,0.021768707482993196
1,0.047619047619047616,0.047619047619047616,0.036734693877551024
2,0.07755102040816327,0.0653061224489796,0.05442176870748299
3,0.1360544217687075,0.11428571428571428,0.0761904761904762
4,0.21360544217687075,0.17006802721088435,0.09523809523809523
5,0.2707482993197279,0.23401360544217686,0.10612244897959183
6,0.3074829931972789,0.2802721088435374,0.12380952380952381
0,,,
0,0.017687074829931974,0.017687074829931974,0.017687074829931974
1,0.07482993197278912,0.053061224489795916,0.034013605442176874
2,0.1523809523809524,0.12789115646258503,0.04353741496598639
3,0.23809523809523808,0.16598639455782313,0.0653061224489796
4,0.27755102040816326,0.2163265306122449,0.08435374149659863
5,0.3115646258503401,0.2693877551020408,0.10612244897959183
6,0.33877551020408164,0.3183673469387755,0.12380952380952381
0,,,
0,0.009523809523809525,0.009523809523809525,0.009523809523809525
1,0.03945578231292517,0.02585034013605442,0.02585034013605442
2,0.1510204081632653,0.050340136054421766,0.050340136054421766
3,0.21360544217687075,0.11564625850340136,0.0653061224489796
4,0.2530612244897959,0.19863945578231293,0.07482993197278912
5,0.28843537414965986,0.24897959183673468,0.09115646258503401
6,0.3251700680272109,0.27755102040816326,0.10884353741496598
0,,,
0,0.014965986394557823,0.014965986394557823,0.014965986394557823
1,0.1306122448979592,0.09387755102040816,0.02857142857142857
2,0.22040816326530613,0.1782312925170068,0.04625850340136054
3,0.2802721088435374,0.24489795918367346,0.061224489795918366
4,0.3074829931972789,0.2870748299319728,0.0761904761904762
5,0.3333333333333333,0.32653061224489793,0.09523809523809523
6,0.345578231292517,0.34829931972789113,0.11156462585034013
0,,,
0,0.017687074829931974,0.017687074829931974,0.017687074829931974
1,0.05986394557823129,0.04625850340136054,0.02585034013605442
2,0.1564625850340136,0.09251700680272108,0.03945578231292517
3,0.23537414965986395,0.15510204081632653,0.05442176870748299
4,0.2707482993197279,0.23265306122448978,0.0707482993197279
5,0.2965986394557823,0.2707482993197279,0.08707482993197278
6,0.3251700680272109,0.2965986394557823,0.09387755102040816
0,,,
0,0.009523809523809525,0.009523809523809525,0.009523809523809525
1,0.09795918367346938,0.10748299319727891,0.0326530612244898
2,0.1673469387755102,0.14829931972789115,0.044897959183673466
3,0.24081632653061225,0.20272108843537415,0.05986394557823129
4,0.2707482993197279,0.22857142857142856,0.07346938775510205
5,0.29523809523809524,0.2707482993197279,0.08163265306122448
6,0.33741496598639453,0.291156462585034,0.09795918367346938
0,,,
