,MVSA_GPR_greedy,Greedy Acquisition,Random Sampling
0,0.009941256213285133,0.009941256213285133,0.009941256213285133
1,0.06868504292815183,0.05286940804338003,0.022141888838680523
2,0.15408947130591957,0.10890194306371441,0.034794396746497966
3,0.2349751468594668,0.1631269769543606,0.05693628558517849
4,0.29868956168097605,0.2069588793492996,0.06823316764572977
5,0.34613646633529144,0.24762765476728424,0.08630817894261184
6,0.3922277451423407,0.29778581111613195,0.09896068685042927
0,,,
0,0.014008133755083597,0.014008133755083597,0.014008133755083597
1,0.06461816538635337,0.06552191595119747,0.02394938996836873
2,0.15499322187076367,0.1174875734297334,0.03434252146407592
3,0.23181201988251243,0.18255761409850882,0.04789877993673746
4,0.28377767736104836,0.2385901491188432,0.06461816538635337
5,0.32670582919114327,0.2901039313149571,0.07862629914143697
6,0.3700858563036602,0.34252146407591505,0.09579755987347492
0,,,
0,0.016719385449615907,0.016719385449615907,0.016719385449615907
1,0.08901943063714415,0.07907817442385902,0.033438770899231814
2,0.1640307275192047,0.15363759602349752,0.0447356529597831
3,0.23316764572977858,0.2349751468594668,0.0605512878445549
4,0.30772706732941707,0.28829643018526885,0.07320379575237235
5,0.37324898328061457,0.33077270673294173,0.08540442837776774
6,0.4080433800271125,0.368730230456394,0.09941256213285134
0,,,
0,0.016267510167193855,0.016267510167193855,0.016267510167193855
1,0.1061906913691821,0.09399005874378671,0.024853140533212834
2,0.20018075011296882,0.16538635336647087,0.04202440126525079
3,0.26796204247627653,0.22819701762313602,0.05693628558517849
4,0.3104383190239494,0.28694080433800273,0.07004066877541798
5,0.35833709896068683,0.3375508359692725,0.08088567555354723
6,0.40759150474469047,0.37505648441030276,0.09805693628558518
0,,,
0,0.014460009037505649,0.014460009037505649,0.014460009037505649
1,0.06732941708088568,0.06190691369182106,0.028468142792589246
2,0.16538635336647087,0.11206507004066878,0.04157252598282874
3,0.25395390872119294,0.19249887031179394,0.05738816086760054
4,0.3357433348395843,0.26525079078174424,0.07320379575237235
5,0.3836421147763217,0.3104383190239494,0.08630817894261184
6,0.42069588793492996,0.3605964753727971,0.09986443741527339
0,,,
0,0.014460009037505649,0.014460009037505649,0.014460009037505649
1,0.07953004970628107,0.07049254405784004,0.03027564392227745
2,0.1613194758246724,0.14234071396294623,0.04699502937189336
3,0.2376863985539991,0.201988251242657,0.055128784455490284
4,0.3054676909173068,0.2607320379575237,0.07501129688206055
5,0.35246272028920017,0.30727519204699505,0.08811568007230004
6,0.40126525079078174,0.35472209670131044,0.1016719385449616
0,,,
0,0.012200632625395391,0.012200632625395391,0.012200632625395391
1,0.06281066425666516,0.06642566651604158,0.02394938996836873
2,0.13149570718481698,0.12562132851333033,0.03615002259376412
3,0.22503389064618165,0.20063262539539087,0.04654315408947131
4,0.2905558065973791,0.27474017171260734,0.057840036150022596
5,0.35381834613646634,0.324898328061455,0.07320379575237235
6,0.41120650700406686,0.368730230456394,0.09127880704925441
0,,,
0,0.016719385449615907,0.016719385449615907,0.016719385449615907
1,0.06507004066877542,0.06913691821057388,0.031179394487121554
2,0.149118843199277,0.1360144600090375,0.04654315408947131
3,0.24988703117939448,0.20469950293718933,0.0605512878445549
4,0.3298689561680976,0.26434704021690014,0.0736556710347944
5,0.3822864889290556,0.3041120650700407,0.08811568007230004
6,0.4143696339810212,0.3578852236782648,0.1016719385449616
0,,,
0,0.016719385449615907,0.016719385449615907,0.016719385449615907
1,0.08088567555354723,0.07998192498870312,0.02937189335743335
2,0.18210573881608677,0.14234071396294623,0.04699502937189336
3,0.25666516041572524,0.21554450971531858,0.061003163126976956
4,0.30863081789426117,0.2697695436059648,0.07501129688206055
5,0.3605964753727971,0.3104383190239494,0.0921825576140985
6,0.40216900135562583,0.3479439674649797,0.11025756891098057
0,,,
0,0.015815634884771803,0.015815634884771803,0.015815634884771803
1,0.11296882060551287,0.10302756439222774,0.027564392227745142
2,0.1974694984184365,0.1735201084500678,0.03886127428829643
3,0.27428829643018526,0.2394938996836873,0.05241753276095797
4,0.3348395842747402,0.28603705377315863,0.06642566651604158
5,0.3809308630817894,0.3352914595571622,0.07998192498870312
6,0.4139177586985992,0.3709896068685043,0.09489380930863081
0,,,
