,MVSA_GPR_greedy,Greedy Acquisition,Random Sampling
0,0.01536983669548511,0.01536983669548511,0.01536983669548511
1,0.05715658021133525,0.05091258405379443,0.027857829010566763
2,0.10086455331412104,0.08117195004803074,0.0446685878962536
3,0.1431316042267051,0.11287223823246878,0.0643611911623439
4,0.17483189241114314,0.14745437079731027,0.08213256484149856
5,0.2084534101825168,0.17483189241114314,0.10134486071085495
6,0.22622478386167147,0.2084534101825168,0.11575408261287223
0,,,
0,0.014889529298751201,0.014889529298751201,0.014889529298751201
1,0.04803073967339097,0.04514889529298751,0.029779058597502402
2,0.08549471661863593,0.07012487992315082,0.046589817483189244
3,0.12055715658021134,0.09990393852065321,0.060038424591738714
4,0.15706051873198848,0.13256484149855907,0.07492795389048991
5,0.18491834774255522,0.15706051873198848,0.0893371757925072
6,0.21661863592699326,0.1839577329490874,0.10662824207492795
0,,,
0,0.01681075888568684,0.01681075888568684,0.01681075888568684
1,0.03890489913544669,0.037463976945244955,0.03266090297790586
2,0.0787704130643612,0.05523535062439962,0.05235350624399616
3,0.11815561959654179,0.08069164265129683,0.06292026897214217
4,0.15129682997118155,0.10710854947166186,0.07780979827089338
5,0.18635926993275698,0.13640730067243034,0.08981748318924111
6,0.22046109510086456,0.16618635926993275,0.10902977905859751
0,,,
0,0.012487992315081652,0.012487992315081652,0.012487992315081652
1,0.037944284341978864,0.03506243996157541,0.027857829010566763
2,0.07829010566762729,0.06964457252641691,0.042747358309317966
3,0.12487992315081652,0.09558117195004803,0.05523535062439962
4,0.15609990393852066,0.12632084534101826,0.06820365033621517
5,0.17963496637848222,0.15946205571565802,0.08693563880883766
6,0.19548511047070125,0.19212295869356388,0.10038424591738712
0,,,
0,0.01536983669548511,0.01536983669548511,0.01536983669548511
1,0.043707973102785784,0.03602305475504323,0.02881844380403458
2,0.074447646493756,0.06099903938520653,0.04803073967339097
3,0.1138328530259366,0.08597502401536984,0.06484149855907781
4,0.15465898174831894,0.11479346781940442,0.08021133525456292
5,0.19452449567723343,0.15033621517771373,0.10038424591738712
6,0.2228626320845341,0.17675312199807877,0.10999039385206533
0,,,
0,0.011047070124879923,0.011047070124879923,0.011047070124879923
1,0.04755043227665706,0.040826128722382324,0.03121998078770413
2,0.08165225744476465,0.07348703170028818,0.0446685878962536
3,0.12103746397694524,0.11047070124879924,0.053794428434197884
4,0.1633045148895293,0.143611911623439,0.06964457252641691
5,0.19116234390009607,0.17050912584053796,0.08597502401536984
6,0.2219020172910663,0.19500480307396734,0.09606147934678194
0,,,
0,0.01633045148895293,0.01633045148895293,0.01633045148895293
1,0.04755043227665706,0.043707973102785784,0.03170028818443804
2,0.08693563880883766,0.06820365033621517,0.0494716618635927
3,0.12343900096061479,0.10086455331412104,0.06820365033621517
4,0.18155619596541786,0.12584053794428435,0.08117195004803074
5,0.21709894332372717,0.15033621517771373,0.09654178674351585
6,0.2367915465898175,0.17915465898174832,0.11239193083573487
0,,,
0,0.013928914505283382,0.013928914505283382,0.013928914505283382
1,0.0643611911623439,0.056676272814601344,0.026416906820365033
2,0.11623439000960614,0.0888568683957733,0.040345821325648415
3,0.15898174831892412,0.12103746397694524,0.056195965417867436
4,0.18683957732949089,0.15273775216138327,0.07780979827089338
5,0.21037463976945245,0.18059558117195004,0.08981748318924111
6,0.22958693563880883,0.212776176753122,0.1037463976945245
0,,,
0,0.01585014409221902,0.01585014409221902,0.01585014409221902
1,0.027857829010566763,0.03025936599423631,0.03025936599423631
2,0.05811719500480307,0.05475504322766571,0.0446685878962536
3,0.10326609029779059,0.07732949087415947,0.06147934678194044
4,0.14121037463976946,0.11047070124879924,0.074447646493756
5,0.16666666666666666,0.14217098943323728,0.0893371757925072
6,0.19692603266090297,0.18011527377521613,0.10518731988472622
0,,,
0,0.012487992315081652,0.012487992315081652,0.012487992315081652
1,0.052833813640730067,0.043707973102785784,0.024975984630163303
2,0.09990393852065321,0.07348703170028818,0.04178674351585014
3,0.1292026897214217,0.09750240153698367,0.05187319884726225
4,0.15994236311239193,0.12199807877041306,0.07012487992315082
5,0.1786743515850144,0.15658021133525457,0.08213256484149856
6,0.2137367915465898,0.1834774255523535,0.09510086455331412
0,,,
