,MVSA_GPR_greedy,Greedy Acquisition,Random Sampling
0,0.015842618384401114,0.015842618384401114,0.015842618384401114
1,0.36525069637883006,0.3281685236768802,0.030118384401114206
2,0.47075208913649025,0.4648328690807799,0.04543871866295265
3,0.567374651810585,0.5499651810584958,0.06110724233983287
4,0.6312674094707521,0.6115947075208914,0.07712395543175488
5,0.6643454038997214,0.6504178272980501,0.09035515320334261
6,0.6857590529247911,0.6772284122562674,0.10497910863509749
0,,,
0,0.014798050139275766,0.014798050139275766,0.014798050139275766
1,0.373433147632312,0.3025766016713092,0.030988857938718663
2,0.5083565459610028,0.4853760445682451,0.047876044568245124
3,0.5973189415041783,0.575383008356546,0.06110724233983287
4,0.64258356545961,0.6314415041782729,0.07468662952646239
5,0.6706128133704735,0.6591225626740947,0.08844011142061281
6,0.6847144846796658,0.6821030640668524,0.10236768802228412
0,,,
0,0.016016713091922007,0.016016713091922007,0.016016713091922007
1,0.36942896935933145,0.3152855153203343,0.03151114206128134
2,0.5139275766016713,0.48868384401114207,0.04108635097493036
3,0.5844359331476323,0.5551880222841226,0.055710306406685235
4,0.6422353760445683,0.6135097493036211,0.06981197771587744
5,0.6845403899721448,0.653725626740947,0.08600278551532034
6,0.7043871866295265,0.6838440111420613,0.09958217270194986
0,,,
0,0.014449860724233984,0.014449860724233984,0.014449860724233984
1,0.3788300835654596,0.333391364902507,0.02663649025069638
2,0.5078342618384402,0.49268802228412256,0.0423050139275766
3,0.6001044568245125,0.5759052924791086,0.05762534818941504
4,0.6441504178272981,0.6255222841225627,0.07381615598885793
5,0.6798398328690808,0.6603412256267409,0.08774373259052924
6,0.6991643454038997,0.6892409470752089,0.10201949860724234
0,,,
0,0.01270891364902507,0.01270891364902507,0.01270891364902507
1,0.3530640668523677,0.29509052924791085,0.026288300835654595
2,0.5006963788300836,0.49164345403899723,0.04369777158774373
3,0.5947075208913649,0.5659818941504178,0.0584958217270195
4,0.6411908077994429,0.620299442896936,0.0725974930362117
5,0.6660863509749304,0.6561629526462396,0.08844011142061281
6,0.6880222841225627,0.6838440111420613,0.10741643454038997
0,,,
0,0.014972144846796657,0.014972144846796657,0.014972144846796657
1,0.352541782729805,0.2876044568245125,0.03290389972144847
2,0.48241643454038996,0.4716225626740947,0.04700557103064067
3,0.5748607242339833,0.5564066852367688,0.0604108635097493
4,0.6185584958217271,0.6108983286908078,0.07573119777158774
5,0.6591225626740947,0.64258356545961,0.08913649025069638
6,0.6895891364902507,0.6733983286908078,0.10341225626740948
0,,,
0,0.014275766016713091,0.014275766016713091,0.014275766016713091
1,0.36368384401114207,0.30536211699164345,0.030118384401114206
2,0.5114902506963789,0.48642061281337046,0.04317548746518106
3,0.5802576601671309,0.5565807799442897,0.05866991643454039
4,0.6277855153203342,0.6032381615598886,0.07433844011142061
5,0.6643454038997214,0.6493732590529248,0.08931058495821727
6,0.684366295264624,0.6819289693593314,0.1067200557103064
0,,,
0,0.01270891364902507,0.01270891364902507,0.01270891364902507
1,0.3361768802228412,0.30170612813370473,0.028551532033426183
2,0.49547353760445684,0.46535515320334264,0.044220055710306405
3,0.5842618384401114,0.5532729805013927,0.060759052924791085
4,0.6364902506963789,0.620299442896936,0.07573119777158774
5,0.6739206128133705,0.6674791086350975,0.09174791086350975
6,0.6972493036211699,0.690633704735376,0.1068941504178273
0,,,
0,0.014623955431754874,0.014623955431754874,0.014623955431754874
1,0.3675139275766017,0.30919220055710306,0.02907381615598886
2,0.49529944289693595,0.483983286908078,0.044916434540389974
3,0.5940111420612814,0.5644150417827298,0.059366295264623954
4,0.6540738161559888,0.6206476323119777,0.07764623955431754
5,0.6765320334261838,0.6556406685236769,0.09139972144846796
6,0.6876740947075209,0.6789693593314763,0.10724233983286909
0,,,
0,0.012534818941504178,0.012534818941504178,0.012534818941504178
1,0.32085654596100277,0.23746518105849582,0.026114206128133706
2,0.491991643454039,0.46866295264623953,0.03934540389972145
3,0.5696378830083565,0.5555362116991643,0.05501392757660167
4,0.6274373259052924,0.6236072423398329,0.06981197771587744
5,0.6695682451253482,0.6589484679665738,0.08373955431754875
6,0.6908077994428969,0.6834958217270195,0.10201949860724234
0,,,
