,MVSA_GPR_greedy,Greedy Acquisition,Random Sampling
0,0.015113350125944584,0.015113350125944584,0.015113350125944584
1,0.0600335852225021,0.05583543240973971,0.03946263643996641
2,0.10495382031905962,0.08942065491183879,0.05373635600335852
3,0.15239294710327456,0.11754827875734676,0.07262804366078925
4,0.2086481947942905,0.15029387069689337,0.08270361041141898
5,0.24769101595298068,0.18849706129303107,0.10033585222502099
6,0.2863140218303946,0.23761544920235098,0.11251049538203191
0,,,
0,0.015113350125944584,0.015113350125944584,0.015113350125944584
1,0.06465155331654072,0.05793450881612091,0.03232577665827036
2,0.12090680100755667,0.09739714525608732,0.04785894206549118
3,0.1574307304785894,0.1452560873215785,0.06465155331654072
4,0.19731318219983207,0.17212426532325778,0.0764063811922754
5,0.25146935348446686,0.20990764063811923,0.08942065491183879
6,0.290512174643157,0.24937027707808565,0.10579345088161209
0,,,
0,0.015113350125944584,0.015113350125944584,0.015113350125944584
1,0.07178841309823678,0.054575986565911,0.02938706968933669
2,0.11293031066330815,0.08942065491183879,0.04659949622166247
3,0.15449202350965574,0.13727959697732997,0.06423173803526448
4,0.2141057934508816,0.1809403862300588,0.0818639798488665
5,0.2502099076406381,0.2141057934508816,0.09865659109991604
6,0.2783375314861461,0.24391267842149456,0.109151973131822
0,,,
0,0.014693534844668345,0.014693534844668345,0.014693534844668345
1,0.05919395465994962,0.05877413937867338,0.02938706968933669
2,0.08900083963056256,0.07724601175482787,0.04450041981528128
3,0.13224181360201512,0.10453400503778337,0.05751469353484467
4,0.17212426532325778,0.1473551637279597,0.0743073047858942
5,0.21200671704450041,0.17800167926112512,0.08438287153652393
6,0.26322418136020154,0.21536523929471033,0.10117548278757346
0,,,
0,0.011754827875734676,0.011754827875734676,0.011754827875734676
1,0.060453400503778336,0.05583543240973971,0.02644836272040302
2,0.10537363560033586,0.10663308144416457,0.04114189756507137
3,0.15323257766582704,0.14693534844668346,0.05709487825356843
4,0.209487825356843,0.19605373635600337,0.07220822837951302
5,0.2413937867338371,0.2367758186397985,0.08984047019311503
6,0.2753988245172124,0.2699412258606213,0.10579345088161209
0,,,
0,0.019731318219983206,0.019731318219983206,0.019731318219983206
1,0.07262804366078925,0.06213266162888329,0.03316540722082284
2,0.11880772460117549,0.09445843828715365,0.04785894206549118
3,0.1582703610411419,0.13014273719563393,0.06381192275398824
4,0.20486985726280438,0.1658270361041142,0.08354324097397145
5,0.24391267842149456,0.21452560873215784,0.09361880772460117
6,0.28421494542401343,0.2510495382031906,0.10999160369437448
0,,,
0,0.014273719563392108,0.014273719563392108,0.014273719563392108
1,0.07808564231738035,0.06717044500419815,0.02476910159529807
2,0.11670864819479429,0.09907640638119228,0.036523929471032744
3,0.16792611251049538,0.14231738035264482,0.05247691015952981
4,0.20654911838790932,0.17002518891687657,0.06842989084802686
5,0.24769101595298068,0.2031905961376994,0.08270361041141898
6,0.28463476070528965,0.23341729638958858,0.09739714525608732
0,,,
0,0.018471872376154493,0.018471872376154493,0.018471872376154493
1,0.05877413937867338,0.051217464315701094,0.03232577665827036
2,0.10873215785054575,0.08900083963056256,0.044920235096557515
3,0.15533165407220823,0.13014273719563393,0.05919395465994962
4,0.19815281276238456,0.16120906801007556,0.07724601175482787
5,0.23635600335852225,0.19395465994962216,0.09319899244332494
6,0.2795969773299748,0.23005877413937867,0.10579345088161209
0,,,
0,0.015113350125944584,0.015113350125944584,0.015113350125944584
1,0.05667506297229219,0.05289672544080604,0.02476910159529807
2,0.09991603694374475,0.09109991603694374,0.04659949622166247
3,0.15952980688497062,0.1309823677581864,0.0654911838790932
4,0.19563392107472713,0.16834592779177163,0.08102434928631402
5,0.2258606213266163,0.20612930310663308,0.0982367758186398
6,0.2598656591099916,0.24055415617128464,0.1112510495382032
0,,,
0,0.012594458438287154,0.012594458438287154,0.012594458438287154
1,0.0764063811922754,0.06339210747271201,0.0272879932829555
2,0.11628883291351805,0.0927791771620487,0.04450041981528128
3,0.17002518891687657,0.1330814441645676,0.061293031066330814
4,0.23173803526448364,0.1658270361041142,0.0785054575986566
5,0.2795969773299748,0.19899244332493704,0.09151973131821999
6,0.31696053736356006,0.22334172963895885,0.10621326616288833
0,,,
