,MVSA_GPR_greedy,Greedy Acquisition,Random Sampling
0,0.013456090651558074,0.013456090651558074,0.013456090651558074
1,0.20113314447592068,0.20254957507082152,0.030453257790368272
2,0.3271954674220963,0.3243626062322946,0.049575070821529746
3,0.43271954674220964,0.43909348441926344,0.06303116147308782
4,0.5410764872521246,0.4971671388101983,0.0764872521246459
5,0.5941926345609065,0.5601983002832861,0.08569405099150142
6,0.6218130311614731,0.6090651558073654,0.09773371104815864
0,,,
0,0.014872521246458924,0.014872521246458924,0.014872521246458924
1,0.23087818696883852,0.1905099150141643,0.02903682719546742
2,0.29957507082152973,0.2776203966005666,0.043909348441926344
3,0.40155807365439095,0.34490084985835695,0.06373937677053824
4,0.5347025495750708,0.4235127478753541,0.08073654390934844
5,0.626770538243626,0.4943342776203966,0.09206798866855524
6,0.6593484419263456,0.5361189801699717,0.11048158640226628
0,,,
0,0.013456090651558074,0.013456090651558074,0.013456090651558074
1,0.20892351274787535,0.15864022662889518,0.024787535410764873
2,0.32011331444759206,0.29957507082152973,0.037535410764872525
3,0.4121813031161473,0.3781869688385269,0.059490084985835696
4,0.5488668555240793,0.46388101983002833,0.0708215297450425
5,0.6026912181303116,0.5191218130311614,0.07861189801699717
6,0.6430594900849859,0.5750708215297451,0.09560906515580736
0,,,
0,0.013456090651558074,0.013456090651558074,0.013456090651558074
1,0.22096317280453256,0.18555240793201133,0.030453257790368272
2,0.3378186968838527,0.25920679886685555,0.04603399433427762
3,0.4185552407932011,0.34844192634560905,0.06373937677053824
4,0.5226628895184136,0.4213881019830028,0.07932011331444759
5,0.5984419263456091,0.4745042492917847,0.09773371104815864
6,0.646600566572238,0.5226628895184136,0.10906515580736544
0,,,
0,0.009915014164305949,0.009915014164305949,0.009915014164305949
1,0.21529745042492918,0.19405099150141644,0.025495750708215296
2,0.34844192634560905,0.278328611898017,0.043909348441926344
3,0.4447592067988669,0.37322946175637395,0.06161473087818697
4,0.5339943342776204,0.46742209631728043,0.0708215297450425
5,0.5991501416430595,0.5410764872521246,0.08286118980169972
6,0.6388101983002833,0.5779036827195467,0.09560906515580736
0,,,
0,0.009915014164305949,0.009915014164305949,0.009915014164305949
1,0.12252124645892351,0.10339943342776203,0.026203966005665724
2,0.3314447592067989,0.29320113314447593,0.04603399433427762
3,0.443342776203966,0.39943342776203966,0.058781869688385266
4,0.5304532577903682,0.45609065155807366,0.07861189801699717
5,0.5722379603399433,0.5035410764872521,0.09560906515580736
6,0.6182719546742209,0.546742209631728,0.10694050991501416
0,,,
0,0.014164305949008499,0.014164305949008499,0.014164305949008499
1,0.22592067988668554,0.20679886685552407,0.028328611898016998
2,0.34985835694050993,0.3271954674220963,0.043909348441926344
3,0.43555240793201133,0.40580736543909346,0.06161473087818697
4,0.5035410764872521,0.4688385269121813,0.07223796033994334
5,0.5771954674220963,0.5205382436260623,0.08781869688385269
6,0.6182719546742209,0.5708215297450425,0.10764872521246459
0,,,
0,0.015580736543909348,0.015580736543909348,0.015580736543909348
1,0.24291784702549576,0.2273371104815864,0.030453257790368272
2,0.3328611898016997,0.3009915014164306,0.04745042492917847
3,0.43626062322946174,0.3881019830028329,0.06232294617563739
4,0.5686968838526912,0.46175637393767704,0.07861189801699717
5,0.6338526912181303,0.5417847025495751,0.09135977337110482
6,0.6635977337110481,0.5913597733711048,0.10269121813031161
0,,,
0,0.012747875354107648,0.012747875354107648,0.012747875354107648
1,0.23371104815864022,0.1990084985835694,0.026203966005665724
2,0.34631728045325777,0.3243626062322946,0.04461756373937677
3,0.4511331444759207,0.40084985835694054,0.05736543909348442
4,0.5672804532577904,0.476628895184136,0.07011331444759207
5,0.6090651558073654,0.5311614730878187,0.08286118980169972
6,0.6451841359773371,0.5715297450424929,0.09985835694050992
0,,,
0,0.014164305949008499,0.014164305949008499,0.014164305949008499
1,0.23725212464589235,0.21175637393767704,0.024787535410764873
2,0.3406515580736544,0.32082152974504247,0.04107648725212465
3,0.45254957507082155,0.4128895184135977,0.058781869688385266
4,0.5580736543909348,0.4660056657223796,0.07577903682719547
5,0.6288951841359773,0.5155807365439093,0.08640226628895184
6,0.6713881019830028,0.5580736543909348,0.09773371104815864
0,,,
