,MVSA_GPR_greedy,Greedy Acquisition,Random Sampling
0,0.011398963730569948,0.011398963730569948,0.011398963730569948
1,0.11295336787564766,0.09326424870466321,0.022797927461139896
2,0.22383419689119172,0.18238341968911917,0.0383419689119171
3,0.31191709844559584,0.25181347150259065,0.05181347150259067
4,0.38134715025906735,0.33678756476683935,0.06424870466321243
5,0.44248704663212435,0.42694300518134715,0.08601036269430051
6,0.5036269430051813,0.48808290155440415,0.10259067357512953
0,,,
0,0.013471502590673576,0.013471502590673576,0.013471502590673576
1,0.10880829015544041,0.07772020725388601,0.03005181347150259
2,0.22487046632124352,0.16062176165803108,0.04145077720207254
3,0.30259067357512953,0.25181347150259065,0.05699481865284974
4,0.4,0.3150259067357513,0.07357512953367876
5,0.46113989637305697,0.40207253886010363,0.08911917098445596
6,0.5202072538860104,0.47046632124352333,0.11295336787564766
0,,,
0,0.00932642487046632,0.00932642487046632,0.00932642487046632
1,0.07150259067357513,0.05699481865284974,0.02072538860103627
2,0.19378238341968912,0.16683937823834197,0.03419689119170984
3,0.2787564766839378,0.261139896373057,0.04559585492227979
4,0.3626943005181347,0.3305699481865285,0.06321243523316063
5,0.44041450777202074,0.4155440414507772,0.07772020725388601
6,0.505699481865285,0.46424870466321244,0.09430051813471503
0,,,
0,0.010362694300518135,0.010362694300518135,0.010362694300518135
1,0.15025906735751296,0.10569948186528498,0.029015544041450778
2,0.2694300518134715,0.2,0.043523316062176166
3,0.3699481865284974,0.28082901554404144,0.06528497409326425
4,0.43523316062176165,0.34818652849740933,0.07979274611398963
5,0.48393782383419687,0.40621761658031086,0.0922279792746114
6,0.5367875647668394,0.46321243523316064,0.10466321243523316
0,,,
0,0.011398963730569948,0.011398963730569948,0.011398963730569948
1,0.10362694300518134,0.06424870466321243,0.029015544041450778
2,0.21347150259067357,0.14922279792746113,0.04559585492227979
3,0.2932642487046632,0.24559585492227978,0.061139896373056994
4,0.3689119170984456,0.31917098445595854,0.07461139896373056
5,0.42901554404145076,0.38031088082901554,0.08601036269430051
6,0.49119170984455957,0.4466321243523316,0.09430051813471503
0,,,
0,0.015544041450777202,0.015544041450777202,0.015544041450777202
1,0.10155440414507771,0.07564766839378238,0.029015544041450778
2,0.21968911917098446,0.15751295336787566,0.043523316062176166
3,0.33471502590673574,0.24559585492227978,0.05595854922279793
4,0.43316062176165804,0.35544041450777203,0.07357512953367876
5,0.510880829015544,0.43316062176165804,0.08808290155440414
6,0.5523316062176166,0.48911917098445595,0.10466321243523316
0,,,
0,0.008290155440414507,0.008290155440414507,0.008290155440414507
1,0.1077720207253886,0.0849740932642487,0.02072538860103627
2,0.18963730569948187,0.16580310880829016,0.03212435233160622
3,0.2538860103626943,0.26528497409326424,0.05077720207253886
4,0.37823834196891193,0.3316062176165803,0.06632124352331606
5,0.46839378238341967,0.40518134715025905,0.08290155440414508
6,0.5150259067357513,0.46113989637305697,0.09740932642487046
0,,,
0,0.022797927461139896,0.022797927461139896,0.022797927461139896
1,0.14715025906735751,0.1316062176165803,0.03212435233160622
2,0.2704663212435233,0.24352331606217617,0.046632124352331605
3,0.34922279792746114,0.3378238341968912,0.06735751295336788
4,0.42072538860103625,0.41450777202072536,0.08082901554404145
5,0.48497409326424873,0.46217616580310883,0.09844559585492228
6,0.5326424870466321,0.5077720207253886,0.10880829015544041
0,,,
0,0.012435233160621761,0.012435233160621761,0.012435233160621761
1,0.15647668393782382,0.08601036269430051,0.027979274611398965
2,0.2704663212435233,0.20829015544041452,0.04248704663212435
3,0.34093264248704663,0.28911917098445594,0.061139896373056994
4,0.38652849740932643,0.35233160621761656,0.07253886010362694
5,0.44870466321243524,0.40518134715025905,0.08704663212435233
6,0.49740932642487046,0.46113989637305697,0.09740932642487046
0,,,
0,0.016580310880829015,0.016580310880829015,0.016580310880829015
1,0.09430051813471503,0.06735751295336788,0.03419689119170984
2,0.22072538860103627,0.15958549222797927,0.05077720207253886
3,0.3077720207253886,0.24248704663212436,0.0694300518134715
4,0.36580310880829014,0.322279792746114,0.08393782383419689
5,0.42590673575129534,0.38134715025906735,0.09637305699481866
6,0.49326424870466323,0.4466321243523316,0.12227979274611399
0,,,
