,MVSA_GPR_greedy,MVSA_GPR_gpflow_greedy,MVSA_LGBM_greedy,MVSA_SVR_greedy,MVSA_DNN_greedy,Greedy Acquisition,Random Sampling
0,0.013097949886104784,0.013097949886104784,0.013097949886104784,0.013097949886104784,0.013097949886104784,0.013097949886104784,0.013097949886104784
1,0.1264236902050114,0.11902050113895217,0.1070615034168565,0.1252847380410023,0.10535307517084283,0.10136674259681093,0.0244874715261959
2,0.3041002277904328,0.2989749430523918,0.2636674259681093,0.3234624145785877,0.2744874715261959,0.28302961275626426,0.037015945330296125
3,0.40034168564920275,0.40148063781321186,0.357630979498861,0.42255125284738043,0.3826879271070615,0.38838268792710706,0.0489749430523918
4,0.4886104783599089,0.4612756264236902,0.43337129840546695,0.4857630979498861,0.4419134396355353,0.45045558086560367,0.06435079726651481
5,0.5398633257403189,0.4874715261958998,0.4977220956719818,0.5176537585421412,0.49373576309794986,0.49658314350797267,0.08200455580865604
6,0.5689066059225513,0.4891799544419134,0.5478359908883826,0.5484054669703873,0.5239179954441914,0.5296127562642369,0.09908883826879271
0,,,,,,,
0,0.01651480637813212,0.01651480637813212,0.01651480637813212,0.01651480637813212,0.01651480637813212,0.01651480637813212,0.01651480637813212
1,0.15774487471526197,0.14977220956719817,0.12699316628701596,0.1600227790432802,0.14521640091116172,0.15034168564920272,0.033599088838268794
2,0.3211845102505695,0.3120728929384966,0.3069476082004556,0.34111617312072895,0.3086560364464693,0.29954441913439633,0.0489749430523918
3,0.4202733485193622,0.4356492027334852,0.40034168564920275,0.4185649202733485,0.4037585421412301,0.39806378132118453,0.06150341685649203
4,0.49430523917995445,0.48291571753986334,0.4624145785876993,0.494874715261959,0.45671981776765375,0.4646924829157175,0.07517084282460136
5,0.534738041002278,0.49145785876993164,0.5028473804100227,0.5296127562642369,0.4977220956719818,0.5113895216400911,0.08826879271070615
6,0.5597949886104784,0.49373576309794986,0.5353075170842825,0.5529612756264237,0.5335990888382688,0.5432801822323462,0.10136674259681093
0,,,,,,,
0,0.01651480637813212,0.01651480637813212,0.01651480637813212,0.01651480637813212,0.01651480637813212,0.01651480637813212,0.01651480637813212
1,0.1548974943052392,0.1571753986332574,0.1326879271070615,0.15034168564920272,0.10592255125284739,0.10478359908883828,0.03416856492027335
2,0.3001138952164009,0.3080865603644647,0.2460136674259681,0.2966970387243736,0.22722095671981776,0.22892938496583143,0.04555808656036447
3,0.4202733485193622,0.4134396355353075,0.35876993166287013,0.3878132118451025,0.34111617312072895,0.3416856492027335,0.05979498861047836
4,0.474373576309795,0.43451025056947606,0.4299544419134396,0.474373576309795,0.4214123006833713,0.41059225512528474,0.07289293849658314
5,0.525626423690205,0.4430523917995444,0.48234624145785876,0.5324601366742597,0.479498861047836,0.48234624145785876,0.08656036446469248
6,0.5637813211845103,0.4458997722095672,0.5330296127562643,0.5575170842824602,0.5267653758542141,0.5421412300683371,0.10250569476082004
0,,,,,,,
0,0.018223234624145785,0.018223234624145785,0.018223234624145785,0.018223234624145785,0.018223234624145785,0.018223234624145785,0.018223234624145785
1,0.19020501138952164,0.17938496583143507,0.15318906605922553,0.18792710706150342,0.11731207289293849,0.1623006833712984,0.029612756264236904
2,0.3462414578587699,0.34738041002277903,0.3041002277904328,0.3348519362186788,0.28132118451025057,0.29328018223234625,0.03986332574031891
