,MVSA_GPR_greedy,MVSA_GPR_ucb,Greedy Acquisition,Random Sampling
0,0.017084282460136675,0.017084282460136675,0.017084282460136675,0.017084282460136675
1,0.22608200455580865,0.21753986332574032,0.17938496583143507,0.03018223234624146
2,0.35876993166287013,0.3439635535307517,0.30182232346241455,0.04726651480637813
3,0.4419134396355353,0.42425968109339407,0.3826879271070615,0.058656036446469245
4,0.4891799544419134,0.47038724373576307,0.4367881548974943,0.06776765375854214
5,0.5381548974943052,0.4891799544419134,0.48348519362186787,0.08029612756264237
6,0.5603644646924829,0.5062642369020501,0.5182232346241458,0.08997722095671981
0,,,,
0,0.014236902050113895,0.014236902050113895,0.014236902050113895,0.014236902050113895
1,0.17425968109339407,0.16343963553530752,0.15945330296127563,0.037015945330296125
2,0.32517084282460135,0.3086560364464693,0.29954441913439633,0.048405466970387244
3,0.43735763097949887,0.40945330296127563,0.3935079726651481,0.06150341685649203
4,0.4857630979498861,0.45956719817767655,0.4624145785876993,0.07517084282460136
5,0.5199316628701595,0.49316628701594534,0.5159453302961275,0.08997722095671981
6,0.5518223234624146,0.49658314350797267,0.5472665148063781,0.1070615034168565
0,,,,
0,0.01651480637813212,0.01651480637813212,0.01651480637813212,0.01651480637813212
1,0.18337129840546698,0.17482915717539863,0.16913439635535307,0.030751708428246014
2,0.35364464692482916,0.34111617312072895,0.29157175398633256,0.04669703872437358
3,0.4402050113895216,0.44362186788154895,0.392369020501139,0.06947608200455581
4,0.49544419134396356,0.489749430523918,0.45728929384965833,0.0837129840546697
5,0.5341685649202733,0.5119589977220956,0.5005694760820045,0.09510250569476082
6,0.5580865603644647,0.5182232346241458,0.5341685649202733,0.10649202733485194
0,,,,
0,0.012528473804100227,0.012528473804100227,0.012528473804100227,0.012528473804100227
1,0.11958997722095673,0.11617312072892938,0.08997722095671981,0.029043280182232345
2,0.26765375854214124,0.2505694760820046,0.22835990888382687,0.04328018223234624
3,0.41116173120728927,0.3582004555808656,0.3661731207289294,0.06036446469248292
4,0.5011389521640092,0.44703872437357633,0.43507972665148065,0.07687927107061504
5,0.5301822323462415,0.49145785876993164,0.48348519362186787,0.09111617312072894
6,0.5597949886104784,0.5062642369020501,0.5324601366742597,0.10990888382687927
0,,,,
0,0.01651480637813212,0.01651480637813212,0.01651480637813212,0.01651480637813212
1,0.13097949886104784,0.11446469248291571,0.1070615034168565,0.027904328018223234
2,0.33712984054669703,0.30125284738041,0.24544419134396356,0.048405466970387244
3,0.4527334851936219,0.41287015945330297,0.3804100227790433,0.06548974943052392
4,0.5039863325740319,0.47266514806378135,0.4498861047835991,0.08257403189066059
5,0.5318906605922551,0.5017084282460137,0.4920273348519362,0.09965831435079726
6,0.5518223234624146,0.5119589977220956,0.5250569476082004,0.11617312072892938
0,,,,
0,0.018223234624145785,0.018223234624145785,0.018223234624145785,0.018223234624145785
1,0.1919134396355353,0.18166287015945332,0.1714123006833713,0.03530751708428246
2,0.3684510250569476,0.3593394077448747,0.3200455580865604,0.05125284738041002
3,0.4498861047835991,0.4402050113895216,0.40774487471526194,0.06093394077448747
4,0.49373576309794986,0.4766514806378132,0.46070615034168566,0.0746013667425968
5,0.5301822323462415,0.4977220956719818,0.5062642369020501,0.09168564920273349
6,0.556378132118451,0.5096810933940774,0.5335990888382688,0.10649202733485194
0,,,,
0,0.02050113895216401,0.02050113895216401,0.02050113895216401,0.02050113895216401
1,0.17084282460136674,0.1560364464692483,0.1480637813211845,0.03644646924829157
2,0.3707289293849658,0.3439635535307517,0.30125284738041,0.05694760820045558
3,0.45899772209567197,0.44817767653758545,0.3946469248291572,0.07289293849658314
4,0.5079726651480638,0.49658314350797267,0.4635535307517084,0.09054669703872438
5,0.5427107061503417,0.5142369020501139,0.5,0.09851936218678815
6,0.5683371298405467,0.5216400911161732,0.5421412300683371,0.11617312072892938
0,,,,
0,0.014806378132118452,0.014806378132118452,0.014806378132118452,0.014806378132118452
1,0.2061503416856492,0.19533029612756264,0.1600227790432802,0.0244874715261959
2,0.3354214123006834,0.31605922551252846,0.30637813211845105,0.0387243735763098
3,0.4293849658314351,0.40660592255125283,0.3917995444191344,0.055239179954441914
4,0.4908883826879271,0.48348519362186787,0.44760820045558086,0.06605922551252848
5,0.525626423690205,0.5165148063781321,0.49259681093394075,0.08200455580865604
6,0.5660592255125285,0.525626423690205,0.5398633257403189,0.09738041002277904
0,,,,
0,0.015945330296127564,0.015945330296127564,0.015945330296127564,0.015945330296127564
1,0.1662870159453303,0.14635535307517084,0.12813211845102507,0.03189066059225513
2,0.32915717539863326,0.31492027334851935,0.26879271070615035,0.04441913439635535
3,0.4276765375854214,0.41970387243735763,0.37699316628701596,0.05694760820045558
4,0.489749430523918,0.47892938496583143,0.44248291571753984,0.07118451025056947
5,0.5301822323462415,0.5039863325740319,0.4857630979498861,0.09054669703872438
6,0.5506833712984055,0.5113895216400911,0.5284738041002278,0.09851936218678815
0,,,,
0,0.013097949886104784,0.013097949886104784,0.013097949886104784,0.013097949886104784
1,0.09624145785876993,0.08542141230068337,0.08314350797266515,0.029043280182232345
2,0.26594533029612755,0.20387243735763097,0.18109339407744876,0.038154897494305236
3,0.4043280182232346,0.3479498861047836,0.34339407744874717,0.050683371298405465
4,0.48177676537585423,0.44646924829157175,0.42255125284738043,0.06378132118451026
5,0.5330296127562643,0.5034168564920274,0.47380410022779046,0.07915717539863326
6,0.570615034168565,0.5239179954441914,0.5290432801822323,0.09965831435079726
0,,,,
