,Time - mean,Time - STD,Time - Replicate 1,Time - Replicate 2,Time - Replicate 3,Time - Replicate 4,Time - Replicate 5,Time - Replicate 6,Time - Replicate 7,Time - Replicate 8,Time - Replicate 9,Time - Replicate 10,FP rate,FP Precision@90 - mean,FP Precision@90 - STD,FP Precision@90 - Replicate 1,FP Precision@90 - Replicate 2,FP Precision@90 - Replicate 3,FP Precision@90 - Replicate 4,FP Precision@90 - Replicate 5,FP Precision@90 - Replicate 6,FP Precision@90 - Replicate 7,FP Precision@90 - Replicate 8,FP Precision@90 - Replicate 9,FP Precision@90 - Replicate 10,TP rate,TP Precision@90 - mean,TP Precision@90 - STD,TP Precision@90 - Replicate 1,TP Precision@90 - Replicate 2,TP Precision@90 - Replicate 3,TP Precision@90 - Replicate 4,TP Precision@90 - Replicate 5,TP Precision@90 - Replicate 6,TP Precision@90 - Replicate 7,TP Precision@90 - Replicate 8,TP Precision@90 - Replicate 9,TP Precision@90 - Replicate 10,FP EF10 - mean,FP EF10 - STD,FP EF10 - Replicate 1,FP EF10 - Replicate 2,FP EF10 - Replicate 3,FP EF10 - Replicate 4,FP EF10 - Replicate 5,FP EF10 - Replicate 6,FP EF10 - Replicate 7,FP EF10 - Replicate 8,FP EF10 - Replicate 9,FP EF10 - Replicate 10,TP EF10 - mean,TP EF10 - STD,TP EF10 - Replicate 1,TP EF10 - Replicate 2,TP EF10 - Replicate 3,TP EF10 - Replicate 4,TP EF10 - Replicate 5,TP EF10 - Replicate 6,TP EF10 - Replicate 7,TP EF10 - Replicate 8,TP EF10 - Replicate 9,TP EF10 - Replicate 10,FP BEDROC20 - mean,FP BEDROC20 - STD,FP BEDROC20 - Replicate 1,FP BEDROC20 - Replicate 2,FP BEDROC20 - Replicate 3,FP BEDROC20 - Replicate 4,FP BEDROC20 - Replicate 5,FP BEDROC20 - Replicate 6,FP BEDROC20 - Replicate 7,FP BEDROC20 - Replicate 8,FP BEDROC20 - Replicate 9,FP BEDROC20 - Replicate 10,TP BEDROC20 - mean,TP BEDROC20 - STD,TP BEDROC20 - Replicate 1,TP BEDROC20 - Replicate 2,TP BEDROC20 - Replicate 3,TP BEDROC20 - Replicate 4,TP BEDROC20 - Replicate 5,TP BEDROC20 - Replicate 6,TP BEDROC20 - Replicate 7,TP BEDROC20 - Replicate 8,TP BEDROC20 - Replicate 9,TP BEDROC20 - Replicate 10,FP Scaffold- mean,FP Scaffold - STD,FP Scaffold - Replicate 1,FP Scaffold - Replicate 2,FP Scaffold - Replicate 3,FP Scaffold - Replicate 4,FP Scaffold - Replicate 5,FP Scaffold - Replicate 6,FP Scaffold - Replicate 7,FP Scaffold - Replicate 8,FP Scaffold - Replicate 9,FP Scaffold - Replicate 10,TP Scaffold- mean,TP Scaffold - STD,TP Scaffold - Replicate 1,TP Scaffold - Replicate 2,TP Scaffold - Replicate 3,TP Scaffold - Replicate 4,TP Scaffold - Replicate 5,TP Scaffold - Replicate 6,TP Scaffold - Replicate 7,TP Scaffold - Replicate 8,TP Scaffold - Replicate 9,TP Scaffold - Replicate 10
transcription_5,506.93203206062316,4.785344380101846,509.93165731430054,501.6995747089386,505.9464592933655,510.15706491470337,497.2080776691437,510.4719114303589,510.8844347000122,512.1781039237976,501.78458547592163,509.0584511756897,0.8592233009708737,0.8049911448699067,0.019864430786581264,0.7962962962962963,0.7857142857142857,0.7796610169491526,0.8,0.7903225806451613,0.8363636363636363,0.819672131147541,0.8181818181818182,0.835820895522388,0.7878787878787878,0.14077669902912626,0.02361111111111111,0.04732423621500228,0.0,0.1111111111111111,0.0,0.125,0.0,0.0,0.0,0.0,0.0,0.0,0.6916671487474442,0.017067981792353797,0.6841963322545846,0.6751040221914008,0.6699029126213593,0.6873786407766991,0.679063576573755,0.7186231244483671,0.7042813942384211,0.7030008826125331,0.7181567888711781,0.6769638128861429,0.0033238942826321464,0.006662149758422651,0.0,0.015641855447680687,0.0,0.017597087378640776,0.0,0.0,0.0,0.0,0.0,0.0,0.7287770334991788,0.0394734848113756,0.7688913668728736,0.6911293058449437,0.6642198291533649,0.7626972857587181,0.7088985423610532,0.7514783217287673,0.7808681739806086,0.7200062117387899,0.7608662217894019,0.6787150757632661,0.1371354828476646,0.01992658298044519,0.1539123605232307,0.1485630007102801,0.13899448934080147,0.16926635291904568,0.13313815644379665,0.12181547042922579,0.14132561525879891,0.09796394616557882,0.15174801202772173,0.11462742465816618,87.5304347826087,2.5842916489885863,89.3913043478261,89.04347826086956,89.21739130434783,86.08695652173913,89.04347826086956,87.65217391304348,80.34782608695652,87.47826086956522,88.17391304347827,88.8695652173913,18.434782608695652,9.514807880252215,34.95652173913044,29.217391304347824,9.91304347826087,30.782608695652176,10.782608695652174,12.0,23.47826086956522,10.956521739130435,9.91304347826087,12.347826086956522
channel_atp,279.6828047275543,2.181427246571268,280.1099603176117,278.7656238079071,275.6908016204834,279.3650813102722,280.57323575019836,283.5565559864044,280.3238048553467,281.0846357345581,276.4058337211609,280.95251417160034,0.4878048780487805,0.6610453548246369,0.045643261288720184,0.6952380952380952,0.6862745098039216,0.6990291262135923,0.7019230769230769,0.6018518518518519,0.6476190476190476,0.6699029126213593,0.6470588235294118,0.7019230769230769,0.5596330275229358,0.5121951219512195,0.7304842313466762,0.049567940340599026,0.6521739130434783,0.7263157894736842,0.6979166666666666,0.8316831683168316,0.7083333333333334,0.7578947368421053,0.7340425531914894,0.6703296703296703,0.7553191489361702,0.7708333333333334,0.32246114869494485,0.022265005506692772,0.33914053426248547,0.3347680535628886,0.34098981766516695,0.34240150093808625,0.2935862691960253,0.3159117305458769,0.326781908595785,0.3156384505021521,0.34240150093808625,0.27299172074289546,0.37415045995805374,0.025388457247623886,0.3340402969247084,0.37201540436457,0.35746951219512196,0.4259840618208162,0.36280487804878053,0.38818998716302955,0.3759730150492994,0.34333958724202623,0.38687078360145305,0.3948170731707317,0.6775784397924605,0.0612099266898737,0.7097219572995687,0.7207836098511445,0.6983795879736828,0.7057287028172035,0.5945499958321919,0.745306048495964,0.686903176891378,0.648188494607563,0.7251859187223807,0.541036905433527,0.7065150691283222,0.059871748301005105,0.5999183125799767,0.6910323676510546,0.6794157545957888,0.8263589572931533,0.6889093393655275,0.7143764668731573,0.7192958065486649,0.6406886166537631,0.7483933008933601,0.7567617688287753,90.63606194690266,4.4967263998997495,91.96428571428571,91.96428571428571,87.61061946902655,83.03571428571429,95.53571428571429,90.17857142857143,95.53571428571429,95.53571428571429,83.03571428571429,91.96428571428571,86.60714285714286,2.4936142935301677,88.39285714285714,87.5,85.71428571428571,85.71428571428571,83.92857142857143,88.39285714285714,91.07142857142857,82.14285714285714,84.82142857142857,88.39285714285714
transcription,281.11049082279203,3.8453944963331126,282.4007649421692,283.71579098701477,283.6787054538727,276.9989264011383,278.4414756298065,283.66480445861816,284.57875537872314,280.8923673629761,272.23739790916443,284.49591970443726,0.44337606837606836,0.7806665937495482,0.04209328989285916,0.7482014388489209,0.8307692307692308,0.7557251908396947,0.8582677165354331,0.8,0.7194244604316546,0.753731343283582,0.7925925925925926,0.8088235294117647,0.7391304347826086,0.5566239316239316,0.8190338096112214,0.04984000834189172,0.8648648648648649,0.859375,0.7735849056603774,0.7636363636363637,0.72,0.8225806451612904,0.8870967741935484,0.8113207547169812,0.8545454545454545,0.8333333333333334,0.34612888504921213,0.018663157377709984,0.3317346123101519,0.3683431952662722,0.3350704638872578,0.38053536577158625,0.3547008547008547,0.3189755887597614,0.3341864395968873,0.3514165875276986,0.35861299648064354,0.32771274619100704,0.4558938192387248,0.02774214139543332,0.48140448140448144,0.4783486912393163,0.4305958716336075,0.4250582750582751,0.40076923076923077,0.4578680727874277,0.49377929418252,0.45160054829866153,0.47566045066045065,0.4638532763532764,0.8216118005778981,0.040258698455011024,0.7970953612839063,0.8733936452747149,0.8168005094495758,0.8712826651721064,0.8594342796866317,0.7477192311251654,0.8182976366426923,0.8427897674500444,0.8232104231837998,0.7660944865103441,0.8058927531593163,0.041878667581263435,0.8564070204981267,0.8414548713481534,0.7492915064612145,0.7856160915857464,0.7239709210399542,0.8280845525718239,0.8399423804659879,0.7797258599457658,0.8358722622167255,0.8185620654596649,94.23423423423424,2.5305534964302945,95.49549549549549,94.5945945945946,89.1891891891892,90.990990990991,92.34234234234235,97.74774774774775,95.94594594594595,95.04504504504504,94.14414414414415,96.84684684684684,76.3963963963964,1.651378628812918,77.02702702702703,80.18018018018019,76.57657657657657,74.77477477477477,74.77477477477477,75.67567567567568,74.32432432432432,76.57657657657657,77.92792792792793,76.12612612612612
transporter,253.10476970672607,2.305219965511191,253.5042519569397,251.51973605155945,254.45184206962585,256.9217607975006,254.4271740913391,253.37115955352783,255.67413234710693,251.10345911979675,251.2280044555664,248.8461766242981,0.30279069767441863,0.48402195407782606,0.047149774169294195,0.5339366515837104,0.44144144144144143,0.44036697247706424,0.5022222222222222,0.37962962962962965,0.5201793721973094,0.47533632286995514,0.5315315315315315,0.5111111111111111,0.5044642857142857,0.6972093023255814,0.8516901550144749,0.016756704847624582,0.84,0.87,0.8557692307692307,0.8793969849246231,0.85,0.8284313725490197,0.8407960199004975,0.8656716417910447,0.8267326732673267,0.8601036269430051,0.14655734516496036,0.014276513015911868,0.16167105124697465,0.13366436203645507,0.1333390228291018,0.15206821705426357,0.11494832041343671,0.15750547502346438,0.14392741683178642,0.16094280326838467,0.15475968992248063,0.15274709302325581,0.5938062987752082,0.011682930496088033,0.5856558139534884,0.6065720930232559,0.5966502683363148,0.6131237583265163,0.5926279069767442,0.5775900592795258,0.5862108064329515,0.6035543214161749,0.5764057103384757,0.5996722496686347,0.48497046608205974,0.04527176796688256,0.5205072964132935,0.44549920629913736,0.43890269475225624,0.4983650750840827,0.3787978926092057,0.5117380004092816,0.5141255352746051,0.512462331842746,0.5118472438200279,0.517459384315961,0.8435989637400562,0.018210055282182995,0.8431398115090468,0.8697009829028348,0.822305787343427,0.8564969966924456,0.8638204070856377,0.8142972169585826,0.836326337350617,0.8564837547269879,0.8219879325375182,0.8514304102934651,92.46861924686193,3.555254524895061,92.88702928870293,89.1213389121339,96.65271966527196,94.97907949790795,84.10041841004184,91.63179916317992,93.72384937238493,93.30543933054393,96.65271966527196,91.63179916317992,71.5481171548117,1.9535761556366151,74.05857740585775,71.96652719665272,69.8744769874477,68.61924686192468,74.47698744769875,72.80334728033473,69.8744769874477,73.22175732217573,69.4560669456067,71.1297071129707
cysteine_protease,280.9836455821991,2.6806589410940433,276.62065505981445,277.8458800315857,283.95478320121765,284.444078207016,279.50894689559937,284.8575966358185,281.92455196380615,279.41208815574646,281.4687702655792,279.7991054058075,0.5117241379310344,0.829625748222185,0.015867711581443695,0.8487394957983193,0.8275862068965517,0.79,0.8252427184466019,0.8260869565217391,0.8482142857142857,0.8333333333333334,0.8235294117647058,0.8416666666666667,0.831858407079646,0.48827586206896556,0.8469162042355445,0.0460508488555293,0.8620689655172413,0.8214285714285714,0.7666666666666667,0.8695652173913043,0.8571428571428571,0.9565217391304348,0.8181818181818182,0.84,0.8275862068965517,0.85,0.42453952081438706,0.008119891029952558,0.4343204868154158,0.4234958382877526,0.40426206896551725,0.42229661868095075,0.4227286356821589,0.43405172413793097,0.4264367816091954,0.42141987829614597,0.4307011494252873,0.42568202624351537,0.4135287397232865,0.022485517923941205,0.4209274673008323,0.4010837438423645,0.3743448275862069,0.42458770614692654,0.41852216748768467,0.4670464767616192,0.3994984326018809,0.410151724137931,0.40409036860879904,0.41503448275862065,0.8181290345868971,0.018680332018978493,0.8254916721378301,0.8304153183206708,0.7790726171171121,0.8295774183795699,0.8212132577544936,0.8485542872979355,0.824168617801066,0.7938870829128009,0.8190137578241119,0.8098963163233815,0.8159606392653626,0.019486903529546566,0.8224049397191835,0.8093843704047858,0.7740400123662763,0.8237715720217533,0.8249582287904008,0.8227116765767358,0.7850948107300388,0.8336870342984648,0.8312748715392806,0.8322788762067065,96.70454545454545,0.795454545454549,97.1590909090909,97.72727272727273,96.02272727272727,97.1590909090909,96.02272727272727,96.5909090909091,98.29545454545455,96.02272727272727,96.02272727272727,96.02272727272727,69.82954545454545,3.56146226004882,66.47727272727273,69.88636363636364,68.75,65.9090909090909,66.47727272727273,67.04545454545455,72.72727272727273,73.86363636363636,77.27272727272727,69.88636363636364
dna_repair,286.0422245025635,3.2896019784229984,285.06605768203735,289.4802372455597,277.63628220558167,287.4324297904968,285.01874709129333,288.49161410331726,284.8508050441742,287.7432658672333,285.3437292575836,289.35907673835754,0.36773428232502964,0.31502554661669235,0.08819300462655714,0.45555555555555555,0.4050632911392405,0.2,0.2230769230769231,0.4444444444444444,0.27906976744186046,0.35135135135135137,0.24324324324324326,0.2601626016260163,0.2882882882882883,0.6322657176749704,0.31964537434167023,0.07692662428873082,0.2537313432835821,0.2894736842105263,0.3368421052631579,0.22916666666666666,0.32954545454545453,0.4639175257731959,0.29577464788732394,0.23529411764705882,0.31343283582089554,0.4492753623188406,0.11584569329913952,0.032431591262435014,0.1675233952814024,0.14895565866330315,0.07354685646500593,0.08203303221096815,0.1634374588111243,0.10262352064884547,0.12920393703311853,0.08944887948446667,0.0956707075967557,0.10601348679640495,0.20210081200962066,0.048638067314227186,0.1604256298578283,0.18302428669538615,0.2129737154273584,0.14489422696718068,0.20836029332470613,0.2933191473749862,0.18700817001654052,0.14876840415881654,0.19817283688319967,0.284061409390204,0.3652193001513434,0.08788652602583477,0.5095206225633545,0.4542400179992215,0.3997514061142524,0.24990269607728924,0.4627273099316982,0.29963640781923584,0.39248646955061517,0.33002600867338155,0.3132063801419814,0.24069568264240393,0.32826855948233125,0.057358704403766544,0.299585662148284,0.3016116774750387,0.3208458053372046,0.27904724166904893,0.32315992467137467,0.3957225169480584,0.2975844830149204,0.2868933715247202,0.30469486819000335,0.4735400438446587,68.58156028368795,7.7044260771331405,65.2482269503546,63.12056737588652,48.93617021276596,74.46808510638297,72.34042553191489,73.75886524822695,66.66666666666667,72.34042553191489,73.04964539007092,75.88652482269504,75.50331173065949,4.527619973993959,77.30496453900709,78.01418439716312,79.43262411347517,68.08510638297872,82.97872340425532,70.92198581560284,79.16666666666667,70.13888888888889,75.88652482269504,73.10344827586206
GPCR_3,64.35903339385986,0.8509955726883695,65.20768690109253,65.15923929214478,63.71963024139404,64.29144048690796,65.54812145233154,64.41578125953674,64.9468002319336,62.93116784095764,63.06937885284424,64.30108737945557,0.5945223780895124,0.9170715341050734,0.013722267905620623,0.9047619047619048,0.9008264462809917,0.9097744360902256,0.9316239316239316,0.916030534351145,0.9133858267716536,0.9,0.937007874015748,0.917910447761194,0.9393939393939394,0.40547762191048764,0.7219670540943742,0.020326850457787607,0.7621951219512195,0.7325581395348837,0.6982248520710059,0.7514450867052023,0.7235294117647059,0.7065868263473054,0.710691823899371,0.7202380952380952,0.6982248520710059,0.7159763313609467,0.5452195493343455,0.008158195348030988,0.5379011992238445,0.5355614810888996,0.5408812612694059,0.5538712753141611,0.5446006516850495,0.5430283138455388,0.5350701402805611,0.5570721495484408,0.5457183022761942,0.5584907188113601,0.29274148419190726,0.00824208298455383,0.3090530654805546,0.2970359323297758,0.2831145525765535,0.3046941667535456,0.29337498526464695,0.2865051460205841,0.28816963066594403,0.29204043006648217,0.2831145525765535,0.29031238018443195,0.9042466742049193,0.008818081101240502,0.9007328700072269,0.889027691600708,0.9019428360090347,0.9129210406158734,0.9021019391931075,0.8905786539813408,0.9072088222894207,0.9117293142662455,0.9086559117847448,0.9175676623014898,0.7192045570329169,0.023774124320155868,0.7476206088566806,0.7477649296842988,0.6837988849237093,0.7395485651121689,0.7180666364116028,0.7109637793886635,0.7132275574836069,0.7326506191852384,0.6739477741284241,0.7244562151547749,90.39800995024875,1.6805319158263214,89.05472636815921,90.54726368159204,90.04975124378109,91.04477611940298,90.04975124378109,90.04975124378109,87.56218905472637,90.04975124378109,94.5273631840796,91.04477611940298,77.41293532338308,2.449459427878839,81.59203980099502,78.1094527363184,76.61691542288557,80.09950248756219,77.11442786069652,73.6318407960199,78.60696517412936,77.61194029850746,73.13432835820896,77.61194029850746
GPCR,267.8038137435913,2.196697624805842,265.9722011089325,266.6579239368439,264.86472845077515,264.86634826660156,267.39742636680603,269.7398850917816,268.52746963500977,269.0741584300995,272.2100636959076,268.7279324531555,0.5064615384615384,0.5052121484941801,0.1487301011643669,0.41975308641975306,0.32432432432432434,0.4666666666666667,0.5401459854014599,0.6993006993006993,0.352112676056338,0.7125,0.6447368421052632,0.6011904761904762,0.2913907284768212,0.4935384615384616,0.4053959340781207,0.036297514276579,0.38461538461538464,0.3502824858757062,0.4260355029585799,0.4036144578313253,0.47126436781609193,0.3468208092485549,0.3956043956043956,0.4269005847953216,0.4350282485875706,0.41379310344827586,0.2558705219758217,0.07532607585124552,0.21258879392212723,0.16425779625779624,0.23634871794871792,0.273563166760247,0.3541689080150618,0.17833152762730226,0.36085384615384614,0.32653441295546554,0.30447985347985346,0.14757819663779925,0.20007848561886324,0.017914219353733142,0.1898224852071006,0.17287787918296393,0.2102649066909422,0.19919925857275256,0.23258709106984968,0.171169408626056,0.19524598478444632,0.21069185784975258,0.214703172533681,0.20422281167108752,0.5092377557724211,0.15718859731900275,0.4298900087306814,0.29757690270616066,0.46923440057533444,0.5463654429350788,0.6740318449800811,0.3522298731095883,0.6873830605576265,0.7012744228589991,0.6530048233528313,0.28138677791782996,0.3992496030857632,0.028169160206462467,0.406386573934851,0.35860686368338446,0.3818424248297393,0.3729336445102151,0.4191110646549196,0.38732367861954836,0.37735982993981243,0.4084708625765225,0.45994010451879325,0.4205209835898458,77.19928186714542,3.228604238802726,82.04667863554758,77.55834829443447,73.42908438061042,77.0197486535009,77.737881508079,74.86535008976661,73.42908438061042,77.19928186714542,83.6624775583483,75.04488330341113,78.9048473967684,6.425809484376307,81.32854578096948,82.9443447037702,84.56014362657092,85.81687612208259,81.32854578096948,70.19748653500898,83.6624775583483,80.96947935368043,71.45421903052065,66.78635547576302
GPCR_2,166.10230507850648,2.2645348418695495,163.598863363266,167.7993597984314,165.04954314231873,165.32678842544556,161.79887866973877,165.2846806049347,166.6294140815735,168.0747368335724,167.45481061935425,170.00597524642944,0.838468720821662,0.9011343566777337,0.008274789772810284,0.8984375,0.8939393939393939,0.9104477611940298,0.8923076923076924,0.9206349206349206,0.8939393939393939,0.8984375,0.9047619047619048,0.9,0.8984375,0.16153127917833798,0.34247084692218177,0.03894363133935559,0.2857142857142857,0.3880597014925373,0.31666666666666665,0.4126984126984127,0.29850746268656714,0.32857142857142857,0.3108108108108108,0.36619718309859156,0.35384615384615387,0.36363636363636365,0.7555729713320305,0.006938152395876398,0.753311741363212,0.7495402201284554,0.7633819697033042,0.7481720893485599,0.7719235842485141,0.7495402201284554,0.753311741363212,0.7586145569338847,0.7546218487394958,0.753311741363212,0.05531975398462881,0.0062906145860957205,0.046151794050953716,0.06268377997965356,0.051151571739807035,0.06666370251804425,0.04821829229204119,0.05307456315859677,0.050205667852726676,0.059152299417419556,0.05715722186310422,0.0587386469739411,0.8969602225485124,0.008240949278251515,0.8819779839546622,0.892927331122586,0.8913234499689279,0.8968675127235942,0.9137243382378918,0.8954071403441558,0.9069681573526213,0.8928938842298796,0.8988708627740737,0.8986415647767311,0.3419041538918725,0.023414863626935855,0.2987467182890915,0.348327848960076,0.33442735426578885,0.3853448049172492,0.34468038901927267,0.3211160884508119,0.3193975217770782,0.3594472015433942,0.36083583202462033,0.34671777967134226,89.57219251336898,2.4766922303549546,87.16577540106952,88.77005347593582,87.70053475935829,91.44385026737967,91.44385026737967,84.49197860962566,91.97860962566845,93.04812834224599,89.3048128342246,90.37433155080214,74.54545454545453,4.003201555553562,81.28342245989305,77.00534759358288,74.8663101604278,69.5187165775401,75.40106951871658,77.54010695187166,74.33155080213903,66.84491978609626,71.65775401069519,77.00534759358288
ion_channel2,96.587202835083,0.8869880682492591,97.22042655944824,95.43219518661499,96.96940588951111,96.02611017227173,95.79536628723145,98.15871715545654,97.68065977096558,96.3616042137146,96.77712655067444,95.4504165649414,0.20496894409937888,0.3188764588238272,0.036699838801782375,0.35185185185185186,0.34545454545454546,0.34,0.25,0.3333333333333333,0.31666666666666665,0.32727272727272727,0.3392857142857143,0.3392857142857143,0.24561403508771928,0.7950310559006211,0.8169430593424625,0.023854370464535667,0.8051948051948052,0.8333333333333334,0.8362068965517241,0.8454545454545455,0.8303571428571429,0.8245614035087719,0.7818181818181819,0.8351648351648352,0.77,0.8073394495412844,0.06535977106326893,0.007522327207818747,0.07211870255348517,0.07080745341614907,0.06968944099378882,0.05124223602484472,0.06832298136645962,0.06490683229813664,0.0670807453416149,0.06954303460514641,0.06954303460514641,0.05034324942791762,0.6494951030797218,0.018964965338264375,0.6401548761797209,0.6625258799171843,0.6648104519168986,0.6721626199887069,0.6601597160603372,0.655551923286477,0.6215697346132129,0.6639819807521671,0.6121739130434782,0.6418599350390336,0.35659410316972173,0.03861579050537588,0.3923049973944449,0.37162602671371253,0.3866951497338652,0.2840017271831962,0.3816926928060774,0.342059554750353,0.36980828476685274,0.37256817242334955,0.38164157975702023,0.2835428461683454,0.8287078444795635,0.019709119416472503,0.8132261833479789,0.8365661856178047,0.8638520526117625,0.8442015754663336,0.8051655357101083,0.8406855480938366,0.8281719068143825,0.8436665623352727,0.8139560268799338,0.7975868679182203,86.95652173913044,1.2872379318332579,88.64734299516908,86.95652173913044,84.54106280193237,85.99033816425121,86.71497584541063,87.19806763285024,86.95652173913044,89.3719806763285,85.99033816425121,87.19806763285024,75.57971014492753,1.2050695346151148,72.94685990338164,76.81159420289855,75.84541062801932,74.15458937198068,76.08695652173913,75.84541062801932,76.57004830917874,77.05314009661836,75.60386473429952,74.8792270531401
