,Time - mean,Time - STD,Time - Replicate 1,Time - Replicate 2,Time - Replicate 3,Time - Replicate 4,Time - Replicate 5,Time - Replicate 6,Time - Replicate 7,Time - Replicate 8,Time - Replicate 9,Time - Replicate 10,FP rate,FP Precision@90 - mean,FP Precision@90 - STD,FP Precision@90 - Replicate 1,FP Precision@90 - Replicate 2,FP Precision@90 - Replicate 3,FP Precision@90 - Replicate 4,FP Precision@90 - Replicate 5,FP Precision@90 - Replicate 6,FP Precision@90 - Replicate 7,FP Precision@90 - Replicate 8,FP Precision@90 - Replicate 9,FP Precision@90 - Replicate 10,TP rate,TP Precision@90 - mean,TP Precision@90 - STD,TP Precision@90 - Replicate 1,TP Precision@90 - Replicate 2,TP Precision@90 - Replicate 3,TP Precision@90 - Replicate 4,TP Precision@90 - Replicate 5,TP Precision@90 - Replicate 6,TP Precision@90 - Replicate 7,TP Precision@90 - Replicate 8,TP Precision@90 - Replicate 9,TP Precision@90 - Replicate 10,FP EF10 - mean,FP EF10 - STD,FP EF10 - Replicate 1,FP EF10 - Replicate 2,FP EF10 - Replicate 3,FP EF10 - Replicate 4,FP EF10 - Replicate 5,FP EF10 - Replicate 6,FP EF10 - Replicate 7,FP EF10 - Replicate 8,FP EF10 - Replicate 9,FP EF10 - Replicate 10,TP EF10 - mean,TP EF10 - STD,TP EF10 - Replicate 1,TP EF10 - Replicate 2,TP EF10 - Replicate 3,TP EF10 - Replicate 4,TP EF10 - Replicate 5,TP EF10 - Replicate 6,TP EF10 - Replicate 7,TP EF10 - Replicate 8,TP EF10 - Replicate 9,TP EF10 - Replicate 10,FP BEDROC20 - mean,FP BEDROC20 - STD,FP BEDROC20 - Replicate 1,FP BEDROC20 - Replicate 2,FP BEDROC20 - Replicate 3,FP BEDROC20 - Replicate 4,FP BEDROC20 - Replicate 5,FP BEDROC20 - Replicate 6,FP BEDROC20 - Replicate 7,FP BEDROC20 - Replicate 8,FP BEDROC20 - Replicate 9,FP BEDROC20 - Replicate 10,TP BEDROC20 - mean,TP BEDROC20 - STD,TP BEDROC20 - Replicate 1,TP BEDROC20 - Replicate 2,TP BEDROC20 - Replicate 3,TP BEDROC20 - Replicate 4,TP BEDROC20 - Replicate 5,TP BEDROC20 - Replicate 6,TP BEDROC20 - Replicate 7,TP BEDROC20 - Replicate 8,TP BEDROC20 - Replicate 9,TP BEDROC20 - Replicate 10,FP Scaffold- mean,FP Scaffold - STD,FP Scaffold - Replicate 1,FP Scaffold - Replicate 2,FP Scaffold - Replicate 3,FP Scaffold - Replicate 4,FP Scaffold - Replicate 5,FP Scaffold - Replicate 6,FP Scaffold - Replicate 7,FP Scaffold - Replicate 8,FP Scaffold - Replicate 9,FP Scaffold - Replicate 10,TP Scaffold- mean,TP Scaffold - STD,TP Scaffold - Replicate 1,TP Scaffold - Replicate 2,TP Scaffold - Replicate 3,TP Scaffold - Replicate 4,TP Scaffold - Replicate 5,TP Scaffold - Replicate 6,TP Scaffold - Replicate 7,TP Scaffold - Replicate 8,TP Scaffold - Replicate 9,TP Scaffold - Replicate 10
transcription_5,499.3778537273407,4.8571687074731775,502.37504410743713,493.93208050727844,498.50044226646423,502.87602281570435,489.4854485988617,502.82517886161804,503.37575674057007,504.648334980011,494.2550027370453,501.50522565841675,0.8592233009708737,0.794802622109257,0.014086782539222638,0.7796610169491526,0.7868852459016393,0.7719298245614035,0.8095238095238095,0.8166666666666667,0.8,0.803030303030303,0.7936507936507936,0.8070175438596491,0.7796610169491526,0.14077669902912626,0.08099694423223835,0.10282231594098637,0.0,0.0,0.0,0.0,0.25,0.23529411764705882,0.0,0.18181818181818182,0.14285714285714285,0.0,0.6829129325890217,0.012103691793409727,0.6699029126213593,0.6761101384688842,0.6632600919775166,0.6955617198335645,0.7016990291262135,0.6873786407766991,0.689982347749338,0.6819232547387887,0.6934082779764945,0.6699029126213593,0.011402482440460738,0.014474986224701966,0.0,0.0,0.0,0.0,0.03519417475728155,0.03312392918332381,0.0,0.025595763459841128,0.020110957004160886,0.0,0.7224076564705734,0.015895946488893906,0.7315960698647032,0.6995813483155013,0.7153703205964226,0.7176973376818514,0.7284427264090865,0.7354506831702677,0.746262104474811,0.7150264051919466,0.7393236630422779,0.6953259059588669,0.1687532241181982,0.051549952456445496,0.1832713763803328,0.10798489165504996,0.1522845643738857,0.15524550659148773,0.24200524582370714,0.21963190642290983,0.09475561380001578,0.23614300989371625,0.10691943359541117,0.18929069264546575,88.12173913043478,1.06086956521739,88.0,88.34782608695652,88.0,88.0,87.1304347826087,89.21739130434783,86.08695652173913,90.08695652173913,87.47826086956522,88.8695652173913,22.0,10.93559077314326,19.82608695652174,9.217391304347826,14.956521739130435,16.869565217391305,45.56521739130435,26.782608695652176,9.91304347826087,34.26086956521739,27.47826086956522,15.130434782608695
channel_atp,274.6076383113861,2.1935944723200422,274.8927335739136,273.69901609420776,270.6689419746399,274.29186749458313,275.50898361206055,278.51749753952026,275.22346782684326,276.0367178916931,271.2604820728302,275.97667503356934,0.4878048780487805,0.703830961062543,0.0271324460002759,0.6634615384615384,0.6826923076923077,0.6923076923076923,0.7281553398058253,0.6893203883495146,0.6862745098039216,0.7378640776699029,0.6990291262135923,0.7572815533980582,0.7019230769230769,0.5121951219512195,0.7451921490167568,0.035061993185824994,0.7722772277227723,0.7938144329896907,0.7157894736842105,0.7755102040816326,0.7311827956989247,0.7755102040816326,0.7052631578947368,0.6774193548387096,0.7525773195876289,0.7525773195876289,0.34333217612806977,0.013235339512329703,0.323639774859287,0.3330206378986867,0.33771106941838647,0.3551977267345489,0.33625384797537294,0.3347680535628886,0.35993369642434286,0.34098981766516695,0.3694056358039308,0.34240150093808625,0.38168378364272904,0.017958581875666464,0.3955566288336151,0.40658788031179277,0.36662387676508346,0.397212543554007,0.3745082612116444,0.397212543554007,0.36123234916559693,0.3469708890637293,0.38546643198390745,0.38546643198390745,0.7207798879004775,0.02497085435695116,0.6694122102024767,0.7095775073412948,0.7122676814611365,0.7481586913725237,0.7170743953392814,0.7350702060462556,0.7323921939727094,0.6916410551782521,0.7551832225552647,0.7370217155355804,0.7323469555500908,0.04897582400570665,0.7949155887476277,0.7969505538736822,0.6670642375614658,0.7652360696965191,0.6978511598770466,0.7689997947735883,0.6761525845256801,0.6656172487492,0.7393171564004535,0.7513651612956439,89.20670037926675,4.039671258747389,81.25,91.07142857142857,91.07142857142857,91.96428571428571,88.39285714285714,92.85714285714286,88.49557522123894,95.53571428571429,87.5,83.92857142857143,87.58928571428572,1.8056918228711332,89.28571428571429,85.71428571428571,87.5,88.39285714285714,88.39285714285714,89.28571428571429,86.60714285714286,83.92857142857143,90.17857142857143,86.60714285714286
transcription,275.9717262506485,3.8551425951861127,277.2628915309906,278.4888586997986,278.62383484840393,271.72569942474365,273.30705213546753,278.5976619720459,279.4277501106262,275.8176531791687,267.1259717941284,279.33988881111145,0.44337606837606836,0.7991808709337029,0.04545382870013141,0.7605633802816901,0.7956204379562044,0.8524590163934426,0.847457627118644,0.8444444444444444,0.7847222222222222,0.8102189781021898,0.7142857142857143,0.8372093023255814,0.7448275862068966,0.5566239316239316,0.7906159008783731,0.05074006305363691,0.8253968253968254,0.6666666666666666,0.8208955223880597,0.7894736842105263,0.7457627118644068,0.8208955223880597,0.7794117647058824,0.7764705882352941,0.8390804597701149,0.8421052631578947,0.3543376724759474,0.020153139861703563,0.3372156013001083,0.3527590617006675,0.37795992714025495,0.37574243082717657,0.37440645773979103,0.3479270536562203,0.3592317050346247,0.3166971916971917,0.37119856887298747,0.3302387267904509,0.4400757311513167,0.02824313338776157,0.45943562610229277,0.3710826210826211,0.456930093124123,0.4394399460188934,0.4151093727364914,0.456930093124123,0.43383924082453496,0.43220211161387634,0.4670522644660576,0.46873594242015293,0.8387195152878038,0.03855562918252909,0.8128972200099998,0.8264363799475202,0.8709689109841544,0.8814695625362559,0.8764959608565449,0.8374814557072554,0.8502678795308153,0.7550439179563303,0.8742311023867766,0.8019027629623848,0.7975518621140727,0.0355141728443096,0.8184086827606307,0.7019965197030174,0.823980036776611,0.8004836228749671,0.7773167247835723,0.8290730145390593,0.8112950410320733,0.7844752802236103,0.8111252956293487,0.8173644028178362,93.55855855855856,2.4261681098189603,96.3963963963964,92.7927927927928,90.09009009009009,91.44144144144144,89.63963963963964,95.49549549549549,95.04504504504504,95.49549549549549,92.7927927927928,96.3963963963964,76.75675675675674,1.758488405039923,77.02702702702703,74.77477477477477,77.92792792792793,77.92792792792793,77.92792792792793,72.97297297297297,78.37837837837837,75.67567567567568,76.12612612612612,78.82882882882883
transporter,247.48892958164214,2.3540667416288934,247.84230780601501,245.8516926765442,248.89452958106995,251.35725688934326,248.87141036987305,247.73598623275757,250.15652108192444,245.45917892456055,245.5612828731537,243.1591293811798,0.30279069767441863,0.5052166658314488,0.022622236258842555,0.5339366515837104,0.47368421052631576,0.5201793721973094,0.5203619909502263,0.4594594594594595,0.4888888888888889,0.5223214285714286,0.5112107623318386,0.504424778761062,0.5176991150442478,0.6972093023255814,0.8457009043806292,0.02508707742843109,0.8557213930348259,0.8199052132701422,0.815,0.8774509803921569,0.8439024390243902,0.8177339901477833,0.835820895522388,0.8601036269430051,0.8366336633663366,0.8947368421052632,0.15297490672384798,0.00684980269977047,0.16167105124697465,0.14342717258261933,0.15750547502346438,0.15756077028306853,0.139120050282841,0.148031007751938,0.1581540697674419,0.15478986338512882,0.1527351306853262,0.15675447622967692,0.5896305375193316,0.017490943751264282,0.5966169154228856,0.5716455417171828,0.5682255813953488,0.6117669858641132,0.5883766307430516,0.5701317447588499,0.5827421034363068,0.5996722496686347,0.5833087727377388,0.6238188494492044,0.5138361818463064,0.013098194772950131,0.517364548907937,0.5127808698952047,0.5271025250725117,0.5148310169907419,0.4806837052227078,0.5002214686660834,0.5223057807635034,0.5237842802019641,0.5207563392896387,0.5185312834527721,0.8444289700453298,0.01285898685876538,0.8514561782470464,0.8285478549054882,0.8264829721434788,0.8424452909167084,0.8409597912023827,0.8338491298402019,0.8406251855261668,0.8506020305325757,0.860738514079679,0.8685827530595714,93.22175732217573,1.2524376190038304,92.46861924686192,94.14225941422595,94.97907949790795,93.30543933054393,91.2133891213389,91.63179916317992,94.14225941422595,92.46861924686192,94.97907949790795,92.88702928870293,72.05020920502093,2.4382932693445136,71.96652719665272,74.47698744769875,71.96652719665272,67.78242677824268,74.89539748953975,74.89539748953975,72.38493723849372,73.64016736401673,69.8744769874477,68.61924686192468
cysteine_protease,276.17043764591216,2.6842537590059257,271.77737855911255,273.06038641929626,279.09163093566895,279.67633271217346,274.57768988609314,279.98504066467285,277.21005725860596,274.62039256095886,276.7137689590454,274.99169850349426,0.5117241379310344,0.8307854890808655,0.00852576305168028,0.8290598290598291,0.8316831683168316,0.8272727272727273,0.8411214953271028,0.8181818181818182,0.8434782608695652,0.8165137614678899,0.8275862068965517,0.8348623853211009,0.8380952380952381,0.48827586206896556,0.7904339617922471,0.04912608841310273,0.8292682926829268,0.7368421052631579,0.8461538461538461,0.7872340425531915,0.7058823529411765,0.8529411764705882,0.7352941176470589,0.78125,0.7894736842105263,0.84,0.4251329882055187,0.0043628387478253546,0.4242499263188918,0.4255923523386821,0.4233354231974921,0.4304221720915243,0.4186833855799373,0.43162818590704644,0.41782980069598225,0.4234958382877526,0.42721923441948745,0.42887356321839076,0.38594982410269724,0.02398708316998396,0.4049116904962153,0.3597822141560798,0.41315649867374005,0.38438738077769624,0.34466531440162274,0.4164705882352941,0.359026369168357,0.3814655172413793,0.385480943738657,0.410151724137931,0.8109787037616234,0.020249457913361465,0.8176280237081832,0.8160412642375567,0.8034674780687313,0.8153633396396128,0.7663695617215108,0.853554552466589,0.8066524388516881,0.8124401855306772,0.8170278219150683,0.8012423714766174,0.8046990760830527,0.021516735306425734,0.8066414246569181,0.7651220038282375,0.8231588674759288,0.7958504899014683,0.7753413613856329,0.8366097494934673,0.7898994798217811,0.8174962130942681,0.8181392758433258,0.8187318953294991,96.47727272727273,0.4953294254023536,96.02272727272727,97.72727272727273,96.02272727272727,96.5909090909091,96.5909090909091,96.5909090909091,96.5909090909091,96.02272727272727,96.5909090909091,96.02272727272727,73.69318181818183,2.818662898821013,73.86363636363636,69.31818181818181,76.70454545454545,75.0,69.88636363636364,77.27272727272727,70.45454545454545,76.70454545454545,72.72727272727273,75.0
dna_repair,281.0404341697693,3.3187472976585775,279.9983036518097,284.50472378730774,272.6072075366974,282.51713371276855,280.0435137748718,283.53121757507324,279.7564437389374,282.7536234855652,280.27695894241333,284.41521549224854,0.36773428232502964,0.7121312466357143,0.023292930658053674,0.6911764705882353,0.6818181818181818,0.7380952380952381,0.7272727272727273,0.7432432432432432,0.7088607594936709,0.6933333333333334,0.6805555555555556,0.7162162162162162,0.7407407407407407,0.6322657176749704,0.7873341092994723,0.05227032410565529,0.7741935483870968,0.7363636363636363,0.7984496124031008,0.7837837837837838,0.859504132231405,0.8073394495412844,0.8645833333333334,0.6779661016949152,0.7647058823529411,0.8064516129032258,0.26187507290281303,0.008565609138786047,0.25416928337171163,0.25072791976706565,0.2714229226684743,0.2674431144182034,0.27331602064698146,0.2606724026607805,0.2549624357453539,0.2502636088045341,0.2633772562598185,0.2723957646852071,0.4978043656662143,0.03304873398376545,0.4894960394902996,0.4655774830152054,0.5048323172133483,0.4955596165560578,0.5434349970098918,0.5104530564715357,0.5466464017398182,0.42865472384743747,0.4834973135161537,0.5098917078023953,0.7080864378417262,0.010930905651538972,0.708271989642749,0.6948469047291069,0.7017055018237082,0.712584113565924,0.7207252538814833,0.7124389498756801,0.6951808377910057,0.6987471968132121,0.7054875520275542,0.7308760782668383,0.8034605916069589,0.06269562257209176,0.8293252773175985,0.8316029291118007,0.7797634411711921,0.7337040451235796,0.8773276150495357,0.8325699727015305,0.8461943850793333,0.663074622282855,0.7758080258667196,0.8652356023654423,77.76451047525883,2.9468024621651963,78.01418439716312,81.56028368794327,80.85106382978724,76.55172413793103,78.01418439716312,80.1418439716312,77.77777777777777,78.72340425531915,75.177304964539,70.83333333333333,60.99290780141845,3.203287883868429,64.53900709219859,56.02836879432624,63.12056737588652,58.86524822695036,60.283687943262414,61.702127659574465,60.99290780141844,59.57446808510638,57.4468085106383,67.37588652482269
GPCR_3,62.39375553131104,0.8587983113299447,63.26108384132385,63.202168703079224,61.77702069282532,62.33636784553528,63.609665870666504,62.45816135406494,62.96625757217407,60.94308257102966,61.106285572052,62.2774612903595,0.5945223780895124,0.9178439414789764,0.00784856278699758,0.9302325581395349,0.9126984126984127,0.9140625,0.9186991869918699,0.90625,0.9069767441860465,0.9291338582677166,0.921875,0.916030534351145,0.9224806201550387,0.40547762191048764,0.7317471139976359,0.013486088848957698,0.7209302325581395,0.7159090909090909,0.7415730337078652,0.7413793103448276,0.7441860465116279,0.7544910179640718,0.7076023391812866,0.7294117647058823,0.7309941520467836,0.7309941520467836,0.5456787628031323,0.004666146212710661,0.5530440726414069,0.5426196307959835,0.5434306112224448,0.5461872253993081,0.5387859051436206,0.5392179708253716,0.5523908709808067,0.5480753173012692,0.5446006516850495,0.5484353720360617,0.2967070796236239,0.005468307235348924,0.2923210762610492,0.2902851156859173,0.3006912701808111,0.3006127196922581,0.30175078839850245,0.30592922371689485,0.2869169137495263,0.2957601477464733,0.29640177040240323,0.29640177040240323,0.9087148033307241,0.004216455843614417,0.9044330074842731,0.9035519393178537,0.9138132348556266,0.9130989149504818,0.9063335586248319,0.9031284797526203,0.9132104956979421,0.9075758314044756,0.9079402585910809,0.9140623126280549,0.7285401474609206,0.010693457301028457,0.752638113369533,0.7148889172615095,0.7301273927455797,0.7282749111927552,0.7231806463931227,0.7349623611268374,0.7265174500784247,0.7378065927838708,0.7160117398549333,0.7209933498026388,89.40298507462687,0.8339828166288656,89.55223880597015,89.55223880597015,88.55721393034825,90.54726368159204,89.55223880597015,89.55223880597015,87.56218905472637,90.54726368159204,89.55223880597015,89.05472636815921,77.41293532338308,2.136409010306855,77.61194029850746,77.61194029850746,80.09950248756219,76.61691542288557,77.11442786069652,76.11940298507463,82.08955223880596,74.12935323383084,75.62189054726367,77.11442786069652
GPCR,262.4944124698639,2.145976012234276,260.6956901550293,261.37918519973755,259.64275312423706,259.6299169063568,262.05245566368103,264.3952794075012,263.2077932357788,263.70290303230286,266.80430722236633,263.43384075164795,0.5064615384615384,0.5689897772781374,0.025557803270148834,0.5923566878980892,0.5555555555555556,0.5575757575757576,0.5870967741935483,0.6089743589743589,0.5652173913043478,0.5389221556886228,0.5487804878048781,0.5329341317365269,0.6024844720496895,0.4935384615384616,0.3345370993093005,0.0706495406663608,0.21897810218978103,0.3522012578616352,0.35333333333333333,0.2196969696969697,0.36942675159235666,0.3939393939393939,0.38311688311688313,0.3505747126436782,0.2662337662337662,0.4378698224852071,0.2881714379691736,0.012944044363896918,0.30000587947084756,0.28136752136752136,0.28239067599067597,0.2973419354838709,0.308422090729783,0.28626086956521735,0.27294334408106863,0.2779362101313321,0.2699106402579456,0.3051352126134735,0.1651069253206517,0.034868265608874675,0.10807411566535655,0.1738248669569424,0.17438358974358975,0.10842890442890443,0.1823263106320431,0.19442424242424242,0.18908291708291708,0.17302210433244916,0.1313966033966034,0.21610559854346836,0.6083293222684478,0.017065359509051033,0.6171248308085621,0.6220188294067747,0.6028363620077728,0.6141704152838803,0.6275782690541882,0.6007851237783131,0.6005144836279763,0.5898819063531838,0.5748644528417951,0.6335185495220318,0.34556551377452005,0.0704023958946151,0.22160522662162582,0.3613226913905177,0.35867139823155014,0.2335267138350804,0.3993152413370041,0.3970718642545634,0.38759522314345474,0.39535558581837293,0.27513704310453985,0.42605415000849106,82.94434470377021,1.1579544342260044,84.91921005385997,82.76481149012567,82.58527827648115,83.30341113105925,83.6624775583483,83.6624775583483,83.48294434470377,82.2262118491921,80.25134649910234,82.58527827648115,74.4883303411131,3.6806060298998564,79.3536804308797,71.8132854578097,77.55834829443447,79.17414721723519,72.17235188509875,71.99281867145422,72.71095152603232,69.65888689407541,79.3536804308797,71.0951526032316
GPCR_2,162.67458913326263,2.2555575414975877,160.16892671585083,164.37341260910034,161.65631651878357,161.92174100875854,158.3678286075592,161.8680717945099,163.1759901046753,164.67775225639343,164.00422477722168,166.53162693977356,0.838468720821662,0.9009505476224098,0.006088511213646596,0.8947368421052632,0.8931297709923665,0.9007633587786259,0.8947368421052632,0.905511811023622,0.9090909090909091,0.9022556390977443,0.90625,0.8939393939393939,0.9090909090909091,0.16153127917833798,0.3526097358019555,0.02524431344945957,0.375,0.4,0.34285714285714286,0.36666666666666664,0.3484848484848485,0.3188405797101449,0.3142857142857143,0.375,0.34210526315789475,0.34285714285714286,0.7554188531885379,0.005105026209014582,0.7502088554720134,0.7488613766117135,0.7552619011981383,0.7502088554720134,0.7592433298778829,0.7622442916560563,0.7565131315684168,0.7598622782446312,0.7495402201284554,0.7622442916560563,0.056957501674825675,0.004077746243470128,0.06057422969187676,0.06461251167133521,0.05538215286114446,0.059228135698723934,0.05629120335002689,0.05150272669454255,0.05076697345604909,0.06057422969187676,0.05526070077153669,0.05538215286114446,0.8938998565067312,0.004155001761768983,0.8917963362268012,0.9014774636484213,0.8914908012075328,0.8873708459167784,0.8960032161228304,0.8983069742393783,0.8890260760548128,0.8973834305901027,0.8938643194927083,0.892279101567946,0.34019088692984734,0.020385433006873763,0.3526633411099792,0.3653876648185259,0.3357974786761577,0.3664169426786964,0.35101182565164984,0.31837795633167987,0.3159340780280648,0.3439578985882533,0.3030500345663885,0.3493116488490776,89.03743315508022,0.727351364103501,88.77005347593582,89.83957219251337,88.77005347593582,87.70053475935829,89.3048128342246,88.23529411764706,89.3048128342246,90.37433155080214,88.77005347593582,89.3048128342246,75.77540106951872,1.5691337701733912,72.72727272727273,74.8663101604278,75.93582887700535,75.93582887700535,76.47058823529412,78.07486631016043,77.54010695187166,73.79679144385027,77.00534759358288,75.40106951871658
ion_channel2,94.15221014022828,0.7596916777144496,94.9168438911438,93.07705664634705,94.63180422782898,93.6709156036377,93.46104073524475,94.8794298171997,95.30779218673706,94.02833151817322,94.45501112937927,93.09387564659119,0.20496894409937888,0.3504376924969395,0.02984147346468116,0.35294117647058826,0.33962264150943394,0.36,0.3958333333333333,0.34615384615384615,0.3148148148148148,0.2982456140350877,0.33962264150943394,0.35714285714285715,0.4,0.7950310559006211,0.8406011689172871,0.016751439424278272,0.863013698630137,0.8561643835616438,0.8652482269503546,0.8478260869565217,0.8455284552845529,0.8257575757575758,0.8333333333333334,0.8257575757575758,0.8308823529411765,0.8125,0.07182884380372052,0.006116575306425331,0.07234198027036902,0.06961209422243056,0.07378881987577639,0.0811335403726708,0.07095078834209269,0.0645272601794341,0.06113108859104282,0.06961209422243056,0.07320319432120674,0.08198757763975156,0.6683040349156072,0.013317914573339237,0.6861226920786182,0.680677273887518,0.6878992114884807,0.6740480691331352,0.6722213805988991,0.6565029173724826,0.6625258799171843,0.6565029173724826,0.6605772743880161,0.6459627329192547,0.38413783107989874,0.006029627297170366,0.3831478974680159,0.37986841755415557,0.3842042069598711,0.3921266192943825,0.3819633199748406,0.3829519528214583,0.3754944353100539,0.3819930063209257,0.38173200239190613,0.3978964527033777,0.8609072756174481,0.022311248195961756,0.8572851712495312,0.8786899530706391,0.8587948927475889,0.9049082535822478,0.8834760749665526,0.8593820564863652,0.8446813599326431,0.859668638623534,0.8398617026809718,0.8223246528344063,86.93236714975845,0.5862155120537005,87.19806763285024,86.23188405797102,85.5072463768116,86.95652173913044,86.95652173913044,87.68115942028986,87.19806763285024,87.19806763285024,87.19806763285024,87.19806763285024,72.36714975845412,2.9527935825963527,70.04830917874396,75.1207729468599,68.59903381642512,68.35748792270532,73.18840579710145,72.46376811594203,73.67149758454106,71.98067632850241,71.4975845410628,78.74396135265701
