,SMILES,False positives,True positives,FP - TracIn_test,TP - TracIn_test,Score - TracIn_test,FP - TracIn_test_pos,TP - TracIn_test_pos,Score - TracIn_test_pos,FP - TracIn_self,TP - TracIn_self,Score - TracIn_self,FP - score,TP - score,Score - score,FP - filter,TP - filter,Score - filter
0,Brc1ccc(-c2csc(/N=C/N3CCCC3)n2)cc1,-0.0,1.0,0.0,0.0,-34.01786422729492,0.0,0.0,-54.55542755126953,1.0,0.0,-457.6725158691406,0.0,0.0,31.0,0.0,1.0,0.0
1,Brc1ccc(-c2noc(COc3ccc4ccccc4c3)n2)o1,1.0,0.0,0.0,0.0,-30.221628189086914,0.0,0.0,-48.75566864013672,0.0,0.0,-141.80747985839844,0.0,0.0,29.0,0.0,1.0,0.0
2,Brc1ccc(C2=Nn3c(nnc3-c3n[nH]c4c3CCC4)SC2)cc1,1.0,0.0,0.0,0.0,-32.522300720214844,0.0,0.0,-52.32213592529297,0.0,0.0,-253.105224609375,0.0,0.0,21.0,0.0,1.0,0.0
3,C#CCn1c(=NC(=O)c2ccc(S(=O)(=O)N3CCCc4ccccc43)cc2)sc2cc(S(N)(=O)=O)ccc21,1.0,0.0,0.0,0.0,-34.098201751708984,0.0,0.0,-54.74995803833008,0.0,0.0,-384.9627685546875,0.0,0.0,24.0,0.0,1.0,0.0
4,C#CCn1c(S(=O)(=O)Cc2ccc(OC)cc2)nc(-c2ccccc2)c1-c1ccccc1,1.0,0.0,0.0,0.0,-29.15216064453125,0.0,0.0,-47.07655334472656,0.0,0.0,-152.79559326171875,1.0,0.0,20.0,0.0,1.0,0.0
5,C(=C/c1ccccc1)\CN1CCN(c2ncnc3c2oc2ccccc23)CC1,1.0,0.0,0.0,1.0,-20.22782325744629,0.0,1.0,-32.9310302734375,0.0,1.0,-107.21125030517578,0.0,0.0,25.0,0.0,1.0,0.0
6,C/C(=N\NC(=S)NCc1ccccc1)c1ccc(Cl)cc1,1.0,0.0,1.0,0.0,-34.538902282714844,1.0,0.0,-55.37683868408203,0.0,0.0,-357.4980773925781,0.0,0.0,21.0,0.0,1.0,0.0
7,C/C(=N\Nc1nc(C)c(C)s1)c1ccc([N+](=O)[O-])cc1,-0.0,1.0,1.0,0.0,-34.7633056640625,1.0,0.0,-55.70148849487305,1.0,0.0,-552.4939575195312,0.0,0.0,37.0,0.0,1.0,0.0
8,C/C(=N\Nc1nc2ccccc2[nH]1)c1cc2ccccc2o1,1.0,0.0,0.0,0.0,-31.989276885986328,0.0,0.0,-51.49985885620117,0.0,0.0,-192.23287963867188,0.0,0.0,33.0,0.0,1.0,0.0
9,C/C(=N\Nc1nc2ccccc2s1)c1ccc(Br)s1,1.0,0.0,0.0,0.0,-32.45948028564453,0.0,0.0,-52.22629928588867,0.0,0.0,-230.57273864746094,0.0,0.0,30.0,0.0,1.0,0.0
10,C/C1=C\[C@@H](C)C/C=C/[C@H]2[C@@H]3O[C@]3(C)[C@@H](C)[C@H]3[C@H](Cc4c[nH]c5ccccc45)NC(=O)[C@]32C(=O)/C=C/C(=O)[C@@H]1O,-0.0,1.0,0.0,0.0,-30.1015682220459,0.0,0.0,-48.560791015625,0.0,0.0,-245.5839080810547,0.0,0.0,39.0,0.0,1.0,0.0
11,C/C=C(/C)C(=O)OC1c2c(ccc3ccc(=O)oc23)OC(C)(C)C1OC(=O)/C(C)=C\C,1.0,0.0,0.0,0.0,-30.596744537353516,0.0,0.0,-49.34407043457031,0.0,0.0,-188.490234375,0.0,0.0,21.0,0.0,1.0,0.0
12,C/C=C(/C)C(=O)O[C@@H]1c2c(ccc3ccc(=O)oc23)OC(C)(C)[C@@H]1OC(=O)/C(C)=C\C,1.0,0.0,0.0,0.0,-30.596744537353516,0.0,0.0,-49.34407043457031,0.0,0.0,-188.490234375,0.0,0.0,30.0,0.0,1.0,0.0
13,C/C=C/c1ccccc1OCc1ccc(C(=O)O)o1,1.0,0.0,0.0,0.0,-32.297428131103516,0.0,0.0,-51.97636795043945,0.0,0.0,-224.5177001953125,0.0,0.0,22.0,0.0,1.0,0.0
14,C1=C(c2ccccc2)Nc2ccccc2N=C1c1ccccc1,1.0,0.0,0.0,0.0,-31.18243980407715,0.0,0.0,-50.241722106933594,0.0,0.0,-157.37466430664062,0.0,0.0,24.0,0.0,1.0,0.0
15,C=C(C)CNC(=S)NN=C1c2ccccc2-c2ccccc21,-0.0,1.0,0.0,0.0,-34.06193923950195,0.0,0.0,-54.66557693481445,0.0,0.0,-308.097412109375,0.0,0.0,32.0,0.0,1.0,0.0
16,C=C(C)CSc1nnc(-c2cccc(S(=O)(=O)N(C)C)c2)n1-c1cc(OC)ccc1OC,1.0,0.0,0.0,0.0,-32.23775863647461,0.0,0.0,-51.89137268066406,0.0,0.0,-227.36672973632812,0.0,0.0,26.0,0.0,1.0,0.0
17,C=C(Cl)COc1ccc2c(CCCC)cc(=O)oc2c1,1.0,0.0,0.0,0.0,-30.891998291015625,0.0,0.0,-49.78032302856445,0.0,0.0,-183.9521484375,0.0,0.0,21.0,0.0,1.0,0.0
18,C=CCN(C(=O)CSc1nc2c(sc3ccccc32)c(=O)n1CCN(CC)CC)c1ccccc1,-0.0,1.0,0.0,0.0,-22.64887237548828,0.0,0.0,-36.796146392822266,0.0,0.0,-147.31280517578125,0.0,0.0,23.0,0.0,1.0,0.0
19,C=CCNC(=O)c1onc(CSc2ccc(Cl)cc2)c1C(=O)O,1.0,0.0,1.0,0.0,-34.610050201416016,1.0,0.0,-55.53908157348633,0.0,0.0,-403.6087341308594,0.0,0.0,22.0,0.0,1.0,0.0
20,C=CCNC(=S)N/N=C/c1ccc(C(C)(C)C)cc1,1.0,0.0,1.0,0.0,-35.054832458496094,1.0,0.0,-56.076595306396484,1.0,0.0,-571.1284790039062,0.0,0.0,22.0,0.0,1.0,0.0
21,C=CCNCC(=O)N1N=C(c2ccc3ccccc3c2)CC1c1ccc(OC)cc1,-0.0,1.0,0.0,0.0,-30.051652908325195,0.0,0.0,-48.48682403564453,0.0,0.0,-178.40216064453125,0.0,0.0,31.0,0.0,1.0,0.0
22,C=CCNCCCCOc1c(Cl)cc(C)cc1Br,1.0,0.0,0.0,0.0,-30.950843811035156,0.0,0.0,-49.87129211425781,0.0,0.0,-205.81268310546875,1.0,0.0,20.0,0.0,1.0,0.0
23,C=CCOc1ccc(Br)cc1/C=N/O,1.0,0.0,1.0,0.0,-34.57233810424805,1.0,0.0,-55.40351867675781,0.0,0.0,-413.9864196777344,0.0,0.0,24.0,0.0,1.0,0.0
24,C=CCOc1ccccc1CN1CCC(CO)(CCOc2ccccc2)CC1,1.0,0.0,0.0,1.0,-18.031330108642578,0.0,1.0,-29.416410446166992,0.0,1.0,-104.42497253417969,0.0,0.0,26.0,0.0,1.0,0.0
