,SMILES,False positives,True positives,FP - TracIn_test,TP - TracIn_test,Score - TracIn_test,FP - TracIn_test_pos,TP - TracIn_test_pos,Score - TracIn_test_pos,FP - TracIn_self,TP - TracIn_self,Score - TracIn_self,FP - score,TP - score,Score - score,FP - filter,TP - filter,Score - filter
0,C#CCOCCOCCOCCNc1nc(N2CCN(C(=O)C([C@@H](C)O)n3cc([C@@H](N)CCCCN)nn3)CC2)nc(N2CCN(C(=O)[C@H](CCCCN)n3cc([C@@H](N)[C@H](C)CC)nn3)CC2)n1,1.0,0.0,1.0,0.0,-25.821359634399414,1.0,0.0,-34.82373046875,0.0,0.0,-112.86001586914062,0.0,0.0,72.0,0.0,1.0,0.0
1,C#CCOCCOCCOCCNc1nc(N2CCN(C(=O)CCCCCCCCCCNC(=O)[C@H](CCCCN)n3cc(CCO)nn3)CC2)nc(N2CCN(C(=O)CCCCCCCCCCNC(=O)[C@H](CCCCN)n3cc(CCCC(=O)O)nn3)CC2)n1,-0.0,1.0,1.0,0.0,-25.941316604614258,1.0,0.0,-34.985774993896484,0.0,0.0,-114.55510711669922,1.0,0.0,52.0,0.0,1.0,0.0
2,C#CCOCCOCCOCCNc1nc(N2CCN(C(=O)Cn3cc(CCCN=C(N)N)nn3)CC2)nc(N2CCN(C(=O)[C@H](CCCCN)n3cc(CCCC)nn3)CC2)n1,-0.0,1.0,1.0,0.0,-25.85106086730957,1.0,0.0,-34.86406707763672,0.0,0.0,-111.65524291992188,1.0,0.0,51.0,0.0,1.0,0.0
3,C#CCOCCOCCOCCNc1nc(N2CCN(C(=O)[C@H]([C@@H](C)CC)n3cc(CCCCN)nn3)CC2)nc(N2CCN(C(=O)[C@H](CCCCN)n3cc(CCCC)nn3)CC2)n1,1.0,0.0,1.0,0.0,-25.82032585144043,1.0,0.0,-34.82346725463867,0.0,0.0,-112.07408142089844,0.0,0.0,54.0,0.0,1.0,0.0
4,C#CCOCCOCCOCCNc1nc(N2CCN(C(=O)[C@H](CCCCN)n3cc(CN)nn3)CC2)nc(N2CCN(C(=O)[C@H](CC(N)=O)n3cc(C(N)[C@H](C)CC)nn3)CC2)n1,1.0,0.0,0.0,0.0,-25.32685089111328,0.0,0.0,-34.160736083984375,0.0,0.0,-113.46604919433594,0.0,0.0,64.0,0.0,1.0,0.0
5,C#CCOCCOCCOCCNc1nc(N2CCN(C(=O)[C@H](CCCCN)n3cc(CN)nn3)CC2)nc(N2CCN(C(=O)[C@H](CCC(=O)O)n3cc([C@@H](N)CCCCN)nn3)CC2)n1,1.0,0.0,1.0,0.0,-25.705366134643555,1.0,0.0,-34.66973876953125,0.0,0.0,-112.99330139160156,0.0,0.0,61.0,0.0,1.0,0.0
6,C#CCOCCOCCOCCNc1nc(N2CCN(C(=O)[C@H](CCCCN)n3cc(CN)nn3)CC2)nc(N2CCN(C(=O)[C@H](CCCCN)n3cc([C@@H](N)[C@H](C)CC)nn3)CC2)n1,1.0,0.0,1.0,0.0,-25.49718475341797,1.0,0.0,-34.384403228759766,0.0,0.0,-111.31339263916016,0.0,0.0,72.0,0.0,1.0,0.0
7,C#CCOCCOCCOCCNc1nc(N2CCN(C(=O)[C@H](CCCCN)n3cc(CN)nn3)CC2)nc(N2CCN(C(=O)[C@H](CCCN=C(N)N)n3cc(C(N)[C@H](C)CC)nn3)CC2)n1,1.0,0.0,1.0,0.0,-25.57040786743164,1.0,0.0,-34.483436584472656,0.0,0.0,-111.40533447265625,0.0,0.0,77.0,0.0,1.0,0.0
8,C#CCOCCOCCOCCNc1nc(N2CCN(C(=O)[C@H](CCCCN)n3cc(CN)nn3)CC2)nc(N2CCN(C(=O)[C@H](CO)n3cc([C@@H](N)C(C)C)nn3)CC2)n1,1.0,0.0,0.0,0.0,-25.31732749938965,0.0,0.0,-34.1478271484375,0.0,0.0,-113.084228515625,0.0,0.0,59.0,0.0,1.0,0.0
9,C#CCOCCOCCOCCNc1nc(N2CCN(C(=O)[C@H]([C@@H](C)CC)n3cc([C@@H](N)CO)nn3)CC2)nc(N2CCN(C(=O)[C@H](CCCCN)n3cc([C@@H](N)C(C)CC)nn3)CC2)n1,1.0,0.0,0.0,0.0,-25.173171997070312,0.0,0.0,-33.95392990112305,0.0,0.0,-113.71405029296875,0.0,0.0,57.0,0.0,1.0,0.0
