,SMILES,False positives,True positives,FP - TracIn_test,TP - TracIn_test,Score - TracIn_test,FP - TracIn_test_pos,TP - TracIn_test_pos,Score - TracIn_test_pos,FP - TracIn_self,TP - TracIn_self,Score - TracIn_self,FP - score,TP - score,Score - score,FP - filter,TP - filter,Score - filter
0,C#CCN(C[C@H]1[C@H](OC(=O)NC2CCCC2)[C@H](OC(=O)NC2CCCC2)C[C@H]2C(=O)N(c3ccccc3)C(=O)[C@@H]12)S(=O)(=O)c1ccc(C)cc1,1.0,0.0,0.0,0.0,-46.35655975341797,0.0,0.0,-46.87995147705078,0.0,0.0,-157.84808349609375,0.0,0.0,38.04780876494023,0.0,1.0,0.0
1,C/C(=N/Nc1ccc(C(=O)O)cc1)c1ccc2c(c1)Nc1ccccc1S2,-0.0,1.0,0.0,0.0,-55.22471237182617,0.0,0.0,-55.803871154785156,0.0,0.0,-229.0845947265625,1.0,0.0,2.98804780876494,0.0,1.0,0.0
2,C/C(=N\NC(=O)c1nnn(-c2nonc2N)c1-c1ccc(Cl)c(Cl)c1)c1ccncc1,1.0,0.0,0.0,0.0,-55.17202377319336,0.0,0.0,-55.750877380371094,0.0,0.0,-375.0753173828125,0.0,0.0,9.7609561752988,0.0,1.0,0.0
3,C/C(=N\NS(=O)(=O)c1ccc(Cl)c([N+](=O)[O-])c1)c1cc2ccccc2o1,-0.0,1.0,0.0,0.0,-52.11341857910156,0.0,0.0,-52.68704605102539,0.0,0.0,-154.60153198242188,0.0,0.0,7.768924302788842,0.0,1.0,0.0
4,C/C(=N\Nc1ccc(C(=O)O)cc1)c1ccc2c(c1)Nc1ccccc1S2,-0.0,1.0,0.0,0.0,-55.22471237182617,0.0,0.0,-55.803871154785156,0.0,0.0,-229.0845947265625,0.0,0.0,42.43027888446214,0.0,1.0,0.0
5,C/C(=N\Nc1ccccn1)c1ccc(S(=O)(=O)NCc2ccco2)cc1,-0.0,1.0,1.0,0.0,-55.68989562988281,1.0,0.0,-56.24776077270508,1.0,0.0,-890.521728515625,0.0,0.0,7.370517928286857,0.0,1.0,0.0
6,C/C(=N\Nc1nc(N2CCOCC2)nc(N2CCOCC2)n1)c1ccc([N+](=O)[O-])cc1,-0.0,1.0,0.0,0.0,-47.14801025390625,0.0,0.0,-47.67859649658203,0.0,0.0,-152.43246459960938,0.0,0.0,15.537848605577684,0.0,1.0,0.0
7,C/C(=N\Nc1ncc(Cl)cc1Cl)c1ccc(OC(F)F)cc1,-0.0,1.0,0.0,0.0,-54.96993637084961,0.0,0.0,-55.5545768737793,0.0,0.0,-248.9204559326172,1.0,0.0,3.784860557768921,0.0,1.0,0.0
8,C/C(=N\OCC(=O)Nc1c(F)c(F)c(F)c(F)c1F)c1ccc(Br)cc1,1.0,0.0,0.0,0.0,-54.430423736572266,0.0,0.0,-55.01701736450195,0.0,0.0,-200.3722381591797,0.0,0.0,28.087649402390426,0.0,1.0,0.0
9,C/C=C/C=C/C(=O)OC(C)C(=O)Nc1cc([N+](=O)[O-])ccc1OC,-0.0,1.0,0.0,0.0,-54.23795700073242,0.0,0.0,-54.822509765625,0.0,0.0,-175.0807647705078,0.0,0.0,45.81673306772908,0.0,1.0,0.0
10,C/C=C/C=N/NC(=O)CN(c1ccc(Br)cc1)S(=O)(=O)c1ccccc1,-0.0,1.0,1.0,0.0,-55.56538391113281,1.0,0.0,-56.145347595214844,0.0,0.0,-399.42333984375,0.0,0.0,16.93227091633466,0.0,1.0,0.0
