,SMILES,False positives,True positives,FP - TracIn_test,TP - TracIn_test,Score - TracIn_test,FP - TracIn_test_pos,TP - TracIn_test_pos,Score - TracIn_test_pos,FP - TracIn_self,TP - TracIn_self,Score - TracIn_self,FP - score,TP - score,Score - score,FP - filter,TP - filter,Score - filter
0,C(=N/Nc1nc2ccccc2s1)\c1ccccn1,-0.0,1.0,1.0,0.0,-63.04438018798828,1.0,0.0,-73.06420135498047,1.0,0.0,-356.02593994140625,0.0,0.0,30.0,0.0,1.0,0.0
1,C/C(=C\C(=O)c1ccccc1)NNC(=O)c1ccc(Cl)cc1,1.0,0.0,0.0,0.0,-51.170475006103516,0.0,0.0,-59.32432556152344,0.0,0.0,-168.970947265625,0.0,1.0,47.0,0.0,1.0,0.0
2,C/C(=N/NC(=O)c1cc2ccccc2cc1O)c1ccco1,-0.0,1.0,0.0,0.0,-47.767574310302734,0.0,0.0,-55.383243560791016,0.0,0.0,-143.54318237304688,0.0,0.0,19.0,1.0,-0.0,1.0
3,C/C(=N\NC(=O)C1COc2ccccc2O1)c1ccc(N2CCOCC2)cc1,1.0,0.0,0.0,0.0,-59.161216735839844,0.0,0.0,-68.57322692871094,1.0,0.0,-326.2412414550781,0.0,0.0,22.0,0.0,1.0,0.0
4,C/C(=N\NC(=O)c1cc2ccccc2cc1O)c1ccc(C)o1,-0.0,1.0,0.0,0.0,-47.31577682495117,0.0,0.0,-54.86008834838867,0.0,0.0,-142.72496032714844,0.0,0.0,9.0,1.0,-0.0,1.0
5,C/C(=N\NC(=O)c1cc2ccccc2cc1O)c1ccccn1,1.0,0.0,0.0,0.0,-52.016273498535156,0.0,0.0,-60.302555084228516,0.0,0.0,-188.27987670898438,0.0,0.0,4.0,1.0,-0.0,1.0
6,C/C(=N\NC(=O)c1cc2ccccc2cc1O)c1cccs1,1.0,0.0,0.0,0.0,-47.37007522583008,0.0,0.0,-54.9227409362793,0.0,0.0,-136.95143127441406,0.0,0.0,14.0,1.0,-0.0,1.0
7,C/C(=N\NC(=O)c1cccc(Br)c1)c1ccccn1,1.0,0.0,0.0,0.0,-55.705318450927734,0.0,0.0,-64.57273864746094,0.0,0.0,-189.7485809326172,0.0,0.0,14.0,0.0,1.0,0.0
8,C/C(=N\NC(=O)c1ccoc1C)c1ccccc1O,-0.0,1.0,0.0,0.0,-50.15091323852539,0.0,0.0,-58.14311599731445,0.0,0.0,-173.25103759765625,0.0,0.0,28.0,1.0,-0.0,1.0
9,C/C(=N\NC(=S)NCCc1ccccc1)c1ccc(Cl)cc1Cl,1.0,0.0,0.0,0.0,-50.8682861328125,0.0,0.0,-58.97418212890625,0.0,0.0,-137.8009033203125,0.0,0.0,6.0,0.0,1.0,0.0
10,C/C(=N\Nc1nncc2ccccc12)c1ccc(C(C)(C)C)cc1,1.0,0.0,0.0,0.0,-54.574066162109375,0.0,0.0,-63.263389587402344,0.0,0.0,-174.08212280273438,0.0,0.0,4.0,0.0,1.0,0.0
11,C/C(=N\O)C(=O)C(CN1CCCCC1)CN1CCCCC1,1.0,0.0,0.0,0.0,-55.51478958129883,0.0,0.0,-64.3540267944336,0.0,0.0,-254.7233123779297,0.0,0.0,5.0,1.0,-0.0,1.0
12,C/C(N)=C(/C#N)C(=O)CSc1nc2ccccc2c(=O)n1Cc1ccc(F)cc1,-0.0,1.0,0.0,0.0,-58.24386215209961,0.0,0.0,-67.51066589355469,0.0,0.0,-285.429443359375,1.0,0.0,1.0,0.0,1.0,0.0
13,C=CCN(CC=C)C(=S)NC(=O)c1ccc(-c2ccccc2)cc1,-0.0,1.0,0.0,0.0,-50.51014709472656,0.0,0.0,-58.559940338134766,0.0,0.0,-155.67071533203125,0.0,0.0,12.0,0.0,1.0,0.0
14,C=CCN(CC=C)C(=S)NC(=O)c1ccc(OC)c(Br)c1,-0.0,1.0,0.0,0.0,-50.08168029785156,0.0,0.0,-58.06393814086914,0.0,0.0,-154.27096557617188,0.0,0.0,12.0,0.0,1.0,0.0
15,C=CCNC(=S)NC(=O)c1ccc(C)c(Br)c1,1.0,0.0,0.0,1.0,-45.657386779785156,0.0,1.0,-52.93968963623047,0.0,1.0,-126.06341552734375,1.0,0.0,2.0,0.0,1.0,0.0
16,C=CCNC(=S)Nc1sc2c(c1C(=O)OCC)CC(C(C)C)OC2,-0.0,1.0,0.0,0.0,-48.37647247314453,0.0,0.0,-56.08973693847656,0.0,0.0,-137.25108337402344,0.0,0.0,19.0,0.0,1.0,0.0
17,C=CCOc1c(Br)cc(CNc2ccc(NC(=O)CCC)cc2)cc1OCC,-0.0,1.0,0.0,0.0,-51.38737487792969,0.0,0.0,-59.576202392578125,0.0,0.0,-160.87942504882812,0.0,1.0,48.0,0.0,1.0,0.0
18,C=CCOc1ccc(/C=C2\SC(=S)N(NS(=O)(=O)c3ccc(C)cc3)C2=O)cc1,-0.0,1.0,0.0,0.0,-49.34455871582031,0.0,0.0,-57.21090316772461,0.0,0.0,-147.828857421875,0.0,0.0,14.0,1.0,-0.0,1.0
19,C=CCSc1nc2sc3c(c2c(=O)n1CC)CCc1ccccc1-3,-0.0,1.0,0.0,0.0,-49.3243408203125,0.0,0.0,-57.18653869628906,0.0,0.0,-145.20957946777344,0.0,0.0,3.0,0.0,1.0,0.0
20,C=CCn1c(=S)[nH]c2ccc(Br)cc2c1=O,1.0,0.0,0.0,0.0,-49.7638053894043,0.0,0.0,-57.69483184814453,0.0,1.0,-130.99392700195312,0.0,0.0,4.0,0.0,1.0,0.0
21,C=CCn1c(=S)[nH]c2sc3c(c2c1=O)CCCC3,-0.0,1.0,0.0,0.0,-47.212642669677734,0.0,0.0,-54.740848541259766,0.0,0.0,-132.2850341796875,0.0,0.0,29.0,0.0,1.0,0.0
22,C=CCn1c(=S)[nH]c2scc(-c3ccc(C)o3)c2c1=O,-0.0,1.0,0.0,0.0,-50.39710235595703,0.0,0.0,-58.428001403808594,0.0,0.0,-136.55447387695312,0.0,1.0,42.0,0.0,1.0,0.0
23,C=CCn1c(SCC(N)=O)nc2scc(-c3ccc(C)o3)c2c1=O,-0.0,1.0,0.0,0.0,-58.24776077270508,0.0,0.0,-67.51487731933594,0.0,0.0,-248.8301544189453,1.0,0.0,0.0,0.0,1.0,0.0
24,C=CCn1c(SCc2ccc(Br)cc2F)nc2cc(C(=O)O)ccc2c1=O,1.0,0.0,0.0,0.0,-52.745277404785156,0.0,0.0,-61.147220611572266,0.0,0.0,-146.85487365722656,1.0,0.0,0.0,0.0,1.0,0.0
25,C=C[C@@]1(C)CC(=O)[C@]2(O)[C@@]3(C)[C@@H](O)CCC(C)(C)[C@@H]3[C@H](O)[C@H](OC(C)=O)[C@@]2(C)O1,-0.0,1.0,0.0,0.0,-49.837974548339844,0.0,0.0,-57.78382873535156,0.0,0.0,-215.8084259033203,0.0,0.0,20.0,0.0,1.0,0.0
26,CC(/C=C1\SC(=S)N(NC(=O)c2ccc(C)cc2)C1=O)=C\c1ccccc1,1.0,0.0,0.0,0.0,-46.95176696777344,0.0,0.0,-54.43942642211914,0.0,0.0,-138.91232299804688,0.0,0.0,21.0,1.0,-0.0,1.0
27,CC(/C=C1\SC(=S)N(NS(=O)(=O)c2ccccc2)C1=O)=C\c1ccccc1,-0.0,1.0,0.0,0.0,-48.413726806640625,0.0,0.0,-56.13277053833008,0.0,0.0,-142.52395629882812,0.0,0.0,32.0,1.0,-0.0,1.0
28,CC(/C=N/n1c(C2CCCCC2)n[nH]c1=S)=C\c1ccccc1,1.0,0.0,0.0,0.0,-48.41826629638672,0.0,0.0,-56.137264251708984,0.0,0.0,-138.6698455810547,0.0,0.0,17.0,0.0,1.0,0.0
29,CC(=O)/C(C#N)=C1\NC(=O)C(Cc2ccc(C)c(C)c2)S1,1.0,0.0,0.0,0.0,-51.48900604248047,0.0,0.0,-59.69309997558594,0.0,0.0,-175.15237426757812,0.0,0.0,12.0,0.0,1.0,0.0
30,CC(=O)/C=C/n1c(=S)oc2ccccc21,1.0,0.0,0.0,0.0,-53.85227584838867,0.0,0.0,-62.4276237487793,0.0,0.0,-182.97402954101562,1.0,0.0,0.0,0.0,1.0,0.0
31,CC(=O)C(Sc1nc(N2CCOCC2)nc(N2CCOCC2)n1)C(=O)Nc1ccccc1,-0.0,1.0,1.0,0.0,-61.01554489135742,1.0,0.0,-70.71916198730469,1.0,0.0,-412.3313903808594,0.0,0.0,5.0,0.0,1.0,0.0
32,CC(=O)C1=C(C)NC(SCC(=O)c2ccc(C)cc2)=C(C#N)C1c1ccco1,1.0,0.0,0.0,0.0,-47.401336669921875,0.0,0.0,-54.9600830078125,0.0,0.0,-152.1090087890625,0.0,0.0,31.0,0.0,1.0,0.0
33,CC(=O)C1=C(C)NC(SCC(=O)c2ccc(Cl)cc2)=C(C#N)C1c1ccco1,1.0,0.0,0.0,0.0,-47.92241287231445,0.0,0.0,-55.56351852416992,0.0,0.0,-153.4537353515625,0.0,0.0,30.0,0.0,1.0,0.0
34,CC(=O)C1=C(C)NC(SCC(=O)c2ccccc2)=C(C#N)C1c1ccco1,1.0,0.0,0.0,0.0,-47.587100982666016,0.0,0.0,-55.17508316040039,0.0,0.0,-153.04244995117188,1.0,0.0,2.0,0.0,1.0,0.0
35,CC(=O)C1=C(S(=O)(=O)c2ccc(C)cc2)CS(=O)(=O)C1,-0.0,1.0,0.0,0.0,-54.297271728515625,0.0,0.0,-62.94477462768555,0.0,0.0,-238.1893310546875,0.0,1.0,45.0,0.0,1.0,0.0
36,CC(=O)CSc1ncnc2sc3c(c12)CCC(C)C3,-0.0,1.0,0.0,0.0,-49.817020416259766,0.0,0.0,-57.75701904296875,0.0,0.0,-143.15737915039062,0.0,0.0,41.0,0.0,1.0,0.0
37,CC(=O)N1c2ccc(N=Cc3cc(Br)cc(Br)c3O)cc2CC1C,-0.0,1.0,0.0,0.0,-47.99239730834961,0.0,0.0,-55.64407730102539,0.0,0.0,-137.32540893554688,0.0,0.0,31.0,0.0,1.0,0.0
38,CC(=O)NNC(=O)c1csc(Cc2c(Cl)sc3ccc(Cl)cc23)n1,-0.0,1.0,0.0,0.0,-49.608604431152344,0.0,0.0,-57.51560592651367,0.0,0.0,-134.90841674804688,0.0,0.0,3.0,0.0,1.0,0.0
39,CC(=O)Nc1ccc(/C=N/N2C(=O)NC(C)(c3ccc(OC(F)F)cc3)C2=O)cc1,-0.0,1.0,0.0,0.0,-53.43665313720703,0.0,0.0,-61.94851303100586,0.0,0.0,-221.8302764892578,0.0,1.0,48.0,0.0,1.0,0.0
40,CC(=O)Nc1ccc(S(=O)(=O)NCc2ccc3[nH]c(C)cc3c2)cc1,1.0,0.0,1.0,0.0,-60.165103912353516,1.0,0.0,-69.7344970703125,0.0,0.0,-315.97540283203125,1.0,0.0,0.0,0.0,1.0,0.0
41,CC(=O)Nc1sc2c(c1C(c1ccccc1Cl)N1CCN(CCO)CC1)CCCC2,-0.0,1.0,0.0,0.0,-53.3402099609375,0.0,0.0,-61.83738708496094,0.0,0.0,-202.0828094482422,1.0,0.0,0.0,0.0,1.0,0.0
