,SMILES,False positives,True positives,FP - TracIn_test,TP - TracIn_test,Score - TracIn_test,FP - TracIn_test_pos,TP - TracIn_test_pos,Score - TracIn_test_pos,FP - TracIn_self,TP - TracIn_self,Score - TracIn_self,FP - score,TP - score,Score - score,FP - filter,TP - filter,Score - filter
0,Brc1ccc(-[n+]2c(-c3ccccc3)cc(-c3ccccc3)cc2-c2ccccc2)cc1.[O-][Cl+3]([O-])([O-])[O-],-0.0,1.0,0.0,0.0,-36.807823181152344,0.0,0.0,-44.872989654541016,0.0,1.0,-115.25486755371094,0.0,1.0,40.0,0.0,1.0,0.0
1,Brc1nnc2n1-c1ccccc1Sc1ccccc1-2,-0.0,1.0,0.0,0.0,-32.08072280883789,0.0,0.0,-38.59211349487305,0.0,0.0,-195.97152709960938,0.0,0.0,30.0,0.0,1.0,0.0
2,C#CCNC(=O)C1=C[C@@H](C2CC2)C[C@@H](OCc2ccc(CO)cc2)O1,-0.0,1.0,0.0,0.0,-32.018768310546875,0.0,0.0,-38.583343505859375,0.0,0.0,-148.40792846679688,0.0,0.0,30.0,0.0,1.0,0.0
3,C#CCNC(=O)C1=C[C@@H](c2ccc(C#C)cc2)C[C@@H](OCc2ccc(CO)cc2)O1,-0.0,1.0,0.0,0.0,-36.0517692565918,0.0,0.0,-43.792930603027344,0.0,1.0,-112.17304229736328,0.0,0.0,30.0,0.0,1.0,0.0
4,C#Cc1cccc(C(=O)N2CCCC(Nc3cccc(F)c3)C2)c1,-0.0,1.0,0.0,0.0,-30.207630157470703,0.0,0.0,-36.298587799072266,0.0,0.0,-153.66415405273438,0.0,0.0,35.0,0.0,1.0,0.0
5,C(=C/c1ccccc1)\CSc1nnc(-c2ccccn2)n1Cc1ccco1,-0.0,1.0,0.0,0.0,-36.722225189208984,0.0,0.0,-44.56580352783203,0.0,0.0,-136.0917205810547,0.0,0.0,35.0,0.0,1.0,0.0
6,C(=C/c1ccccc1)\CSc1nnc(-c2cccnc2)n1Cc1ccco1,-0.0,1.0,0.0,0.0,-36.78014373779297,0.0,0.0,-44.64592742919922,0.0,0.0,-134.8250732421875,0.0,0.0,30.0,0.0,1.0,0.0
7,C/C=C(/C)C(=O)OC1Cc2c(ccc3ccc(=O)oc23)OC1(C)C,-0.0,1.0,0.0,0.0,-31.53605079650879,0.0,0.0,-37.9377326965332,0.0,0.0,-199.36251831054688,0.0,0.0,30.0,0.0,1.0,0.0
8,C/C=C/c1ccc(OCC(O)CNCCc2ccc(OC)cc2)c(OC)c1,1.0,0.0,1.0,0.0,-37.0845947265625,1.0,0.0,-45.25289535522461,0.0,0.0,-141.1121826171875,0.0,0.0,25.0,0.0,1.0,0.0
9,C/C=C/c1ccc(OCCCCN(C)Cc2ccccc2)c(OC)c1,-0.0,1.0,0.0,0.0,-36.242095947265625,0.0,0.0,-44.327083587646484,0.0,0.0,-126.34906768798828,0.0,1.0,45.0,0.0,1.0,0.0
