,SMILES,False positives,True positives,FP - TracIn_test,TP - TracIn_test,Score - TracIn_test,FP - TracIn_test_pos,TP - TracIn_test_pos,Score - TracIn_test_pos,FP - TracIn_self,TP - TracIn_self,Score - TracIn_self,FP - score,TP - score,Score - score,FP - filter,TP - filter,Score - filter
0,C(=C/c1ccccc1)\CSc1nnc(-c2cccnc2)n1Cc1ccco1,1.0,0.0,1.0,1.0,-6.458957195281982,1.0,1.0,-71.50099182128906,0.0,0.0,-248.59274291992188,0.0,0.0,24.0,0.0,1.0,0.0
1,C/C(=C\c1ccccc1)C(=O)n1nnc2ccccc21,-0.0,1.0,1.0,1.0,-6.458957195281982,1.0,1.0,-71.50099182128906,0.0,1.0,-239.73297119140625,0.0,0.0,24.0,0.0,1.0,0.0
2,C/C(=N/NC(=O)CNC(=O)Cc1ccccc1)c1ccc(Cl)cc1,1.0,0.0,1.0,1.0,-6.458957195281982,1.0,1.0,-71.50099182128906,0.0,0.0,-245.34722900390625,0.0,1.0,32.0,0.0,1.0,0.0
3,C/C(=N/Oc1nc(C)cc(C)n1)c1ccc(Br)cc1,1.0,0.0,1.0,1.0,-6.458957195281982,1.0,1.0,-71.50099182128906,0.0,0.0,-242.7088623046875,1.0,0.0,16.0,0.0,1.0,0.0
4,C/C(=N\NC(=S)NCc1ccccc1)c1ccc(C#N)cc1,1.0,0.0,1.0,1.0,-6.458957195281982,1.0,1.0,-71.50099182128906,0.0,0.0,-243.14895629882812,0.0,0.0,22.0,0.0,1.0,0.0
5,C/C(=N\NC(=S)NCc1ccccc1)c1ccc(Cl)cc1,1.0,0.0,1.0,1.0,-6.458957195281982,1.0,1.0,-71.50099182128906,0.0,0.0,-243.78207397460938,0.0,0.0,23.0,0.0,1.0,0.0
6,C/C(=N\OC(=O)C1CC1)C1CC1c1ccc(F)cc1,1.0,0.0,1.0,1.0,-6.458957195281982,1.0,1.0,-71.50099182128906,0.0,0.0,-244.619140625,0.0,0.0,21.0,0.0,1.0,0.0
7,C/C(=N\OC(=O)NC(C)C)c1sc(-c2ccc(Cl)cc2)nc1C,1.0,0.0,1.0,1.0,-6.458957195281982,1.0,1.0,-71.50099182128906,0.0,0.0,-249.6678466796875,0.0,0.0,23.0,0.0,1.0,0.0
8,C/C(CC(=O)NCCCN1CCOCC1)=N\NC(=O)COc1ccc(C)cc1,1.0,0.0,1.0,1.0,-6.458957195281982,1.0,1.0,-71.50099182128906,0.0,0.0,-255.96502685546875,0.0,0.0,19.0,0.0,1.0,0.0
9,C/C(Cc1ccccc1)=N\NC(=O)CNC(=O)c1ccc(Cl)cc1Cl,1.0,0.0,1.0,1.0,-6.458957195281982,1.0,1.0,-71.50099182128906,0.0,0.0,-246.57553100585938,0.0,1.0,31.0,0.0,1.0,0.0
10,C/C(Cc1ccccc1)=N\NC(=O)CNC(=O)c1ccccc1Cl,1.0,0.0,1.0,1.0,-6.458957195281982,1.0,1.0,-71.50099182128906,0.0,0.0,-244.301025390625,0.0,0.0,19.0,0.0,1.0,0.0
11,C1=C(c2ccccc2)CCN(c2nc3ccccc3n3cnnc23)C1,1.0,0.0,1.0,1.0,-6.458957195281982,1.0,1.0,-71.50099182128906,0.0,0.0,-244.99020385742188,1.0,0.0,16.0,0.0,1.0,0.0
12,C=C(C)CC1N(c2cccc(OC)c2)C(=O)C2C(C(=O)O)C3C=CC21O3,1.0,0.0,1.0,1.0,-6.458957195281982,1.0,1.0,-71.50099182128906,0.0,0.0,-255.51611328125,0.0,0.0,18.0,0.0,1.0,0.0
13,C=C(C)CN=c1scc(C)n1/N=C/c1ccco1,1.0,0.0,1.0,1.0,-6.458957195281982,1.0,1.0,-71.50099182128906,0.0,0.0,-244.092041015625,1.0,0.0,17.0,0.0,1.0,0.0
14,C=C(C)CNC(=S)N/N=C(\C)c1cccc(NC(C)=O)c1,1.0,0.0,1.0,1.0,-6.458957195281982,1.0,1.0,-71.50099182128906,0.0,0.0,-244.90899658203125,0.0,1.0,30.0,0.0,1.0,0.0
15,C=C(C)CNC(=S)Nc1cccc(N)n1,1.0,0.0,1.0,1.0,-6.458957195281982,1.0,1.0,-71.50099182128906,0.0,1.0,-241.63287353515625,1.0,0.0,16.0,0.0,1.0,0.0
16,C=C(C)COc1ccc(-c2[nH]ncc2Oc2cccc(OC)c2)c(O)c1,1.0,0.0,1.0,1.0,-6.458957195281982,1.0,1.0,-71.50099182128906,0.0,0.0,-254.80255126953125,0.0,0.0,25.0,0.0,1.0,0.0
17,C=C(C)COc1ccc(-c2ncncc2Oc2ccc(OC)cc2)c(O)c1,1.0,0.0,1.0,1.0,-6.458957195281982,1.0,1.0,-71.50099182128906,0.0,0.0,-254.88510131835938,1.0,0.0,17.0,0.0,1.0,0.0
18,C=C(C)CSc1nnc(-c2ccc(OC)cc2)n1N,1.0,0.0,1.0,1.0,-6.458957195281982,1.0,1.0,-71.50099182128906,0.0,0.0,-245.93905639648438,0.0,0.0,18.0,0.0,1.0,0.0
19,C=C(C)Cn1c(=O)c(NC(=O)c2ccccc2)c2n(c1=S)CCC2,1.0,0.0,1.0,1.0,-6.458957195281982,1.0,1.0,-71.50099182128906,0.0,0.0,-246.97543334960938,1.0,0.0,16.0,0.0,1.0,0.0
20,C=C(C)c1cccc(C(C)(C)NC(=O)Nc2ccc(C(C)=O)cc2)c1,1.0,0.0,1.0,1.0,-6.458957195281982,1.0,1.0,-71.50099182128906,0.0,0.0,-243.7630615234375,0.0,1.0,29.0,0.0,1.0,0.0
21,C=CC#CC1(O)CC(C)N(C)CC1C,1.0,0.0,1.0,1.0,-6.458957195281982,1.0,1.0,-71.50099182128906,0.0,1.0,-240.53424072265625,0.0,0.0,18.0,0.0,1.0,0.0
22,C=CCN(C(=O)Nc1ccc2c(c1)nc(C)n2C)c1ccccc1,1.0,0.0,1.0,1.0,-6.458957195281982,1.0,1.0,-71.50099182128906,0.0,0.0,-246.24578857421875,1.0,0.0,16.0,0.0,1.0,0.0
23,C=CCNC(=O)/C(C#N)=C\c1cc(Cl)c(O)c(OCC)c1,-0.0,1.0,1.0,1.0,-6.458957195281982,1.0,1.0,-71.50099182128906,0.0,0.0,-248.81561279296875,0.0,0.0,21.0,0.0,1.0,0.0
24,C=CCNC(=S)N/N=C/c1ccc(C)c([N+](=O)[O-])c1,1.0,0.0,1.0,1.0,-6.458957195281982,1.0,1.0,-71.50099182128906,0.0,0.0,-243.18496704101562,0.0,0.0,25.0,0.0,1.0,0.0
25,C=CCNc1cnn(-c2ccc(C)cc2)c(=O)c1Cl,1.0,0.0,1.0,1.0,-6.458957195281982,1.0,1.0,-71.50099182128906,0.0,0.0,-242.87594604492188,0.0,0.0,23.0,0.0,1.0,0.0
26,C=CCOC(=O)C(C#N)c1nc2ccccc2nc1N1CCN(Cc2ccccc2)CC1,1.0,0.0,1.0,1.0,-6.458957195281982,1.0,1.0,-71.50099182128906,0.0,0.0,-254.8616943359375,0.0,0.0,18.0,0.0,1.0,0.0
27,C=CCOC(=O)c1c(C)nc2cc3c(cc2c1C)OCO3,1.0,0.0,1.0,1.0,-6.458957195281982,1.0,1.0,-71.50099182128906,0.0,0.0,-248.715087890625,0.0,0.0,18.0,0.0,1.0,0.0
28,C=CCSc1nnc(-c2cc3c(-c4ccccc4)nn(C)c3s2)n1C,1.0,0.0,1.0,1.0,-6.458957195281982,1.0,1.0,-71.50099182128906,0.0,0.0,-249.48971557617188,0.0,0.0,21.0,0.0,1.0,0.0
29,C=CCc1c(C)[nH]c2c(OC)cccc2c1=S,1.0,0.0,1.0,1.0,-6.458957195281982,1.0,1.0,-71.50099182128906,0.0,0.0,-243.37081909179688,0.0,0.0,18.0,0.0,1.0,0.0
30,C=CCc1cccc(/C=N/NC(=O)CCCNc2ccc(C)cc2)c1O,1.0,0.0,1.0,1.0,-6.458957195281982,1.0,1.0,-71.50099182128906,0.0,0.0,-249.93832397460938,0.0,0.0,19.0,1.0,-0.0,1.0
31,C=CCn1c(SCC(=O)Nc2cccc(C(=O)OC)c2)nnc1C(C)NC(=O)c1cccs1,1.0,0.0,1.0,1.0,-6.458957195281982,1.0,1.0,-71.50099182128906,1.0,0.0,-257.8894958496094,0.0,0.0,20.0,0.0,1.0,0.0
32,C=CCn1c(SCC(=O)Nc2nc(C)cs2)nnc1C(NC(=O)c1ccccc1)C(C)C,1.0,0.0,1.0,1.0,-6.458957195281982,1.0,1.0,-71.50099182128906,0.0,0.0,-255.45938110351562,0.0,0.0,20.0,0.0,1.0,0.0
33,C=CCn1c(SCC(=O)c2ccc(Br)cc2)nnc1C(C)NC(=O)Cc1ccc(OC)cc1,1.0,0.0,1.0,1.0,-6.458957195281982,1.0,1.0,-71.50099182128906,1.0,0.0,-257.8231201171875,0.0,0.0,21.0,0.0,1.0,0.0
34,C=CCn1c(SCc2ccc(OC)cc2)nnc1-c1cccnc1,1.0,0.0,1.0,1.0,-6.458957195281982,1.0,1.0,-71.50099182128906,0.0,0.0,-247.35858154296875,0.0,0.0,20.0,0.0,1.0,0.0
35,CC(/C=N/NC(=O)c1cc(-c2cccn2C)n[nH]1)=C\c1ccccc1,1.0,0.0,1.0,1.0,-6.458957195281982,1.0,1.0,-71.50099182128906,0.0,0.0,-245.77108764648438,0.0,0.0,23.0,0.0,1.0,0.0
36,CC(=O)C1=C(C)NC(C)=C(C(C)=O)C1c1cccs1,1.0,0.0,1.0,1.0,-6.458957195281982,1.0,1.0,-71.50099182128906,0.0,1.0,-240.54171752929688,0.0,1.0,32.0,0.0,1.0,0.0
37,CC(=O)Cc1nsc(NC(=O)c2cccc(F)c2)n1,1.0,0.0,1.0,1.0,-6.458957195281982,1.0,1.0,-71.50099182128906,0.0,0.0,-243.86639404296875,0.0,0.0,21.0,0.0,1.0,0.0
38,CC(=O)N/C(=C\c1ccccc1)C(=O)OCC(=O)N(C)C1CCCCC1,1.0,0.0,1.0,1.0,-6.458957195281982,1.0,1.0,-71.50099182128906,0.0,0.0,-250.84945678710938,0.0,0.0,18.0,0.0,1.0,0.0
39,CC(=O)N1CCC(C2=NNC(=O)C2N=Nc2ccc(F)cc2F)CC1,1.0,0.0,1.0,1.0,-6.458957195281982,1.0,1.0,-71.50099182128906,0.0,0.0,-249.13278198242188,0.0,0.0,18.0,1.0,-0.0,1.0
40,CC(=O)N1CCC(N(CCN2CCOCC2)C(=S)Nc2cc(C)ccc2C)CC1,1.0,0.0,1.0,1.0,-6.458957195281982,1.0,1.0,-71.50099182128906,1.0,0.0,-257.38665771484375,0.0,0.0,20.0,0.0,1.0,0.0
41,CC(=O)N1CCN(c2ccc(N=Cc3c(O)n(-c4ccc(Cl)cc4)c(=O)[nH]c3=O)cc2)CC1,1.0,0.0,1.0,1.0,-6.458957195281982,1.0,1.0,-71.50099182128906,1.0,0.0,-260.0048522949219,0.0,0.0,24.0,1.0,-0.0,1.0
42,CC(=O)N1CN2CN(C(C)=O)CC(C(=O)c3ccccc3)(C2)C1,1.0,0.0,1.0,1.0,-6.458957195281982,1.0,1.0,-71.50099182128906,0.0,0.0,-248.64852905273438,0.0,0.0,19.0,0.0,1.0,0.0
43,CC(=O)NC(C)c1ccc(Cl)c(Cl)c1,1.0,0.0,1.0,1.0,-6.458957195281982,1.0,1.0,-71.50099182128906,0.0,1.0,-240.98025512695312,0.0,0.0,27.0,0.0,1.0,0.0
44,CC(=O)NC(c1ccc(F)cc1)c1cccnc1,1.0,0.0,1.0,1.0,-6.458957195281982,1.0,1.0,-71.50099182128906,0.0,1.0,-240.729248046875,0.0,0.0,19.0,0.0,1.0,0.0
45,CC(=O)NC1C(=O)N(C)c2ccc(Br)cc21,1.0,0.0,1.0,1.0,-6.458957195281982,1.0,1.0,-71.50099182128906,0.0,0.0,-242.76022338867188,0.0,0.0,18.0,0.0,1.0,0.0
46,CC(=O)NC1CSCC1OC(C)=O,1.0,0.0,1.0,1.0,-6.458957195281982,1.0,1.0,-71.50099182128906,0.0,0.0,-244.20947265625,0.0,0.0,27.0,0.0,1.0,0.0
47,CC(=O)Nc1c(C(=O)O)[nH]c2ccccc12,1.0,0.0,1.0,1.0,-6.458957195281982,1.0,1.0,-71.50099182128906,0.0,0.0,-246.580810546875,0.0,1.0,29.0,0.0,1.0,0.0
48,CC(=O)Nc1cc2c(cc1C(=O)c1ccccc1)OCCO2,1.0,0.0,1.0,1.0,-6.458957195281982,1.0,1.0,-71.50099182128906,0.0,0.0,-247.533935546875,0.0,0.0,20.0,0.0,1.0,0.0
49,CC(=O)Nc1ccc(-c2nc3cc(Cl)c([N+](=O)[O-])cc3[nH]2)cc1,1.0,0.0,1.0,1.0,-6.458957195281982,1.0,1.0,-71.50099182128906,0.0,0.0,-248.02520751953125,0.0,1.0,34.0,0.0,1.0,0.0
50,CC(=O)Nc1ccc(C(=O)Nc2ccc3c(c2)OCO3)cc1,1.0,0.0,1.0,1.0,-6.458957195281982,1.0,1.0,-71.50099182128906,0.0,0.0,-247.21444702148438,1.0,0.0,17.0,0.0,1.0,0.0
51,CC(=O)Nc1ccc(NC(=O)CSc2nccn2Cc2ccccc2)cc1,1.0,0.0,1.0,1.0,-6.458957195281982,1.0,1.0,-71.50099182128906,0.0,0.0,-250.18276977539062,0.0,0.0,23.0,0.0,1.0,0.0
52,CC(=O)Nc1ccc(NS(=O)(=O)c2ccc(C)cc2)cc1[N+](=O)[O-],1.0,0.0,1.0,1.0,-6.458957195281982,1.0,1.0,-71.50099182128906,0.0,0.0,-247.111328125,0.0,0.0,19.0,0.0,1.0,0.0
53,CC(=O)Nc1ccc(OC(=O)c2ccco2)cc1,1.0,0.0,1.0,1.0,-6.458957195281982,1.0,1.0,-71.50099182128906,0.0,0.0,-244.81036376953125,0.0,0.0,18.0,0.0,1.0,0.0
