,SMILES,False positives,True positives,FP - TracIn_test,TP - TracIn_test,Score - TracIn_test,FP - TracIn_test_pos,TP - TracIn_test_pos,Score - TracIn_test_pos,FP - TracIn_self,TP - TracIn_self,Score - TracIn_self,FP - score,TP - score,Score - score,FP - filter,TP - filter,Score - filter
0,Brc1ccc(CNc2ccc3ncccc3c2)cc1,1.0,0.0,0.0,0.0,-51.15816879272461,0.0,0.0,-52.92666244506836,1.0,0.0,-531.7052612304688,0.0,0.0,39.0,0.0,1.0,0.0
1,Brc1ccc(Cn2c(-c3ccc(Br)o3)nc3ccccc32)o1,-0.0,1.0,0.0,0.0,-45.57893371582031,0.0,0.0,-47.154720306396484,0.0,0.0,-271.86383056640625,1.0,0.0,30.0,0.0,1.0,0.0
2,C#CC(=O)N(c1cc(OC)ccc1OC)C(C(=O)NC1CCCC1)c1cccs1,-0.0,1.0,1.0,0.0,-53.595245361328125,1.0,0.0,-55.447784423828125,1.0,0.0,-549.654541015625,1.0,0.0,31.0,0.0,1.0,0.0
3,C#CCOC(=O)c1ccccc1C(=O)n1nnc2ccccc21,-0.0,1.0,0.0,0.0,-42.29133605957031,0.0,0.0,-43.75298309326172,0.0,0.0,-151.507080078125,0.0,0.0,51.0,0.0,1.0,0.0
4,C#CCOc1ccc(/C=C2/C(=O)N(c3cccc(C(=O)O)c3)N=C2C)cc1OC,-0.0,1.0,0.0,0.0,-44.03315353393555,0.0,0.0,-45.55522537231445,0.0,0.0,-146.97108459472656,0.0,0.0,71.0,1.0,-0.0,1.0
5,C(=N/Nc1nncc2ccccc12)\c1ccccn1,-0.0,1.0,0.0,0.0,-49.12606430053711,0.0,0.0,-50.824241638183594,0.0,0.0,-371.31915283203125,0.0,0.0,38.0,0.0,1.0,0.0
6,C/C(=C/CCC(C)[C@H]1CC[C@@]2(C)C3=C(CC[C@]12C)[C@@]1(C)CCC(=O)C(C)(C)[C@@H]1CC3)C(=O)O,-0.0,1.0,0.0,0.0,-34.45174789428711,0.0,0.0,-35.64326858520508,0.0,0.0,-223.94056701660156,0.0,0.0,42.0,0.0,1.0,0.0
7,C/C(=C\c1ccco1)C1C(C#N)=C(N)Oc2n[nH]c(-c3ccccc3)c21,-0.0,1.0,0.0,1.0,-7.079665660858154,0.0,1.0,-7.322931289672852,0.0,1.0,-46.370574951171875,0.0,0.0,77.0,0.0,1.0,0.0
8,C/C(=N/NC(=O)Cc1cc(=O)[nH][nH]1)c1ccc([N+](=O)[O-])cc1,-0.0,1.0,0.0,0.0,-33.628082275390625,0.0,0.0,-34.78828811645508,0.0,0.0,-137.31546020507812,0.0,1.0,84.0,0.0,1.0,0.0
9,C/C(=N\NC(=O)CC#N)c1cc2ccccc2oc1=O,-0.0,1.0,0.0,0.0,-39.3309326171875,0.0,0.0,-40.689369201660156,0.0,0.0,-142.15184020996094,0.0,1.0,86.0,0.0,1.0,0.0
