,SMILES,False positives,True positives,FP - TracIn_test,TP - TracIn_test,Score - TracIn_test,FP - TracIn_test_pos,TP - TracIn_test_pos,Score - TracIn_test_pos,FP - TracIn_self,TP - TracIn_self,Score - TracIn_self,FP - score,TP - score,Score - score,FP - filter,TP - filter,Score - filter
0,C/C(=N\N1C(C)CCCC1C)c1ccc(Cl)c([N+](=O)[O-])c1,1.0,0.0,0.0,0.0,-12.251842498779297,0.0,0.0,-63.38652038574219,0.0,0.0,-181.13742065429688,0.0,0.0,11.0,0.0,1.0,0.0
1,C/C(=N\NC(=O)CSc1nc2ccccc2c(=O)n1-c1ccccc1C)c1cccs1,1.0,0.0,0.0,0.0,-12.602177619934082,0.0,0.0,-65.20301055908203,0.0,0.0,-201.9463348388672,0.0,0.0,11.0,0.0,1.0,0.0
2,C/C(=N\NC(N)=S)c1ccc2c(c1)OCCO2,1.0,0.0,0.0,0.0,-11.647562026977539,0.0,0.0,-60.25547409057617,0.0,0.0,-163.71151733398438,0.0,0.0,12.0,0.0,1.0,0.0
3,C/C(=N\Nc1ccc([N+](=O)[O-])cc1)c1cccc(N)c1,1.0,0.0,0.0,0.0,-11.64089298248291,0.0,0.0,-60.22092819213867,0.0,0.0,-162.69635009765625,0.0,0.0,15.0,0.0,1.0,0.0
4,C/C(=N\OCC(=O)Nc1nc2ccccc2s1)c1ccccc1,1.0,0.0,0.0,0.0,-12.384987831115723,0.0,0.0,-64.07672882080078,0.0,0.0,-189.6610107421875,1.0,0.0,10.0,0.0,1.0,0.0
5,C/C(CCc1ccccc1)=N\NC(=O)C1C2CCCCC21,1.0,0.0,0.0,0.0,-12.389790534973145,0.0,0.0,-64.10163116455078,0.0,0.0,-190.54757690429688,1.0,0.0,10.0,0.0,1.0,0.0
6,C=C(C)C[C@@]1(C(=O)OCC)C(=O)Oc2ccc3ccccc3c2N1C,1.0,0.0,0.0,0.0,-12.460155487060547,0.0,0.0,-64.46646881103516,0.0,0.0,-196.2210693359375,1.0,0.0,10.0,0.0,1.0,0.0
7,C=C1CCN(Cc2ccccc2)S(=O)(=O)c2ccccc21,1.0,0.0,0.0,0.0,-12.469853401184082,0.0,0.0,-64.51675415039062,0.0,0.0,-191.05703735351562,0.0,0.0,11.0,0.0,1.0,0.0
8,C=CCN=c1scc(C)n1/N=C/c1ccc(O)c(O)c1,1.0,0.0,0.0,1.0,-11.448657035827637,0.0,1.0,-59.22520446777344,0.0,1.0,-154.48631286621094,0.0,0.0,15.0,1.0,-0.0,1.0
9,C=CCNc1n[nH]c(=S)s1,1.0,0.0,0.0,1.0,-11.5048828125,0.0,1.0,-59.516414642333984,0.0,0.0,-164.26808166503906,0.0,0.0,15.0,0.0,1.0,0.0
10,C=CC[C@@H](CC(=O)N(CCO)Cc1ccccc1)C(=O)NC[C@@H](OC(=O)[C@@H](CC=C)CC(=O)OC(C)(C)C)c1ccccc1,1.0,0.0,1.0,0.0,-13.213640213012695,1.0,0.0,-68.37669372558594,1.0,0.0,-316.24127197265625,1.0,0.0,10.0,0.0,1.0,0.0
11,C=CCc1ccc(O)c(-c2ccc(O)c(CC=C)c2)c1,1.0,0.0,0.0,1.0,-11.554555892944336,0.0,1.0,-59.77370071411133,0.0,1.0,-153.6208953857422,0.0,0.0,11.0,0.0,1.0,0.0
12,C=CCn1c(C)cc(C(=O)COC(=O)CCc2cc(OC)c(OC)c(OC)c2)c1C,1.0,0.0,0.0,0.0,-12.8156099319458,0.0,0.0,-66.31044006347656,0.0,0.0,-227.76907348632812,0.0,0.0,12.0,0.0,1.0,0.0
13,C=CCn1c(SCC(=O)N2CC(=O)Nc3ccccc32)nc2scc(-c3ccccc3)c2c1=O,1.0,0.0,0.0,0.0,-12.768453598022461,0.0,0.0,-66.0657958984375,0.0,0.0,-231.72390747070312,0.0,0.0,16.0,0.0,1.0,0.0
14,CC(/C=N/n1c(-c2ccncc2)n[nH]c1=S)=C\c1ccco1,1.0,0.0,0.0,0.0,-12.001519203186035,0.0,0.0,-62.08926010131836,0.0,0.0,-174.4788055419922,0.0,1.0,19.0,0.0,1.0,0.0
15,CC(=O)C(Sc1nccc(-c2cccs2)n1)C(C)=O,1.0,0.0,0.0,0.0,-12.178804397583008,0.0,0.0,-63.00796127319336,0.0,0.0,-178.8136444091797,0.0,0.0,14.0,0.0,1.0,0.0
16,CC(=O)C1=CCC(c2ccc(C)cc2)N(S(=O)(=O)c2ccc(C)cc2)C1,1.0,0.0,0.0,0.0,-12.844736099243164,0.0,0.0,-66.46160125732422,0.0,0.0,-216.8218231201172,0.0,0.0,12.0,0.0,1.0,0.0
