,SMILES,False positives,True positives,FP - TracIn_test,TP - TracIn_test,Score - TracIn_test,FP - TracIn_test_pos,TP - TracIn_test_pos,Score - TracIn_test_pos,FP - TracIn_self,TP - TracIn_self,Score - TracIn_self,FP - score,TP - score,Score - score,FP - filter,TP - filter,Score - filter
0,Brc1cc(Br)c2nc(-c3cccs3)ccc2c1,1.0,0.0,0.0,1.0,-44.91166687011719,0.0,1.0,-70.9900894165039,0.0,1.0,-177.49838256835938,0.0,1.0,41.88878365579759,0.0,1.0,0.0
1,Brc1ccc(-c2cn3cccnc3n2)cc1,1.0,0.0,0.0,1.0,-46.18691635131836,0.0,1.0,-72.99664306640625,0.0,1.0,-187.5255584716797,0.0,0.0,28.940603436612093,0.0,1.0,0.0
2,Brc1ccc(-c2csc(-c3ccncc3)n2)cc1,1.0,0.0,0.0,1.0,-43.72140884399414,0.0,1.0,-69.11445617675781,0.0,1.0,-176.8001708984375,0.0,0.0,17.575429576511972,0.0,1.0,0.0
3,Brc1ccc(-c2nc(-c3ccccn3)no2)o1,1.0,0.0,0.0,1.0,-45.23141860961914,0.0,1.0,-71.49435424804688,0.0,1.0,-188.5477294921875,0.0,0.0,23.55567582194561,0.0,1.0,0.0
4,Brc1ccc(-c2nc(-c3cccnc3)no2)o1,-0.0,1.0,0.0,1.0,-44.97532653808594,0.0,1.0,-71.09146881103516,0.0,1.0,-187.10653686523438,0.0,0.0,34.298471113516435,0.0,1.0,0.0
5,Brc1ccc(-c2nc(-c3ccncc3)no2)o1,1.0,0.0,0.0,1.0,-44.816551208496094,0.0,1.0,-70.8410873413086,0.0,1.0,-185.35714721679688,0.0,0.0,30.65890948450819,0.0,1.0,0.0
6,Brc1ccc(-c2nnc(-c3ccccc3)o2)o1,1.0,0.0,0.0,1.0,-44.426212310791016,0.0,1.0,-70.2252197265625,0.0,1.0,-180.7058563232422,0.0,0.0,27.601136517386017,0.0,1.0,0.0
7,Brc1ccc(-c2nnc(-c3cccnc3)o2)cc1,-0.0,1.0,0.0,1.0,-45.021453857421875,0.0,1.0,-71.1628189086914,0.0,1.0,-181.39596557617188,0.0,0.0,28.91354349884996,0.0,1.0,0.0
8,Brc1ccc(-c2noc(-c3ccccc3)n2)o1,1.0,0.0,0.0,1.0,-44.81513977050781,0.0,1.0,-70.83755493164062,0.0,1.0,-181.73614501953125,0.0,1.0,36.7473954809904,0.0,1.0,0.0
9,Brc1ccc(-n2cnc(-c3ccccc3)c2)cc1,1.0,0.0,0.0,1.0,-45.960514068603516,0.0,1.0,-72.63815307617188,0.0,1.0,-181.30210876464844,0.0,0.0,17.670139358679474,0.0,1.0,0.0
10,Brc1ccc(CSc2nnc(-c3cccnc3)o2)cc1,1.0,0.0,0.0,1.0,-45.78157043457031,0.0,1.0,-72.3606185913086,0.0,1.0,-186.06063842773438,0.0,0.0,22.51386821810309,0.0,1.0,0.0
11,Brc1ccc(OCc2cn3ccccc3n2)cc1,-0.0,1.0,0.0,0.0,-48.506778717041016,0.0,0.0,-76.64498138427734,0.0,0.0,-217.56167602539062,0.0,0.0,28.45352455689352,0.0,1.0,0.0
