,SMILES,False positives,True positives,FP - TracIn_test,TP - TracIn_test,Score - TracIn_test,FP - TracIn_test_pos,TP - TracIn_test_pos,Score - TracIn_test_pos,FP - TracIn_self,TP - TracIn_self,Score - TracIn_self,FP - score,TP - score,Score - score,FP - filter,TP - filter,Score - filter
0,Brc1c(OCCN2CCNCC2)ccc2ccccc12,1.0,0.0,0.0,1.0,12.741168975830078,0.0,1.0,33.733924865722656,0.0,0.0,-128.15139770507812,0.0,0.0,50.0,0.0,1.0,0.0
1,C/C(=N\NC(=O)CC1=NNC(=O)C1)c1ccco1,1.0,0.0,0.0,0.0,-8.478642463684082,0.0,0.0,-28.303306579589844,0.0,0.0,-130.62965393066406,1.0,0.0,40.0,0.0,1.0,0.0
2,C/C(=N\NC(=O)Cc1cc(=O)[nH][nH]1)c1ccco1,1.0,0.0,0.0,0.0,-5.2796630859375,0.0,0.0,-19.04281234741211,0.0,0.0,-141.1833038330078,0.0,0.0,46.0,0.0,1.0,0.0
3,C/C(=N\Nc1ccc(S(=O)(=O)O)cc1)c1ccc([N+](=O)[O-])o1,1.0,0.0,0.0,0.0,-11.154980659484863,0.0,0.0,-36.261112213134766,0.0,0.0,-143.62916564941406,0.0,0.0,47.0,0.0,1.0,0.0
4,C/C(=N\Nc1ccc(S(=O)(=O)O)cc1)c1cccc(Br)c1,1.0,0.0,0.0,0.0,-31.033496856689453,0.0,0.0,-96.96105194091797,0.0,0.0,-375.71331787109375,0.0,0.0,44.0,0.0,1.0,0.0
5,C/C(N)=C(/C#N)C(=O)COC(=O)c1c2c(nc3ccccc13)/C(=C/c1ccco1)CC2,1.0,0.0,0.0,0.0,-20.387353897094727,0.0,0.0,-64.35001373291016,0.0,0.0,-241.01333618164062,0.0,0.0,64.0,0.0,1.0,0.0
6,C/C=C\C1=C(C(=O)O)N2C(=O)C(NC(=O)C(N)c3ccc(O)cc3)C2SC1,1.0,0.0,0.0,0.0,-5.554078578948975,0.0,0.0,-19.94154167175293,0.0,0.0,-104.03338623046875,1.0,0.0,39.0,0.0,1.0,0.0
7,C=C1C(C(=O)NCc2ccco2)C1C(=O)NCc1ccco1,1.0,0.0,0.0,0.0,0.4030018448829651,0.0,0.0,-2.9778220653533936,0.0,0.0,-105.80034637451172,0.0,0.0,49.0,0.0,1.0,0.0
8,C=C1c2c(Cl)ccc(O)c2C(O)=C2C(=O)[C@]3(O)C(O)=C(C(N)=O)C(=O)[C@@H](N(C)C)[C@@H]3[C@@H](O)[C@H]12.O=C(O)c1cc(S(=O)(=O)O)ccc1O,-0.0,1.0,0.0,0.0,9.536300659179688,0.0,0.0,23.666494369506836,0.0,0.0,-137.06349182128906,0.0,0.0,54.0,0.0,1.0,0.0
9,C=C1c2cccc(O)c2C(O)=C2C(=O)[C@]3(O)C(O)=C(C(N)=O)C(=O)[C@@H](N(C)C)[C@@H]3[C@@H](O)[C@H]12,1.0,0.0,0.0,0.0,-8.055401802062988,0.0,0.0,-27.566072463989258,0.0,0.0,-122.46757507324219,0.0,0.0,52.0,0.0,1.0,0.0
10,C=CC1=C(C)C2=Cc3c(C=C)c(C)c4n3[Sn+2]n3c(c(C)c(CCC(=O)O)c3=CC3=NC(=C4)C(C)=C3CCC(=O)O)=CC1=N2.[Cl-].[Cl-],1.0,0.0,0.0,0.0,4.6489458084106445,0.0,0.0,9.273920059204102,0.0,0.0,-140.9319610595703,0.0,0.0,42.0,0.0,1.0,0.0
11,C=CCNC(=O)COC(=O)c1cc(-c2ccco2)nc2ccccc12,1.0,0.0,0.0,0.0,-15.594480514526367,0.0,0.0,-49.840232849121094,0.0,0.0,-198.86151123046875,0.0,0.0,44.0,0.0,1.0,0.0
12,C=CCNCCOCCOc1ccc(OCC)cc1,1.0,0.0,0.0,0.0,11.332707405090332,0.0,0.0,28.723880767822266,0.0,0.0,-123.05611419677734,1.0,0.0,40.0,0.0,1.0,0.0
13,C=CCc1cc(C)ccc1OCCCCn1ccnc1,1.0,0.0,0.0,0.0,4.170477390289307,0.0,0.0,7.65297269821167,0.0,0.0,-102.85597229003906,0.0,0.0,58.0,0.0,1.0,0.0
14,C=CCc1cc(Cl)ccc1OCCOCCNCCOC,1.0,0.0,0.0,1.0,12.544300079345703,0.0,1.0,32.55989074707031,0.0,0.0,-124.34949493408203,0.0,0.0,44.0,0.0,1.0,0.0
15,CC(=C/C(=O)O)/C=C/c1ccoc1,1.0,0.0,0.0,0.0,-4.519509315490723,0.0,0.0,-16.8043270111084,0.0,0.0,-112.78396606445312,0.0,0.0,59.0,0.0,1.0,0.0
16,CC(=O)CC1=C(C(=O)O)N2C(=O)C(N)C2SC1,1.0,0.0,0.0,0.0,-22.566505432128906,0.0,0.0,-70.61251831054688,0.0,0.0,-183.9202423095703,0.0,0.0,47.0,0.0,1.0,0.0
17,CC(=O)NC1=NC(=O)/C(=C\c2ccc(Br)o2)S1,1.0,0.0,0.0,0.0,-25.029518127441406,0.0,0.0,-78.23563385009766,0.0,0.0,-303.8526916503906,0.0,0.0,60.0,1.0,-0.0,1.0
18,CC(=O)NCC(c1cccs1)S(=O)(=O)c1ccc(C)cc1,1.0,0.0,1.0,0.0,-43.952049255371094,1.0,0.0,-137.6671142578125,1.0,0.0,-709.4373779296875,1.0,0.0,40.0,0.0,1.0,0.0
19,CC(=O)NS(=O)(=O)c1ccc(NC(=O)c2ccc([N+](=O)[O-])o2)cc1,1.0,0.0,0.0,0.0,-28.065837860107422,0.0,0.0,-87.66619873046875,0.0,0.0,-344.9197692871094,0.0,0.0,50.0,0.0,1.0,0.0
