,SMILES,False positives,True positives,FP - TracIn_test,TP - TracIn_test,Score - TracIn_test,FP - TracIn_test_pos,TP - TracIn_test_pos,Score - TracIn_test_pos,FP - TracIn_self,TP - TracIn_self,Score - TracIn_self,FP - score,TP - score,Score - score,FP - filter,TP - filter,Score - filter
0,Brc1ccc2c(c1)C(OC1CN3CCC1CC3)c1ccccc1CS2,-0.0,1.0,0.0,0.0,-48.059661865234375,0.0,0.0,-60.617061614990234,0.0,1.0,-164.4746856689453,0.0,0.0,23.0,0.0,1.0,0.0
1,C#CCNc1c(C)c(C)nc2ncnn12,-0.0,1.0,1.0,0.0,-62.785953521728516,1.0,0.0,-79.19690704345703,0.0,0.0,-286.7475280761719,1.0,0.0,5.0,0.0,1.0,0.0
2,C#CCNc1c2c(nc3ncnn13)CC(C)CC2,-0.0,1.0,0.0,0.0,-60.63835525512695,0.0,0.0,-76.48722839355469,0.0,0.0,-250.3721923828125,0.0,0.0,9.0,0.0,1.0,0.0
3,C#CCOC(=O)Nc1cccn(Cc2c(Cl)cccc2Cl)c1=O,1.0,0.0,0.0,0.0,-59.56117630004883,0.0,0.0,-75.12811279296875,0.0,0.0,-264.794677734375,1.0,0.0,6.0,0.0,1.0,0.0
4,C#CC[N+](CC)(CC)CC#Cc1ccccc1,-0.0,1.0,0.0,0.0,-47.97854232788086,0.0,0.0,-60.514713287353516,0.0,1.0,-161.79446411132812,0.0,0.0,35.0,0.0,1.0,0.0
5,C#CC[N+]1(CC#Cc2ccc(C)cc2)CCCCC1,-0.0,1.0,0.0,1.0,-46.81438064575195,0.0,1.0,-59.046043395996094,0.0,1.0,-158.28451538085938,0.0,0.0,28.0,0.0,1.0,0.0
6,C#CC[N+]1(CC#Cc2cccc(C)c2)CCCCC1,-0.0,1.0,0.0,1.0,-46.91281509399414,0.0,1.0,-59.17021560668945,0.0,1.0,-158.6182403564453,0.0,0.0,26.0,0.0,1.0,0.0
7,C#CC[N+]1(CC#Cc2ccccc2)CCCCC1,1.0,0.0,0.0,0.0,-47.67487716674805,0.0,0.0,-60.13161849975586,0.0,1.0,-160.3973388671875,0.0,1.0,49.0,0.0,1.0,0.0
8,C/C(=N/NC(=O)c1cc(Cl)ccc1O)C12CC3CC(CC(C3)C1)C2,-0.0,1.0,0.0,0.0,-47.89896774291992,0.0,0.0,-60.41433334350586,0.0,0.0,-172.3489227294922,0.0,0.0,33.0,0.0,1.0,0.0
9,C/C(=N\N=C(N)N)c1ccc(Cl)cc1,-0.0,1.0,0.0,0.0,-56.62258529663086,0.0,0.0,-71.42046356201172,0.0,0.0,-229.2314453125,0.0,1.0,51.0,0.0,1.0,0.0
