,SMILES,False positives,True positives,FP - TracIn_test,TP - TracIn_test,Score - TracIn_test,FP - TracIn_test_pos,TP - TracIn_test_pos,Score - TracIn_test_pos,FP - TracIn_self,TP - TracIn_self,Score - TracIn_self,FP - score,TP - score,Score - score,FP - filter,TP - filter,Score - filter
0,Brc1ccc(C2=CC(c3ccco3)n3ncnc3N2)cc1,-0.0,1.0,0.0,0.0,-30.34186553955078,0.0,0.0,-61.43205642700195,0.0,0.0,-163.03707885742188,0.0,0.0,46.0,0.0,1.0,0.0
1,C#CCOCCOCCOCCNc1nc(N2CCN(C(=O)[C@H]([C@@H](C)CC)n3cc([C@@H](N)CO)nn3)CC2)nc(N2CCN(C(=O)[C@H]([C@@H](C)CC)n3cc([C@@H](N)CC(C)C)nn3)CC2)n1,-0.0,1.0,1.0,0.0,-39.19928741455078,1.0,0.0,-78.98908233642578,1.0,0.0,-1576.156494140625,0.0,0.0,38.0,0.0,1.0,0.0
2,C(=N/NC(=Nc1ccccc1)c1ccccn1)\c1ccccn1,1.0,0.0,0.0,0.0,-33.808204650878906,0.0,0.0,-68.34029388427734,0.0,0.0,-184.3607177734375,0.0,0.0,54.0,0.0,1.0,0.0
3,C(=N/Nc1nc2ccccc2[nH]1)\c1ccccn1,-0.0,1.0,0.0,0.0,-33.21739959716797,0.0,0.0,-67.16075897216797,0.0,0.0,-184.2947998046875,0.0,0.0,42.0,0.0,1.0,0.0
4,C/C(=N\Nc1ccc(Cl)c(C(=O)O)c1)c1ccc[nH]1,1.0,0.0,0.0,0.0,-32.72047805786133,0.0,0.0,-66.16413879394531,0.0,0.0,-202.42459106445312,0.0,0.0,38.0,0.0,1.0,0.0
5,C/C(N)=C(/C#N)C(=O)CSc1ncnc2ccccc12,-0.0,1.0,0.0,0.0,-28.698148727416992,0.0,0.0,-58.13758850097656,0.0,0.0,-148.24110412597656,0.0,0.0,39.0,0.0,1.0,0.0
6,C/C(O)=c1/ccc2cccc3nc(C)nc1c23,-0.0,1.0,0.0,0.0,-31.40456199645996,0.0,0.0,-63.54648208618164,0.0,0.0,-166.64669799804688,0.0,0.0,41.0,1.0,-0.0,1.0
7,C=CC1=C(C(=O)O)N2C(=O)[C@@H](NC(=O)/C(=N\O)c3csc(N)n3)[C@H]2SC1,-0.0,1.0,0.0,0.0,-28.23874282836914,0.0,0.0,-57.20612716674805,0.0,0.0,-154.63575744628906,1.0,0.0,26.0,0.0,1.0,0.0
8,C=CCN1C(=O)/C(=C2/Sc3ccc(OC)cc3N2CC)SC1=S,1.0,0.0,0.0,0.0,-29.883068084716797,0.0,0.0,-60.517112731933594,0.0,0.0,-163.59609985351562,0.0,0.0,40.0,1.0,-0.0,1.0
9,C=CCN1C(=O)/C(=C2/Sc3ccccc3N2CC)SC1=S,-0.0,1.0,0.0,0.0,-30.434499740600586,0.0,0.0,-61.620384216308594,0.0,0.0,-173.30941772460938,0.0,0.0,30.0,1.0,-0.0,1.0
10,C=CCN1C(=O)S/C(=C\c2ccc(N3CCOCC3)cc2C)C1=O,1.0,0.0,0.0,0.0,-32.78034591674805,0.0,0.0,-66.2918701171875,0.0,0.0,-197.23805236816406,0.0,0.0,29.0,1.0,-0.0,1.0
11,C=CCN1C=C2C(=O)C(C)(OC(=O)CCC(=O)OC)C(=O)C(Br)=C2C=C1c1ccc(OC)cc1,-0.0,1.0,0.0,0.0,-29.09433364868164,0.0,0.0,-58.93508529663086,0.0,0.0,-151.5374755859375,0.0,0.0,28.0,1.0,-0.0,1.0
12,C=CCN=c1scc(-c2ccco2)n1/N=C/c1ccc(O)c(O)c1O,-0.0,1.0,0.0,1.0,-27.417556762695312,0.0,1.0,-55.56439971923828,0.0,1.0,-143.03321838378906,0.0,0.0,28.0,1.0,-0.0,1.0
13,C=CCNC(=S)Nc1cc(Cl)ccc1OC,1.0,0.0,1.0,0.0,-34.933197021484375,1.0,0.0,-70.56817626953125,1.0,0.0,-316.1756591796875,0.0,0.0,40.0,0.0,1.0,0.0
14,C=CCOc1ccc(C2C(C(=O)c3cccs3)=C(O)C(=O)N2c2nnc(C)s2)cc1,-0.0,1.0,0.0,0.0,-31.5662841796875,0.0,0.0,-63.875003814697266,0.0,0.0,-180.1009521484375,0.0,0.0,30.0,0.0,1.0,0.0
15,C=CCOc1ccc(C2OC34CCCCC3C(C#N)(C#N)C2(C#N)C(=N)O4)cc1,-0.0,1.0,0.0,1.0,-27.430179595947266,0.0,1.0,-55.58878707885742,0.0,0.0,-153.29098510742188,0.0,0.0,45.0,1.0,-0.0,1.0
16,C=CCOc1cccc(C2C(C(=O)c3ccc(C)o3)=C(O)C(=O)N2c2nccs2)c1,-0.0,1.0,0.0,0.0,-31.50589942932129,0.0,0.0,-63.75670623779297,0.0,0.0,-175.17108154296875,0.0,0.0,49.0,0.0,1.0,0.0
17,C=CCOn1c(=O)c(-c2cc3ccccc3o2)[n+]([O-])c2ccccc21,1.0,0.0,0.0,0.0,-29.90741729736328,0.0,0.0,-60.55948257446289,0.0,0.0,-151.3174591064453,1.0,0.0,27.0,1.0,-0.0,1.0
18,C=CCSc1nnc(N2C(=O)C(O)=C(C(=O)c3ccco3)C2c2ccccc2F)s1,-0.0,1.0,0.0,0.0,-30.785057067871094,0.0,0.0,-62.316429138183594,0.0,0.0,-171.64511108398438,0.0,0.0,35.0,0.0,1.0,0.0
19,C=CCn1c(=O)/c(=C/c2ccc(C)o2)s/c1=C(/C#N)C(=O)c1ccccc1,1.0,0.0,0.0,0.0,-28.822107315063477,0.0,0.0,-58.39122772216797,0.0,0.0,-151.78927612304688,1.0,0.0,27.0,0.0,1.0,0.0
20,C=CCn1c(=O)/c(=C\c2ccsc2)s/c1=C(/C#N)C(=O)NCCN1CCOCC1,1.0,0.0,0.0,0.0,-29.513952255249023,0.0,0.0,-59.77907180786133,0.0,0.0,-157.41610717773438,0.0,0.0,46.0,0.0,1.0,0.0
21,C=CCn1c(Cc2nc3ccccc3[nH]2)n[nH]c1=S,-0.0,1.0,0.0,0.0,-33.008182525634766,0.0,0.0,-66.74503326416016,0.0,0.0,-212.9140625,0.0,0.0,51.0,0.0,1.0,0.0
22,C=CCn1c(O)c(/C=C/C=Nc2ccccc2)c(=O)[nH]c1=O,1.0,0.0,0.0,0.0,-28.677778244018555,0.0,0.0,-58.09498977661133,0.0,1.0,-143.8992919921875,1.0,0.0,26.0,0.0,1.0,0.0
23,C=CCn1cc(C=C2C(=O)NC(=O)NC2=O)c2ccccc21,1.0,0.0,0.0,1.0,-27.43682098388672,0.0,1.0,-55.60411834716797,0.0,1.0,-141.55862426757812,0.0,0.0,37.0,1.0,-0.0,1.0
24,C=Cc1c(C)c2cc3[nH]c(cc4nc(cc5nc(cc1[nH]2)C(C)=C5CCC(=O)O)C(CCC(=O)O)=C4C)c(C)c3C=C,-0.0,1.0,0.0,1.0,-26.521671295166016,0.0,1.0,-53.7603645324707,0.0,0.0,-145.9180450439453,0.0,0.0,42.0,0.0,1.0,0.0
25,CC(=NC1CCCC1)c1c(C)[nH]n(-c2nc3ccccc3s2)c1=O,1.0,0.0,0.0,0.0,-31.933412551879883,0.0,0.0,-64.60918426513672,0.0,0.0,-195.48361206054688,0.0,0.0,43.0,0.0,1.0,0.0
26,CC(=Nc1ccc(Br)cc1)c1sc2ccccc2c1O,1.0,0.0,0.0,0.0,-29.397632598876953,0.0,0.0,-59.54220962524414,0.0,0.0,-153.18215942382812,0.0,0.0,30.0,1.0,-0.0,1.0
27,CC(=O)/C(N=Nc1nc2c([nH]1)c(=O)n(C)c(=O)n2C)=C(\C)O,-0.0,1.0,0.0,1.0,-27.7010498046875,0.0,1.0,-56.1340217590332,0.0,1.0,-144.28892517089844,0.0,0.0,36.0,1.0,-0.0,1.0
28,CC(=O)C1=C(c2cccc([N+](=O)[O-])c2)N(C(C)=O)n2c(C)nnc2S1,1.0,0.0,0.0,0.0,-32.031368255615234,0.0,0.0,-64.79920196533203,0.0,0.0,-213.50823974609375,0.0,0.0,47.0,0.0,1.0,0.0
29,CC(=O)C1=C(c2ccccc2)N(C(C)=O)n2c(C)nnc2S1,-0.0,1.0,0.0,0.0,-32.23346710205078,0.0,0.0,-65.20333099365234,0.0,0.0,-197.2074737548828,0.0,0.0,45.0,0.0,1.0,0.0
30,CC(=O)C1=C(c2ccccc2)NC(=O)NC1c1ccc(O)c(O)c1,-0.0,1.0,0.0,0.0,-29.975948333740234,0.0,0.0,-60.68980407714844,0.0,0.0,-147.34133911132812,0.0,0.0,29.0,1.0,-0.0,1.0
31,CC(=O)N(C)c1ccc(N=NC2C(=O)N(C(N)=S)N=C2C)cc1,-0.0,1.0,0.0,0.0,-28.9427547454834,0.0,0.0,-58.630069732666016,0.0,0.0,-151.6092529296875,1.0,0.0,26.0,1.0,-0.0,1.0
32,CC(=O)N(C)c1ccc(N=Nc2c(C)[nH]n(C(N)=S)c2=O)cc1,-0.0,1.0,0.0,0.0,-29.01519203186035,0.0,0.0,-58.7753791809082,0.0,0.0,-155.82296752929688,0.0,0.0,32.0,1.0,-0.0,1.0
