,Time - mean,Time - STD,Time - Replicate 1,Time - Replicate 2,Time - Replicate 3,Time - Replicate 4,Time - Replicate 5,Time - Replicate 6,Time - Replicate 7,Time - Replicate 8,Time - Replicate 9,Time - Replicate 10,FP rate,FP Precision@90 - mean,FP Precision@90 - STD,FP Precision@90 - Replicate 1,FP Precision@90 - Replicate 2,FP Precision@90 - Replicate 3,FP Precision@90 - Replicate 4,FP Precision@90 - Replicate 5,FP Precision@90 - Replicate 6,FP Precision@90 - Replicate 7,FP Precision@90 - Replicate 8,FP Precision@90 - Replicate 9,FP Precision@90 - Replicate 10,TP rate,TP Precision@90 - mean,TP Precision@90 - STD,TP Precision@90 - Replicate 1,TP Precision@90 - Replicate 2,TP Precision@90 - Replicate 3,TP Precision@90 - Replicate 4,TP Precision@90 - Replicate 5,TP Precision@90 - Replicate 6,TP Precision@90 - Replicate 7,TP Precision@90 - Replicate 8,TP Precision@90 - Replicate 9,TP Precision@90 - Replicate 10,FP EF10 - mean,FP EF10 - STD,FP EF10 - Replicate 1,FP EF10 - Replicate 2,FP EF10 - Replicate 3,FP EF10 - Replicate 4,FP EF10 - Replicate 5,FP EF10 - Replicate 6,FP EF10 - Replicate 7,FP EF10 - Replicate 8,FP EF10 - Replicate 9,FP EF10 - Replicate 10,TP EF10 - mean,TP EF10 - STD,TP EF10 - Replicate 1,TP EF10 - Replicate 2,TP EF10 - Replicate 3,TP EF10 - Replicate 4,TP EF10 - Replicate 5,TP EF10 - Replicate 6,TP EF10 - Replicate 7,TP EF10 - Replicate 8,TP EF10 - Replicate 9,TP EF10 - Replicate 10,FP BEDROC20 - mean,FP BEDROC20 - STD,FP BEDROC20 - Replicate 1,FP BEDROC20 - Replicate 2,FP BEDROC20 - Replicate 3,FP BEDROC20 - Replicate 4,FP BEDROC20 - Replicate 5,FP BEDROC20 - Replicate 6,FP BEDROC20 - Replicate 7,FP BEDROC20 - Replicate 8,FP BEDROC20 - Replicate 9,FP BEDROC20 - Replicate 10,TP BEDROC20 - mean,TP BEDROC20 - STD,TP BEDROC20 - Replicate 1,TP BEDROC20 - Replicate 2,TP BEDROC20 - Replicate 3,TP BEDROC20 - Replicate 4,TP BEDROC20 - Replicate 5,TP BEDROC20 - Replicate 6,TP BEDROC20 - Replicate 7,TP BEDROC20 - Replicate 8,TP BEDROC20 - Replicate 9,TP BEDROC20 - Replicate 10,FP Scaffold- mean,FP Scaffold - STD,FP Scaffold - Replicate 1,FP Scaffold - Replicate 2,FP Scaffold - Replicate 3,FP Scaffold - Replicate 4,FP Scaffold - Replicate 5,FP Scaffold - Replicate 6,FP Scaffold - Replicate 7,FP Scaffold - Replicate 8,FP Scaffold - Replicate 9,FP Scaffold - Replicate 10,TP Scaffold- mean,TP Scaffold - STD,TP Scaffold - Replicate 1,TP Scaffold - Replicate 2,TP Scaffold - Replicate 3,TP Scaffold - Replicate 4,TP Scaffold - Replicate 5,TP Scaffold - Replicate 6,TP Scaffold - Replicate 7,TP Scaffold - Replicate 8,TP Scaffold - Replicate 9,TP Scaffold - Replicate 10
transcription_5,9.667513179779053,0.1710706258495117,9.543040752410889,9.782168865203857,9.61012864112854,9.779990673065186,9.810896396636963,9.723801374435425,9.666453123092651,9.949899435043335,9.459674596786499,9.349077939987183,0.8592233009708737,0.8658401307782112,0.020297371337214893,0.868421052631579,0.8611111111111112,0.8648648648648649,0.9117647058823529,0.8717948717948718,0.8461538461538461,0.8421052631578947,0.8571428571428571,0.8461538461538461,0.8888888888888888,0.14077669902912626,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7439500152803077,0.01743997440139337,0.7461676034747061,0.7398867313915858,0.7431120440829179,0.7834094802969731,0.7490664675130694,0.7270351008215086,0.7235564639754726,0.7364771151178917,0.7270351008215086,0.7637540453074433,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8631358746281677,0.01945086693600398,0.8886213917634114,0.870533482394295,0.8675043703741042,0.8904007934294672,0.8275402289932812,0.8315914375823339,0.8653100582073895,0.8634831089002777,0.8582013505120846,0.868172524125032,0.012803151552587455,0.003521189831099336,0.010359848840089477,0.008559090443672547,0.013041652381608775,0.02190389274286107,0.012082689530117036,0.012800366644791193,0.013157887119886422,0.015009281301975923,0.009682071787227324,0.011434734733644772,92.6086956521739,0.6234242897020841,91.82608695652173,92.52173913043478,91.65217391304348,93.56521739130434,93.21739130434783,93.21739130434783,92.17391304347827,93.21739130434783,92.34782608695652,92.34782608695652,17.47826086956522,0.9210826209993292,19.130434782608695,18.26086956521739,17.043478260869566,17.391304347826086,17.91304347826087,17.043478260869566,18.26086956521739,15.652173913043478,16.695652173913043,17.391304347826086
channel_atp,5.937004470825196,0.6776587845723645,5.426946640014648,5.45485782623291,6.943544626235962,5.573228359222412,5.567394971847534,5.402983665466309,5.408370018005371,7.078641891479492,6.867247581481934,5.646829128265381,0.4878048780487805,0.743563852665422,0.028785613677260707,0.7142857142857143,0.7407407407407407,0.7047619047619048,0.7358490566037735,0.7264150943396226,0.7383177570093458,0.7289719626168224,0.7870370370370371,0.8,0.7592592592592593,0.5121951219512195,0.6642566839362696,0.03904930529829968,0.6739130434782609,0.7222222222222222,0.7362637362637363,0.6770833333333334,0.6153846153846154,0.6777777777777778,0.6210526315789474,0.6413043478260869,0.6292134831460674,0.6483516483516484,0.3627140744709375,0.014041762769395463,0.34843205574912894,0.3613369467028003,0.3437862950058072,0.3589507593189139,0.35434882650713295,0.36015500341919304,0.3555960793252792,0.3839205058717254,0.3902439024390244,0.3703703703703704,0.3402290332356503,0.020000863689373004,0.34517497348886533,0.3699186991869919,0.37711069418386495,0.3467987804878049,0.3151969981238274,0.34715447154471546,0.3181001283697048,0.3284729586426299,0.32228007673335163,0.33208255159474676,0.759904275565061,0.02215922645796442,0.765996520261196,0.7802906144325401,0.7348949218691145,0.7576572555205183,0.7444021328345191,0.7434758551079943,0.7416049762434608,0.7775899326240152,0.8090771488814228,0.7440533978758281,0.6861377037511166,0.02660877977846418,0.717063091985008,0.7224738249313151,0.7013508837584981,0.674354205952521,0.6347148862206403,0.7089455637205921,0.6686711963077905,0.6925350658484059,0.6557671309696157,0.685501187816779,98.48214285714286,0.8973103233143674,97.32142857142857,97.32142857142857,97.32142857142857,98.21428571428571,98.21428571428571,99.10714285714286,99.10714285714286,100.0,99.10714285714286,99.10714285714286,75.0501253132832,2.792123299978558,72.32142857142857,80.35714285714286,79.46428571428571,72.32142857142857,75.0,74.10714285714286,73.21428571428571,71.9298245614035,75.89285714285714,75.89285714285714
transcription,5.582698106765747,0.4560036264036024,5.220206022262573,5.24041485786438,5.453240871429443,5.441709756851196,5.398718357086182,5.389289617538452,5.451925039291382,6.882290363311768,5.6769859790802,5.6722002029418945,0.44337606837606836,0.8571220644286743,0.018128969629224216,0.8702290076335878,0.8442622950819673,0.8455284552845529,0.8709677419354839,0.8527131782945736,0.8739495798319328,0.8740157480314961,0.8135593220338984,0.8688524590163934,0.8571428571428571,0.5566239316239316,0.946619363220187,0.016825571427279258,0.9811320754716981,0.9464285714285714,0.9491525423728814,0.9137931034482759,0.9444444444444444,0.9482758620689655,0.9615384615384616,0.9464285714285714,0.9464285714285714,0.9285714285714286,0.3800274110447648,0.008037951277914594,0.38583871599138775,0.37432569707159874,0.3748870822041554,0.38616625310173697,0.3780726164447094,0.38748832866479926,0.38751766606097315,0.3607127335940895,0.3852283872775676,0.38003663003663,0.526910991706963,0.009365515719671475,0.5461215932914046,0.5268047924297924,0.5283210198464436,0.5086391099322134,0.5257003798670465,0.5278330386089007,0.5352153188691651,0.5268047924297924,0.5268047924297924,0.5168650793650794,0.8704246939800895,0.014144869314959929,0.8767027734869431,0.8650170705899537,0.8423254048614598,0.8714752364097609,0.8839133218385327,0.8943027971448683,0.8769599783952915,0.8567869165499946,0.8771078198169188,0.8596556207071714,0.9328133727156175,0.008466722935347778,0.9453762226848315,0.9373790912283955,0.9349443982222397,0.9305363808155396,0.9229575255327032,0.9362824930654268,0.9278427369148754,0.9357522999380092,0.9417461960607564,0.9153163826933985,96.35135135135134,0.7918196320381513,97.74774774774775,96.3963963963964,96.84684684684684,96.3963963963964,94.5945945945946,95.49549549549549,96.3963963963964,96.3963963963964,96.3963963963964,96.84684684684684,57.02702702702702,1.4272954520499863,55.85585585585586,54.95495495495496,55.85585585585586,57.65765765765766,55.4054054054054,58.108108108108105,57.65765765765766,57.207207207207205,59.909909909909906,57.65765765765766
transporter,5.168789434432983,0.4755465764861066,6.558531045913696,4.841123342514038,4.980673313140869,5.005717039108276,5.113887071609497,4.8726465702056885,5.126818895339966,5.185979604721069,5.078113794326782,4.924403667449951,0.30279069767441863,0.5593849108921336,0.01811243651528789,0.5777777777777777,0.5560538116591929,0.5829596412556054,0.5688888888888889,0.5242290748898678,0.5580357142857143,0.581081081081081,0.5426008968609866,0.5422222222222223,0.56,0.6972093023255814,0.9431928312660475,0.011099300866500133,0.9420289855072463,0.9512195121951219,0.926829268292683,0.9326923076923077,0.9569377990430622,0.9423076923076923,0.9408866995073891,0.9516908212560387,0.927536231884058,0.9597989949748744,0.16937654743757163,0.005484277289047639,0.17494573643410852,0.1683679215768068,0.17651475649181356,0.1722542635658915,0.15873168732711812,0.16896802325581398,0.17594594594594595,0.16429450411930338,0.16417984496124033,0.16956279069767444,0.6576028158454907,0.007738535813434279,0.6567913717559825,0.6631990924560408,0.6461939875212707,0.6502817531305903,0.6671859352397909,0.6569856887298748,0.6559949593309657,0.6635276935175823,0.6466868891135827,0.6691807876592264,0.5860083828230838,0.018509642854275088,0.6027149205597585,0.5847936868533058,0.5933487369342525,0.6096233735251768,0.5410512769490451,0.5723922285785791,0.6005824831410861,0.5932756944119411,0.5784136376854275,0.583887789592266,0.936795554024118,0.007256970151598264,0.9414369955075078,0.9482084181723134,0.9333652761641154,0.9291864306907698,0.9412273574752793,0.937647078349715,0.9247987043679088,0.9408547208200644,0.9278171758042821,0.9434133828892236,95.52301255230127,0.8167038199139379,95.81589958158996,95.39748953974896,94.56066945606695,96.23430962343096,96.65271966527196,95.81589958158996,93.72384937238493,95.39748953974896,96.23430962343096,95.39748953974896,58.36820083682009,1.452431377214208,59.8326359832636,56.48535564853557,58.57740585774059,58.15899581589958,57.32217573221757,55.64853556485355,58.99581589958159,59.41422594142259,58.57740585774059,60.66945606694561
cysteine_protease,5.3620240688323975,0.10948023016195449,5.337040424346924,5.360792636871338,5.192498207092285,5.278455495834351,5.512434720993042,5.574493169784546,5.302852153778076,5.407921075820923,5.388786554336548,5.264966249465942,0.5117241379310344,0.8053986961519414,0.02032684900075138,0.782258064516129,0.7933884297520661,0.7966101694915254,0.8103448275862069,0.8103448275862069,0.8235294117647058,0.831858407079646,0.8235294117647058,0.7631578947368421,0.8189655172413793,0.48827586206896556,0.9744400527009223,0.03363369545603618,1.0,1.0,0.9545454545454546,1.0,1.0,1.0,0.9166666666666666,1.0,0.9166666666666666,0.9565217391304348,0.4121419534791313,0.010401739281763803,0.40030033370411566,0.40599601025933313,0.40764465225014607,0.41467300832342446,0.41467300832342446,0.42141987829614597,0.42568202624351537,0.42141987829614597,0.39052631578947367,0.41908442330558854,0.475795556767071,0.01642252164336111,0.4882758620689655,0.4882758620689655,0.46608150470219434,0.4882758620689655,0.4882758620689655,0.4882758620689655,0.4475862068965517,0.4882758620689655,0.4475862068965517,0.4670464767616192,0.8229681461055529,0.02421153375690381,0.8082170180575287,0.832761443194641,0.805424881274249,0.827497791668005,0.8085559159505972,0.8676073311292328,0.8102294680492125,0.8568927195724426,0.7822942421987329,0.8302006499608864,0.8783263286284522,0.00951145871847581,0.874954088725643,0.8965416578412648,0.8667103226094093,0.8810382476238842,0.8795905382901872,0.8738800328364674,0.8675030228241982,0.892887080479048,0.8799580082155777,0.8702002868388408,98.63636363636365,0.7707193162642335,97.72727272727273,97.72727272727273,97.72727272727273,98.86363636363636,98.29545454545455,99.43181818181819,98.29545454545455,98.86363636363636,99.43181818181819,100.0,61.70454545454545,1.4418838114147177,63.06818181818182,60.22727272727273,61.93181818181818,61.36363636363637,61.36363636363637,58.52272727272727,63.63636363636363,63.06818181818182,61.36363636363637,62.5
dna_repair,5.917194867134095,0.08516573320752341,5.974155426025391,5.839449405670166,5.772946834564209,6.023756265640259,5.88516902923584,5.91545295715332,5.8391783237457275,5.877339601516724,6.034564733505249,6.009936094284058,0.36773428232502964,0.7084893908477716,0.021442006646024525,0.7101449275362319,0.6805555555555556,0.6865671641791045,0.7230769230769231,0.7246376811594203,0.6666666666666666,0.7230769230769231,0.7352941176470589,0.7142857142857143,0.7205882352941176,0.6322657176749704,0.8696218965933511,0.019467562565925467,0.8495575221238938,0.8532110091743119,0.8818181818181818,0.8703703703703703,0.8490566037735849,0.9099099099099099,0.875,0.8888888888888888,0.8715596330275229,0.8468468468468469,0.2605358376783027,0.007884960925584349,0.26114463527429643,0.2502636088045341,0.2524742833873338,0.265900173373483,0.2664741176268331,0.24515618821668642,0.265900173373483,0.27039285465075713,0.2626673445178783,0.26498499755774196,0.5498321125554639,0.012308672417127242,0.5371460964318332,0.539456071043782,0.5575434055861102,0.5503053468652519,0.5368293829315786,0.5753048422087568,0.553232502965599,0.5620139712666402,0.5510572768726806,0.5354322293824073,0.6897835158606174,0.02079225023234521,0.6907796684191965,0.6555112127563882,0.6898142584159338,0.6817757697101527,0.7217332769698813,0.6664387743852067,0.6929404597051098,0.7034699556969531,0.6732367145996048,0.7221350679477481,0.8773039568914138,0.021110302939847538,0.8577563193433765,0.8887928320516371,0.9080429558837951,0.8745150274397937,0.8535566480167038,0.9061921199685784,0.855942173883584,0.8865770842052837,0.8927996328110552,0.8488647753103301,93.19148936170212,1.0129685714245196,93.61702127659575,95.0354609929078,92.90780141843972,92.90780141843972,93.61702127659575,92.19858156028369,93.61702127659575,91.48936170212765,92.19858156028369,94.32624113475177,51.674943479679506,2.6521023124543732,54.60992907801418,53.191489361702125,50.354609929078016,52.4822695035461,52.142857142857146,53.84615384615385,46.478873239436616,52.4822695035461,53.90070921985816,47.26027397260274
GPCR_3,1.389868140220642,0.00988591572677067,1.3801517486572266,1.3926682472229004,1.3833539485931396,1.3760695457458496,1.4019784927368164,1.402388334274292,1.382561445236206,1.383155345916748,1.4053285121917725,1.3910257816314697,0.5945223780895124,0.8841126490676346,0.02011823251959551,0.8714285714285714,0.9047619047619048,0.8802816901408451,0.8951048951048951,0.8723404255319149,0.9084507042253521,0.9027777777777778,0.8367346938775511,0.8843537414965986,0.8848920863309353,0.40547762191048764,0.7739151460380963,0.01146987005705957,0.7751479289940828,0.7588235294117647,0.7784431137724551,0.7831325301204819,0.7590361445783133,0.7732558139534884,0.7664670658682635,0.7630057803468208,0.7891566265060241,0.7926829268292683,0.5256247546227086,0.011960739440507689,0.5180837866208607,0.5379011992238445,0.5233471638111905,0.5321598908773257,0.5186259042908512,0.5400942730531486,0.5367215913308098,0.4974575000340818,0.5257680894669157,0.5260881475180578,0.31380527297603505,0.0046507756343588365,0.3143051388773602,0.3076859601556053,0.31564126256505026,0.31754271595399636,0.3077721708477195,0.3135379285703189,0.31078524314097256,0.30938176931898476,0.31998535223056557,0.3214151880997768,0.8982886630765288,0.011720688898036609,0.8811782916686232,0.9095077339010109,0.9081571969129424,0.9065892638193359,0.8839576607756809,0.9024980291764362,0.915228753978233,0.88798985587756,0.902075239977425,0.8857046046780412,0.7767339593374442,0.00923695551828988,0.7715782206417997,0.7576565855859215,0.7844356120083639,0.7816663824375566,0.7763214003198227,0.7868650369849833,0.7658336846032493,0.7727814812188263,0.7860474846751889,0.7841537048987298,93.681592039801,1.2196667335454003,95.02487562189054,91.04477611940298,92.53731343283582,95.5223880597015,94.02985074626865,93.53233830845771,93.03482587064677,94.02985074626865,94.5273631840796,93.53233830845771,75.22388059701491,1.3312525532596684,74.12935323383084,77.61194029850746,74.12935323383084,74.12935323383084,75.62189054726367,77.61194029850746,75.12437810945273,74.12935323383084,75.62189054726367,74.12935323383084
GPCR,5.720559525489807,0.5169446637659788,5.540712594985962,7.259365081787109,5.530860185623169,5.490587472915649,5.495378017425537,5.590811252593994,5.581731081008911,5.7036848068237305,5.55208945274353,5.4603753089904785,0.5064615384615384,0.6022741078083641,0.020214870648617416,0.6,0.6257309941520468,0.6108108108108108,0.5586592178770949,0.592814371257485,0.6227544910179641,0.622093023255814,0.5833333333333334,0.5911602209944752,0.6153846153846154,0.4935384615384616,0.517391020819879,0.011690661177150145,0.5232558139534884,0.5170454545454546,0.5348837209302325,0.5114942528735632,0.5180722891566265,0.5287356321839081,0.5056179775280899,0.5319148936170213,0.5,0.5028901734104047,0.30502867121617444,0.010238054488499772,0.30387692307692304,0.3169086819613135,0.3093521829521829,0.2829394069617533,0.3002376784891755,0.3154011976047904,0.31506618962432914,0.29543589743589743,0.29939991500212493,0.3116686390532544,0.2553523684292572,0.005769790931738098,0.25824686940966013,0.2551818181818182,0.26398568872987477,0.2524420866489832,0.25568860055607046,0.26095137046861183,0.2495419187554019,0.2625204582651391,0.24676923076923077,0.24819564250778126,0.6443782243116598,0.013967074847802116,0.6409312983518896,0.6658540755003864,0.643165563051355,0.6273821441650816,0.6339861489077901,0.6600118610810121,0.6468659322364992,0.6220824661818342,0.6411934669766813,0.6623092866640692,0.5298926365292813,0.014297822964078983,0.4970302108198944,0.5452121171959646,0.5425379293249027,0.5232086479900623,0.5264645725859664,0.5383808281988288,0.5363113687967593,0.5429109690329608,0.5148561396815691,0.5320135816659046,91.31059245960503,0.9641451764522462,90.30520646319569,93.3572710951526,90.84380610412926,91.20287253141831,91.92100538599641,90.48473967684022,92.45960502692998,91.02333931777379,90.12567324955117,91.38240574506284,57.01974865350089,1.2876424471842818,56.01436265709156,58.5278276481149,57.63016157989228,56.37342908438061,58.88689407540395,54.75763016157989,58.5278276481149,57.091561938958705,56.552962298025136,55.834829443447035
GPCR_2,3.5923521518707275,0.04308784953472864,3.5974819660186768,3.58849835395813,3.6329383850097656,3.562291383743286,3.547210454940796,3.556572675704956,3.559385299682617,3.6981589794158936,3.604034662246704,3.57694935798645,0.838468720821662,0.9105895478681308,0.012438177067273928,0.9037037037037037,0.9193548387096774,0.9022556390977443,0.8814814814814815,0.9264705882352942,0.9136690647482014,0.9242424242424242,0.9069767441860465,0.9104477611940298,0.9172932330827067,0.16153127917833798,0.3413627905031932,0.030274867810815672,0.3508771929824561,0.31666666666666665,0.3389830508474576,0.35,0.36666666666666664,0.3389830508474576,0.2727272727272727,0.3382352941176471,0.39622641509433965,0.3442622950819672,0.7635008533945673,0.010429022414950494,0.7577272884462427,0.7708502755941086,0.7565131315684168,0.7390946502057614,0.7768166089965398,0.7660829319737488,0.7749483631836572,0.7604716305126702,0.7633819697033042,0.7691216837612238,0.0551407682138678,0.004890338124436147,0.0566776418169607,0.051151571739807035,0.054756365823165426,0.0565359477124183,0.059228135698723934,0.054756365823165426,0.04405398523045582,0.054635579722084916,0.06400295967443582,0.05560912889746063,0.9139618341686256,0.006727627596952663,0.9139061955063035,0.919457733753358,0.9171356848129946,0.9033562118080652,0.9223988974121448,0.9169885920854202,0.9029745698572177,0.909825440331688,0.9110557861193783,0.9225192299996864,0.33973274919733076,0.012569838249867984,0.3487602110268638,0.31703886028572836,0.33204258421223204,0.35164011671540174,0.35900746975101133,0.33687429552623605,0.32477632146248786,0.34999149836502697,0.3445721511651204,0.3326239834631992,96.68449197860963,1.0906993611963174,98.39572192513369,95.18716577540107,96.2566844919786,96.79144385026738,95.18716577540107,97.86096256684492,97.86096256684492,96.2566844919786,95.72192513368984,97.32620320855615,71.3903743315508,1.3790157174574988,69.5187165775401,70.05347593582887,71.65775401069519,71.65775401069519,70.58823529411765,72.19251336898395,74.8663101604278,71.12299465240642,71.12299465240642,71.12299465240642
ion_channel2,2.1536794900894165,0.022217509046278117,2.133664846420288,2.159576177597046,2.138205051422119,2.158780336380005,2.1632652282714844,2.145063877105713,2.127535581588745,2.1505112648010254,2.2115604877471924,2.148632049560547,0.20496894409937888,0.3398215893228681,0.024762730585735734,0.3181818181818182,0.3382352941176471,0.3230769230769231,0.3181818181818182,0.34782608695652173,0.3384615384615385,0.3333333333333333,0.3116883116883117,0.38461538461538464,0.38461538461538464,0.7950310559006211,0.8377962921078559,0.01805747627830879,0.8090909090909091,0.8695652173913043,0.8198198198198198,0.8256880733944955,0.8532110091743119,0.8446601941747572,0.8383838383838383,0.8333333333333334,0.8596491228070176,0.8245614035087719,0.06965287234568103,0.00507559074117565,0.06521739130434782,0.06932773109243698,0.06622073578595318,0.06521739130434782,0.071293545773697,0.06937410415671286,0.06832298136645962,0.06388642413487133,0.07883420926899189,0.07883420926899189,0.6660740707441338,0.014356254432444258,0.6432523997741388,0.6913313529570618,0.6517822169996083,0.6564476608353752,0.6783292495298877,0.6715310860519809,0.6665411882803186,0.6625258799171843,0.6834477498093058,0.655551923286477,0.40199816342782524,0.011179221108182766,0.3944257498476183,0.41398440300294265,0.38911259359882366,0.391154297260303,0.3962794050138085,0.40310107083577285,0.3874863716072122,0.4107228878393475,0.4180578712870901,0.4156569839853338,0.8420937422183258,0.032903000175463756,0.8331719860867556,0.8745322808810185,0.8466844559375407,0.8459168031109433,0.8717962802478468,0.8646449190951595,0.8021111855643919,0.795419263978131,0.8906986884165164,0.7959615588649535,93.86473429951691,0.8655300902013974,94.20289855072464,93.47826086956522,94.20289855072464,94.20289855072464,94.44444444444444,92.512077294686,92.7536231884058,93.23671497584542,95.65217391304348,93.96135265700484,64.73429951690821,1.2504520874922482,65.45893719806763,67.14975845410628,63.768115942028984,65.45893719806763,64.2512077294686,64.97584541062803,65.70048309178743,62.80193236714976,64.73429951690821,63.04347826086956
