,SMILES,False positives,True positives,FP - mvsa,TP - mvsa,Score - mvsa,FP - Catboost_self,TP - Catboost_self,Score - Catboost_self,FP - Catboost_test,TP - Catboost_test,Score - Catboost_test,FP - score,TP - score,Score - score,FP - filter,TP - filter,Score - filter
0,Brc1cc2ccccc2[n+](Cc2ccccc2)c1,1.0,0.0,0.0,0.0,92.06896574559771,0.0,0.0,-0.05741108398706626,0.0,0.0,-0.01629464055560947,0.0,1.0,37.0,0.0,1.0,0.0
1,Brc1cccc(-c2nnc(SCc3nc4ccccc4[nH]3)o2)c1,1.0,0.0,0.0,0.0,94.55812315409972,0.0,0.0,-0.07459840599997476,0.0,0.0,-0.020599536855043135,0.0,0.0,29.0,0.0,1.0,0.0
2,C#Cc1ccc2c(c1)COc1c3ccccc3nn1-2,-0.0,1.0,0.0,0.0,94.20669396131643,0.0,0.0,-0.07797349811066669,0.0,0.0,-0.02268704322724676,0.0,0.0,31.0,0.0,1.0,0.0
3,C/C(=C\C(=O)c1ccncc1)Nc1ccccc1O,1.0,0.0,1.0,0.0,98.54664805692904,0.0,0.0,-0.07966959372655788,0.0,0.0,-0.02219446456085782,0.0,0.0,33.0,0.0,1.0,0.0
4,C/C(=N/NC(=O)CN1CCN(Cc2ccccc2)CC1)c1ccc([N+](=O)[O-])cc1,1.0,0.0,0.0,0.0,95.56798317795166,0.0,0.0,-0.07643106546552147,0.0,0.0,-0.02015246113597696,0.0,0.0,28.0,0.0,1.0,0.0
5,C/C(=N/NC(=O)CNC(=O)c1cccnc1)c1ccc([N+](=O)[O-])cc1,1.0,0.0,0.0,0.0,79.86043742670776,0.0,0.0,-0.06643508626805966,0.0,0.0,-0.017364239649017135,0.0,0.0,33.0,0.0,1.0,0.0
6,C/C(=N\NC(=O)c1cc([N+](=O)[O-])cc([N+](=O)[O-])c1)c1ccco1,-0.0,1.0,0.0,1.0,64.86172218552989,0.0,0.0,-0.059536788218650605,0.0,0.0,-0.015607324470208302,0.0,0.0,29.0,0.0,1.0,0.0
7,C/C(=N\NC(=O)c1nnn(-c2nonc2N)c1CN(C)c1ccccc1)c1cccs1,-0.0,1.0,0.0,0.0,75.8406331379863,0.0,0.0,-0.06465007747981606,0.0,0.0,-0.016942666044412285,0.0,0.0,19.0,0.0,1.0,0.0
8,C/C(=N\Nc1cccc([N+](=O)[O-])c1)c1ccccc1O,1.0,0.0,0.0,0.0,96.1602491935848,0.0,0.0,-0.04630960720281145,0.0,0.0,-0.012478116441528403,0.0,0.0,28.0,1.0,-0.0,1.0
9,C/C(=N\Nc1nnc2c3ccccc3n(C)c2n1)c1ccc(C)o1,-0.0,1.0,0.0,0.0,89.82170004028062,0.0,0.0,-0.07300662161349736,0.0,0.0,-0.022589740879542995,0.0,1.0,34.0,0.0,1.0,0.0
10,C/C(N)=C(/C#N)C(=O)COC(=O)c1cc(-c2ccc(C)cc2)nc2ccccc12,1.0,0.0,0.0,0.0,97.16999915285197,0.0,0.0,-0.07650675496800902,0.0,0.0,-0.01913996881631237,0.0,0.0,32.0,0.0,1.0,0.0
11,C/C=N/NC(=O)c1cc(Br)ccc1O,1.0,0.0,1.0,0.0,99.1567485478966,0.0,0.0,-0.07709461724916061,0.0,0.0,-0.02057316033378979,0.0,0.0,28.0,0.0,1.0,0.0
12,C/[N+]([O-])=C1\Cc2ccccc2C1=O,1.0,0.0,0.0,0.0,96.5438873237283,0.0,0.0,-0.06542563182150578,0.0,0.0,-0.02386892675501136,0.0,1.0,38.0,1.0,-0.0,1.0
13,C=C(C)C(COc1c2occc2cc2ccc(=O)oc12)OC(C)(C)C(O)COc1c2occc2cc2ccc(=O)oc12,-0.0,1.0,0.0,0.0,89.77440553777106,1.0,0.0,-0.0801776925727591,0.0,0.0,-0.023402133148434014,0.0,0.0,31.0,0.0,1.0,0.0
14,C=CCN1C(=O)/C(=C/c2ccc(O)c(OC)c2)S/C1=N/c1nccs1,-0.0,1.0,0.0,0.0,95.4686386249892,0.0,0.0,-0.07307499543413758,0.0,0.0,-0.02380653541273586,0.0,0.0,32.0,0.0,1.0,0.0
15,C=CCNC(=O)CCC(=O)NNc1nc2ccccc2c2nc(-c3ccccc3)nn12,-0.0,1.0,0.0,0.0,82.05382154282276,0.0,0.0,-0.06598195830401925,0.0,0.0,-0.018663517332988804,0.0,0.0,31.0,0.0,1.0,0.0
16,C=CCNC(=S)N/N=C(\C)c1cccnc1,1.0,0.0,1.0,0.0,99.34792084815602,1.0,0.0,-0.07992851346858551,0.0,0.0,-0.023960776138456704,0.0,1.0,38.0,0.0,1.0,0.0
17,C=CCNc1nnc(Sc2ncccc2[N+](=O)[O-])s1,1.0,0.0,0.0,0.0,88.55968506773392,0.0,0.0,-0.07294370705739464,0.0,0.0,-0.02298127643573278,0.0,0.0,33.0,0.0,1.0,0.0
18,C=CCNc1oc(-c2cccc3ccccc23)nc1C#N,-0.0,1.0,0.0,0.0,93.65368113989791,0.0,0.0,-0.06746322078854414,0.0,0.0,-0.02356000561594564,0.0,0.0,25.0,0.0,1.0,0.0
19,C=CCNc1sc(C(=O)c2ccccc2)c(N)c1-c1nc2ccccc2s1,1.0,0.0,0.0,0.0,95.52993400057045,0.0,0.0,-0.07918953125280252,0.0,0.0,-0.023131956517324376,0.0,1.0,34.0,0.0,1.0,0.0
20,C=CCOc1ccc(CNc2ccc3[nH]c(=O)[nH]c3c2)cc1OCC,1.0,0.0,0.0,0.0,97.90798347978814,1.0,0.0,-0.08013742177091855,1.0,0.0,-0.02569195195205496,0.0,1.0,41.0,1.0,-0.0,1.0
21,C=CCOn1c(=O)c(-c2ccc(OC)cc2)[n+]([O-])c2ccccc21,1.0,0.0,0.0,0.0,88.37311214365444,0.0,0.0,-0.06169706644137202,0.0,0.0,-0.020925435902292948,0.0,1.0,36.0,1.0,-0.0,1.0
22,C=CCOn1c(=O)c(-c2ccccc2)[n+]([O-])c2ccccc21,1.0,0.0,0.0,0.0,89.17260702479031,0.0,0.0,-0.05643772189761585,0.0,0.0,-0.01852380665270568,0.0,1.0,45.0,1.0,-0.0,1.0
23,C=CCSC1=C(C#N)C(c2ccccc2Cl)C(C(=O)c2cccs2)C(O)(C(F)(F)F)N1,-0.0,1.0,0.0,0.0,82.38980641209385,0.0,0.0,-0.06093223942728564,0.0,0.0,-0.017991848764395676,0.0,1.0,38.0,0.0,1.0,0.0
24,C=CCSc1nnc2c(n1)OC(c1cccnc1)Nc1ccccc1-2,1.0,0.0,0.0,0.0,97.36105777715564,0.0,0.0,-0.07766418970534417,1.0,0.0,-0.028680435787646064,0.0,0.0,28.0,0.0,1.0,0.0
25,C=CCn1c(=N)c(C#N)cc2c(=O)n3ccccc3nc21,-0.0,1.0,0.0,0.0,93.60337404376818,0.0,0.0,-0.05478292000383275,0.0,0.0,-0.014267408301577952,0.0,1.0,37.0,0.0,1.0,0.0
26,C=CCn1c(SCC(=O)Nc2cc3oc4ccccc4c3cc2OC)nnc1-c1cnccn1,-0.0,1.0,0.0,0.0,89.69581060751203,0.0,0.0,-0.07843276184829485,0.0,0.0,-0.018164960393428263,0.0,0.0,33.0,0.0,1.0,0.0
27,C=CCn1c(SCC(=O)Nc2nc3ccccc3s2)nnc1-c1ccccc1O,-0.0,1.0,0.0,0.0,91.17045519386338,0.0,0.0,-0.07614661178393592,0.0,0.0,-0.021700014587033915,0.0,0.0,19.0,0.0,1.0,0.0
28,C=CCn1c(SCc2ccc(C(=O)Nc3nccs3)cc2)nnc1-c1ccc(C)c(Cl)c1,-0.0,1.0,0.0,0.0,94.07739527118056,0.0,0.0,-0.07940363585329412,0.0,0.0,-0.022079464547444562,0.0,0.0,29.0,0.0,1.0,0.0
29,C=CCn1c(SCc2ccccc2C#N)nnc1-c1cc(Br)ccc1O,1.0,0.0,0.0,0.0,96.00356561058304,0.0,0.0,-0.07610813256315915,1.0,0.0,-0.025813274545227975,0.0,0.0,19.0,0.0,1.0,0.0
30,C=CCn1c(SCc2csc(-c3ccc(Cl)cc3)n2)nnc1-c1ccccc1OC,-0.0,1.0,0.0,0.0,94.4563827192388,0.0,0.0,-0.07815606044588115,0.0,0.0,-0.023733788979056418,0.0,0.0,29.0,0.0,1.0,0.0
31,C=CCn1c2ccccc2c(=O)c2cc(C#Cc3cc(OC)cc(OC)c3)ccc21,-0.0,1.0,0.0,0.0,90.44998005178572,0.0,0.0,-0.06737439420823996,0.0,0.0,-0.01958306652858843,0.0,0.0,17.0,0.0,1.0,0.0
32,C=CCn1c2ccccc2c(=O)c2cc(C#Cc3ccccn3)ccc21,-0.0,1.0,0.0,0.0,92.24958020561408,0.0,0.0,-0.06533531884752189,0.0,0.0,-0.019611555401347694,0.0,1.0,38.0,0.0,1.0,0.0
33,C=CCn1cc(/C=C/c2cc[n+](C)cc2)c2ccccc21,1.0,0.0,0.0,0.0,74.46572016079736,0.0,0.0,-0.07172118631636103,0.0,0.0,-0.021659046487745463,0.0,0.0,32.0,0.0,1.0,0.0
34,C=Cn1ccnc1P(=S)(c1c(C)nn(-c2ccccc2)c1C)c1nccn1C=C,-0.0,1.0,0.0,0.0,96.57983001846428,0.0,0.0,-0.07840157353837744,1.0,0.0,-0.025650337218942488,0.0,1.0,34.0,0.0,1.0,0.0
35,CC(/C=N/NC(=O)c1cc(-c2cccs2)[nH]n1)=C\c1ccccc1,-0.0,1.0,0.0,0.0,94.02420317391196,0.0,0.0,-0.058537001479666874,0.0,0.0,-0.015012240173915385,0.0,0.0,32.0,0.0,1.0,0.0
36,CC(=C/c1ccccc1)/C=C1/SC(N2CCOCC2)=NC1=O,-0.0,1.0,0.0,0.0,97.82766827919744,0.0,0.0,-0.07737950710144294,1.0,0.0,-0.03073317618749351,0.0,1.0,40.0,1.0,-0.0,1.0
37,CC(=O)Cc1nsc(NC(=O)c2ccc(-c3ccccc3Cl)o2)n1,1.0,0.0,0.0,0.0,97.08008555687323,0.0,0.0,-0.0747488544578073,0.0,0.0,-0.021709122081696303,0.0,0.0,29.0,0.0,1.0,0.0
38,CC(=O)N(/N=C1\Sc2ccccc2C1=O)c1cccc(C)c1,1.0,0.0,0.0,0.0,98.32983221764418,0.0,0.0,-0.06366446815573834,0.0,0.0,-0.021545417607556135,0.0,1.0,39.0,1.0,-0.0,1.0
39,CC(=O)N(/N=C1\Sc2ccccc2C1=O)c1ccccc1C,1.0,0.0,0.0,0.0,98.32347915533323,0.0,0.0,-0.0658367914536589,0.0,0.0,-0.022307240194753972,0.0,1.0,38.0,1.0,-0.0,1.0
40,CC(=O)N(C(C)=O)N1C(=O)c2cccc3c(N4CCOCC4)ccc(c23)C1=O,1.0,0.0,0.0,0.0,88.28476979603846,0.0,0.0,-0.07799569321032805,1.0,0.0,-0.026206819296294103,0.0,1.0,43.0,0.0,1.0,0.0
41,CC(=O)N(C)C1=C(O)c2ccccc2C(=O)C1=O,1.0,0.0,0.0,1.0,33.47024706494178,0.0,1.0,-0.036990810033252226,1.0,0.0,-0.035107451719078774,0.0,0.0,30.0,1.0,-0.0,1.0
42,CC(=O)N/N=C/c1cc2c(cc1[N+](=O)[O-])OCO2,1.0,0.0,0.0,0.0,81.76818505842758,0.0,0.0,-0.07247345534834468,0.0,0.0,-0.02046273729713773,0.0,1.0,36.0,0.0,1.0,0.0
43,CC(=O)N1C(=O)c2cccc3cccc(c23)C(=O)N1C(C)=O,1.0,0.0,0.0,1.0,66.35410899176583,0.0,0.0,-0.055413417952039114,0.0,0.0,-0.01692650034944715,0.0,1.0,42.0,0.0,1.0,0.0
44,CC(=O)N1CCN(c2ccc(C(N)=O)cc2[N+](=O)[O-])CC1,1.0,0.0,0.0,0.0,91.4061277839233,0.0,0.0,-0.07379238055037038,0.0,0.0,-0.0220651913938887,0.0,0.0,30.0,0.0,1.0,0.0
45,CC(=O)N1CCN(c2ccc([N+](=O)[O-])cc2C#N)CC1,1.0,0.0,0.0,0.0,89.08700370068647,0.0,0.0,-0.07389619059588519,0.0,0.0,-0.022256133078629538,0.0,1.0,37.0,1.0,-0.0,1.0
46,CC(=O)N1CCn2c3c(c(=O)c4cc(C)ccc42)CCC31,1.0,0.0,1.0,0.0,98.96826829387729,1.0,0.0,-0.07998924502491297,1.0,0.0,-0.02540252446626399,0.0,0.0,30.0,0.0,1.0,0.0
47,CC(=O)N1CN2CN(C(C)=O)CC(C(=O)c3ccc([N+](=O)[O-])cc3)(C2)C1,-0.0,1.0,0.0,0.0,77.38243174047976,0.0,0.0,-0.0718146673898851,0.0,0.0,-0.02233904940982336,0.0,1.0,34.0,0.0,1.0,0.0
48,CC(=O)NC(Cc1c[nH]c2ccccc12)C(=O)N/N=C/c1ccccc1,-0.0,1.0,0.0,0.0,98.07399739060895,0.0,0.0,-0.07064620027218997,0.0,0.0,-0.017273943376939473,0.0,0.0,27.0,0.0,1.0,0.0
