,SMILES,False positives,True positives,FP - mvsa,TP - mvsa,Score - mvsa,FP - Catboost_self,TP - Catboost_self,Score - Catboost_self,FP - Catboost_test,TP - Catboost_test,Score - Catboost_test,FP - score,TP - score,Score - score,FP - filter,TP - filter,Score - filter
0,C#CCOCCOCCOCCNc1nc(N2CCN(C(=O)[C@H]([C@@H](C)CC)n3cc([C@@H](N)CO)nn3)CC2)nc(N2CCN(C(=O)[C@H]([C@@H](C)CC)n3cc([C@@H](N)CC(C)C)nn3)CC2)n1,1.0,0.0,0.0,0.0,97.72229428584274,0.0,0.0,-0.3788315172837462,0.0,0.0,-0.027814527080375094,0.0,0.0,7.634434149045692,0.0,1.0,0.0
1,C/C(=N\NC(=S)NCCc1ccccc1)c1ccc(O)cc1O,1.0,0.0,0.0,0.0,88.00220423234585,0.0,0.0,-0.3164885449143818,0.0,0.0,-0.020495162521032246,0.0,0.0,6.660331036667458,1.0,-0.0,1.0
2,C/C(=N\NC(=S)NCCc1ccccc1)c1cccc(Br)c1,1.0,0.0,0.0,0.0,94.3197887501119,0.0,0.0,-0.36919220868757585,0.0,0.0,-0.01986554557682387,0.0,0.0,6.200997861724876,0.0,1.0,0.0
3,C/C(=N\NC(=S)Nc1cccc(C)c1)c1cc2ccccc2o1,1.0,0.0,0.0,0.0,98.95967413445575,0.0,0.0,-0.33998425585677094,0.0,0.0,-0.026296809013772935,0.0,0.0,8.941157836382356,0.0,1.0,0.0
4,C/C(=N\NC(=S)Nc1cccc(C)c1)c1ccccc1,1.0,0.0,0.0,0.0,98.35934854317057,0.0,0.0,-0.3471639084321607,0.0,0.0,-0.018828504396107688,0.0,0.0,6.288112774213986,0.0,1.0,0.0
5,C/C(O)=c1/c(=O)nc2cccc3c2=c1c1ccccc1c3=O,1.0,0.0,0.0,0.0,92.58326267848855,1.0,0.0,-0.38400745328895985,0.0,0.0,-0.03005906787285378,0.0,0.0,12.013938385998255,0.0,1.0,0.0
6,C1CC2CN(c3nc4nonc4nc3N3CCSCC3)CCN2C1,1.0,0.0,0.0,0.0,98.50997579107032,0.0,0.0,-0.2655062904045436,0.0,0.0,-0.024015684289288193,0.0,1.0,15.799477310525065,0.0,1.0,0.0
7,C=CCN(CC=C)C(=S)Nc1ccc2nsnc2c1,1.0,0.0,0.0,0.0,99.00416633818358,0.0,0.0,-0.3657749492066109,0.0,0.0,-0.028642464643374013,0.0,1.0,15.767799160529025,0.0,1.0,0.0
8,C=CCN1C(=O)/C(=C2/Sc3ccccc3N2CCCS(=O)(=O)O)SC1=S.c1ccncc1,1.0,0.0,0.0,0.0,86.80833869369124,0.0,1.0,-0.08493049152122693,0.0,1.0,-0.0038292097418096854,0.0,0.0,7.737388136532826,1.0,-0.0,1.0
9,C=CCN1C(=O)/C(=C\c2ccc(Cl)cc2)N=C1SCC(=O)NC1CCCCC1,1.0,0.0,1.0,0.0,99.49349263227921,0.0,0.0,-0.3505369091940824,0.0,0.0,-0.022973077734487576,0.0,0.0,6.85831947414271,0.0,1.0,0.0
